EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1455892200,695.01,695.03,694.96,695.03,105648
1,695.01,696.35,694.97,695,17675
2,697.33,697.72,695.99,696,7310
3,697.515,697.52,695.93,697.3,17424
4,698.97,699.9999,697.515,697.515,13397
5,699.99,700,697.99,699.35,10211
6,698.2,700.33,697.875,700.18,10341
7,697.688,699.55,697.66,698.48,15006
8,697.11,698.21,696.6801,697.45,5300
9,695.68,697.38,695.68,697.37,14431
10,694.35,695.7925,694.05,695.63,14652
11,694.92,695.23,694.06,694.14,7452
12,695.22,696.3,694.56,695.78,7190
13,695.06,695.73,694.31,695.35,12433
14,695.77,696.66,695.2,695.2,5233
15,695,695.99,694.87,695.4475,4660
16,696.3656,696.88,694.41,695,5000
17,697.43,697.891,696.45,696.45,3300
18,696.75,697.77,696.75,697.488,3900
19,697.29,697.53,696.78,697.0245,2307
20,696.955,697.5,696.865,697.5,3628
21,698.43,698.53,696.6,696.75,6850
22,698.1882,698.9199,697.8,698.23,4508
23,697.53,698.1,697.4701,697.82,3433
24,697.97,698.3,697.44,697.69,4618
25,697.6184,698.4,697.21,698,5195
26,698.32,698.841,697.465,697.465,3131
27,698.45,699,698.13,698.5,11706
28,698.02,698.02,698.02,698.02,100
29,697.35,698,697.23,698,1102
30,698.41,698.41,697.43,697.46,3678
31,698.3199,698.3199,696.92,697.72,4287
32,697.53,698.066,697.0001,697.95,4615
33,697.324,697.324,697.324,697.324,100
34,696.95,698.23,696.95,697.46,3000
35,697.16,697.67,696.85,696.85,1961
36,696.95,697.1,696.2,696.69,3193
37,699.69,699.69,697.82,697.82,4776
38,698.98,699.7,698.73,699.7,4150
39,699.37,699.37,698.62,698.73,2363
40,699.23,699.28,698.5,698.54,3868
41,699.49,699.78,698.83,699,8500
42,698.8,699.99,698.8,699.44,8194
43,700.004,700.03,699.01,699.1315,3899
44,699.727,699.73,699.22,699.61,3216
45,699.801,700.035,699.8,700,3815
46,699.95,700.29,699.49,700.025,6556
47,701.085,701.35,700,700,11150
48,701.77,702.7,701.49,701.88,12037
49,701.69,702.06,701.18,701.56,7296
50,701.6643,701.6643,701.47,701.57,780
51,701.8,702.46,701.775,701.8557,7600
52,701.15,701.7626,701.1,701.7626,3400
53,701.98,701.99,700.95,701,1910
54,700.7911,702.35,700.7911,701.78,9270
55,700.82,701.2555,700.82,701.2555,1100
56,700.2356,700.79,700.01,700.79,4770
57,700.78,700.78,699.43,700.57,3441
58,700.73,700.81,700.5,700.5,1400
59,700.555,700.7,700.2,700.63,1100
60,701.51,701.66,700.72,700.72,1107
61,702.1,702.1,701.01,701.58,3900
62,701.915,702.34,701.24,702.25,2368
63,702.06,702.65,701.665,701.665,5101
64,702.145,702.4999,702,702.4999,4530
65,702.26,702.7,702.145,702.49,4916
66,701.0205,702.695,701.0205,702.4466,5334
67,701.09,701.76,701.09,701.445,1134
68,701.9999,701.9999,701.205,701.4,2400
69,700.9014,701.42,700.64,701.41,2581
70,701.82,702.11,701.14,701.15,2500
71,701.9,702.06,701.3083,701.77,1069
72,701.67,701.71,701.24,701.71,1795
73,702.24,702.24,701.4477,701.4477,900
74,702.225,702.41,701.7852,702.25,2600
75,701.285,701.89,701.25,701.89,1400
76,701.99,701.99,701.31,701.379,900
77,702.264,702.27,701.65,701.96,5900
78,702.21,702.36,701.9,701.99,1200
79,701.7,702.16,701.7,702.115,1299
80,701.8,701.8,701.38,701.58,1500
81,702,702.18,701.94,701.94,1824
82,701.85,702.19,701.85,702.1418,1321
83,701.84,702.02,701.8021,702.02,2400
84,700.77,701.478,700.761,701.478,1803
85,700.77,700.77,700.77,700.77,100
86,700.65,701.21,700.65,701,4743
87,701.9142,701.9142,700.65,700.65,3800
88,702,702.06,701.81,702,1374
89,701.61,702.17,701.51,701.82,5624
90,700.74,701.98,700.74,701.59,4610
91,700.2,700.79,699.6229,700.418,3500
92,700.74,700.91,700.26,700.26,600
93,700.25,701.07,700.25,701.07,1200
94,699.44,700.04,698.83,700.023,3738
95,699.6957,699.794,699.61,699.794,800
96,699.068,699.93,699.068,699.7,2700
97,699.52,699.9,699.3,699.51,1900
98,700.09,700.34,699.52,699.52,900
99,699.83,700.26,699.83,700.14,1100
100,700.434,700.44,699.98,700.44,1500
101,700.4,700.4,699.97,699.97,400
102,700.54,700.7,700.013,700.48,1784
103,700.928,700.928,700.928,700.928,289
104,700.27,700.7,700.27,700.68,1000
105,699.95,700.45,699.6,700.45,1300
106,699.91,700.04,699.84,700.01,1750
107,701.25,701.25,700.32,700.48,1456
108,700.68,701.37,700.63,701.315,1500
109,700.855,701.1668,700.52,700.53,3000
110,701.35,701.55,701.295,701.295,900
111,701.86,701.957,701.339,701.339,2517
112,701.8,701.94,701.63,701.94,1440
113,701.43,701.7999,701.43,701.7999,300
114,701.41,701.45,701.34,701.45,800
115,701.37,701.43,701.37,701.4,805
116,701.7095,701.75,701.37,701.61,690
117,700.656,701.2,700.656,701.18,900
118,701.65,701.65,700.93,701.04,1452
119,701.67,702.015,701.67,701.99,4486
120,702.24,702.48,702,702.06,4100
121,702.31,702.54,702.1,702.2225,4782
122,702.12,702.458,701.79,702.3,2200
123,702.96,702.99,702.17,702.17,2716
124,702.662,702.988,702.662,702.988,600
125,702.796,702.988,702.39,702.67,2650
126,702.15,703,702.15,702.985,2328
128,702.375,702.58,702.11,702.25,1970
129,701.945,702.22,701.51,702.22,1300
130,702.527,702.527,702.01,702.146,600
131,702.55,702.93,702.3826,702.53,4220
132,702.5301,702.83,702.5301,702.71,4577
133,702.3041,702.53,702.3041,702.53,1000
134,702.608,703.04,702.54,702.58,6287
135,702.5001,702.85,702.5,702.52,3385
136,702.7146,702.9999,702.52,702.9999,3400
137,702.76,703.0805,702.76,702.8,3170
138,702.4601,702.755,702.4601,702.51,1000
139,702.24,702.5999,702.21,702.48,1461
140,702.28,702.28,702.05,702.2,522
141,702.02,702.09,701.6192,702.09,1000
142,702.7399,702.7399,702.1198,702.1198,1464
143,702.2545,702.64,701.89,701.93,3500
144,702.055,702.235,701.81,702.235,700
145,701.99,702,701.96,701.96,455
146,700.8,701.9,700.8,701.9,3444
147,700.819,700.819,700.51,700.51,570
148,700.4046,700.66,700.21,700.52,3315
149,700.43,700.43,699.83,700.21,2200
150,700.15,700.632,700.15,700.38,1700
