TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
a1455907800,116.25,116.28,116.25,116.28,9359
1,116.25,116.26,116.22,116.25,10646
2,116.25,116.25,116.22,116.25,7771
3,116.25,116.26,116.24,116.2498,13367
4,116.23,116.26,116.23,116.25,10097
5,116.2362,116.24,116.2,116.24,8793
6,116.25,116.26,116.2399,116.24,9785
7,116.26,116.26,116.24,116.25,5631
8,116.255,116.27,116.25,116.25,10115
9,116.28,116.29,116.24,116.25,16485
10,116.2801,116.29,116.27,116.28,3716
11,116.262,116.28,116.25,116.28,13653
12,116.24,116.26,116.215,116.26,10547
13,116.23,116.245,116.22,116.238,5136
14,116.22,116.25,116.22,116.25,5949
15,116.23,116.23,116.2201,116.23,2738
16,116.2,116.23,116.1844,116.23,19846
17,116.31,116.31,116.2,116.2,14566
18,116.36,116.37,116.29,116.3,23233
19,116.54,116.5701,116.37,116.37,32660
20,116.43,116.56,116.41,116.55,20959
21,116.41,116.43,116.36,116.43,34080
22,116.5,116.52,116.41,116.41,16037
23,116.54,116.55,116.5041,116.51,4596
24,116.54,116.55,116.52,116.5415,9550
25,116.55,116.555,116.53,116.535,13989
26,116.45,116.56,116.38,116.55,38091
27,116.4,116.46,116.38,116.44,27505
28,116.33,116.4157,116.33,116.395,22108
29,116.31,116.325,116.27,116.325,33493
30,116.36,116.37,116.31,116.31,5789
31,116.35,116.37,116.35,116.36,7153
32,116.35,116.37,116.33,116.34,6303
33,116.38,116.38,116.348,116.355,6716
34,116.42,116.42,116.39,116.39,10531
35,116.42,116.42,116.41,116.41,3195
36,116.467,116.47,116.4,116.415,13841
37,116.44,116.47,116.44,116.47,3600
38,116.42,116.44,116.41,116.44,9340
39,116.435,116.44,116.42,116.422,7175
40,116.45,116.46,116.4,116.45,16069
41,116.44,116.47,116.44,116.45,7872
42,116.41,116.45,116.382,116.45,7845
43,116.4095,116.41,116.4,116.405,6042
44,116.38,116.41,116.38,116.4,11128
45,116.39,116.398,116.37,116.37,5637
46,116.36,116.395,116.36,116.38,14887
47,116.35,116.3723,116.34,116.3723,6217
48,116.37,116.37,116.35,116.35,3507
49,116.365,116.37,116.3566,116.37,5321
50,116.36,116.37,116.3505,116.37,6226
51,116.376,116.39,116.355,116.355,18921
52,116.38,116.395,116.36,116.395,7519
53,116.38,116.3948,116.36,116.37,8900
54,116.37,116.38,116.3619,116.38,4377
55,116.4,116.405,116.37,116.38,6530
56,116.43,116.4401,116.39,116.4,14221
57,116.445,116.445,116.39,116.43,11343
58,116.47,116.5,116.45,116.45,15224
59,116.5,116.5,116.47,116.47,6529
60,116.48,116.5,116.48,116.5,6138
61,116.485,116.495,116.48,116.49,7764
62,116.46,116.4981,116.46,116.49,8461
