TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
a1456128000,5950.23,5950.23,5950.23,5950.23,0
1,5998.1,6000.1,5950.36,5950.36,0
2,6002.33,6003.04,5996.3,5998.15,0
3,6000.94,6003.35,5998.38,6002.33,0
4,6001.03,6002.4,5998.13,6000.95,0
5,6004.79,6006.34,6000.62,6000.95,0
6,6009.5,6010.58,6004.84,6004.84,0
7,6008.74,6011.24,6007.66,6009.44,0
8,6013.9,6014.07,6008.41,6008.77,0
9,6014.98,6015.45,6012.53,6013.94,0
10,6015.71,6015.71,6012.63,6014.96,0
11,6017.48,6020.23,6015.66,6015.69,0
12,6016.61,6018.17,6014.58,6017.5,0
13,6014.58,6017.26,6014.37,6016.67,0
14,6015.05,6015.45,6014.12,6014.62,0
15,6015.34,6015.96,6013.69,6015.07,0
16,6019.77,6020.94,6015.34,6015.38,0
17,6017.62,6019.82,6017.14,6019.73,0
18,6019.42,6020.71,6017.55,6017.74,0
19,6026.88,6026.91,6019.04,6019.43,0
20,6028.94,6029.51,6026.88,6026.88,0
21,6027.15,6030.07,6027.05,6029.02,0
22,6023.35,6027.76,6023.35,6027.12,0
23,6020.45,6024.42,6019.96,6023.53,0
24,6023.11,6023.24,6020.34,6020.44,0
25,6020.58,6023.15,6020.28,6023.06,0
26,6022.29,6023.25,6020.11,6020.7,0
27,6015.73,6022.24,6015.69,6022.2,0
28,6019.13,6019.22,6015.75,6015.75,0
29,6018.81,6019.7,6018.26,6019.06,0
30,6016.19,6020.15,6016.16,6018.8,0
31,6022.53,6022.84,6015.94,6016.11,0
32,6019.92,6022.43,6019.16,6022.43,0
33,6021.17,6022.4,6019.64,6019.91,0
34,6020.84,6022.34,6019.91,6021.22,0
35,6021,6021.59,6018.56,6020.89,0
36,6021,6021.62,6020.85,6021.01,0
37,6020.74,6021.52,6019.88,6020.93,0
38,6022.17,6022.53,6019.99,6020.74,0
39,6015.7,6022.09,6015.7,6022.09,0
40,6008.2,6015.98,6008.1,6015.68,0
41,6010.64,6010.74,6008.25,6008.25,0
42,6009.86,6013.62,6009.49,6010.62,0
43,6009.62,6010.76,6009.37,6009.88,0
44,6008.98,6010.41,6008.4,6009.46,0
45,6010.64,6010.94,6009.03,6009.03,0
46,6011.8,6012.71,6010.03,6010.63,0
47,6013.21,6013.3,6011.69,6011.82,0
48,6013.96,6014.93,6013.18,6013.23,0
49,6019.66,6019.67,6013.98,6013.98,0
50,6022.36,6022.36,6019.67,6019.67,0
51,6023.71,6024.28,6022.28,6022.32,0
52,6021.97,6023.89,6021.36,6023.56,0
53,6018.77,6022.05,6018.77,6021.98,0
54,6014.97,6018.82,6014.9,6018.72,0
55,6014.92,6015.2,6013.33,6014.97,0
56,6016.75,6017.24,6014.49,6014.87,0
57,6015.21,6017.34,6015.21,6016.75,0
58,6011.94,6015.15,6011.16,6015.15,0
59,6011.79,6012.87,6011.39,6011.9,0
60,6011.71,6012.26,6010.35,6011.77,0
61,6011.27,6012.08,6010.28,6011.72,0
62,6011.73,6012.21,6010.64,6011.23,0
63,6008.92,6012.38,6008.92,6011.73,0
64,6006.68,6009.93,6005.69,6008.9,0
65,6008.12,6008.23,6006.33,6006.81,0
66,6010.13,6010.36,6005.67,6008.15,0
67,6012.5,6014,6008.7,6010.12,0
68,6014.18,6014.21,6012.11,6012.54,0
69,6015.01,6016.01,6014.18,6014.21,0
70,6015.29,6015.57,6014.03,6015.04,0
71,6018.65,6018.94,6015.31,6015.31,0
72,6017.31,6019.03,6016.93,6018.67,0
73,6018.95,6019.23,6016.7,6017.33,0
74,6022.99,6022.99,6018.93,6019.02,0
75,6021.76,6023.51,6021.75,6022.92,0
76,6019.44,6022.17,6019.42,6021.71,0
77,6021.17,6021.18,6018.79,6019.52,0
78,6022.12,6022.16,6020.5,6021.15,0
79,6023.21,6023.22,6021.69,6022.14,0
80,6022.26,6023.54,6022.12,6023.24,0
81,6020.92,6022.44,6019.89,6022.29,0
82,6020.51,6020.87,6020.01,6020.87,0
83,6021.18,6021.72,6020.48,6020.48,0
84,6021.39,6022.38,6021.12,6021.12,0
85,6019.14,6021.44,6019.07,6021.37,0
86,6018.39,6019.74,6017.88,6019.21,0
87,6022.34,6022.68,6018.44,6018.54,0
88,6024.17,6024.48,6021.12,6022.36,0
89,6021.65,6024.09,6021.65,6024.05,0
90,6022.69,6023.3,6021.82,6021.82,0
91,6024.11,6024.48,6022.7,6022.71,0
92,6023.75,6025.04,6023.75,6024.14,0
93,6021.73,6023.92,6021.43,6023.75,0
94,6022.01,6022.01,6018.82,6021.72,0
95,6020.86,6022.49,6020.24,6022.02,0
96,6019.11,6020.94,6017.71,6020.82,0
97,6018.87,6019.83,6018.78,6019.1,0
98,6015.83,6018.85,6015.52,6018.82,0
99,6016.96,6017.69,6015.45,6015.92,0
100,6017.48,6018.83,6016.86,6016.97,0
101,6019.8,6019.84,6017,6017.5,0
102,6021.97,6023.21,6019.75,6019.75,0
103,6020.58,6022.01,6020.41,6021.98,0
104,6020.63,6021.47,6020.4,6020.56,0
105,6021.4,6022.01,6020.29,6020.71,0
106,6023.55,6023.66,6021.39,6021.39,0
107,6022.93,6023.89,6022.87,6023.49,0
108,6024.81,6024.81,6022.89,6022.93,0
109,6031.48,6032.29,6024.88,6024.88,0
110,6031.31,6032.43,6030.7,6031.48,0
111,6032.91,6032.97,6030.07,6031.34,0
112,6031.83,6033.37,6031.58,6032.88,0
113,6031.01,6032.06,6030.98,6031.82,0
114,6032.8,6033.36,6030.99,6030.99,0
115,6029.62,6033.07,6029.51,6032.79,0
116,6033.99,6034.29,6029.65,6029.65,0
117,6031.54,6034.14,6031.51,6033.99,0
118,6030.36,6031.59,6030.17,6031.49,0
119,6029.9,6031.59,6029.69,6030.43,0
120,6030.08,6030.44,6029.66,6029.85,0
121,6031.2,6031.55,6029.84,6030.08,0
122,6031.35,6031.68,6030.75,6031.21,0
123,6030.45,6031.95,6030.45,6031.37,0
124,6031.17,6031.62,6030,6030.39,0
125,6032.37,6032.96,6031.18,6031.18,0
126,6035.51,6035.6,6032.38,6032.38,0
127,6033.95,6035.85,6033.63,6035.52,0
128,6033.1,6035.56,6033.02,6033.85,0
129,6032.21,6033.17,6032.12,6033.09,0
130,6031.91,6032.76,6031.52,6032.22,0
131,6030.88,6032,6030.8,6031.95,0
132,6030.42,6031.08,6030.36,6030.96,0
133,6027.34,6030.72,6027.34,6030.4,0
134,6028.77,6028.88,6027.36,6027.37,0
135,6028.2,6029.53,6028.09,6028.78,0
136,6025.92,6028.49,6025.36,6028.26,0
137,6025.98,6026.08,6024.84,6025.9,0
138,6026.27,6027.14,6025.97,6025.99,0
139,6025.8,6026.94,6025.6,6026.25,0
140,6025.12,6026.19,6025.05,6025.8,0
141,6026.19,6026.78,6024.9,6025.08,0
142,6025.89,6026.52,6025.61,6026.2,0
143,6024.61,6026.72,6024.61,6025.89,0
144,6024.77,6025.34,6024.39,6024.59,0
145,6025.35,6025.46,6024.73,6024.76,0
146,6025.64,6025.84,6025.08,6025.36,0
147,6024.79,6025.74,6024.76,6025.63,0
148,6024.04,6024.84,6023.98,6024.81,0
149,6023.92,6024.17,6023.64,6023.94,0
150,6023.53,6024.28,6023.52,6023.91,0
151,6023.5,6023.87,6023.15,6023.49,0
152,6023.86,6024.55,6022.77,6023.49,0
153,6022.88,6023.94,6022.88,6023.92,0
154,6022.79,6023.26,6022.67,6022.88,0
155,6021.64,6022.96,6021.64,6022.84,0
156,6021.12,6021.63,6020.78,6021.63,0
157,6020.47,6021.34,6020.42,6021.17,0
158,6020.15,6020.5,6019.25,6020.45,0
159,6020.15,6021.61,6019.96,6020.07,0
160,6022.28,6022.37,6019.7,6020.12,0
161,6023,6023,6022.23,6022.27,0
162,6022.49,6023.52,6022.44,6023.01,0
163,6021.54,6022.57,6021.49,6022.55,0
164,6021.36,6021.56,6020.76,6021.56,0
165,6019.72,6021.53,6019.56,6021.39,0
166,6021.27,6021.47,6019.58,6019.77,0
167,6021.08,6021.44,6021.02,6021.25,0
168,6021.8,6021.8,6021.09,6021.1,0
169,6022,6022.08,6021.77,6021.8,0
170,6021.56,6022.08,6021.56,6022.07,0
171,6022.01,6022.02,6021.13,6021.53,0
172,6021.51,6022.36,6021.47,6021.99,0
173,6019.39,6021.56,6019.3,6021.55,0
174,6018.96,6019.51,6018.96,6019.41,0
175,6017.41,6019.26,6017.41,6018.98,0
176,6017.07,6017.42,6016.91,6017.42,0
177,6017.92,6017.92,6017.05,6017.05,0
178,6016.41,6017.92,6016.25,6017.92,0
179,6015.63,6016.39,6015.1,6016.39,0
180,6016.65,6016.65,6015.18,6015.65,0
181,6016.6,6016.89,6016.1,6016.66,0
182,6018.89,6018.94,6016.52,6016.61,0
183,6019.68,6019.76,6018.8,6018.88,0
184,6021.25,6021.31,6019.69,6019.69,0
185,6021.06,6021.98,6020.47,6021.23,0
186,6020.17,6021.4,6020.09,6021.06,0
187,6019.06,6020.17,6018.96,6020.17,0
188,6019.57,6019.77,6018.94,6019.16,0
189,6020.95,6021,6019.62,6019.63,0
190,6020.28,6020.99,6020.19,6020.94,0
191,6019.76,6020.44,6019.7,6020.33,0
192,6019.72,6019.97,6019.44,6019.75,0
193,6021.09,6021.09,6019.78,6019.8,0
194,6020.65,6021.07,6020.19,6021.07,0
195,6020.71,6020.96,6020.59,6020.62,0
196,6020.26,6020.76,6020.03,6020.74,0
197,6019.41,6020.33,6019.41,6020.27,0
198,6018.72,6019.36,6018.62,6019.36,0
199,6018.68,6019.13,6018.53,6018.65,0
200,6020.74,6020.76,6018.67,6018.67,0
201,6020.16,6020.9,6019.6,6020.79,0
202,6021,6021.15,6020.15,6020.17,0
203,6020.58,6021.02,6020.38,6020.99,0
204,6020.47,6020.53,6020.06,6020.52,0
205,6021.42,6022.24,6020.44,6020.48,0
206,6023.06,6023.11,6021.01,6021.4,0
207,6024.11,6024.11,6023.01,6023.07,0
208,6023.28,6024.14,6023.27,6024.12,0
209,6024.4,6024.55,6023.1,6023.27,0
210,6025.06,6025.39,6024.34,6024.38,0
211,6025.9,6025.91,6025.05,6025.11,0
212,6025.93,6026.48,6025.78,6025.92,0
213,6025.51,6025.98,6025.43,6025.91,0
214,6025.24,6025.48,6024.93,6025.46,0
215,6024.93,6025.37,6024.59,6025.25,0
216,6026.82,6026.85,6024.92,6024.92,0
217,6026.77,6027.03,6026.66,6027.02,0
218,6026.59,6026.99,6026.18,6026.81,0
219,6026.26,6026.8,6026.13,6026.56,0
220,6026.41,6026.59,6026.16,6026.23,0
221,6026.92,6026.92,6026.28,6026.29,0
222,6027.6,6027.93,6026.75,6027.01,0
223,6028.21,6028.54,6027.48,6027.63,0
224,6028.22,6028.28,6027.5,6028.21,0
225,6027.4,6028.33,6026.7,6028.32,0
226,6026.3,6027.66,6026.19,6027.33,0
227,6025.86,6026.4,6025.46,6026.31,0
228,6025.02,6026.02,6024.93,6025.84,0
229,6023.25,6025.01,6023.24,6025.01,0
230,6022.27,6023.36,6022.15,6023.27,0
231,6022.04,6022.28,6019.48,6022.25,0
232,6023.68,6023.75,6021.37,6022.02,0
233,6024.59,6025.23,6023.43,6023.7,0
234,6025.05,6025.49,6024.19,6024.58,0
235,6026.55,6027.24,6024.47,6025.12,0
236,6026.93,6027.2,6026.54,6026.57,0
237,6024.97,6026.86,6024.57,6026.86,0
238,6023.84,6025.06,6023.76,6024.95,0
239,6024.72,6026.35,6023.71,6023.8,0
240,6024.31,6025.61,6024.03,6024.67,0
241,6023.28,6024.39,6022.88,6024.31,0
242,6021.29,6023.85,6021.09,6023.29,0
243,6022.42,6022.9,6021.34,6021.34,0
244,6020.74,6022.39,6020.45,6022.39,0
245,6021.61,6022.49,6020.74,6020.74,0
246,6021.38,6021.96,6020.98,6021.62,0
247,6021.03,6021.73,6020.98,6021.39,0
248,6022.68,6023.43,6020.99,6020.99,0
249,6024.32,6024.35,6022.01,6022.67,0
250,6023.76,6024.47,6023.18,6024.36,0
251,6024.29,6025,6023.78,6023.78,0
252,6023.84,6024.7,6023.38,6024.29,0
253,6023.95,6024.23,6023.17,6023.8,0
254,6022.83,6024.01,6022.83,6023.94,0
255,6021.87,6022.78,6021.79,6022.78,0
256,6021.87,6022.88,6021.79,6021.83,0
257,6022.8,6022.97,6021.89,6021.89,0
258,6022.53,6023.31,6022.43,6022.78,0
259,6022.06,6022.74,6022.04,6022.54,0
260,6022.1,6022.84,6021.93,6022.05,0
261,6022.51,6022.82,6022.09,6022.11,0
262,6021.09,6022.53,6021.01,6022.53,0
263,6022.44,6022.88,6021.05,6021.06,0
264,6026.67,6026.7,6022.39,6022.4,0
265,6027.02,6027.33,6026.38,6026.66,0
266,6026.56,6027.14,6026.56,6027.02,0
267,6027.43,6027.63,6026.25,6026.6,0
268,6026.46,6027.54,6025.42,6027.46,0
269,6026.03,6026.5,6024.83,6026.47,0
270,6026.63,6027.36,6025.58,6026,0
271,6027.14,6027.26,6025.94,6026.64,0
272,6027.83,6028.29,6027.12,6027.12,0
273,6030.03,6030.06,6027.87,6027.88,0
274,6028.65,6030.04,6028.54,6030.04,0
275,6028.2,6029.1,6028.17,6028.64,0
276,6028.5,6028.6,6028.14,6028.19,0
277,6029.31,6029.82,6028.24,6028.51,0
278,6028.23,6029.3,6027.88,6029.29,0
279,6028.88,6028.88,6027.94,6028.24,0
280,6028.73,6029,6027.89,6028.87,0
281,6030.12,6030.2,6028.44,6028.71,0
282,6030.66,6030.69,6030.06,6030.11,0
