Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_Glasses,video_HairBangs
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
0.9,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
1.8,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
2.4,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
13.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
14.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
14.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
15.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,33.333,50.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
16.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
17.6,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
19.8,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
19.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
20.1,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,66.667,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
20.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
20.4,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
20.8,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
21.6,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
22.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
23.4,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
23.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
25.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
25.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
25.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
25.8,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
26.1,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
