Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Occlusion,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,Au17,Au26,AU57,AU58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.1,25,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2,50,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.7,50,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.8,50,0,0,0,33.333,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
13.9,50,0,0,0,50,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
14.1,75,0,0,0,50,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
14.6,75,0,0,0,50,0,0,0,0,0,33.333,0,0,25,0,0,0,0,0,0,0
17.2,75,0,0,0,66.667,0,0,0,0,0,66.667,0,0,25,0,0,0,0,0,0,0
17.4,75,0,0,0,83.333,0,0,0,0,0,66.667,0,0,25,0,0,0,0,0,0,0
18,75,0,0,0,83.333,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0
20.1,100,0,0,0,66.667,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0
21.5,100,0,0,0,83.333,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0
22.2,100,0,0,0,83.333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
23.4,100,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
24.8,100,0,0,0,83.333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
26.2,100,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
26.5,100,0,0,0,66.667,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
26.7,100,0,0,0,83.333,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
28.1,75,0,0,0,83.333,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
28.3,75,0,0,0,83.333,0,0,0,0,0,66.667,0,0,25,0,0,0,0,0,0,0
29.2,75,0,0,0,83.333,0,0,0,0,0,66.667,0,0,50,0,0,0,0,0,0,0
29.7,75,0,0,0,83.333,0,0,0,0,0,66.667,0,0,50,0,0,0,25,0,0,0
29.9,75,0,0,0,83.333,0,0,0,0,0,100,0,0,50,0,0,0,25,0,0,0
30.2,75,0,0,0,83.333,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0
31,50,0,0,0,83.333,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0
31.2,50,0,0,0,83.333,0,0,0,0,0,100,0,0,75,0,0,0,0,0,0,0
31.7,50,0,0,0,66.667,0,0,0,0,0,100,0,0,75,0,0,0,0,0,0,0
31.8,50,0,0,0,83.333,0,0,0,0,0,100,0,0,75,0,0,0,0,0,0,0
32.3,50,0,0,0,83.333,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0
32.4,25,0,0,0,83.333,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0
32.9,25,0,0,0,66.667,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0
33.5,25,0,0,0,66.667,0,0,0,0,0,66.667,0,0,50,0,0,0,0,0,0,0
34.4,25,0,0,0,83.333,0,0,0,0,0,66.667,0,0,50,0,0,0,0,0,0,0
34.8,0,0,0,0,83.333,0,0,0,0,0,66.667,0,0,50,0,0,0,0,0,0,0
36,0,0,0,0,100,0,0,0,0,0,66.667,0,0,50,0,0,0,0,0,0,0
38.9,0,0,0,0,100,0,0,0,0,0,66.667,0,0,25,0,0,0,0,0,0,0
42.9,0,0,0,0,100,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
45.7,0,0,0,0,100,0,0,0,0,0,66.667,0,0,0,0,0,33.333,0,0,0,0
49.1,25,0,0,0,100,0,0,0,0,0,66.667,0,0,0,0,0,33.333,0,0,0,0
49.7,25,0,0,0,100,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
49.9,25,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
50.7,75,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
51.7,75,0,0,0,83.333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
52.3,100,0,0,0,83.333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
56.1,100,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
56.6,100,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33.333
57.6,100,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
61.1,75,0,0,0,66.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
61.6,50,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
61.7,25,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
61.9,25,0,0,0,33.333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
