Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_Glasses,video_HairBangs
0.0,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
6.1,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
7.3,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,100.0,0.0,14.3
8.5,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
8.8,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
9.2,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,20.0,100.0,0.0,14.3
9.3,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
9.7,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
10.5,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
10.8,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,20.0,100.0,0.0,14.3
11.2,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,20.0,100.0,0.0,14.3
11.9,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,66.667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
12.1,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
12.6,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,20.0,0.0,100.0,0.0,14.3
13.7,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
14.0,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
15.6,20.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
15.7,20.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
15.9,20.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,100.0,0.0,14.3
