Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Occlusion,Expressive,Social,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,Au17,Au26,57,58,Forward,Backward
0.0,16.667,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
0.2,33.333,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
0.9,50.0,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
1.1,66.667,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
1.4,66.667,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
1.5,66.667,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0
1.8,66.667,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
2.8,66.667,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
3.0,50.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
3.2,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
3.3,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,80.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
3.5,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,80.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
3.8,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
4.3,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
4.5,33.333,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
5.2,33.333,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
5.3,33.333,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
5.6,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
5.7,16.667,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
5.9,16.667,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
8.0,16.667,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,60.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
