Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,Forward,Backward,video_Gender,video_Glasses,video_Lighting
0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
1.9,25.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
2.3,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
18.7,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
21.0,25.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
21.4,25.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
21.6,25.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
21.8,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
21.9,75.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
22.0,100.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
24.9,75.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
26.9,100.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
30.3,75.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
30.4,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
30.9,50.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,100.0,0.0
