Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_HairBangs,video_Lighting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
0.1,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
0.2,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
0.3,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
1.3,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
2.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
3.7,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
5.5,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
6.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
6.1,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
6.3,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
6.4,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
6.5,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
14.8,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
15.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,25.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
15.7,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
16.5,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
16.7,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
17.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
