Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_Glasses,video_HairBangs,video_Lighting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
11.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
12.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
12.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.7,13.3
