Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Occlusion,Expressive,Social,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,Au17,Au26,57,58,Forward,Backward
0.0,50.0,0.0,0.0,0.0,30.769,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857,0.0,0.0,0.0,0.0
0.2,50.0,0.0,0.0,0.0,30.769,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857,0.0,0.0,0.0,0.0
0.4,50.0,0.0,0.0,0.0,30.769,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.143,0.0,0.0,0.0,0.0
0.7,50.0,0.0,0.0,0.0,30.769,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.143,0.0,0.0,0.0,0.0
0.8,50.0,0.0,0.0,0.0,23.077,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571,0.0,0.0,0.0,0.0
1.3,50.0,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0
1.5,37.5,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0
1.6,25.0,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,37.5,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0
2.0,25.0,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,37.5,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0
2.2,25.0,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,37.5,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,25.0,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,25.0,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,12.5,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,25.0,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,12.5,0.0,0.0,0.0,30.769,0.0,0.0,0.0,0.0,0.0,25.0,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,12.5,0.0,0.0,0.0,23.077,0.0,0.0,0.0,0.0,0.0,25.0,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
