Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_Glasses,video_HairBangs,video_Lighting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
0.4,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
0.8,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
0.9,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
1.4,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
1.6,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,100.0,7.1,78.6,21.4
3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,100.0,7.1,78.6,21.4
3.2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
3.7,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,25.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,7.1,78.6,21.4
14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,33.333,25.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,7.1,78.6,21.4
15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,7.1,78.6,21.4
15.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,7.1,78.6,21.4
15.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
17.9,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
18.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
19.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
19.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
19.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
20.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
21.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
21.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,7.1,78.6,21.4
21.6,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
22.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
22.4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
23.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
25.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,60.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
25.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,40.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
26.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
26.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.1,78.6,21.4
