AU02,AU04cand,Smile_v2
0.553719,0.0594729,0.00343893
0.553719,0.0594729,0.00343893
0.557486,0.0626878,0.00297933
0.518579,0.0634302,0.00246852
0.436149,0.0525711,0.00177391
0.386392,0.0460161,0.00135461
0.350732,0.0402454,0.00106025
0.404586,0.0399671,0.000808194
0.39056,0.034771,0.000683525
0.38102,0.0312369,0.000598732
0.40334,0.0604414,0.000853337
0.419002,0.0809343,0.00103199
0.46673,0.0882929,0.00102846
0.50114,0.0934737,0.00103264
0.526792,0.0973879,0.00104576
0.56764,0.0972492,0.000886889
0.579912,0.113896,0.000943518
0.601588,0.11,0.000927047
0.618231,0.107409,0.000914221
0.623563,0.113135,0.00108108
0.626422,0.11623,0.00118837
0.60558,0.120601,0.00114237
0.58989,0.123869,0.00111408
0.594112,0.107773,0.00350917
0.58692,0.0932803,0.00394866
0.597714,0.0949462,0.00307178
0.610843,0.0801599,0.00257159
0.611999,0.0860626,0.00251519
0.629311,0.0911649,0.00226643
0.575636,0.0813302,0.00215281
0.54178,0.179444,0.00630164
0.535187,0.235004,0.00763333
0.521674,0.193382,0.00797182
0.532062,0.160618,0.00797393
0.549799,0.147077,0.00785159
0.569384,0.117786,0.00745636
0.586789,0.108823,0.00582116
0.599222,0.102076,0.00466526
0.612546,0.0952304,0.0036018
0.623806,0.0908086,0.00285365
0.577014,0.0638599,0.0023788
0.543702,0.0453326,0.00209142
0.496467,0.0348642,0.00156469
0.480505,0.0364392,0.0012029
0.505822,0.045172,0.000993106
0.482746,0.0479597,0.000955864
0.466444,0.0495932,0.000968931
0.456274,0.0411952,0.0008295
0.448991,0.0353626,0.00073914
0.426109,0.0343353,0.000775345
0.421788,0.034295,0.000827469
0.398446,0.0312532,0.000739441
0.382764,0.029113,0.000687579
0.382671,0.0333928,0.000643882
0.381539,0.0361674,0.000612078
0.374305,0.0409044,0.000591249
0.30576,0.0353206,0.000804486
0.257625,0.0316786,0.000958416
0.24162,0.0312342,0.000852069
0.222018,0.0305975,0.000741216
0.239703,0.02792,0.000685786
0.252701,0.0261284,0.000650496
0.255475,0.0238619,0.000648035
0.25709,0.0220968,0.000646517
0.288689,0.0243004,0.000550649
0.311082,0.0257691,0.000483251
0.319747,0.0260371,0.000442617
0.325827,0.0262251,0.000414104
0.409549,0.0305587,0.000442754
