AU02,AU04cand,Smile_v2
0.22314,0.349754,0.000254893
0.22314,0.349754,0.000254893
0.240091,0.357215,0.00019025
0.264332,0.382497,0.00020127
0.277747,0.396488,0.000207369
0.288644,0.410379,0.000210382
0.296915,0.405461,0.000218131
0.299726,0.401517,0.000222016
0.30804,0.385971,0.000218451
0.273074,0.385437,0.000190509
0.251832,0.39607,0.000169475
0.235657,0.403805,0.000139693
0.225246,0.404569,0.000126885
0.217573,0.404614,0.000116963
0.20965,0.406818,0.000110091
0.204017,0.408221,0.000105287
0.179718,0.420874,0.000118919
0.198283,0.433084,0.000257813
0.216204,0.411471,0.000363513
0.212183,0.33615,0.000296771
0.181362,0.367486,0.000238039
0.171197,0.430758,0.000185833
0.164026,0.475286,0.000149002
0.184382,0.365902,0.000140435
0.226666,0.292222,0.000118638
0.239834,0.262865,0.000146511
0.262356,0.245896,0.000166841
0.286017,0.2065,0.000171881
0.294857,0.198358,0.000284206
0.296496,0.193244,0.000264078
0.298455,0.20728,0.000254532
0.308385,0.200862,0.000242688
0.283618,0.211075,0.000528112
0.275659,0.18163,0.000842654
0.293384,0.157817,0.000997861
0.283451,0.159162,0.000952231
0.305309,0.215302,0.00099126
0.340699,0.265871,0.000906307
0.363215,0.320499,0.000774478
0.347426,0.296868,0.000789659
0.33254,0.290192,0.000737579
0.321837,0.285945,0.000701192
0.319053,0.270775,0.000699106
0.318075,0.255559,0.000622512
0.307805,0.226166,0.000572239
0.316492,0.218383,0.000472328
0.316665,0.216418,0.000450466
0.285734,0.233581,0.000408016
0.245063,0.252628,0.000384909
0.218712,0.274298,0.000460609
0.210486,0.296893,0.000554502
0.225024,0.292245,0.000515048
0.237653,0.295311,0.000432504
0.238863,0.312278,0.000366002
0.25774,0.33092,0.000318822
0.246427,0.297616,0.00040513
0.232289,0.290832,0.000324371
0.22325,0.307668,0.000251776
0.228883,0.385096,0.00019334
0.232798,0.439238,0.000149588
0.226366,0.470184,0.000103639
0.227612,0.487588,7.49288e-005
0.266494,0.406695,7.32803e-005
0.281304,0.368088,5.75478e-005
0.297529,0.339879,4.64276e-005
0.309612,0.321415,3.52261e-005
0.320813,0.290172,3.1822e-005
0.332481,0.263132,4.33406e-005
0.337799,0.227531,6.02565e-005
0.341531,0.221287,9.62895e-005
0.344407,0.217103,0.000121983
0.346241,0.214309,0.000139998
0.346426,0.215038,0.000152149
0.346923,0.215012,0.000161106
0.339472,0.208012,0.000141843
0.332974,0.211996,0.000118109
0.321995,0.230818,0.000145749
0.31291,0.340751,0.000172245
0.306609,0.418318,0.000190588
0.295841,0.45685,0.000181027
0.288285,0.505484,0.000162621
0.282983,0.539611,0.000149705
0.291956,0.41646,0.00013905
0.288098,0.329943,0.000114116
0.291957,0.262394,0.000103751
0.294703,0.278291,8.5774e-005
0.294274,0.269952,7.24601e-005
0.305434,0.269444,7.51784e-005
0.315804,0.261337,8.69608e-005
0.31184,0.256705,7.96833e-005
0.309058,0.252829,7.49152e-005
0.305837,0.2419,7.89727e-005
0.308287,0.233194,8.158e-005
0.307761,0.220809,9.09813e-005
0.30467,0.222284,0.000106826
0.306308,0.239584,9.32318e-005
0.293569,0.200775,0.000144449
0.298262,0.185281,0.000182991
0.295135,0.157917,0.000269827
0.29454,0.137427,0.000317888
0.294123,0.124377,0.000316545
0.290059,0.125641,0.000345993
0.285791,0.125476,0.000383869
0.28287,0.126094,0.00037767
0.283432,0.128753,0.000372921
0.283716,0.158651,0.000463982
0.281781,0.170707,0.00040723
0.281288,0.179184,0.000367285
0.281126,0.185616,0.000337516
0.278437,0.184721,0.000349302
0.274012,0.174923,0.000303694
0.234205,0.161911,0.000278045
0.201231,0.159135,0.000224407
0.207289,0.149249,0.000247688
0.169577,0.155398,0.0002029
0.163425,0.158851,0.000180107
0.143948,0.159716,0.000135838
0.167057,0.171706,0.000100343
0.192158,0.153143,7.83003e-005
0.194612,0.171999,6.4104e-005
0.19133,0.192967,5.77107e-005
0.181207,0.284392,5.3559e-005
0.17552,0.311328,4.78971e-005
0.168146,0.294726,4.14781e-005
0.164184,0.312856,3.66023e-005
0.160816,0.325579,3.28526e-005
0.193166,0.310519,2.59851e-005
0.219878,0.245873,2.82943e-005
0.228211,0.201421,4.00519e-005
0.229421,0.173459,5.45188e-005
0.238033,0.154521,4.92468e-005
0.235448,0.1405,7.11598e-005
0.237405,0.134011,9.08391e-005
0.237583,0.130266,0.00010457
0.235169,0.12657,0.000116047
0.220781,0.192906,0.00011217
0.213501,0.189245,0.000113919
0.208246,0.188232,0.000114944
0.203583,0.242886,0.000103459
0.201727,0.235099,8.69655e-005
0.200205,0.225037,7.95196e-005
0.199393,0.217934,7.3553e-005
0.198714,0.224196,6.05344e-005
0.212237,0.203586,8.03945e-005
0.25988,0.182822,0.000148262
0.279717,0.145493,0.000477462
0.307488,0.130895,0.000812658
0.321899,0.129015,0.000633551
0.328239,0.173106,0.000514391
0.321227,0.2005,0.00066822
0.321384,0.18814,0.00113287
0.299915,0.204984,0.00227081
0.291197,0.214991,0.00402008
0.302446,0.211181,0.00532831
0.292736,0.218656,0.00870479
0.288866,0.291962,0.00978358
0.299708,0.316055,0.0107798
0.287154,0.286757,0.0162327
0.277185,0.322704,0.0234032
0.265443,0.418589,0.0266033
0.265943,0.485801,0.0315363
0.269456,0.540056,0.0368287
0.259044,0.597441,0.0412549
0.251224,0.638738,0.0477532
0.244945,0.662309,0.045522
0.248081,0.636829,0.050513
0.251147,0.627402,0.0581913
0.237385,0.602493,0.0668993
0.23665,0.576431,0.0730144
0.224857,0.57469,0.0715867
0.215055,0.555737,0.0691414
0.204296,0.541623,0.0691262
0.190766,0.526149,0.0733832
0.176195,0.524164,0.0752571
0.196472,0.507072,0.0748051
0.21175,0.526409,0.0703444
0.230049,0.562012,0.0652057
0.259869,0.573712,0.0688458
0.261497,0.587756,0.071194
0.276932,0.512622,0.0741153
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.239669,0.214847,0.0109469
0.242098,0.181592,0.0126701
0.254174,0.14614,0.00793655
0.251717,0.138484,0.00528126
0.263725,0.128147,0.00387945
0.284971,0.145873,0.00285448
0.280985,0.141015,0.00229769
0.277058,0.147667,0.00189745
0.274425,0.152128,0.00162906
0.275173,0.154598,0.00159157
0.278545,0.156307,0.00153651
0.288491,0.160431,0.00122826
0.282556,0.164497,0.00104945
0.24938,0.180556,0.00137496
0.24481,0.193011,0.00130504
0.237428,0.189157,0.00154378
0.237802,0.175812,0.00238742
0.233025,0.168928,0.00226874
0.244905,0.178378,0.00204805
0.272208,0.16954,0.00159091
0.291293,0.163323,0.00126856
0.303195,0.211414,0.00123907
0.304299,0.218668,0.00127734
0.305918,0.22337,0.00129143
0.321735,0.247789,0.00345009
0.327867,0.251421,0.00406178
0.333292,0.278284,0.00449444
0.322014,0.248129,0.00410923
0.318736,0.229258,0.00459677
0.323501,0.222324,0.00487628
0.291303,0.299559,0.00436507
0.264937,0.357106,0.00704514
0.254274,0.387588,0.00792574
0.249329,0.424742,0.00819801
0.255574,0.334195,0.0140513
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.309917,0.712558,0.00180374
0.309917,0.712558,0.00180374
0.317451,0.686677,0.0026158
0.327501,0.667006,0.00376673
0.319695,0.648134,0.00421828
0.310784,0.680811,0.00327086
