AU02,AU04cand,Smile_v2
0.429752,0.0269367,0.000204247
0.429752,0.0269367,0.000204247
0.437285,0.0252665,0.000153326
0.518929,0.0267423,0.000144976
0.485389,0.032645,0.000141459
0.568723,0.0325018,0.000141295
0.623032,0.0323895,0.000195114
0.636425,0.0834562,0.00024973
0.61455,0.07472,0.00078694
0.54255,0.0810283,0.000862218
0.606644,0.0797971,0.00125822
0.659235,0.0740686,0.00199566
0.674413,0.0556179,0.00306622
0.646488,0.0466662,0.00688494
0.575526,0.0679561,0.0110761
0.553478,0.0697225,0.0151248
0.503698,0.073089,0.0148547
0.487162,0.0720249,0.0169228
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.524793,0.0596522,0.00104553
0.517509,0.0553116,0.000970886
0.522712,0.0782865,0.00263736
0.645565,0.0719829,0.00226905
0.695729,0.0718711,0.00249066
0.741407,0.0794204,0.0018795
0.748913,0.0831593,0.00138474
0.749913,0.0916837,0.00113879
0.773724,0.0936957,0.000959963
0.774688,0.102377,0.000851297
0.786462,0.128698,0.00104281
0.778333,0.109332,0.00465362
0.766135,0.0899402,0.123083
0.753587,0.177352,0.351032
0.735068,0.169937,0.280507
0.672164,0.161876,0.300594
0.624804,0.162429,0.434588
0.623415,0.136724,0.38794
0.6002,0.116851,0.347367
0.593237,0.1107,0.333729
0.612211,0.127379,0.423317
0.636158,0.129162,0.440098
0.682341,0.191367,0.387952
0.714785,0.232104,0.347169
0.718804,0.250521,0.341746
0.700208,0.204483,0.292795
0.630148,0.149558,0.207058
0.587685,0.11297,0.181727
0.575014,0.102132,0.138456
0.531593,0.083581,0.105431
0.504234,0.0921469,0.0711647
0.478396,0.0797948,0.0513439
0.468306,0.0768673,0.0391108
0.448531,0.0671686,0.0301525
0.435207,0.0664361,0.0316199
0.454444,0.0667979,0.0324421
0.459442,0.0603366,0.040405
0.476691,0.0540376,0.0544664
0.531476,0.0509125,0.0759917
0.537907,0.0625573,0.107083
0.50169,0.105167,0.225833
0.428224,0.0852049,0.268805
0.371338,0.074979,0.460854
0.317825,0.069237,0.436527
0.308201,0.0618529,0.334366
0.433923,0.0816209,0.245024
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.72314,0.0645766,0.0804006
0.677003,0.0832123,0.0522185
0.743231,0.129002,0.0348346
0.787388,0.132375,0.0303415
0.811825,0.147826,0.0215825
0.801381,0.115186,0.0168357
0.800124,0.0940199,0.0137266
0.79537,0.0921741,0.0119964
0.797325,0.076777,0.0158712
0.777075,0.0688317,0.0193326
0.735599,0.0617489,0.01436
0.686884,0.0475735,0.0108662
0.680315,0.0442913,0.0104596
0.675413,0.042398,0.0100912
0.671972,0.0407336,0.00998787
0.685452,0.0922222,0.0115946
0.685878,0.0906318,0.0117366
0.68121,0.0909141,0.0142311
0.709521,0.10278,0.0206224
0.728743,0.0916016,0.0296819
0.702419,0.104098,0.0262016
0.728963,0.0865685,0.0247882
0.680737,0.0793553,0.0203035
0.64055,0.094758,0.0163987
0.65297,0.0914121,0.0176997
0.696787,0.0912143,0.0304317
0.619895,0.103138,0.0355115
0.561008,0.113654,0.0404571
0.523846,0.136079,0.0502788
0.501615,0.145123,0.0800368
0.48719,0.150882,0.101208
0.458012,0.140254,0.0996898
0.448333,0.133833,0.0915278
0.453149,0.11856,0.139164
0.457892,0.106085,0.135858
0.460191,0.11506,0.142837
0.472544,0.12082,0.163544
0.453432,0.109577,0.134437
0.439875,0.101243,0.113825
0.464524,0.0881931,0.112084
0.415814,0.0713472,0.0976212
0.468464,0.0583464,0.132832
0.498806,0.0504891,0.183975
0.514688,0.0502183,0.165655
0.530837,0.0523802,0.154322
0.532014,0.0476578,0.131434
0.552929,0.0437261,0.109382
0.597609,0.0483401,0.0838933
0.649271,0.0558767,0.0969156
0.679453,0.0640932,0.0783817
0.691118,0.0955952,0.0717072
0.696805,0.095498,0.0665506
0.685747,0.0896483,0.0661519
0.670518,0.0822146,0.0574513
0.652069,0.0828838,0.0571781
0.657188,0.0886441,0.0534988
0.674156,0.0875294,0.0811416
0.69918,0.0885962,0.331077
0.736461,0.10679,0.490935
0.742459,0.129167,0.628064
0.754614,0.168553,0.733708
0.763144,0.196834,0.807814
0.740375,0.189466,0.871417
0.677651,0.189212,0.914663
0.654168,0.215259,0.946026
0.656216,0.213544,0.969452
0.671212,0.208192,0.985606
0.669906,0.220625,0.990489
0.662056,0.198411,0.992479
0.616515,0.173694,0.992911
0.571644,0.19903,0.973424
0.533812,0.214722,0.961579
0.529689,0.223069,0.890008
0.483727,0.227562,0.813489
0.496585,0.242983,0.671346
0.526636,0.289093,0.476744
0.582861,0.318464,0.33717
0.616298,0.280637,0.233095
0.612018,0.220309,0.157262
0.61146,0.206773,0.105252
0.631746,0.21238,0.0685191
0.647434,0.205824,0.0423875
0.679396,0.160548,0.0286422
0.698033,0.133673,0.0176185
0.707249,0.11851,0.0185546
0.708014,0.110472,0.0653909
0.691021,0.106999,0.0815905
0.67928,0.106239,0.0931353
0.643923,0.0959105,0.108679
0.638117,0.0981787,0.169444
0.619492,0.113831,0.158748
0.606386,0.131192,0.133192
0.609259,0.141601,0.111611
0.611422,0.148765,0.0965289
0.601589,0.162692,0.0993389
0.617684,0.19439,0.092767
0.647227,0.218578,0.106368
0.670496,0.222087,0.0978031
0.687633,0.205179,0.0974231
0.690221,0.170378,0.0751246
0.701326,0.143918,0.0596798
0.692618,0.126672,0.0533665
0.691217,0.12873,0.0837114
0.705466,0.115693,0.0886135
0.720873,0.0972197,0.0929381
0.733561,0.100231,0.0840271
0.757183,0.0927422,0.134748
0.796534,0.0867638,0.222814
0.808914,0.0803918,0.289247
0.81278,0.113283,0.34905
0.826661,0.12539,0.384146
0.807683,0.140444,0.328313
0.766293,0.155539,0.240203
0.673341,0.141988,0.172172
0.620662,0.118433,0.125528
0.567122,0.121746,0.0901176
0.550691,0.14268,0.0677435
0.454722,0.188335,0.0511244
0.387821,0.22045,0.0393236
0.34737,0.225715,0.0300968
0.3085,0.25731,0.0303488
0.275723,0.283818,0.0261106
0.259878,0.308555,0.0254742
0.250597,0.350321,0.024861
0.242447,0.347969,0.0344
0.252438,0.344521,0.0354237
0.26898,0.307318,0.0303793
0.295705,0.390009,0.0302427
0.325883,0.366253,0.0320305
0.354492,0.266105,0.0396214
0.369783,0.199685,0.0421382
0.401006,0.155572,0.0349436
0.4075,0.120167,0.0302588
0.422211,0.0945496,0.0427625
0.455419,0.0740539,0.0456051
0.485897,0.0579067,0.0382722
0.495565,0.0511286,0.0298866
0.48548,0.045486,0.0235647
0.467918,0.0499276,0.0194295
0.441411,0.0533264,0.01582
0.453423,0.0846175,0.0123501
0.480304,0.111806,0.0129902
0.497069,0.109977,0.0128274
0.542812,0.18114,0.0143036
0.564094,0.204249,0.0184206
0.590231,0.313114,0.0215973
0.608903,0.389402,0.0239248
0.621213,0.344093,0.0233752
0.626336,0.314524,0.0235395
0.630336,0.295465,0.0237349
0.630991,0.280329,0.0207285
0.6309,0.272801,0.0163045
0.63091,0.264882,0.0142759
0.628655,0.23916,0.0127956
0.628636,0.239945,0.0128099
0.625754,0.217885,0.0112691
0.623731,0.202406,0.0101878
0.617271,0.191496,0.00908731
0.582383,0.211893,0.00660136
0.568057,0.189651,0.00461431
0.558041,0.180737,0.00323823
0.543397,0.173215,0.00236811
0.533121,0.18476,0.00185501
0.533563,0.178578,0.00157985
0.513527,0.175947,0.00152798
0.523659,0.16187,0.00235581
0.523152,0.158765,0.00253352
0.479785,0.15853,0.00594918
0.476893,0.154329,0.0105814
0.478378,0.149689,0.0145712
0.5175,0.152774,0.0208421
0.517247,0.155894,0.0272799
0.546265,0.183034,0.029819
0.596872,0.169295,0.0521213
0.591081,0.145101,0.0485411
0.609168,0.152044,0.0446329
0.617003,0.145296,0.0392152
0.621211,0.141598,0.0332924
0.623393,0.139097,0.029073
0.618466,0.133257,0.0305639
0.60756,0.145159,0.0280112
0.59183,0.154324,0.0296627
0.581217,0.15743,0.0272471
0.585581,0.172758,0.025936
0.587318,0.182953,0.0249315
0.611993,0.187128,0.0245669
0.615491,0.216514,0.0220702
0.618019,0.237103,0.0203769
0.594406,0.243109,0.0192291
0.614832,0.260438,0.0179535
0.603961,0.258563,0.0173499
0.566126,0.287399,0.0149986
0.583967,0.29486,0.015146
0.532651,0.332849,0.013886
0.509409,0.357607,0.0204591
0.486056,0.338211,0.047825
0.476419,0.329121,0.0705404
0.476004,0.349525,0.0893044
0.505643,0.315507,0.194775
0.529184,0.298643,0.328311
0.564208,0.260314,0.448541
0.593475,0.231868,0.598606
0.625419,0.197185,0.710149
0.649672,0.17189,0.788458
0.668861,0.212077,0.826931
0.68124,0.185057,0.846696
0.688474,0.216781,0.840485
0.68575,0.181079,0.876222
0.702034,0.183478,0.889985
0.709543,0.261597,0.823654
0.688909,0.354568,0.780534
0.65528,0.427268,0.789368
0.657972,0.503813,0.717134
0.659861,0.557524,0.675427
0.671268,0.525129,0.619612
0.658999,0.442452,0.531582
0.685969,0.389365,0.582072
0.703845,0.348535,0.574381
0.715837,0.325643,0.609039
0.697706,0.325116,0.614048
0.685718,0.323665,0.617441
0.674049,0.344255,0.576647
0.665089,0.343597,0.554356
0.658802,0.343135,0.538455
0.66679,0.361411,0.529633
0.685677,0.36485,0.547105
0.711864,0.330045,0.576359
0.712505,0.353041,0.510988
0.738343,0.324916,0.565038
0.767399,0.268658,0.62747
0.710357,0.211205,0.546362
0.702175,0.199415,0.458842
0.691356,0.179334,0.428304
0.682494,0.150323,0.355765
0.678448,0.131844,0.299892
0.6562,0.12788,0.246359
0.642724,0.13226,0.212386
0.638859,0.136441,0.184577
0.635413,0.132984,0.145059
0.650471,0.139612,0.167015
0.653124,0.153701,0.21552
0.670569,0.146706,0.236461
0.658839,0.13648,0.236604
0.645568,0.122949,0.22199
0.636181,0.114503,0.337731
0.654264,0.124321,0.39743
0.656724,0.137951,0.43766
0.658304,0.144253,0.465196
0.64291,0.151709,0.4882
0.616362,0.138966,0.443758
0.596757,0.145155,0.414577
0.582523,0.149962,0.394507
0.554192,0.161495,0.322713
0.542076,0.233131,0.299438
0.524688,0.307032,0.253113
0.515597,0.332903,0.219804
0.501895,0.398682,0.219657
0.479587,0.435167,0.197769
0.468219,0.479606,0.217643
0.496226,0.411902,0.18814
0.425789,0.366137,0.169874
0.382711,0.338354,0.164768
0.344148,0.312607,0.182174
0.315598,0.295183,0.188528
0.293283,0.403171,0.261754
0.278784,0.453647,0.342702
0.26883,0.487682,0.398832
0.274907,0.55446,0.509035
0.258751,0.478939,0.524497
0.363167,0.356248,0.642219
0.42762,0.275972,0.688012
0.41935,0.210245,0.649995
0.50266,0.166415,0.6075
0.53196,0.140016,0.682606
0.564018,0.111625,0.731019
0.561089,0.206729,0.71211
0.529838,0.20589,0.77837
0.516428,0.177987,0.835354
