AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.252066,0.168492,0.0023151
0.145221,0.186611,0.00381099
0.141184,0.181819,0.00795808
0.113252,0.183131,0.00617928
0.126016,0.160835,0.00485984
0.147717,0.155948,0.00390366
0.18169,0.163647,0.00417826
0.197446,0.174708,0.00619615
0.191298,0.205849,0.0108125
0.207426,0.170358,0.0143889
0.20551,0.251573,0.0228434
0.20959,0.226842,0.0234456
0.211865,0.209694,0.0237967
0.225473,0.218961,0.023494
0.226708,0.222487,0.0285203
0.218321,0.195433,0.0307242
0.199192,0.264439,0.0455876
0.185952,0.23201,0.0385231
0.182217,0.218656,0.0407985
0.152352,0.236938,0.0374365
0.144456,0.364244,0.0344826
0.159115,0.366137,0.0336539
0.163055,0.373105,0.0297474
0.220071,0.331213,0.0962946
0.224758,0.405536,0.119128
0.230843,0.461622,0.13401
0.234211,0.494729,0.13962
0.222611,0.466971,0.130873
0.211785,0.448136,0.130698
0.207499,0.448675,0.113057
0.185084,0.481756,0.0909367
0.168767,0.501423,0.0971042
0.167656,0.489256,0.118977
0.200839,0.549261,0.110272
0.188341,0.533405,0.0964903
0.182036,0.546097,0.0894546
0.204305,0.509872,0.0818028
0.207642,0.504066,0.0688547
0.217673,0.569282,0.0776629
0.227178,0.597872,0.0672726
0.234398,0.616889,0.060264
0.24835,0.579165,0.0432633
0.212149,0.649947,0.0325398
0.197142,0.677367,0.0333083
0.16229,0.663963,0.0301606
0.154262,0.648867,0.0238433
0.136433,0.653786,0.0178388
0.12429,0.656715,0.0138559
0.142206,0.563723,0.0114519
0.129316,0.503818,0.0115067
0.119002,0.473334,0.0124112
0.0911977,0.548586,0.0106147
0.0730098,0.537232,0.00801807
0.0675328,0.5294,0.00573774
0.0644244,0.574091,0.00404954
0.0579575,0.635163,0.00291672
0.0639053,0.65772,0.00230349
0.0680788,0.627146,0.00195719
0.074044,0.64761,0.00241886
0.080234,0.611273,0.00462218
0.104924,0.600002,0.00571543
0.122837,0.642117,0.00592925
0.122713,0.675304,0.00582683
0.128752,0.63841,0.00514945
0.115219,0.606118,0.00439327
0.107102,0.604041,0.00424492
0.120153,0.488852,0.00449717
0.115348,0.514878,0.0054101
0.111866,0.532005,0.00602955
0.114464,0.53524,0.00517155
0.103005,0.580071,0.00430302
0.0987721,0.567478,0.0037475
0.101247,0.548159,0.00346805
0.111685,0.526545,0.00304681
0.105561,0.56088,0.00329253
0.0974193,0.544213,0.00288977
0.0962323,0.59461,0.00255904
0.0881874,0.564201,0.00190248
0.114276,0.51887,0.00139655
0.100702,0.465429,0.00139497
0.12074,0.437125,0.00118015
0.13469,0.418495,0.00102837
0.110059,0.454819,0.00078203
0.106481,0.49942,0.000671308
0.0992974,0.472593,0.000544091
0.0880198,0.466344,0.000440667
0.11804,0.525251,0.00109597
0.146943,0.510596,0.00173697
0.154881,0.505543,0.00212206
0.125827,0.507643,0.00254232
0.109672,0.52716,0.00280643
0.127532,0.429976,0.00279985
0.144864,0.403941,0.00241898
0.149006,0.370713,0.00202627
0.167292,0.355967,0.00175719
0.148572,0.404945,0.00141848
0.133065,0.429529,0.00116516
0.135927,0.451714,0.00196202
0.135726,0.553135,0.00160898
0.108688,0.555399,0.00132953
0.0882994,0.510097,0.00125953
0.0718781,0.438242,0.00111402
0.0665918,0.453676,0.00101087
0.0631028,0.464923,0.000942077
0.0627524,0.456634,0.00117465
0.0951592,0.505347,0.00146011
0.116667,0.536314,0.00174634
0.135162,0.606135,0.00192881
0.154561,0.615479,0.00316346
0.174059,0.631309,0.00322056
0.197933,0.594797,0.00416922
0.191873,0.59889,0.00458123
0.179821,0.59099,0.00519729
0.186596,0.592181,0.0043752
0.203971,0.546168,0.0037387
0.207628,0.612397,0.00297344
0.201345,0.603474,0.00237235
0.21079,0.533837,0.00236659
0.217233,0.486048,0.00233128
0.215261,0.449319,0.00224178
0.221199,0.472484,0.00165613
0.213333,0.485616,0.00121729
0.19788,0.4495,0.000959627
0.194211,0.482834,0.000871
0.18873,0.480669,0.000758659
0.178758,0.470438,0.000687533
0.158055,0.500618,0.000695614
0.154548,0.479536,0.00155776
0.16605,0.516628,0.00131287
0.151456,0.575686,0.000970914
0.148611,0.609501,0.000753401
0.146982,0.633296,0.000601794
0.17152,0.613414,0.00047401
0.215175,0.537213,0.000435681
0.234457,0.444361,0.000470041
0.2304,0.387272,0.000401109
0.238112,0.339661,0.000384295
0.231769,0.273634,0.000464717
0.251031,0.298603,0.000424054
0.242361,0.374272,0.00045806
0.233517,0.457641,0.000413148
0.238736,0.441299,0.000474745
0.261973,0.42288,0.000688043
0.262275,0.438174,0.000677185
0.238699,0.48368,0.000557611
0.239173,0.496849,0.000539864
0.239211,0.506279,0.00052645
0.23576,0.51158,0.000471834
0.202175,0.471222,0.00037383
0.191964,0.455931,0.000319632
0.154408,0.469125,0.000285951
0.120107,0.532484,0.000310746
0.0992586,0.531153,0.000281458
0.140922,0.518852,0.000263581
0.186088,0.481694,0.000303352
0.208418,0.492969,0.000334913
0.231703,0.487119,0.000302285
0.204994,0.5059,0.000433383
0.185865,0.467281,0.000473428
0.14034,0.555284,0.000664697
0.109277,0.616318,0.000798842
0.105471,0.542104,0.00131471
0.0887277,0.450941,0.00210045
0.0804396,0.382009,0.00234685
0.0767217,0.392463,0.00617634
0.0680231,0.428709,0.00781569
0.065507,0.478346,0.0063393
0.070068,0.458048,0.00615805
0.0847295,0.439965,0.00613296
0.0832424,0.420465,0.00698119
0.0821988,0.39824,0.00590857
