AU02,AU04cand,Smile_v2
0.512397,0.208528,0.0730396
0.512397,0.208528,0.0730396
0.512397,0.208528,0.0730396
0.512397,0.208528,0.0730396
0.522794,0.211481,0.0700092
0.52907,0.213264,0.0681799
0.530368,0.216876,0.0632062
0.531221,0.219248,0.0599408
0.531792,0.220839,0.0577511
0.532181,0.22192,0.0562618
0.532626,0.222789,0.0550808
0.549441,0.234184,0.0509593
0.563778,0.242375,0.046916
0.556067,0.249345,0.0447834
0.565632,0.249764,0.0448861
0.563458,0.249707,0.0462839
0.560737,0.254566,0.0484582
0.553749,0.253244,0.0494275
0.553924,0.259994,0.0486958
0.576895,0.264394,0.046371
0.586667,0.268359,0.0453705
0.590508,0.274494,0.0464021
0.569012,0.277664,0.047591
0.564597,0.277626,0.0546995
0.561058,0.277726,0.0596435
0.558832,0.275829,0.0613725
0.556038,0.274312,0.0633661
0.558032,0.274689,0.0664086
0.558015,0.287012,0.0670557
0.558611,0.284951,0.0682684
0.563021,0.293558,0.070158
0.561111,0.282664,0.0691711
0.557931,0.281633,0.074286
0.556674,0.278935,0.0774341
0.557062,0.27967,0.0810619
0.570028,0.279044,0.0797556
0.575355,0.277585,0.0777091
0.578982,0.276524,0.0762259
0.577756,0.275832,0.0779981
0.579398,0.276586,0.0735514
0.571555,0.260319,0.064647
0.537002,0.244623,0.0694752
0.500136,0.256173,0.0647972
0.465345,0.237696,0.0837027
0.429471,0.203186,0.108038
0.391237,0.165987,0.175585
0.365787,0.130927,0.231962
0.354276,0.114408,0.386681
0.34377,0.0954648,0.511924
0.342672,0.0847495,0.625252
0.321848,0.0723709,0.719136
0.308081,0.0638228,0.784696
0.293711,0.071439,0.812765
0.269921,0.0953201,0.826876
0.287831,0.165348,0.818335
0.271571,0.212474,0.807362
0.26901,0.221562,0.817792
0.272106,0.211513,0.807409
0.287046,0.228745,0.808315
0.318925,0.256671,0.805101
0.341883,0.276421,0.802435
0.352915,0.270602,0.753071
0.349378,0.248913,0.715656
0.325722,0.20644,0.700705
0.315746,0.184167,0.656032
0.305783,0.171563,0.616648
0.302343,0.143416,0.568477
0.297243,0.130619,0.561362
0.314877,0.125674,0.518625
0.322818,0.11411,0.510872
0.322043,0.096758,0.410576
0.331801,0.101989,0.421972
0.338979,0.106157,0.430065
0.361142,0.121351,0.361459
0.357433,0.136706,0.310291
0.352402,0.153591,0.319508
0.344954,0.157964,0.369189
0.34107,0.160649,0.378646
0.361838,0.171815,0.354969
0.376521,0.179871,0.337714
0.388277,0.173955,0.307336
0.416543,0.196411,0.230842
0.452879,0.191323,0.187769
0.480437,0.184741,0.15865
0.481285,0.201751,0.122421
0.484492,0.202797,0.106303
0.486853,0.203764,0.093758
0.488473,0.203755,0.0844119
0.482565,0.206032,0.0764474
0.468264,0.215257,0.070475
0.459462,0.219473,0.0648052
0.460313,0.215007,0.0641521
0.459164,0.221681,0.0657737
0.469709,0.223357,0.0846078
0.464965,0.213068,0.0975678
0.461563,0.206157,0.106355
0.478216,0.193135,0.112346
0.500057,0.200507,0.114125
0.513028,0.203291,0.116601
0.512268,0.21518,0.114528
0.519315,0.208248,0.11819
0.524039,0.203575,0.120707
0.517235,0.204648,0.121492
0.512131,0.191658,0.113341
0.500031,0.189264,0.109757
0.501695,0.18767,0.105536
0.489618,0.199297,0.103248
0.48085,0.206979,0.101714
0.468424,0.223857,0.0972277
0.475231,0.211608,0.0921948
0.470901,0.192756,0.0946684
0.462785,0.169469,0.108112
0.440883,0.150564,0.104417
0.435669,0.144758,0.0955808
0.424651,0.149972,0.102939
0.424242,0.15328,0.0985849
0.424322,0.15524,0.0955103
0.419301,0.161015,0.0942892
0.412153,0.159586,0.156845
0.423199,0.163567,0.189398
0.402011,0.148358,0.299199
0.4076,0.129901,0.333452
0.420886,0.116252,0.323719
0.423567,0.104916,0.298578
0.405359,0.0870639,0.218478
0.401248,0.0723776,0.166603
0.418673,0.0735633,0.130577
0.433586,0.0739239,0.105345
0.432736,0.0819712,0.0893017
0.422777,0.118731,0.0762273
0.372205,0.138593,0.0806336
0.360249,0.155456,0.102347
0.349064,0.214784,0.108226
0.337591,0.24472,0.107978
0.373286,0.244478,0.0987677
0.417117,0.257902,0.0980236
0.446016,0.260378,0.0835032
0.46876,0.257957,0.0767571
0.496475,0.268272,0.0696439
0.518718,0.277039,0.0666741
0.517841,0.303906,0.0642343
0.506372,0.307745,0.0947224
0.49459,0.295221,0.130068
0.502935,0.2886,0.14787
0.520234,0.317166,0.144325
0.512782,0.332772,0.155899
0.516475,0.339319,0.156067
0.518993,0.344034,0.156086
0.507736,0.340383,0.138311
0.497224,0.326968,0.128107
0.501787,0.33657,0.11548
0.491319,0.348973,0.101653
0.49297,0.346943,0.0922174
0.511422,0.329162,0.109003
0.517655,0.327584,0.110253
0.514964,0.319908,0.114963
0.524243,0.335636,0.137125
0.552333,0.319892,0.145347
0.569873,0.317968,0.130021
0.567022,0.330884,0.12707
0.572307,0.336453,0.133196
0.576419,0.340209,0.137611
0.565085,0.353358,0.125616
0.578196,0.355998,0.13267
0.577425,0.363734,0.127405
0.574566,0.349268,0.128631
0.567151,0.337989,0.131134
0.551169,0.348693,0.123662
0.540028,0.355945,0.119045
0.522496,0.360121,0.112531
0.509973,0.363136,0.107727
0.501186,0.368339,0.110118
0.522081,0.340797,0.136613
0.525963,0.33592,0.141763
0.53279,0.351452,0.123917
0.537653,0.362931,0.111248
0.557715,0.37037,0.102519
0.574625,0.3571,0.124997
0.573797,0.355555,0.1212
0.57224,0.353665,0.124656
0.571148,0.352338,0.127082
0.55388,0.374767,0.117029
0.549877,0.351867,0.0992989
0.547362,0.33978,0.0915066
0.536601,0.330771,0.0852161
0.541744,0.329852,0.0815612
0.53599,0.328382,0.0824274
0.543303,0.335658,0.0827814
0.55261,0.336706,0.0821094
0.551561,0.324217,0.0922039
0.549556,0.327589,0.103193
0.556243,0.327048,0.109749
0.560677,0.327812,0.114638
0.538402,0.32702,0.124138
0.528106,0.326004,0.126176
0.519245,0.326155,0.12755
0.513284,0.326285,0.128414
0.530349,0.315667,0.118554
0.552369,0.309809,0.112844
0.549,0.308409,0.120778
0.558098,0.307048,0.119771
0.555375,0.310875,0.120939
0.553465,0.31356,0.121758
0.552859,0.315968,0.136175
0.551018,0.315163,0.149792
0.538338,0.31057,0.160408
0.534518,0.308255,0.169663
0.526136,0.305177,0.172698
0.528845,0.303235,0.173634
0.524951,0.308022,0.178623
0.521888,0.311381,0.182311
0.51111,0.31658,0.183796
0.504816,0.319558,0.18164
0.514363,0.299622,0.171329
0.499519,0.287691,0.16636
0.513552,0.279195,0.161272
0.523252,0.275498,0.156569
0.530206,0.272954,0.153378
0.544983,0.277647,0.157079
0.547919,0.280322,0.1592
0.54998,0.290975,0.158594
0.556761,0.301305,0.156966
0.561482,0.308572,0.155917
0.564391,0.300445,0.156395
0.55944,0.300561,0.15412
0.567962,0.29929,0.156063
0.558709,0.290566,0.158567
0.552217,0.286922,0.159893
0.548636,0.286397,0.176703
0.545075,0.287189,0.183407
0.538768,0.288127,0.193085
0.534195,0.2887,0.199912
0.528448,0.294915,0.19981
0.523145,0.300667,0.198878
0.524723,0.309033,0.196845
0.528001,0.314635,0.200103
0.530742,0.316988,0.198014
0.540282,0.318202,0.196866
0.546939,0.31899,0.195596
0.547839,0.322474,0.198507
0.552389,0.318439,0.20342
0.553043,0.313175,0.208909
0.548498,0.304791,0.190756
0.537729,0.300419,0.1777
0.530025,0.307055,0.179146
0.524546,0.305924,0.178642
0.520702,0.305182,0.178414
0.515245,0.299829,0.184093
0.511416,0.30051,0.185263
0.510108,0.300132,0.189689
0.507811,0.306218,0.192439
0.507542,0.308746,0.191685
0.507501,0.310651,0.191796
0.51023,0.313592,0.197988
0.505799,0.316359,0.204753
0.506498,0.319748,0.206239
0.50318,0.323422,0.207233
0.499656,0.33238,0.187898
0.50353,0.339039,0.178322
0.498595,0.341348,0.167667
0.500247,0.347629,0.159258
0.508985,0.340432,0.157428
0.520195,0.342438,0.151873
0.530526,0.343929,0.147548
0.531612,0.337647,0.145558
0.536072,0.342152,0.148832
0.536773,0.343329,0.151301
0.537301,0.343974,0.153609
0.538758,0.337138,0.157548
0.526037,0.324162,0.146695
0.518234,0.319948,0.145241
0.515076,0.292593,0.168958
0.511444,0.269718,0.179933
0.508822,0.253662,0.187642
0.484317,0.26546,0.241053
0.474628,0.279708,0.302329
0.480597,0.300617,0.328375
0.484785,0.308987,0.34188
0.504188,0.305234,0.356236
0.505514,0.300578,0.371013
0.506408,0.297166,0.381205
0.527272,0.286979,0.430711
0.5191,0.279954,0.447588
0.499403,0.283656,0.433944
0.488781,0.285299,0.426576
0.47603,0.288476,0.393606
0.466715,0.290391,0.37096
0.450024,0.309982,0.347345
0.416255,0.339996,0.307345
0.436085,0.357672,0.300535
