AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.644628,0.0154806,0.0898459
0.661626,0.0125899,0.0960328
0.629395,0.0130982,0.124791
0.656546,0.0164227,0.160482
0.671571,0.0157018,0.188698
0.691839,0.0154284,0.183917
0.712792,0.0139492,0.207224
0.684641,0.0129585,0.193225
0.67862,0.0108752,0.175809
0.674525,0.00945821,0.163963
0.685917,0.0102391,0.123196
0.687306,0.00905764,0.0929395
0.687747,0.00806811,0.0715803
0.68964,0.00728747,0.0554296
0.697315,0.00692453,0.0426591
0.696059,0.00627717,0.0323243
0.687342,0.00608303,0.0230948
0.705249,0.00594691,0.0187782
0.730141,0.00672776,0.0198609
0.737453,0.00672635,0.0255835
0.753603,0.0074337,0.0493101
0.74481,0.00722756,0.0764374
0.738677,0.00718832,0.0948652
0.736838,0.00670355,0.120733
0.732826,0.00722025,0.258801
0.730194,0.00759405,0.35574
0.712066,0.00872457,0.457733
0.699953,0.00838972,0.545407
0.691086,0.00813056,0.606816
0.657232,0.00738534,0.668064
0.635685,0.00721077,0.732149
0.630038,0.00688056,0.797849
0.634962,0.00650518,0.836834
0.618033,0.0062073,0.874726
0.62146,0.00597485,0.881208
0.614979,0.00572134,0.88611
0.615987,0.00521486,0.759735
0.583653,0.00518442,0.614239
0.560965,0.00516305,0.512143
0.487462,0.00487959,0.443863
0.476431,0.00433881,0.390175
0.507783,0.00383476,0.313027
0.52191,0.00369869,0.278296
0.532411,0.00360459,0.25361
0.558379,0.00341395,0.334479
0.581935,0.00333515,0.440969
0.591971,0.00376672,0.536237
0.598699,0.00398757,0.606124
0.611037,0.00437212,0.646779
0.613767,0.00467743,0.674106
0.599276,0.00475988,0.706243
0.627318,0.0044724,0.753447
0.644678,0.00520503,0.806216
0.656859,0.00571912,0.843245
0.69532,0.00523477,0.858832
0.712006,0.00543043,0.854514
0.728977,0.00701274,0.876522
0.739652,0.00889909,0.89594
0.732959,0.00876872,0.898146
0.720867,0.0075581,0.906457
0.733133,0.00845986,0.901802
0.727908,0.00829183,0.868309
0.723045,0.00741754,0.877949
0.719633,0.00680405,0.884714
0.684622,0.00588731,0.888704
0.660349,0.00522849,0.891904
0.587318,0.00442634,0.900728
0.588152,0.00451981,0.910408
0.525673,0.00503684,0.908265
0.46682,0.00578006,0.920156
0.417318,0.00677542,0.93201
0.394374,0.00734743,0.940215
0.391005,0.0125524,0.725915
0.398795,0.0109439,0.802855
0.363291,0.00998789,0.851578
0.389153,0.00911405,0.893978
0.431765,0.00762318,0.921408
0.405577,0.00668436,0.93745
0.389038,0.00591352,0.952371
0.421031,0.00584641,0.960621
0.424661,0.00562492,0.968468
0.435764,0.0056544,0.97501
0.458419,0.00508701,0.98514
0.448635,0.00462171,0.981997
0.449329,0.00443138,0.980403
0.450885,0.00427956,0.978614
0.485589,0.00436226,0.978452
0.512789,0.00442568,0.975606
0.531876,0.00447309,0.973511
0.528788,0.00510119,0.972905
0.528441,0.00569608,0.975229
0.527941,0.00610829,0.97683
0.56523,0.00626348,0.968147
0.587053,0.00637577,0.962308
0.58822,0.00709844,0.958924
0.587696,0.0078862,0.957516
0.590144,0.00795412,0.954858
0.571515,0.00746704,0.954187
0.550827,0.00659805,0.961135
0.555792,0.00628453,0.958938
0.559239,0.0060602,0.957316
0.571813,0.00536075,0.964397
0.579533,0.0048742,0.969651
0.596522,0.00473574,0.968817
0.58346,0.00479516,0.969498
0.600988,0.00461185,0.972539
0.613177,0.00449712,0.974721
0.643898,0.00442068,0.976879
0.656789,0.00438906,0.978343
0.681785,0.00436226,0.978113
0.694248,0.00421053,0.978948
0.702699,0.00411974,0.979296
0.70863,0.00405604,0.97954
0.683265,0.00450627,0.981738
0.683972,0.00480117,0.984221
0.687505,0.00492004,0.986214
0.673483,0.00526662,0.988175
0.664288,0.00541412,0.989933
0.658093,0.00566362,0.99087
0.654537,0.00565553,0.991284
0.655998,0.00571227,0.991645
0.657022,0.00575209,0.991898
0.650125,0.00481564,0.993345
0.656285,0.00448674,0.991241
0.661363,0.00392923,0.992302
0.658469,0.00336768,0.993112
0.663262,0.00301858,0.993853
0.658973,0.00269281,0.993886
0.659772,0.00305227,0.991844
0.662834,0.00317482,0.991165
0.655987,0.00324604,0.99004
0.618179,0.00304912,0.98967
0.632489,0.0031272,0.99022
0.646044,0.00312957,0.990197
0.65552,0.00314071,0.990106
0.661083,0.00328624,0.990271
0.668611,0.00351567,0.990257
0.667767,0.00371312,0.989985
0.668334,0.00363049,0.990942
0.663581,0.00367007,0.991639
0.660503,0.00369822,0.992148
0.647874,0.0035876,0.99197
0.607372,0.00343824,0.988379
0.595343,0.00348094,0.986311
0.583094,0.0036108,0.984259
0.58469,0.0037054,0.985794
0.5857,0.00376806,0.986875
0.577707,0.00385429,0.987882
0.561907,0.00378719,0.985399
0.562391,0.00376195,0.986571
0.56273,0.00374423,0.987393
0.568377,0.00399443,0.984331
0.570682,0.00434427,0.979896
