AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.285124,0.558396,0.907758
0.275411,0.542114,0.95815
0.219571,0.508647,0.965541
0.193315,0.492911,0.969016
0.226316,0.426152,0.970397
0.239237,0.40824,0.973088
0.252831,0.343012,0.979266
0.268304,0.302056,0.98162
0.274823,0.283051,0.984879
0.269102,0.267469,0.988297
0.266265,0.244245,0.989914
0.241573,0.308919,0.988561
0.231621,0.333158,0.983755
0.214484,0.40419,0.97411
0.200013,0.464753,0.926175
0.190043,0.508819,0.851199
0.1829,0.54121,0.798466
0.16501,0.624436,0.737545
0.152567,0.682594,0.694748
0.114934,0.761079,0.580614
0.0935673,0.813,0.472665
0.0779663,0.856991,0.398511
0.0681048,0.890614,0.330272
0.0614787,0.912644,0.28257
0.0555966,0.920542,0.247611
0.0501997,0.931562,0.2183
0.0476821,0.936216,0.21622
0.0412054,0.941779,0.229615
0.0341219,0.947627,0.224554
0.0350739,0.948546,0.210486
0.0355949,0.936558,0.212333
0.0359973,0.926349,0.20881
0.0387816,0.926922,0.235105
0.0407354,0.926933,0.259426
0.0396044,0.927307,0.296392
0.0451943,0.927414,0.247625
0.0541575,0.925747,0.203213
0.0517084,0.921897,0.182148
0.0526021,0.923846,0.190121
0.0556209,0.929921,0.185103
0.0488537,0.929877,0.245544
0.0529907,0.929447,0.305188
0.0494733,0.930364,0.359483
0.0482745,0.92764,0.400092
0.0487762,0.930404,0.407653
0.0451364,0.94042,0.388902
0.041166,0.947662,0.376423
0.0411759,0.951205,0.325342
0.0449175,0.95795,0.275585
0.0462001,0.960194,0.228259
0.0435492,0.963636,0.194527
0.0414319,0.96019,0.174327
0.0363217,0.959777,0.161332
0.0428541,0.949132,0.171718
0.0461318,0.95221,0.166226
0.0472726,0.950476,0.15545
0.0493792,0.942216,0.159284
0.0495146,0.944643,0.155956
0.0507688,0.939093,0.162586
0.0529549,0.943422,0.160954
0.0533298,0.940799,0.163157
0.0485154,0.94633,0.196608
0.0515941,0.94957,0.193886
0.05473,0.955099,0.198617
0.0607753,0.956632,0.206648
0.0612459,0.958577,0.209465
0.0564619,0.961552,0.218706
0.0518723,0.96598,0.232021
0.0511538,0.970351,0.247759
0.0468048,0.973833,0.267794
0.0399817,0.976858,0.282132
0.0340715,0.979951,0.297405
0.0297406,0.982138,0.308879
0.0253955,0.983618,0.301915
0.0336606,0.984225,0.296535
0.0408398,0.98516,0.294703
0.040947,0.986097,0.294905
0.0423283,0.977383,0.290245
0.0470322,0.97302,0.284737
0.042827,0.969811,0.298431
0.0476026,0.964264,0.318976
0.0471823,0.959112,0.327757
0.0468873,0.955787,0.314118
0.0467171,0.953452,0.304976
0.0488057,0.947135,0.308024
0.0476959,0.950143,0.312786
0.047064,0.952245,0.316078
0.0465839,0.959774,0.285615
0.0486756,0.964325,0.284973
0.0490943,0.966583,0.286527
0.0491677,0.968263,0.2873
0.0467907,0.965354,0.336331
0.0425841,0.965788,0.367531
0.0370935,0.969301,0.404121
0.0318979,0.969824,0.439478
0.0308643,0.971331,0.440888
0.0276003,0.973592,0.442861
0.02531,0.97501,0.445198
0.0236293,0.978387,0.413344
0.0212174,0.980478,0.421666
0.0195249,0.981945,0.427506
0.0184108,0.982333,0.429227
0.0189719,0.984963,0.430773
0.019439,0.986142,0.458646
0.0172648,0.987759,0.471148
0.0169351,0.988417,0.500496
0.0167772,0.980115,0.439332
0.0166664,0.97429,0.396414
0.0153193,0.972049,0.368795
0.0144108,0.970731,0.371417
0.0150426,0.963277,0.392128
0.0142166,0.963404,0.389427
0.0148696,0.957867,0.41117
0.0165972,0.957686,0.439652
0.0191523,0.954548,0.444728
0.0209085,0.955735,0.442119
0.0183327,0.962804,0.418876
0.0177947,0.96718,0.421497
0.0174538,0.970196,0.423292
0.018484,0.970957,0.435598
0.0191702,0.974321,0.425085
0.0209578,0.97356,0.434742
0.0221754,0.973128,0.440016
0.0204544,0.973114,0.45118
0.0204793,0.975275,0.462076
0.0192274,0.975623,0.45354
0.020998,0.975298,0.442751
0.0196649,0.975399,0.438691
0.0199988,0.975709,0.455142
0.0201964,0.975967,0.466347
0.0190656,0.974262,0.47182
0.0169661,0.974533,0.472918
0.0167622,0.976338,0.471126
0.0166926,0.977594,0.469641
0.0166071,0.974917,0.484857
0.0216612,0.975635,0.50432
0.0200568,0.972493,0.515651
0.0190044,0.970772,0.527445
0.0169599,0.973268,0.517347
0.0155252,0.975426,0.50689
0.0196327,0.971179,0.495911
0.020013,0.970342,0.487088
0.0202431,0.973046,0.475842
0.0216739,0.975899,0.463781
0.0226779,0.975059,0.470701
0.0232355,0.974395,0.475316
0.0237737,0.972033,0.476782
0.0241513,0.969574,0.471685
0.0244531,0.967741,0.468623
0.0233954,0.9669,0.489423
0.0250451,0.965767,0.499199
0.0338923,0.955226,0.489153
0.0299455,0.955331,0.507079
0.0284086,0.955018,0.493591
0.0362158,0.942545,0.48099
0.0328085,0.948382,0.492413
0.031687,0.951768,0.492485
0.0321694,0.954551,0.503463
0.0312385,0.956232,0.500459
0.040777,0.955478,0.487855
0.0473967,0.95497,0.479154
0.0416664,0.955108,0.479443
0.0354006,0.953924,0.465417
0.0309672,0.953103,0.456333
0.0314071,0.952966,0.467507
0.031973,0.956457,0.4724
0.031064,0.96056,0.471385
0.0278506,0.964838,0.484317
0.0269019,0.967342,0.486064
0.0246729,0.965426,0.496675
0.0256476,0.964313,0.519482
0.0228173,0.965583,0.53236
0.0209048,0.966395,0.538549
0.0195627,0.966264,0.529431
0.0185108,0.96617,0.522527
0.0177727,0.966529,0.507666
0.0185608,0.966753,0.535895
0.017918,0.966508,0.536449
0.023777,0.964014,0.537603
0.0228475,0.964114,0.535894
0.0284687,0.962614,0.535361
0.0325233,0.961501,0.535072
0.030291,0.961689,0.544151
0.0287246,0.959843,0.550078
