AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.173554,0.207071,0.241993
0.173554,0.207071,0.241993
0.16602,0.241191,0.217848
0.162478,0.257234,0.206496
0.159033,0.24755,0.222877
0.158353,0.238742,0.218283
0.153884,0.222736,0.258671
0.127378,0.215035,0.299241
0.109603,0.209871,0.326446
0.0975137,0.206358,0.34495
0.0846538,0.192947,0.355216
0.07563,0.183537,0.362419
0.0719837,0.176458,0.393106
0.069425,0.171491,0.414639
0.0879762,0.151067,0.337018
0.0920714,0.143497,0.239526
0.0887083,0.151282,0.167708
0.0870098,0.156666,0.116919
0.0845485,0.160969,0.0806811
0.0828214,0.163987,0.0552532
0.079181,0.191119,0.0375094
0.0855121,0.171537,0.0293313
0.0797262,0.149347,0.0261349
0.0769356,0.141567,0.0233531
0.075659,0.127367,0.025402
0.0750204,0.133632,0.0257084
0.0874496,0.129351,0.0262247
0.0961712,0.126346,0.0265871
0.0832875,0.131394,0.0260026
0.0805937,0.118066,0.0278462
0.09274,0.12781,0.0281581
0.0743492,0.145663,0.0417245
0.0820481,0.17699,0.0630239
0.0721814,0.189663,0.117692
0.065221,0.198823,0.156015
0.0679532,0.22189,0.152292
0.0631561,0.24919,0.15014
0.0762917,0.217275,0.151924
0.0936764,0.191313,0.189586
0.0803042,0.170209,0.164233
0.0806717,0.147295,0.140044
0.0982028,0.158008,0.0991596
0.0908762,0.160835,0.069197
0.0772904,0.145048,0.0509504
0.0791814,0.174752,0.0367978
0.0726718,0.179067,0.0263908
0.0670182,0.183172,0.0188312
0.0625735,0.18753,0.0134312
0.0643117,0.179595,0.00889482
0.0649968,0.17544,0.00856461
0.0651836,0.156344,0.00908835
0.0724533,0.150156,0.00920715
0.0882605,0.163759,0.0089646
0.0831078,0.172647,0.00980926
0.0728147,0.182817,0.010164
0.0696205,0.192945,0.00984326
0.0585303,0.179984,0.00875629
0.0596339,0.173063,0.00778843
0.0653387,0.194771,0.00698335
0.0643011,0.173357,0.0062315
0.0597649,0.177297,0.00617683
0.0677858,0.167737,0.00684477
0.0731201,0.160513,0.00732369
0.0874957,0.153743,0.0068728
0.101575,0.146315,0.00755054
0.108806,0.116348,0.0100984
0.135716,0.114387,0.0130004
0.159419,0.116688,0.0134067
0.194945,0.127212,0.012217
0.220021,0.135657,0.0113864
0.19076,0.116969,0.0120397
0.16482,0.156094,0.0162186
0.158042,0.136458,0.0151305
0.158069,0.143104,0.0197255
0.175749,0.131521,0.0259507
0.171727,0.12754,0.0217186
0.163203,0.128423,0.0195586
0.171037,0.122916,0.0188356
0.206448,0.11245,0.0200184
0.209717,0.101416,0.0234828
0.182906,0.103884,0.0185629
0.187087,0.10071,0.0146299
0.184614,0.10545,0.0126452
0.205579,0.0983122,0.0134363
0.189312,0.0760169,0.0181048
0.159334,0.101054,0.0230218
0.144793,0.11265,0.0244551
0.12276,0.132162,0.0211205
0.125459,0.158178,0.0231143
0.138132,0.173885,0.0249132
0.156792,0.156149,0.0208393
0.167955,0.124526,0.0249422
0.137854,0.118684,0.0255214
0.149074,0.0924404,0.0265551
0.159099,0.136606,0.0259839
0.171762,0.141422,0.0227663
0.193157,0.132658,0.0255884
0.208501,0.126184,0.0276936
0.223795,0.134923,0.0367287
0.215191,0.167995,0.0336639
0.172086,0.168118,0.0307994
0.168532,0.170031,0.0263276
0.164602,0.173845,0.0245938
0.146925,0.181698,0.0237792
0.126869,0.190971,0.0228525
0.113918,0.212077,0.0186781
0.119695,0.213244,0.0162159
0.108516,0.215471,0.0129841
0.108141,0.184206,0.00944228
0.097005,0.158703,0.00713618
0.105489,0.153448,0.00572516
0.11067,0.149724,0.00480046
0.11184,0.148601,0.00435286
0.106719,0.143962,0.00342561
0.105885,0.133956,0.00300804
0.10907,0.14001,0.00276034
0.115943,0.149028,0.00244792
0.121206,0.155315,0.00227223
0.109446,0.152265,0.00217204
0.106602,0.16663,0.00208844
0.0990883,0.167577,0.00221594
0.0950852,0.166384,0.00194942
0.0961578,0.168553,0.00214761
0.113596,0.170824,0.00205332
0.119412,0.151152,0.00172542
0.123383,0.136957,0.00149704
0.100635,0.161009,0.00262981
0.0973664,0.157906,0.00407327
0.105669,0.15555,0.00629031
0.111347,0.163511,0.0073867
0.100247,0.165823,0.00802351
0.0822657,0.165576,0.0105855
0.0746156,0.161768,0.0118024
0.0687698,0.159078,0.0126636
0.0623128,0.178695,0.0116403
0.0603206,0.162452,0.0112259
0.0863142,0.165351,0.0116828
0.0965704,0.152896,0.0106248
0.103473,0.150585,0.0136091
0.108317,0.148672,0.0157165
0.117234,0.16589,0.0189297
0.125055,0.160911,0.0205528
0.131665,0.15907,0.0200362
0.133765,0.130607,0.0214274
0.135311,0.112536,0.0218535
0.136323,0.100725,0.0221438
0.143878,0.111728,0.0181445
0.1494,0.119885,0.0153775
0.146927,0.106414,0.0129601
0.146462,0.114905,0.0118419
0.151066,0.129755,0.0102176
0.170762,0.123793,0.00802833
0.189623,0.111764,0.00634612
0.16612,0.130856,0.00459691
0.172476,0.134474,0.00320158
0.159165,0.126561,0.00254582
0.139449,0.133231,0.00260435
0.130692,0.137065,0.00412476
0.104421,0.134956,0.00576668
0.101182,0.120774,0.00539514
0.0987627,0.11055,0.00515728
0.104203,0.129766,0.00527851
0.109144,0.129366,0.0067607
0.107329,0.123195,0.00690713
0.116818,0.109624,0.00725921
0.122722,0.104301,0.0104297
0.115734,0.0995261,0.0101377
0.128455,0.108397,0.0102967
0.137969,0.114777,0.0103919
0.151821,0.100779,0.0138943
0.141231,0.155448,0.0150789
0.139926,0.150175,0.0166361
0.152936,0.140084,0.0354551
0.150825,0.135228,0.0421619
0.159168,0.125609,0.0523799
0.16506,0.118747,0.0594651
0.169524,0.135407,0.0789882
0.17595,0.136139,0.0868534
0.172844,0.120555,0.137487
0.159019,0.125538,0.147488
0.149906,0.127167,0.154543
