AU02,AU04cand,Smile_v2
0.107438,0.921013,0.025728
0.107438,0.921013,0.025728
0.101788,0.850864,0.0192331
0.0909958,0.84047,0.0166344
0.0954206,0.84412,0.0149951
0.0980916,0.822154,0.0148953
0.0984438,0.846342,0.0137634
0.0999847,0.855441,0.0139654
0.142159,0.868965,0.0131299
0.156881,0.877854,0.012356
0.184021,0.88664,0.0110619
0.206874,0.893624,0.00992215
0.212865,0.883031,0.00829855
0.214714,0.887362,0.0079785
0.219562,0.892551,0.00802738
0.205193,0.8797,0.00825218
0.191339,0.895999,0.00791711
0.18412,0.907335,0.0085705
0.144875,0.912029,0.0102604
0.132973,0.905543,0.0120372
0.13049,0.906001,0.0113818
0.134985,0.891982,0.011477
0.1232,0.884156,0.0108852
0.12389,0.881228,0.00947043
0.119186,0.892015,0.00792046
0.112592,0.904121,0.00863444
0.124577,0.880562,0.00881567
0.162109,0.873,0.0069645
0.197016,0.800998,0.00576428
0.218531,0.820919,0.00566115
0.197903,0.826127,0.0119763
0.165472,0.839631,0.0179078
0.13808,0.847652,0.015675
0.131294,0.853124,0.0148963
0.12668,0.85659,0.0143658
0.105781,0.869145,0.0137447
0.105871,0.836017,0.0160051
0.111436,0.834095,0.0290441
0.103697,0.832682,0.0400468
0.126265,0.854659,0.0493695
0.129167,0.865379,0.0498136
0.144412,0.871823,0.0518066
0.141293,0.872949,0.0552973
0.19332,0.890786,0.0534428
0.220941,0.901758,0.0487354
0.215451,0.908054,0.0442538
0.254316,0.920681,0.0548592
0.254747,0.923601,0.0539933
0.247764,0.927953,0.0519428
0.231901,0.90806,0.0517626
0.231328,0.902404,0.051267
0.230559,0.880736,0.0501992
0.267236,0.870178,0.0449975
0.293931,0.753108,0.0379633
0.283724,0.704651,0.0330189
0.307762,0.67458,0.025423
0.30434,0.700588,0.0185556
0.324289,0.686198,0.0152606
0.315659,0.745746,0.0115065
0.288318,0.780226,0.00913376
0.266301,0.823891,0.00702539
0.217847,0.815481,0.00609072
0.201822,0.850431,0.00472957
0.190504,0.878114,0.00387598
0.180868,0.853029,0.00478825
0.149107,0.86779,0.00511749
0.127371,0.876778,0.00538143
0.110225,0.864996,0.00586979
0.105202,0.890968,0.00624945
0.103571,0.898948,0.0069042
0.0974223,0.88865,0.00692475
0.108026,0.863117,0.00713198
0.12634,0.858214,0.00737216
0.16077,0.83902,0.0105409
0.149461,0.854751,0.0141893
0.14984,0.854295,0.0238004
0.1628,0.866623,0.0268952
0.208742,0.852382,0.0240418
0.247142,0.843503,0.0245246
0.234701,0.867576,0.0313876
0.226118,0.896536,0.0436747
0.228577,0.915823,0.0359037
0.212201,0.92071,0.0340244
0.193738,0.919489,0.0288086
0.16404,0.931954,0.0229475
0.151866,0.945467,0.0177411
0.142956,0.954584,0.0141934
0.153409,0.960894,0.0155976
0.133904,0.957834,0.0123791
0.120087,0.959053,0.012736
0.110391,0.959572,0.0127706
0.112216,0.96299,0.0139193
0.0987789,0.963312,0.0154233
0.0946109,0.964885,0.0192446
0.0883925,0.970361,0.0152249
0.0990042,0.954641,0.0151785
0.103912,0.93447,0.0168592
0.0827231,0.942632,0.0145709
0.077512,0.942549,0.0138979
0.0789696,0.9424,0.0130191
0.0812617,0.928825,0.0174098
0.0914985,0.915044,0.019313
0.0991226,0.902604,0.0196136
0.0967093,0.899913,0.0167452
0.0951261,0.897885,0.0149282
0.106268,0.846007,0.0172295
0.102735,0.857752,0.0136701
0.107301,0.840721,0.0126407
0.114056,0.864986,0.0100327
0.151653,0.849962,0.00890751
0.167843,0.810963,0.00825962
0.17133,0.806737,0.00813029
0.145851,0.833711,0.00951561
0.138348,0.849209,0.0105749
0.139429,0.858383,0.0120402
0.147437,0.864694,0.0129754
0.138155,0.863947,0.0120709
0.136535,0.866937,0.0115773
0.113708,0.852471,0.0128975
0.132278,0.855592,0.0142691
0.127832,0.864119,0.0191061
0.133817,0.859483,0.0205273
0.155328,0.856775,0.0219647
0.135855,0.814149,0.0251269
0.157549,0.789736,0.0205521
0.143356,0.787539,0.0210158
0.145262,0.81231,0.0173153
0.147722,0.806412,0.0144798
0.128493,0.812844,0.0137181
0.140629,0.800483,0.0144651
0.131887,0.824013,0.0123016
0.122957,0.833709,0.0152663
0.146678,0.802904,0.0259296
0.124965,0.758775,0.0471119
0.117586,0.734444,0.0576315
0.0954815,0.66036,0.112857
0.0758321,0.683022,0.120563
0.0620073,0.699595,0.125978
0.0833957,0.729105,0.135385
0.0950938,0.748772,0.139278
0.107625,0.75935,0.126501
0.110145,0.724085,0.125264
0.144035,0.693808,0.144105
0.133412,0.694815,0.135817
0.119354,0.725091,0.144617
0.106196,0.777421,0.165543
0.100881,0.788702,0.189907
0.117461,0.817576,0.305883
0.128214,0.842751,0.439134
0.152334,0.845024,0.55249
0.156456,0.852678,0.631765
0.178572,0.873917,0.68553
0.209638,0.877197,0.716814
0.238812,0.888475,0.721892
0.23535,0.870654,0.675418
0.205104,0.882115,0.563906
0.187579,0.87995,0.513374
0.197542,0.834919,0.453911
0.179146,0.810571,0.422348
0.197494,0.834642,0.366993
0.204389,0.853213,0.326788
0.211215,0.847848,0.308332
0.209181,0.860532,0.28173
0.197414,0.86455,0.302854
0.189856,0.873119,0.410732
0.204401,0.863315,0.539455
0.176416,0.872387,0.636075
0.147232,0.854176,0.722344
0.207458,0.832753,0.765419
0.228491,0.816263,0.792249
0.265013,0.805359,0.782444
0.232176,0.817442,0.749569
0.213126,0.82926,0.723069
0.214015,0.831816,0.698337
0.228602,0.820734,0.685486
0.229402,0.81711,0.658747
0.2006,0.82147,0.617816
0.180647,0.825277,0.588578
0.175755,0.809129,0.569562
0.176719,0.791443,0.557507
0.170424,0.804655,0.560079
0.171504,0.826808,0.595771
0.167075,0.83993,0.61598
0.155946,0.866832,0.616443
0.152811,0.886108,0.62334
0.196565,0.852331,0.516038
0.237035,0.831348,0.457801
0.233698,0.839556,0.38041
0.241182,0.827067,0.304127
0.246322,0.818488,0.250565
0.342777,0.72686,0.233001
0.434468,0.594234,0.194738
0.517995,0.49804,0.175461
0.597136,0.439548,0.156146
0.636021,0.394873,0.167103
0.654369,0.348399,0.160691
0.6581,0.329233,0.181601
0.660367,0.299234,0.204474
0.662934,0.268873,0.239603
0.669812,0.236462,0.280026
0.673227,0.233393,0.309822
0.676194,0.271139,0.287051
0.667569,0.284838,0.258218
0.645698,0.272362,0.280382
0.604171,0.239743,0.245913
0.582868,0.222357,0.224688
0.568177,0.209765,0.209045
0.540134,0.216366,0.184214
0.525497,0.21175,0.162962
0.515079,0.208832,0.147593
0.501385,0.198373,0.136414
0.501894,0.175586,0.109951
0.488582,0.171979,0.0903843
0.470796,0.166337,0.0729822
0.450202,0.222082,0.0716415
0.432992,0.317607,0.053576
0.420915,0.430732,0.0457754
0.401531,0.446296,0.042255
0.367472,0.468663,0.0385947
0.361344,0.484109,0.0331669
0.345804,0.482727,0.0302874
0.34349,0.512098,0.0303255
0.32577,0.581623,0.0276001
0.330094,0.620991,0.0237888
0.327038,0.664861,0.0202032
0.337661,0.623738,0.0164707
0.346385,0.594601,0.0147313
0.342682,0.553464,0.0197468
0.330517,0.555574,0.0227932
0.324005,0.612468,0.0256812
0.328651,0.665316,0.0286148
0.348157,0.603718,0.0450968
0.362321,0.559069,0.0567431
0.359089,0.595199,0.0670295
0.351927,0.585516,0.0826778
0.352881,0.567003,0.109986
0.372555,0.600379,0.114423
0.377768,0.610752,0.105748
0.367757,0.638394,0.111284
0.360658,0.656187,0.115149
0.349073,0.644666,0.136627
0.323965,0.636089,0.142982
0.322848,0.536148,0.118718
0.316085,0.563628,0.10755
0.301331,0.555202,0.0971334
0.276831,0.616387,0.0885412
0.255281,0.639399,0.0853939
0.256918,0.675478,0.0723539
0.250854,0.705859,0.0629022
0.255485,0.742951,0.0595203
0.252571,0.767828,0.0543534
0.251004,0.785381,0.050968
0.232925,0.814291,0.0479635
0.249618,0.782323,0.0413715
0.274319,0.762864,0.0354235
0.289518,0.761994,0.0305473
0.314256,0.75073,0.0284335
0.315905,0.717861,0.027176
0.336322,0.688789,0.027283
0.321197,0.705795,0.0268561
0.326,0.676806,0.0290002
0.303982,0.686742,0.0364894
0.305512,0.693657,0.0370613
0.30574,0.699938,0.0375875
0.295378,0.725982,0.0349662
0.299605,0.742392,0.0337035
0.29582,0.719684,0.0310906
0.293605,0.704457,0.0292599
0.294038,0.711856,0.0274043
0.301534,0.718951,0.028886
0.320316,0.708262,0.0267198
0.336769,0.708348,0.0248086
0.34022,0.705732,0.0229408
0.32741,0.7089,0.0227222
0.318714,0.700772,0.0248042
0.313552,0.702819,0.0228427
0.301227,0.707364,0.023785
0.29004,0.705707,0.0226665
0.291002,0.711593,0.0222463
0.282608,0.719469,0.0241607
0.276314,0.725483,0.0255948
0.285786,0.725665,0.0261332
0.292654,0.725869,0.0265303
0.295375,0.699523,0.0267545
0.289668,0.692611,0.0279356
0.295782,0.645121,0.0322904
0.286366,0.630847,0.032362
0.279832,0.620971,0.0324638
0.29657,0.566631,0.0327417
0.359346,0.529692,0.038546
0.390703,0.494531,0.0457249
0.449114,0.446965,0.0409163
0.485024,0.394395,0.0432445
0.516642,0.386574,0.0404825
0.541588,0.397972,0.0407279
0.548643,0.390601,0.0490265
0.557807,0.425629,0.0592491
0.555351,0.434294,0.0647689
0.53904,0.360796,0.0989812
0.540088,0.326301,0.134009
0.52342,0.306324,0.19096
0.515736,0.278228,0.254719
0.548572,0.295089,0.286576
0.546042,0.314151,0.326421
0.536577,0.392217,0.352791
0.536576,0.341125,0.436093
0.481883,0.31559,0.450996
0.423451,0.364311,0.370906
0.382854,0.400841,0.313828
0.376811,0.473262,0.281556
0.361661,0.525951,0.231298
0.375001,0.489665,0.213144
0.378182,0.493881,0.197477
0.363378,0.537514,0.18445
0.329092,0.583945,0.207264
0.294695,0.581088,0.224337
0.292448,0.563616,0.230612
0.302883,0.587555,0.244982
0.297512,0.584628,0.248851
0.285466,0.634478,0.24371
0.234185,0.700952,0.282354
0.201311,0.759415,0.310725
0.216471,0.774982,0.324611
0.256819,0.780414,0.349602
0.205859,0.798305,0.35786
0.170394,0.804676,0.36658
0.152537,0.788575,0.359196
0.152369,0.782634,0.352476
0.138656,0.771722,0.342951
0.143217,0.795996,0.33194
0.147666,0.817649,0.303205
0.153217,0.806405,0.292804
0.163626,0.800722,0.279902
0.166277,0.816928,0.283995
0.162836,0.824234,0.279198
0.162959,0.822096,0.276341
0.162826,0.821204,0.274733
0.153479,0.825156,0.273945
0.146055,0.838411,0.294837
0.135365,0.83367,0.326583
0.141826,0.837645,0.353238
0.133592,0.844375,0.373075
0.135211,0.830224,0.408549
0.14915,0.797021,0.384401
0.148997,0.799088,0.380736
0.119621,0.801169,0.362041
0.0990074,0.80263,0.348923
0.113995,0.83778,0.31716
0.108048,0.865385,0.338879
0.0976741,0.877629,0.366357
0.0849134,0.890424,0.384384
0.0801346,0.878665,0.397032
0.0841771,0.83734,0.392961
0.075222,0.847852,0.377272
0.0870033,0.829932,0.318377
0.0961152,0.853649,0.289006
0.10124,0.846789,0.272353
0.107799,0.832783,0.263024
0.126842,0.826829,0.264544
0.123886,0.843486,0.297112
0.12196,0.855046,0.319997
0.121767,0.866168,0.329065
0.104909,0.875741,0.324138
0.098488,0.887553,0.338471
0.0909294,0.886587,0.327388
0.0868948,0.887598,0.295715
0.0879085,0.895079,0.265289
0.0834322,0.880517,0.271095
0.0722708,0.878897,0.239999
0.073802,0.881096,0.197694
0.0989944,0.880077,0.169898
0.119174,0.877923,0.151859
0.124926,0.876453,0.132016
0.126277,0.874392,0.137845
0.127298,0.873235,0.142586
0.127978,0.859095,0.155194
0.148655,0.872207,0.153924
0.130307,0.865813,0.140252
0.124,0.857975,0.131951
0.130741,0.8404,0.127395
0.115733,0.811621,0.112641
0.103858,0.794749,0.0960019
0.0945141,0.792454,0.0879244
0.0943775,0.787922,0.0723726
0.0942816,0.784742,0.0614598
0.133565,0.774702,0.0537461
0.154195,0.772448,0.0488569
0.168357,0.776068,0.0568505
0.185728,0.781022,0.0587172
0.191239,0.766028,0.0518593
0.202004,0.788509,0.0498965
0.195632,0.791101,0.0516748
0.18485,0.797222,0.0584844
0.174562,0.805989,0.067057
0.177498,0.811164,0.0781061
0.168265,0.833275,0.0876331
0.170855,0.833297,0.0942262
0.153668,0.798713,0.107601
0.141388,0.774378,0.117094
0.130416,0.786475,0.155029
0.12761,0.781608,0.293638
0.13747,0.786448,0.398898
0.144573,0.789712,0.472596
0.154707,0.793193,0.600495
0.164064,0.7962,0.679617
0.167115,0.80297,0.756873
0.182962,0.773559,0.825452
0.179401,0.755915,0.880684
0.150245,0.761256,0.92041
0.136206,0.771087,0.94892
0.1224,0.77344,0.965847
0.127614,0.761953,0.977925
0.131273,0.753892,0.9864
0.132424,0.774911,0.990202
0.124273,0.790669,0.993684
0.116125,0.808827,0.995388
0.111272,0.829017,0.996365
0.10323,0.854706,0.996907
0.0932817,0.859848,0.997563
0.0988106,0.853233,0.997869
0.0888374,0.864823,0.998241
0.0826677,0.878539,0.998463
0.0796077,0.881437,0.998505
0.0762279,0.891451,0.998598
0.0664973,0.902052,0.998635
0.0597427,0.898382,0.99865
0.0549662,0.895621,0.998655
0.0631859,0.885891,0.998421
0.060215,0.880923,0.998356
0.0539548,0.880953,0.9981
0.0486968,0.882506,0.997814
0.0437011,0.889457,0.997655
0.043967,0.90359,0.997887
0.0429209,0.918006,0.997843
0.0512929,0.91671,0.997556
0.0495513,0.928916,0.997266
0.0419824,0.923671,0.997462
0.0363407,0.920207,0.997606
0.0453327,0.894813,0.997836
0.0479445,0.895995,0.997799
0.049814,0.896767,0.997777
0.0511625,0.852926,0.997963
0.053268,0.834537,0.996782
0.0547821,0.821496,0.99596
0.0555874,0.84406,0.99552
0.0500261,0.85823,0.995779
0.0463074,0.874476,0.996002
0.047506,0.881853,0.996154
0.0429023,0.887441,0.99667
0.0410514,0.894087,0.996818
0.041022,0.890468,0.996561
0.039732,0.875642,0.996506
0.034982,0.8956,0.996321
0.0329182,0.904994,0.995371
0.0314701,0.910678,0.994701
0.0433313,0.91316,0.994349
0.0516543,0.912492,0.994118
0.0573844,0.913146,0.994289
0.0602828,0.907482,0.994368
0.0610106,0.907084,0.993556
0.0652926,0.919759,0.9933
0.068334,0.929046,0.993117
0.0642316,0.928674,0.992137
0.0689324,0.932823,0.991397
0.0709615,0.940026,0.99058
0.072018,0.936667,0.989612
0.0740288,0.935129,0.989836
0.0754397,0.933459,0.990879
0.0726584,0.918132,0.990675
0.0758209,0.907829,0.99039
0.0703137,0.894215,0.991953
0.0664492,0.885376,0.993334
0.0639212,0.880738,0.994208
0.0631962,0.882238,0.994733
0.0614549,0.883162,0.995268
0.0589636,0.885408,0.995342
0.0584481,0.891662,0.995255
0.0580864,0.894211,0.994982
0.0579428,0.895656,0.994759
0.0564257,0.901266,0.994912
0.0555815,0.907911,0.994957
0.0524505,0.913091,0.994701
0.0540615,0.912399,0.994911
0.0564246,0.905928,0.995309
0.0568502,0.900154,0.99569
0.0571855,0.892271,0.995552
0.0586535,0.895384,0.995245
0.0596835,0.902677,0.995311
0.0629451,0.89864,0.995568
0.0640011,0.89369,0.995524
0.0634727,0.889974,0.995133
0.0631754,0.888042,0.995061
0.0628566,0.892299,0.994723
0.0613268,0.90285,0.993896
0.0564819,0.905992,0.994201
0.0619679,0.904418,0.992899
0.0518176,0.912404,0.991146
0.0446951,0.917861,0.989909
0.037085,0.919727,0.991606
0.0355898,0.918266,0.99201
0.0358467,0.924799,0.990323
0.0385657,0.929741,0.987454
0.0455512,0.923592,0.985074
0.0555671,0.917559,0.982903
0.0639748,0.916063,0.981342
0.06454,0.928479,0.980528
0.0729569,0.92675,0.979212
0.078863,0.92466,0.962635
0.102121,0.880788,0.88781
0.104369,0.873264,0.783659
0.100831,0.834947,0.714994
0.107161,0.799797,0.657911
0.0898768,0.817103,0.647303
0.0776013,0.830405,0.610833
0.0689507,0.839663,0.585241
0.064297,0.845546,0.535761
0.0608109,0.857752,0.541322
0.0583648,0.86291,0.545025
0.0535585,0.871959,0.54567
0.0518594,0.881932,0.510612
0.0482754,0.892815,0.526905
0.048042,0.903723,0.521755
0.0497722,0.905936,0.485416
0.0522556,0.90912,0.493892
0.0527289,0.909867,0.4775
0.0682566,0.868614,0.458977
0.0804219,0.836416,0.423119
0.0953051,0.819458,0.352349
0.0969367,0.80636,0.329805
0.10693,0.789624,0.285673
0.105131,0.778182,0.285907
0.103795,0.770065,0.286559
0.115514,0.754364,0.242935
0.121162,0.749347,0.213019
0.116276,0.749083,0.182007
0.0959056,0.791598,0.157563
0.0815745,0.822664,0.121455
0.0751428,0.833058,0.148202
0.0708867,0.840382,0.166189
0.0752593,0.855562,0.185757
0.0811235,0.87034,0.212088
0.0788915,0.873047,0.218512
0.0680724,0.889899,0.1666
0.0630928,0.860998,0.136955
0.101745,0.826173,0.106989
0.09888,0.830987,0.0970056
0.084176,0.853254,0.102878
0.073748,0.869204,0.10553
0.0651612,0.896645,0.0878479
0.0589154,0.915616,0.0752639
0.0519205,0.930932,0.0677365
0.0586201,0.933227,0.0923763
0.0635784,0.934413,0.111337
0.0644455,0.927008,0.111601
0.0752659,0.925819,0.143211
0.086279,0.909742,0.127583
0.128647,0.851131,0.122158
0.131721,0.827876,0.136313
0.175803,0.801747,0.226028
