AU02,AU04cand,Smile_v2
0.177686,0.397856,0.0816762
0.177686,0.397856,0.0816762
0.172036,0.35854,0.0738011
0.205176,0.296353,0.0895312
0.205692,0.264882,0.0908676
0.214402,0.227032,0.102415
0.213211,0.191083,0.124333
0.222906,0.161104,0.127916
0.228121,0.144032,0.127102
0.244363,0.116505,0.13043
0.25113,0.100189,0.122019
0.263495,0.0949442,0.125799
0.262127,0.0953368,0.15257
0.248934,0.105096,0.148369
0.250272,0.113216,0.14351
0.258607,0.113369,0.140235
0.270987,0.126172,0.123973
0.270494,0.141138,0.111689
0.263838,0.157577,0.12127
0.271493,0.175909,0.116052
0.277012,0.18862,0.112714
0.288281,0.237937,0.112831
0.293943,0.262121,0.122466
0.275398,0.283393,0.113463
0.28621,0.275291,0.123361
0.266919,0.250855,0.142767
0.253199,0.271453,0.133471
0.245098,0.239892,0.149622
0.238327,0.249707,0.130749
0.235748,0.221709,0.138362
0.23013,0.189299,0.147453
0.236122,0.231178,0.117485
0.255633,0.258013,0.103141
0.30045,0.305264,0.0915447
0.302005,0.308298,0.0881073
0.292443,0.30907,0.0831835
0.285733,0.308509,0.0804029
0.282258,0.308966,0.0785218
0.27097,0.251496,0.113337
0.247744,0.195016,0.141985
0.231556,0.155753,0.161979
0.238943,0.145614,0.156863
0.241148,0.149634,0.150349
0.249429,0.17163,0.142023
0.256085,0.187957,0.136031
0.249662,0.189453,0.142835
0.245154,0.190503,0.14761
0.248302,0.197652,0.148816
0.249498,0.212953,0.148811
0.255856,0.191435,0.154218
0.251432,0.151571,0.157709
0.247776,0.123039,0.160743
0.247823,0.122588,0.173959
0.264138,0.130237,0.193964
0.264161,0.132399,0.187911
0.259431,0.141886,0.188492
0.253573,0.131252,0.231784
0.255625,0.129203,0.256448
0.257102,0.127515,0.27375
0.274494,0.129542,0.276282
0.286954,0.13168,0.278068
0.298237,0.149803,0.253116
0.294656,0.167346,0.253245
0.289127,0.140321,0.227019
0.285578,0.121451,0.209198
0.27181,0.103878,0.197444
0.262223,0.0920468,0.187954
0.273083,0.0933818,0.195284
0.283242,0.110427,0.177821
0.27466,0.119964,0.180145
0.264831,0.105678,0.179261
0.25786,0.0951727,0.1794
0.249491,0.0871801,0.197829
0.243692,0.0827029,0.211514
0.2447,0.103985,0.186792
0.24193,0.110808,0.164363
0.25268,0.123009,0.164578
0.254631,0.134588,0.142226
0.267352,0.114711,0.147387
0.275449,0.137268,0.164881
0.281241,0.153704,0.17723
0.278959,0.134516,0.163172
0.277467,0.121065,0.152763
0.270074,0.137411,0.157484
0.264739,0.145375,0.155038
0.261106,0.151201,0.153468
0.264536,0.173511,0.173567
0.259473,0.18027,0.162358
0.260668,0.206327,0.159366
0.262812,0.179704,0.170926
0.269394,0.181167,0.178149
0.276735,0.195128,0.19187
0.288233,0.196726,0.178008
0.291408,0.210764,0.184718
0.293635,0.220696,0.189623
0.307892,0.209267,0.18928
0.316443,0.243859,0.209069
0.304893,0.23511,0.228243
0.296641,0.228378,0.241539
0.290814,0.212104,0.226805
0.286578,0.200101,0.216492
0.288609,0.213245,0.211725
0.274619,0.228274,0.213021
0.28272,0.223091,0.21167
0.29602,0.217412,0.22223
0.304986,0.213818,0.229811
0.311314,0.210048,0.234532
0.29342,0.238389,0.23996
0.280864,0.258275,0.243769
0.25809,0.268454,0.228921
0.256073,0.294972,0.220212
0.260857,0.291942,0.22436
0.282426,0.236509,0.219164
0.2907,0.180325,0.264068
0.305171,0.143731,0.306028
0.289938,0.123687,0.348522
0.289404,0.110003,0.357845
0.296037,0.0984229,0.307385
0.298153,0.085605,0.266223
0.273386,0.077311,0.257141
0.269565,0.0626267,0.206926
0.254006,0.0540137,0.183952
0.243844,0.0673494,0.162059
0.22928,0.0722438,0.155534
0.218804,0.0755981,0.150643
0.223612,0.109135,0.173095
0.247001,0.124964,0.226277
0.26323,0.149538,0.261469
0.25692,0.2286,0.256503
0.260881,0.304947,0.252603
0.268333,0.250237,0.25094
0.273929,0.211816,0.249409
0.290513,0.188395,0.279516
0.302371,0.173023,0.33464
0.3145,0.164561,0.362215
0.315063,0.153564,0.394699
0.314871,0.174972,0.443012
0.313467,0.160361,0.476053
0.291417,0.149034,0.437408
0.275724,0.140482,0.410286
0.288683,0.135353,0.440271
0.305392,0.132051,0.483645
0.31675,0.129617,0.513183
0.342491,0.1661,0.502891
0.336325,0.141073,0.454475
0.311909,0.119484,0.429864
0.30874,0.100693,0.447618
0.314168,0.101593,0.454976
0.318602,0.102204,0.461954
0.306481,0.108299,0.450681
0.318857,0.139492,0.479985
0.30955,0.147393,0.489349
0.316982,0.151482,0.495789
0.315336,0.154852,0.495431
0.323764,0.175602,0.480022
0.309956,0.188373,0.502352
0.299863,0.198072,0.504714
0.306523,0.20959,0.520933
0.308658,0.21114,0.536742
0.306789,0.210163,0.572174
0.304853,0.208701,0.595919
0.302739,0.197865,0.651395
0.303391,0.156615,0.705634
0.297685,0.164484,0.713848
0.293423,0.133965,0.73466
0.292291,0.109704,0.733558
0.291496,0.0926609,0.73314
0.287995,0.075953,0.759014
0.280535,0.0706406,0.725086
0.27541,0.0669679,0.700588
0.280699,0.0650689,0.662228
0.274293,0.0798139,0.62196
0.273532,0.0896078,0.59483
0.278259,0.0997285,0.616973
0.285384,0.132507,0.612164
0.277654,0.176048,0.658582
0.268421,0.281663,0.687204
0.239167,0.261738,0.705488
0.218787,0.247576,0.719821
0.198139,0.249257,0.748726
0.180854,0.258289,0.768431
