AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.747934,0.598159,0.00841494
0.694511,0.744158,0.0379486
0.556892,0.632051,0.0256152
0.578422,0.414485,0.0419937
0.590337,0.294083,0.0510577
0.566736,0.412823,0.0718362
0.551735,0.48829,0.0850423
0.541887,0.537836,0.0937125
0.535283,0.571061,0.0995266
0.530791,0.593659,0.103481
0.525749,0.609275,0.107066
0.523019,0.618024,0.109135
0.523455,0.62726,0.111011
0.521813,0.637464,0.111827
0.520661,0.644624,0.112399
0.520661,0.644624,0.112399
0.520661,0.644624,0.112399
0.520661,0.644624,0.112399
0.520661,0.644624,0.112399
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.665289,0.817163,0.00593849
0.665289,0.817163,0.00593849
0.676589,0.804308,0.00689479
0.667258,0.786338,0.0420056
0.681404,0.733994,0.0295571
0.675945,0.729492,0.0229916
0.684584,0.708284,0.0224425
0.690255,0.699017,0.0257317
0.673488,0.658688,0.045758
0.6697,0.642383,0.0529817
0.662038,0.621645,0.0640932
0.632543,0.594457,0.0606215
0.630666,0.583095,0.0528744
0.651259,0.590037,0.0471831
0.658885,0.612826,0.0410436
0.664604,0.570105,0.0421459
0.691134,0.540184,0.032891
0.714828,0.517016,0.0258077
0.723157,0.499057,0.0257925
0.719895,0.466947,0.0393089
0.701251,0.499538,0.0521523
0.707907,0.515161,0.0802295
0.695525,0.519219,0.101626
0.683673,0.545678,0.097258
0.628574,0.54661,0.146776
0.612759,0.576248,0.143895
0.617502,0.59627,0.115504
0.60672,0.600845,0.144579
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.677686,0.902949,0.305367
0.670401,0.906186,0.37481
0.634171,0.859333,0.322125
0.592729,0.872315,0.28065
0.609899,0.834775,0.241626
0.604866,0.799487,0.18967
0.576106,0.734146,0.178217
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.549587,0.94757,0.219506
0.588439,0.889586,0.197169
0.612165,0.863836,0.18382
0.637965,0.866071,0.145332
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.690083,0.771219,0.0205451
0.690083,0.732633,0.021697
0.703266,0.762259,0.0208508
0.66716,0.760353,0.0248397
0.684311,0.687219,0.0175137
0.726858,0.576749,0.0127036
0.744482,0.535548,0.00984786
0.719384,0.525745,0.00746504
0.737266,0.460422,0.00654628
0.74689,0.40054,0.00604571
0.762948,0.372869,0.00518706
0.784371,0.373956,0.00469403
0.787722,0.354942,0.0036643
0.796106,0.357511,0.00271794
0.804879,0.432433,0.00214055
0.792419,0.429793,0.00224951
0.804243,0.403796,0.00168981
0.804683,0.443703,0.00138336
0.797652,0.493452,0.00109411
0.739479,0.573607,0.00242357
0.719981,0.633465,0.00280304
0.71616,0.683908,0.00589848
0.71254,0.695503,0.00530606
0.714931,0.695857,0.00570814
0.75204,0.672261,0.00627322
0.777325,0.630015,0.00855585
0.779247,0.602002,0.0267523
0.778315,0.610994,0.0378687
0.779113,0.567896,0.0482939
0.785025,0.571462,0.0402948
0.786009,0.605672,0.0438611
0.785137,0.603079,0.0365535
0.783293,0.574424,0.0308093
0.642221,0.59267,0.0289501
0.615825,0.667927,0.0257605
0.597339,0.721527,0.0234673
0.614004,0.727233,0.0209334
0.608001,0.716555,0.0210563
0.631677,0.659339,0.0184334
0.648181,0.659236,0.0179089
0.659835,0.658242,0.0172757
0.669319,0.656934,0.0166514
0.67728,0.650008,0.0157427
0.688177,0.610428,0.0143116
0.67846,0.57628,0.0118764
0.680527,0.579311,0.0110743
0.673516,0.58872,0.0119589
0.693229,0.590359,0.0127437
0.69356,0.633907,0.0129036
0.667135,0.600576,0.011986
0.629553,0.600429,0.0095186
0.603144,0.627233,0.00810891
0.602347,0.582809,0.00885146
0.616984,0.523699,0.00851171
0.61754,0.457918,0.00809099
0.629098,0.434253,0.0112136
0.646314,0.454362,0.0127511
0.658966,0.488929,0.0155108
0.661864,0.491825,0.0231405
0.653245,0.490499,0.0239371
0.68583,0.474104,0.0337488
0.680768,0.413768,0.0455861
0.676702,0.373265,0.0538426
0.660714,0.36358,0.0545229
0.656136,0.379925,0.0607757
0.656401,0.39803,0.0547141
0.655061,0.390267,0.0455033
0.596962,0.394117,0.0518898
0.640155,0.431413,0.0574725
0.607327,0.429055,0.0564041
0.647927,0.44253,0.0625186
0.66453,0.490634,0.05983
0.672373,0.480937,0.0635337
0.655395,0.522536,0.0543063
0.647106,0.560468,0.0517493
0.641179,0.5277,0.0445194
0.606592,0.502597,0.0415733
0.611902,0.420656,0.0328304
0.644937,0.37465,0.0256978
0.643298,0.355467,0.0230801
0.659315,0.351428,0.0215046
0.596029,0.341715,0.0197746
0.602505,0.370955,0.0226124
