AU02,AU04cand,Smile_v2
0.115702,0.310883,0.447942
0.115702,0.310883,0.447942
0.111936,0.344037,0.462989
0.110165,0.359626,0.470063
0.106214,0.375707,0.486786
0.0940311,0.381407,0.47789
0.0835974,0.373852,0.477466
0.0767474,0.368892,0.477189
0.0747252,0.377866,0.46347
0.0733499,0.38397,0.454139
0.0656736,0.365292,0.460179
0.0602871,0.352186,0.464417
0.0565809,0.342342,0.467097
0.0501721,0.345216,0.447907
0.0482873,0.358512,0.433342
0.0497606,0.37733,0.402948
0.0508679,0.39084,0.381478
0.0541836,0.417428,0.39092
0.05009,0.427094,0.410882
0.0434093,0.448677,0.415005
0.055407,0.463689,0.409405
0.0650951,0.465419,0.408956
0.0718934,0.469043,0.405303
0.0678883,0.478214,0.398701
0.0764288,0.396954,0.347275
0.0721933,0.348143,0.317141
0.0692212,0.313892,0.295995
0.0569073,0.29611,0.291929
0.050989,0.306785,0.356849
0.0456769,0.30724,0.400389
0.0541655,0.314813,0.414527
0.0562772,0.322621,0.44496
0.0590283,0.341922,0.47525
0.0447141,0.327094,0.489894
0.0368779,0.318175,0.504614
0.0392893,0.30521,0.546862
0.0397121,0.30306,0.592696
0.041572,0.276222,0.629619
0.0428036,0.257517,0.641804
0.044974,0.212024,0.660006
0.0435908,0.186537,0.667733
0.0465385,0.160184,0.670555
0.0587252,0.167817,0.669696
0.060138,0.157982,0.658439
0.0585171,0.161014,0.635306
0.0571593,0.163329,0.618145
0.0562433,0.164752,0.605635
0.0555638,0.166478,0.596709
0.055087,0.167666,0.590785
0.0547157,0.169442,0.586351
0.0545286,0.170496,0.5834
0.0542871,0.171479,0.581387
0.0436688,0.179226,0.589443
0.0364383,0.185125,0.59541
0.0314381,0.188978,0.600035
0.0266601,0.219676,0.59626
0.0233074,0.241218,0.593612
0.0209547,0.256334,0.591753
0.0193039,0.26694,0.590449
0.0181455,0.274383,0.589534
0.0173326,0.279606,0.588892
0.0167622,0.283271,0.588441
0.0166559,0.285616,0.587853
0.0165813,0.287261,0.587441
0.0241451,0.266131,0.600616
0.0320282,0.26166,0.613351
0.0299436,0.271005,0.640229
0.0297501,0.278721,0.646403
0.028345,0.272904,0.653867
0.0286284,0.269977,0.661111
0.0288273,0.282302,0.653558
0.0264281,0.315498,0.617524
0.0247446,0.338793,0.592238
0.0273714,0.359176,0.581218
0.025186,0.373282,0.553292
0.033734,0.391418,0.494785
0.041222,0.411691,0.452787
0.0464396,0.425882,0.423683
0.0539457,0.429529,0.435168
0.0579066,0.431376,0.467633
0.0619554,0.448154,0.461482
0.0788329,0.472693,0.44225
0.0894066,0.483087,0.436333
0.0941772,0.483275,0.434723
0.097635,0.483432,0.434166
0.0997675,0.483294,0.434899
0.101227,0.482969,0.435425
0.102251,0.48274,0.435795
0.111745,0.45729,0.41142
0.112097,0.422447,0.434348
0.104691,0.387262,0.443001
0.0990902,0.362182,0.44953
0.0913887,0.365801,0.420385
0.0911354,0.334478,0.418119
0.078264,0.31953,0.436023
0.0717708,0.306546,0.449549
0.0672145,0.297435,0.459039
0.0678255,0.306725,0.60196
0.0641889,0.313402,0.723831
0.0745145,0.316571,0.807195
0.0756336,0.274493,0.868598
0.0751495,0.28285,0.91155
0.0622263,0.307376,0.942818
0.0606273,0.310917,0.964139
0.0598727,0.296694,0.97852
0.0618084,0.278858,0.988608
0.0631668,0.266342,0.995686
0.0525854,0.238344,0.99561
0.0452706,0.213207,0.995391
0.0499253,0.22843,0.995611
0.0482978,0.219219,0.99613
0.0408457,0.230636,0.995073
0.0359838,0.23809,0.994327
0.0323519,0.235436,0.994018
0.0399582,0.230346,0.993592
0.037606,0.203517,0.993409
0.0384941,0.182559,0.993124
0.0407173,0.187729,0.993017
0.0435467,0.182551,0.991902
0.047777,0.183799,0.989915
0.0521617,0.179307,0.988291
0.0427285,0.194968,0.986101
0.0538803,0.186957,0.848555
0.0490119,0.171097,0.641467
0.042763,0.163137,0.476379
0.0411374,0.157609,0.356822
0.0640412,0.167683,0.271118
0.0838842,0.173248,0.218636
0.0673066,0.206711,0.346371
0.0581392,0.212811,0.454753
0.0478617,0.213782,0.588449
0.0422866,0.209827,0.6968
0.0353215,0.193894,0.779273
0.0358789,0.196964,0.842089
0.0274579,0.184296,0.883143
0.0214754,0.182443,0.910039
0.0267344,0.176158,0.921378
0.0239675,0.177417,0.933849
0.0317933,0.184025,0.933134
0.03975,0.182725,0.929019
0.0416353,0.197473,0.886766
0.0429216,0.20794,0.856697
0.0438976,0.201241,0.781654
0.0457049,0.21199,0.753716
0.0421527,0.214664,0.729875
0.0485458,0.25613,0.683802
0.046391,0.271627,0.636782
0.0577564,0.294952,0.606622
0.0654744,0.311129,0.585595
0.0746247,0.328373,0.505455
0.0811558,0.361982,0.470089
0.0768531,0.319171,0.435852
