AU02,AU04cand,Smile_v2
0.132231,0.0180513,0.0341001
0.132231,0.0180513,0.0341001
0.135998,0.0191687,0.0300866
0.144278,0.022745,0.0375298
0.125094,0.0262855,0.0331832
0.172303,0.0241915,0.0326947
0.226523,0.0258856,0.0354887
0.268668,0.023862,0.0471992
0.321357,0.0208529,0.0605289
0.347039,0.0175306,0.0877625
0.366741,0.0150391,0.0907381
0.398337,0.0142229,0.107717
0.403933,0.011735,0.111712
0.407713,0.00992033,0.114305
0.394451,0.0131577,0.136783
0.389949,0.0150867,0.160803
0.389937,0.0167032,0.163681
0.383397,0.0232756,0.154826
0.409845,0.021009,0.175726
0.428697,0.0212968,0.160563
0.427963,0.0207841,0.142722
0.435819,0.0276945,0.13055
0.441809,0.0325983,0.12224
0.463784,0.0282302,0.110427
0.473334,0.0218845,0.0925125
0.479852,0.0174448,0.0797017
0.484315,0.0143195,0.0711144
0.491439,0.0155163,0.0604141
0.503135,0.0158472,0.0472978
0.518959,0.0167273,0.0417929
0.540622,0.0154155,0.0378624
0.509868,0.0135294,0.0331185
0.511137,0.0116661,0.0283526
0.51659,0.0149905,0.0281216
0.499021,0.0198582,0.0271845
0.523504,0.0188312,0.0242946
0.514028,0.0309226,0.0216014
0.507268,0.0393046,0.0198558
0.520075,0.0395654,0.0190285
0.508532,0.0429374,0.0172796
0.500138,0.0336245,0.0195815
0.532382,0.0389065,0.0185493
0.498494,0.031552,0.0148772
0.512649,0.0263879,0.0138183
0.510513,0.0258479,0.0157639
0.507948,0.0255976,0.0171937
0.484072,0.0310435,0.0195879
0.467317,0.0348649,0.0212679
0.456316,0.0298506,0.0238375
0.487265,0.0273305,0.0281402
0.497557,0.0230748,0.0292501
0.499906,0.0225961,0.0432768
0.498093,0.0220354,0.0403744
0.524915,0.0220955,0.0405283
0.544103,0.0220465,0.0405594
0.561375,0.0353778,0.0366626
0.575426,0.049646,0.0296588
0.584016,0.0476565,0.0249979
0.579852,0.052476,0.0212264
0.575828,0.0558263,0.0185084
0.580951,0.0476246,0.0155877
0.571963,0.0421409,0.0184124
0.586112,0.0446388,0.0155862
0.604082,0.0460069,0.0138173
0.616691,0.0469668,0.0125761
0.606388,0.0450719,0.0108121
0.608007,0.0387491,0.0115797
0.616797,0.0335346,0.0117959
0.615642,0.0312817,0.0145269
0.611023,0.0315167,0.0222815
0.57075,0.0315722,0.0312537
0.546666,0.0291022,0.0338014
0.529178,0.0271858,0.035739
0.512842,0.0278537,0.0369654
0.501379,0.0283224,0.0378259
0.495155,0.0269413,0.0408987
0.504494,0.0296539,0.0448917
0.491786,0.0347121,0.0471593
0.483089,0.0382158,0.0486762
0.477097,0.0406217,0.0495716
0.479035,0.0349138,0.0449317
0.465052,0.0296446,0.039136
0.467934,0.026164,0.0424047
0.473875,0.0245077,0.0420028
0.486929,0.0238345,0.0412112
0.46178,0.0252785,0.0420261
0.472923,0.0243888,0.0380456
0.439405,0.0287482,0.0409548
0.424771,0.0295184,0.0473876
0.414502,0.0300588,0.0519015
0.374145,0.0346145,0.0512428
0.393235,0.0318097,0.0597667
0.407532,0.038656,0.0755245
0.417454,0.0434356,0.0866599
0.384808,0.0453323,0.101954
0.40986,0.0400602,0.111997
0.426593,0.0364129,0.119174
0.417968,0.0380907,0.119058
0.428161,0.0393957,0.110726
0.388346,0.0392641,0.106252
0.361364,0.0390571,0.103227
0.356303,0.042176,0.108953
0.359062,0.0483573,0.107596
0.394001,0.0439907,0.106767
0.419657,0.0409684,0.10597
0.446456,0.0520568,0.114228
0.452567,0.0459256,0.127339
0.43717,0.0377757,0.138244
0.444928,0.0309491,0.139944
0.419998,0.0254531,0.133777
0.402504,0.0215966,0.12945
0.3644,0.0257635,0.116368
0.356519,0.0441847,0.111716
0.361458,0.0572161,0.114569
0.364924,0.0663603,0.11657
0.342944,0.0727775,0.12195
0.350737,0.0740909,0.113663
0.356793,0.0751202,0.107803
0.365569,0.0615552,0.175136
0.354874,0.0666889,0.2488
0.371488,0.06112,0.314587
0.401651,0.064026,0.379231
0.39561,0.0613226,0.445919
0.403733,0.0550169,0.512355
0.437359,0.0586679,0.54436
0.424841,0.0559629,0.566274
0.453477,0.0447903,0.590531
0.473571,0.0369503,0.607553
0.474831,0.0328162,0.606717
0.468612,0.0322284,0.622094
0.473706,0.0301714,0.639812
0.431069,0.0279544,0.650726
0.432386,0.0276629,0.631885
0.43929,0.0274954,0.622905
0.443326,0.0271442,0.617027
0.447224,0.0270499,0.612915
0.431086,0.0226114,0.643709
0.409607,0.0212936,0.666331
0.41902,0.0179908,0.702559
0.442347,0.0195314,0.733378
0.455884,0.0190786,0.751027
0.488284,0.0176942,0.746539
0.491097,0.0181178,0.773372
0.506851,0.0199791,0.808206
0.538215,0.0261306,0.823938
0.555146,0.0306481,0.841856
0.537076,0.0370898,0.84405
0.536114,0.0416424,0.855223
0.567745,0.0360459,0.881609
0.571692,0.0340337,0.904632
0.52249,0.0310622,0.912133
0.486072,0.0276801,0.915983
0.461068,0.0252655,0.917838
0.505317,0.0227416,0.929313
0.525625,0.0205928,0.94112
0.52225,0.0186078,0.953465
0.520764,0.0171241,0.9624
0.527007,0.0148894,0.969148
0.529163,0.01629,0.970414
0.536267,0.0158363,0.974131
0.546567,0.0146752,0.979646
0.563986,0.0152087,0.97923
0.562246,0.0152207,0.978617
0.559225,0.0152518,0.977879
0.521856,0.0139,0.979495
0.511382,0.0137972,0.981175
0.492607,0.0140803,0.983887
0.479213,0.0143134,0.985768
0.511739,0.0158064,0.986829
0.529339,0.0171207,0.988462
0.563158,0.0157052,0.990411
0.573901,0.0150208,0.992161
0.562804,0.0161264,0.99311
0.541053,0.0168862,0.994044
0.524281,0.0161614,0.993731
0.491761,0.0151885,0.994023
0.474349,0.0136022,0.993647
0.462132,0.012489,0.993383
0.433306,0.0114247,0.993536
0.460192,0.0143414,0.993748
0.460663,0.0136979,0.994268
0.46136,0.0132363,0.994626
0.470017,0.0131395,0.994992
0.491728,0.0131913,0.995967
0.476571,0.0124597,0.996353
0.428443,0.0130633,0.995725
0.384369,0.014693,0.995646
0.409294,0.0150384,0.996169
0.413372,0.0130595,0.99659
0.42376,0.0117175,0.996413
0.426486,0.0111367,0.995924
0.416975,0.0100292,0.995906
0.392309,0.0102279,0.996243
0.360597,0.0122168,0.996891
0.339226,0.0136356,0.997356
0.343104,0.0133292,0.997871
0.344849,0.0135122,0.998026
0.377461,0.0118329,0.998446
0.400749,0.0115718,0.998793
0.397792,0.0114025,0.998964
0.395865,0.0112755,0.999094
0.449426,0.0110847,0.999311
0.487524,0.0109224,0.999453
0.554012,0.0110167,0.999431
0.599398,0.010052,0.999472
0.630731,0.00941175,0.999496
0.62102,0.00929865,0.999614
0.611981,0.0100378,0.999657
0.608177,0.0107126,0.999654
0.612406,0.0109412,0.999673
0.629336,0.0134228,0.99968
0.605363,0.0186405,0.999693
0.597427,0.0211052,0.999707
0.580565,0.0242602,0.999672
0.544651,0.0257473,0.999589
0.518181,0.0222622,0.999587
0.497986,0.0222222,0.999597
0.492738,0.0222064,0.999559
0.461056,0.0198529,0.999429
0.452603,0.0178318,0.99942
0.495774,0.0175895,0.999498
0.487708,0.0169351,0.999524
0.555414,0.0144301,0.999017
0.612104,0.0122735,0.998819
0.606884,0.0122674,0.999064
0.588025,0.0138016,0.999183
0.532976,0.0159342,0.999345
0.489013,0.0172843,0.999442
0.507209,0.0175211,0.999505
0.52465,0.0153543,0.999544
0.550688,0.01748,0.999596
0.558674,0.0164823,0.999621
0.562147,0.0160622,0.999626
0.564326,0.0148897,0.999456
0.565909,0.0145385,0.999449
0.601733,0.0160265,0.999402
0.628084,0.0170381,0.999367
0.590869,0.0181527,0.999349
0.574783,0.0225716,0.99922
0.579851,0.0209043,0.999331
0.596929,0.0219574,0.9994
0.583856,0.0190561,0.9995
0.601339,0.0171039,0.99956
0.597105,0.0152836,0.999567
0.594171,0.0139914,0.999568
0.596198,0.0134368,0.999664
0.584927,0.0130443,0.999713
0.578634,0.0127572,0.999746
0.573888,0.0124512,0.999774
0.562463,0.0153279,0.999698
0.547696,0.0209213,0.99951
0.519028,0.0251659,0.999552
0.501948,0.0291916,0.999569
0.49044,0.0320303,0.999582
0.484904,0.0316561,0.999614
0.483411,0.0345548,0.999583
0.470037,0.0348235,0.999594
0.493656,0.0368389,0.999625
0.524193,0.0362536,0.999675
0.536956,0.0354593,0.999749
0.593061,0.0321653,0.999797
0.632982,0.0298477,0.999826
0.643113,0.0331672,0.999849
0.665455,0.0375386,0.999868
0.672173,0.0488823,0.999872
0.678083,0.0448108,0.999868
0.695291,0.0383667,0.999883
0.706411,0.033792,0.999892
0.713809,0.0306398,0.999898
0.719258,0.0269738,0.999906
0.721722,0.0246179,0.999907
0.714566,0.031598,0.999916
0.722752,0.0285053,0.999913
0.710285,0.0362272,0.999925
0.692908,0.0372501,0.999932
0.680677,0.0383135,0.999937
0.702193,0.0372334,0.999942
0.69698,0.0356172,0.999943
0.681898,0.036961,0.999948
0.708127,0.0362015,0.999954
0.661794,0.0461509,0.999946
0.629539,0.0528826,0.99994
0.620502,0.0742258,0.99994
0.619752,0.0939036,0.999932
0.620752,0.103994,0.999911
0.621454,0.111074,0.999897
0.642644,0.0879339,0.999878
0.665717,0.0735533,0.999824
0.696201,0.0564387,0.999752
0.719065,0.0456277,0.999769
0.739522,0.0429019,0.999705
0.748798,0.0359818,0.999683
0.757443,0.0372508,0.999731
0.748129,0.0358424,0.99976
0.747904,0.0340814,0.999793
0.746476,0.0339561,0.99983
0.762621,0.0378055,0.999834
0.744534,0.0372015,0.999848
0.74794,0.0364593,0.999822
0.750256,0.0359053,0.999801
0.736576,0.0395697,0.999798
0.747433,0.0380903,0.999815
0.75244,0.036943,0.999811
0.741161,0.0373621,0.999786
0.748296,0.0338476,0.999807
0.746992,0.0338125,0.99982
0.740485,0.033136,0.999788
0.736764,0.0327553,0.999766
0.738753,0.0392267,0.999809
0.740149,0.0437677,0.999839
0.737761,0.0434386,0.999833
0.745653,0.0367846,0.999858
0.729684,0.0358891,0.999866
0.713843,0.033552,0.999835
0.69467,0.0382748,0.999817
0.713134,0.0332086,0.999785
0.726237,0.0296698,0.999763
0.716391,0.0260089,0.99978
0.709335,0.0311008,0.999799
0.713269,0.028649,0.999786
0.709794,0.0275583,0.999769
0.721024,0.0353521,0.999764
0.729529,0.0407117,0.999761
0.74326,0.0373914,0.999751
0.753115,0.0348806,0.999743
0.733725,0.0309119,0.999669
0.739159,0.0258579,0.999688
0.743524,0.0223455,0.9997
0.746586,0.0220762,0.999674
0.740862,0.0233331,0.999712
0.729412,0.0213643,0.999673
0.72986,0.0201321,0.999701
0.723827,0.0195786,0.999684
0.721912,0.0192855,0.999695
0.705336,0.0208447,0.999726
0.699516,0.0196262,0.999576
0.694882,0.0188369,0.999469
0.685283,0.0171439,0.999471
0.69251,0.0164529,0.999534
0.690186,0.0188635,0.999565
0.702739,0.0192694,0.999658
0.713829,0.0196079,0.999702
0.73068,0.0186666,0.999639
0.737353,0.0187334,0.999596
0.747554,0.018914,0.999586
0.754565,0.0191098,0.999584
0.758216,0.0220142,0.999539
0.746998,0.0222926,0.999214
0.739992,0.0292452,0.9986
0.735296,0.034039,0.998169
0.736674,0.039364,0.995653
0.745184,0.0381109,0.994913
0.750898,0.0368001,0.993832
0.748708,0.0327545,0.993974
0.749562,0.0291387,0.993085
0.736199,0.0261412,0.992683
0.726859,0.0239578,0.992403
0.725787,0.0203129,0.992955
0.731344,0.0197916,0.993062
0.72255,0.0168206,0.990953
0.716232,0.0146802,0.989537
0.716656,0.0129033,0.990819
0.708068,0.0131805,0.992454
0.675569,0.0181634,0.993985
0.65396,0.0178473,0.994807
0.669666,0.0169284,0.995283
0.680686,0.0162836,0.995617
0.669232,0.0157435,0.996015
0.673705,0.0155309,0.996452
0.677211,0.0154571,0.996821
0.679671,0.0154053,0.99708
0.70156,0.017384,0.996759
0.704483,0.0169388,0.996385
0.712383,0.016388,0.996066
0.712813,0.0133968,0.995031
0.695731,0.0120747,0.994716
0.683744,0.011147,0.994494
0.670806,0.0122277,0.993745
0.64232,0.0129299,0.993833
0.646449,0.013455,0.991888
0.616343,0.0139714,0.99209
0.599707,0.0129092,0.990929
0.587132,0.0150934,0.990882
0.556581,0.0154755,0.99084
0.53656,0.0138092,0.988674
0.539491,0.0124253,0.990087
0.544086,0.0102377,0.991005
0.547457,0.0086527,0.991666
0.577031,0.00765748,0.987458
0.597085,0.0069582,0.984564
0.631152,0.00706199,0.98412
0.638409,0.00697296,0.982931
0.61942,0.00778639,0.983166
0.627029,0.00925634,0.984353
0.628524,0.00930778,0.985088
0.616402,0.00907172,0.985303
0.590051,0.0107307,0.986909
0.596947,0.010705,0.985769
0.597207,0.0102579,0.985978
0.569464,0.0106693,0.983784
0.549445,0.0109407,0.982197
0.556185,0.0104394,0.983777
0.542572,0.00956068,0.982526
0.569243,0.0111829,0.982095
0.570298,0.0126153,0.98217
0.566328,0.0123596,0.98175
0.567865,0.0114253,0.982936
0.573286,0.0123672,0.982167
0.5772,0.0130404,0.981602
0.580755,0.012166,0.983526
0.609906,0.012966,0.9839
0.627235,0.0140251,0.983272
0.648831,0.0143288,0.982462
0.624839,0.0122493,0.982287
0.650407,0.0104702,0.983126
0.654532,0.00992418,0.979583
0.657317,0.00956136,0.977053
0.655315,0.00914435,0.980614
0.637409,0.00820556,0.984691
0.65404,0.00884348,0.987532
0.6624,0.00828633,0.988089
0.656915,0.00857743,0.988736
0.656617,0.00842473,0.989539
0.662588,0.00737943,0.989185
0.647794,0.00739522,0.98711
0.641625,0.00803574,0.985234
0.644913,0.0103124,0.983266
0.64733,0.0101946,0.978254
0.630463,0.0106848,0.976879
0.615244,0.0100621,0.976714
0.604638,0.00965311,0.976641
0.588641,0.00965152,0.972445
0.593807,0.0089343,0.971945
0.597285,0.00846005,0.971621
0.5812,0.008842,0.970834
0.596459,0.00922696,0.970267
0.608216,0.00933361,0.966778
0.616465,0.00945819,0.96443
0.629152,0.0101458,0.953797
0.644474,0.0111769,0.960806
0.626031,0.0102068,0.967641
0.612077,0.0111453,0.96976
0.606885,0.0113456,0.974262
0.579124,0.010181,0.974693
0.556387,0.0109216,0.976135
0.556162,0.0102882,0.977903
0.562315,0.00992481,0.979375
0.553939,0.00854105,0.981281
0.565648,0.00821506,0.984015
0.540678,0.010108,0.984883
0.562082,0.0119241,0.986075
0.603795,0.0131461,0.988044
0.62911,0.0128376,0.987381
0.645033,0.0114597,0.988242
0.656316,0.010447,0.988815
0.633291,0.00944467,0.9902
0.608065,0.00907961,0.989444
0.628813,0.0079382,0.99111
0.642857,0.00723953,0.992502
0.665091,0.00653603,0.993716
0.651665,0.00620632,0.9941
0.637664,0.00524819,0.994468
0.631758,0.00638226,0.99544
0.647997,0.00715849,0.99565
0.649237,0.010208,0.995808
0.66876,0.0131871,0.996175
0.661137,0.0130791,0.994906
0.644531,0.0164743,0.993936
0.632878,0.0188532,0.993248
0.644681,0.0164779,0.991012
0.665196,0.0131855,0.991467
0.679701,0.0108961,0.991783
0.638994,0.0114043,0.990319
0.651732,0.0105496,0.991203
0.654617,0.0101088,0.991226
0.656127,0.00977547,0.991235
0.613383,0.0105809,0.991659
0.636997,0.0106743,0.991966
0.588829,0.0144229,0.990079
0.556981,0.0161518,0.99084
0.545726,0.0177058,0.990338
0.564485,0.0161592,0.99082
0.598159,0.0145961,0.989404
0.623114,0.0131742,0.988951
0.653503,0.0124079,0.987942
0.682443,0.0119127,0.986095
0.704036,0.0115369,0.984789
0.674486,0.011257,0.985219
0.674666,0.0121719,0.980515
0.675987,0.0119353,0.981428
0.658813,0.0129745,0.983396
0.609178,0.0151648,0.983318
0.573798,0.0167137,0.983315
0.595865,0.0155735,0.981048
0.631292,0.0158573,0.978918
0.636891,0.0147229,0.978225
0.648435,0.0165886,0.980072
0.659054,0.0170447,0.97191
0.650723,0.0156727,0.967769
0.605489,0.0220068,0.965975
0.611074,0.0194789,0.968664
0.636369,0.0206032,0.973141
0.649041,0.0212229,0.975817
0.647688,0.0216693,0.973247
0.66646,0.0190311,0.973694
0.691609,0.0169183,0.974827
0.688725,0.0158096,0.962117
0.686665,0.0150564,0.95347
0.686929,0.0164186,0.957087
0.688254,0.017164,0.959588
0.697003,0.0197513,0.963012
0.686053,0.0165967,0.966768
0.682325,0.0152184,0.964344
0.672349,0.01495,0.963433
0.662223,0.0136719,0.966033
0.610359,0.014383,0.965081
0.574553,0.0148689,0.964802
0.564661,0.0164916,0.968842
0.580531,0.0170277,0.968354
0.608169,0.0187246,0.971108
0.622228,0.0185563,0.973532
0.628763,0.0166555,0.9756
0.643393,0.0166983,0.973095
0.620876,0.0172696,0.975927
0.592456,0.0158539,0.96957
0.615688,0.0149004,0.966865
0.624374,0.0148723,0.964011
0.630028,0.0148154,0.961885
0.628257,0.0134913,0.958411
0.625267,0.0137324,0.953322
0.623316,0.0139394,0.949735
0.623326,0.0126638,0.954561
0.647158,0.0114905,0.950971
0.664836,0.010651,0.948318
0.654759,0.0103841,0.94543
0.652823,0.0102636,0.94232
0.626297,0.0107541,0.930804
0.608953,0.0113318,0.928842
0.59693,0.0117748,0.927524
0.617725,0.0132292,0.933361
0.619624,0.0124504,0.927439
0.625997,0.0106409,0.940738
0.628501,0.0104406,0.941158
0.641683,0.00973518,0.933142
0.614783,0.0107102,0.929938
0.591914,0.011716,0.935148
0.560101,0.0107374,0.929277
0.594862,0.0122835,0.933354
0.578634,0.0126773,0.933333
0.566402,0.0129195,0.933125
0.592459,0.013307,0.938504
0.567438,0.013715,0.936384
0.607039,0.0132815,0.932326
0.634496,0.0129936,0.929719
0.654828,0.0127489,0.927821
0.614623,0.0141191,0.932191
0.58435,0.0163994,0.933021
0.561454,0.0142951,0.931719
0.546563,0.0128385,0.930889
0.536114,0.0118165,0.930306
0.545561,0.0120156,0.924314
0.564864,0.011556,0.920319
0.581833,0.0129591,0.92297
0.592471,0.0124849,0.910895
0.596127,0.0143292,0.896781
0.540612,0.0139518,0.904024
0.520771,0.0142142,0.904312
0.501771,0.0154495,0.905972
0.483362,0.0153168,0.901347
0.555491,0.0148083,0.903262
0.60559,0.0144248,0.904762
0.623913,0.0147198,0.905108
0.618851,0.0125808,0.883346
0.624222,0.0110595,0.880329
0.62937,0.0112953,0.854486
0.63471,0.0122929,0.847647
0.637905,0.0129766,0.842989
0.600944,0.012221,0.86253
0.575155,0.0117198,0.87641
0.586332,0.0111673,0.883522
0.594175,0.0107796,0.888512
0.603963,0.0104837,0.901709
0.593576,0.0120963,0.896196
0.610147,0.0129789,0.889997
0.625547,0.0130212,0.870294
0.619851,0.0142039,0.877107
0.652666,0.0116534,0.863446
0.631134,0.0113919,0.876381
0.590638,0.0117827,0.855516
0.593037,0.012627,0.872792
0.609953,0.0147549,0.885044
0.625521,0.0143324,0.897788
0.612841,0.014794,0.907475
0.609593,0.0150546,0.901262
0.545004,0.0165022,0.911335
0.500159,0.0174839,0.917796
0.54125,0.0167555,0.915261
0.571406,0.0162012,0.91281
0.605994,0.0141399,0.925928
0.551916,0.013372,0.938495
0.546531,0.0150237,0.949909
0.542643,0.0162382,0.95779
0.560922,0.013628,0.963499
0.546908,0.0138628,0.971293
0.54776,0.0157545,0.977586
0.548358,0.0170818,0.982001
0.519991,0.017954,0.983816
0.561014,0.0184895,0.985322
0.553891,0.0181449,0.985614
0.49782,0.0176723,0.987091
0.514642,0.022067,0.986942
0.527715,0.023534,0.986609
0.524876,0.0228296,0.985006
0.540157,0.0222195,0.982937
0.482077,0.0218472,0.982703
0.507329,0.0211373,0.984057
0.52582,0.0206422,0.985051
0.50149,0.0193042,0.985887
0.481637,0.0184097,0.987114
0.419745,0.0181341,0.988516
0.383547,0.0163617,0.98918
0.347955,0.0148657,0.988859
0.32331,0.0138691,0.988674
0.310617,0.0155287,0.988172
0.354469,0.0153333,0.987849
0.371905,0.0146777,0.987258
0.393026,0.0137708,0.986357
0.37841,0.0125271,0.989028
0.379689,0.0124115,0.990194
0.382019,0.0123203,0.990996
0.391013,0.0120106,0.991267
0.377308,0.0145105,0.992394
0.367691,0.0162647,0.993185
0.358257,0.0153818,0.993003
0.362862,0.0143693,0.992089
0.385464,0.0132337,0.990711
0.397258,0.0128356,0.988979
0.424188,0.0151306,0.98741
0.442753,0.0167191,0.98633
0.455781,0.0178337,0.985572
0.463433,0.0218274,0.983834
0.46939,0.0245514,0.982589
0.465954,0.0212106,0.981037
0.463616,0.0189256,0.97997
0.464147,0.017248,0.979719
0.406847,0.0159499,0.979437
0.381982,0.0151407,0.979122
0.36402,0.0144989,0.978909
0.351416,0.011854,0.979643
0.361612,0.0100663,0.983048
0.337069,0.00908391,0.985739
0.359198,0.00746678,0.986273
0.360983,0.00766079,0.988139
0.388892,0.00762786,0.989391
0.369052,0.00948511,0.989885
0.356784,0.0107922,0.990235
0.39724,0.0112562,0.991394
0.412934,0.0141001,0.989276
0.425216,0.015989,0.988789
0.433283,0.0173125,0.988364
0.443671,0.0172708,0.988431
0.456168,0.0175061,0.989521
0.457725,0.0191888,0.9872
0.450429,0.0225826,0.987476
0.446449,0.0249098,0.987681
0.413192,0.022731,0.987898
0.399846,0.0192204,0.990603
0.390849,0.0166841,0.992586
0.404809,0.0129732,0.989464
0.408257,0.0105165,0.990548
0.433416,0.00984798,0.991951
0.425498,0.0120712,0.992382
0.420163,0.0135863,0.992773
0.462337,0.0145743,0.993051
0.491931,0.0152676,0.993246
0.474228,0.0173011,0.992747
0.464014,0.0164552,0.992401
0.446692,0.0181079,0.992142
0.422525,0.0162167,0.992216
0.40575,0.0148854,0.992173
0.466942,0.0155797,0.99188
0.510615,0.0159887,0.991689
0.545068,0.0145426,0.992328
0.579346,0.0132256,0.992385
0.599591,0.0109099,0.992278
0.60605,0.0112374,0.992424
0.602893,0.00929852,0.992524
0.609857,0.00835425,0.993761
0.626499,0.00823732,0.994324
0.638176,0.00815527,0.994719
0.650586,0.00809469,0.995109
0.661833,0.00662289,0.996052
0.667077,0.00614746,0.995868
0.676772,0.00662987,0.99541
0.69384,0.00786754,0.995552
0.703536,0.00683459,0.995594
0.702943,0.00701793,0.995753
0.713694,0.00851539,0.995634
0.703137,0.00772586,0.993227
0.679227,0.00825603,0.991549
0.662265,0.00862675,0.990369
0.647751,0.00902184,0.991238
0.63764,0.00928439,0.991871
0.644325,0.0114626,0.992843
0.628411,0.0125137,0.992623
0.609702,0.0117865,0.993636
0.589178,0.0119994,0.994201
0.574445,0.0121087,0.994602
0.570969,0.0146853,0.995025
0.569007,0.0164619,0.995321
0.600634,0.019868,0.996093
0.583549,0.0172442,0.996038
0.576639,0.018465,0.995111
0.596773,0.017132,0.995271
0.615297,0.0167517,0.995425
0.645017,0.014957,0.994531
0.633089,0.0153332,0.995084
0.636144,0.0147678,0.995094
0.660952,0.0144277,0.995848
0.630124,0.0136567,0.99598
0.607536,0.0130532,0.996056
0.630907,0.0139306,0.99561
0.658583,0.0134637,0.995165
0.663306,0.0119947,0.995123
0.653816,0.0145523,0.995222
0.659373,0.0133069,0.995689
0.654073,0.0119994,0.996101
0.650023,0.0111059,0.996401
0.632557,0.0105192,0.996305
0.630582,0.0113118,0.995187
0.605079,0.0119746,0.995374
0.586081,0.0124062,0.995521
0.585113,0.0110091,0.995011
0.573413,0.00950281,0.995797
0.573187,0.00907968,0.996402
0.601857,0.00912747,0.99647
0.561339,0.00857923,0.99681
0.569719,0.00903581,0.997002
0.596313,0.00800346,0.996977
0.617256,0.00695415,0.997225
0.604723,0.00600597,0.997548
0.609892,0.00521172,0.997731
0.613152,0.00470441,0.997878
0.613231,0.00572824,0.997253
0.604181,0.00604514,0.996534
0.609679,0.00734318,0.996914
0.619108,0.00803487,0.997197
0.62466,0.00849589,0.997397
0.627967,0.0088585,0.997542
0.575632,0.00829708,0.997218
0.540986,0.00897717,0.996957
0.545465,0.00856871,0.996716
0.568919,0.00804878,0.996737
0.554985,0.00796795,0.99709
0.549273,0.00787877,0.997141
0.586786,0.00734825,0.997398
0.612999,0.00698282,0.997577
0.626316,0.00686221,0.997523
0.63566,0.00677757,0.997486
0.63618,0.00652507,0.997469
0.625084,0.00786989,0.997021
0.634224,0.00750408,0.997267
0.64005,0.00725414,0.997434
0.617094,0.00709056,0.997206
0.600875,0.00673743,0.99748
0.588282,0.00650228,0.997664
0.557866,0.00755238,0.997903
0.53667,0.0082853,0.998075
0.510372,0.00749307,0.997793
0.49214,0.00694343,0.997595
0.482215,0.00678542,0.996347
0.482353,0.00678562,0.995442
0.500221,0.00639188,0.995112
0.532607,0.00708811,0.995501
0.518521,0.00721524,0.99577
0.530217,0.00760035,0.995938
0.523815,0.00728525,0.995832
0.496475,0.00716634,0.996027
0.520779,0.00698216,0.995514
0.522601,0.0135926,0.993655
0.523806,0.0182233,0.992383
0.524431,0.0214706,0.99149
0.53578,0.0205292,0.992547
0.543192,0.0198404,0.993271
0.52788,0.0217771,0.992397
0.520318,0.0196689,0.99311
0.515453,0.0182056,0.993617
0.519048,0.0187377,0.992786
0.522859,0.0226586,0.993211
0.534861,0.0221582,0.994235
0.543282,0.021807,0.994955
0.555538,0.0200106,0.996032
0.554922,0.0188331,0.996725
0.586224,0.0191863,0.997377
0.608813,0.0193644,0.997874
0.629631,0.0172636,0.997986
0.644239,0.0157894,0.998064
0.633996,0.01752,0.997776
0.63689,0.0170597,0.998244
0.669129,0.0183733,0.998577
0.691751,0.0192951,0.998811
0.704902,0.0162311,0.999068
0.723273,0.0141868,0.999251
0.72636,0.014074,0.999402
0.742489,0.012717,0.999508
0.73335,0.0140301,0.999559
0.712975,0.0146099,0.999549
0.695456,0.0143804,0.999641
0.710796,0.0137531,0.999653
0.690213,0.0142954,0.99967
0.699889,0.0159746,0.99964
0.694057,0.0181787,0.999629
0.710018,0.0181309,0.999594
0.718937,0.0200627,0.999627
0.732407,0.0169598,0.999666
0.742446,0.0147189,0.999694
0.74101,0.0151348,0.999722
0.735035,0.0159056,0.999721
0.730034,0.0164613,0.999721
0.745177,0.0181011,0.999681
0.72591,0.0167001,0.999736
0.719105,0.0179731,0.999692
0.709933,0.0181562,0.999635
0.734036,0.0158793,0.999639
0.713917,0.0141168,0.999545
0.723917,0.0127614,0.999531
0.723575,0.011014,0.999444
0.723482,0.00977447,0.999383
0.731033,0.00988379,0.999178
0.705353,0.0112403,0.998902
0.717373,0.0168111,0.998876
0.718008,0.0190669,0.998812
0.718563,0.0206716,0.998767
0.70157,0.0259541,0.998647
0.709751,0.0272015,0.998795
0.716063,0.0253502,0.998913
0.720713,0.0240725,0.998999
0.712552,0.0209634,0.999143
0.709143,0.019582,0.998907
0.674629,0.0191505,0.99885
0.668606,0.0208178,0.999059
0.667139,0.0298949,0.999237
0.657224,0.0319138,0.999386
0.650744,0.032535,0.999529
0.629145,0.028979,0.99961
0.61649,0.0251169,0.999607
0.638075,0.0222783,0.99948
0.653552,0.0203504,0.999388
0.664339,0.0189736,0.999334
0.674132,0.0171451,0.999402
0.672837,0.0225066,0.999452
0.643929,0.0261774,0.999543
0.663252,0.0296066,0.999591
0.67681,0.0320324,0.999624
0.652529,0.0305443,0.999672
0.636687,0.0261804,0.999725
0.648807,0.0218272,0.999768
0.657311,0.0187725,0.999798
0.665817,0.0179942,0.999785
0.653978,0.0197129,0.999765
0.645891,0.0207249,0.999751
0.65118,0.0278255,0.999749
0.679139,0.0332483,0.99975
0.698758,0.0370535,0.999751
0.723672,0.0312543,0.999709
0.724616,0.0310931,0.999641
0.696654,0.0263716,0.999603
0.685918,0.0224554,0.999393
0.678312,0.0196678,0.999247
