AU02,AU04cand,Smile_v2
0.35124,0.500464,0.00329128
0.35124,0.500464,0.00329128
0.371956,0.529564,0.00414643
0.410985,0.564384,0.00498451
0.444467,0.614999,0.0046526
0.445081,0.645337,0.00444923
0.453544,0.63877,0.00392116
0.436836,0.5707,0.00368656
0.439775,0.517381,0.00384438
0.44812,0.465863,0.00368876
0.443339,0.433726,0.00373725
0.439984,0.411176,0.00377127
0.437226,0.394785,0.00377847
0.434629,0.382805,0.00377367
0.432513,0.373624,0.00378999
0.431542,0.367188,0.00380151
0.444604,0.358814,0.00360335
0.468357,0.344361,0.0123305
0.48462,0.334439,0.0184453
0.476808,0.273458,0.234877
0.48562,0.218584,0.417374
0.494342,0.1701,0.453676
0.513156,0.144629,0.443847
0.523819,0.124426,0.36497
0.533841,0.119398,0.304601
0.540872,0.11587,0.26224
0.559366,0.127516,0.200159
0.544012,0.12498,0.15301
0.521814,0.13121,0.120369
0.543601,0.140455,0.0865905
0.543252,0.156796,0.0657321
0.535317,0.162269,0.0477858
0.543345,0.155874,0.0374897
0.564284,0.162607,0.0303462
0.577634,0.183863,0.0226166
0.562884,0.202975,0.017054
0.57244,0.236833,0.0131826
0.54568,0.329776,0.00999205
0.537389,0.366552,0.00817742
0.510195,0.370073,0.00689638
0.486477,0.343687,0.00603422
0.454821,0.364433,0.00579165
0.443629,0.360259,0.00636708
0.415024,0.354177,0.00682383
0.405144,0.364723,0.00765716
0.393832,0.382755,0.00809317
0.392922,0.364265,0.00892521
0.419933,0.319476,0.00778234
0.410666,0.29727,0.0121357
0.436485,0.309999,0.0116427
0.467444,0.32569,0.0110131
0.450258,0.296451,0.0123584
0.41375,0.304366,0.0125035
0.421723,0.258663,0.0131513
0.428294,0.241436,0.0120273
0.438129,0.230565,0.0128148
0.453695,0.281379,0.0120787
0.427035,0.293082,0.00945895
0.410405,0.312397,0.0078389
0.386393,0.395176,0.00753385
0.36156,0.473908,0.00704582
0.356698,0.524483,0.00599018
0.355253,0.548151,0.00545828
0.34313,0.575831,0.00578035
0.390438,0.541255,0.00724209
0.387945,0.48909,0.00894129
0.406248,0.436757,0.0103776
0.408733,0.420477,0.0153386
0.401554,0.420288,0.0268612
0.393039,0.41826,0.0365156
0.41775,0.368996,0.0468455
0.405563,0.337657,0.0535416
0.399513,0.31413,0.0513079
0.354943,0.290218,0.0413424
0.316973,0.25874,0.0292036
0.291359,0.268405,0.0205128
0.28676,0.307299,0.0143829
0.258476,0.320995,0.00993409
0.249042,0.30932,0.00657873
0.250148,0.264167,0.00425114
0.251312,0.21294,0.00761495
0.250434,0.178374,0.00666329
0.243399,0.162905,0.00672886
0.304375,0.144741,0.00880948
0.329538,0.158344,0.0136512
0.352273,0.201991,0.0224092
0.388131,0.245833,0.0269178
0.414028,0.303007,0.0234971
0.429368,0.339665,0.0220739
0.414524,0.356014,0.0336778
0.395185,0.345624,0.0406919
0.395652,0.350545,0.0352123
0.392355,0.358565,0.0274274
0.38436,0.378259,0.020489
0.379264,0.391329,0.0155268
0.369194,0.480886,0.011646
0.360271,0.540824,0.00933364
0.354009,0.528981,0.00992667
0.354767,0.50131,0.00849458
0.368727,0.487667,0.00699513
0.371163,0.462077,0.00619141
0.372469,0.479885,0.00592066
0.378573,0.46223,0.00659346
0.377889,0.429461,0.00839568
0.381217,0.397071,0.0085359
0.392621,0.401858,0.00750385
0.396853,0.389243,0.00618778
0.384589,0.403671,0.00522609
0.387261,0.406067,0.00464056
0.402732,0.393724,0.004356
0.388421,0.424871,0.0040143
0.393611,0.429778,0.00424752
0.397106,0.43409,0.00438949
0.402245,0.428106,0.00454053
