AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.227273,0.0811888,0.715684
0.200562,0.0852983,0.722876
0.222152,0.0814487,0.685145
0.219287,0.0842272,0.671535
0.202848,0.0876178,0.640146
0.197125,0.0910734,0.620901
0.200213,0.0889352,0.587797
0.179978,0.0828667,0.543104
0.166408,0.0787973,0.513134
0.181297,0.0779698,0.508216
0.183587,0.0782598,0.494826
0.199561,0.0740487,0.537349
0.19495,0.0697933,0.539723
0.205971,0.0692244,0.540593
0.208995,0.0699562,0.558296
0.202121,0.0749942,0.559701
0.197114,0.0763878,0.574668
0.18407,0.0843899,0.587823
0.181263,0.0894618,0.592077
0.177327,0.103785,0.621319
0.182401,0.11463,0.642034
0.163979,0.124323,0.677968
0.162916,0.12193,0.696563
0.15669,0.112969,0.705826
0.170238,0.104837,0.688403
0.173656,0.0924392,0.688922
0.179862,0.0868262,0.68557
0.181972,0.0813795,0.697887
0.18073,0.0744116,0.704549
0.178626,0.0695259,0.707105
0.17566,0.0701487,0.705984
0.172934,0.0744613,0.707188
0.157997,0.0784283,0.707338
0.165433,0.0799439,0.706572
0.170137,0.0810599,0.706713
0.166005,0.0884823,0.709172
0.162996,0.0936031,0.710995
0.167304,0.106727,0.703995
0.17294,0.113877,0.70138
0.189625,0.121971,0.706789
0.205177,0.12754,0.711641
0.193279,0.129145,0.706426
0.194183,0.128141,0.718001
0.194303,0.127479,0.726152
0.194387,0.122662,0.734038
0.203552,0.126528,0.736239
0.192212,0.121612,0.745786
0.198034,0.114872,0.754481
0.204584,0.109819,0.757216
0.217699,0.110741,0.757219
0.221714,0.110455,0.774251
0.215038,0.108696,0.767326
0.211365,0.110449,0.748995
0.20498,0.114732,0.742941
0.192883,0.118942,0.735134
0.196831,0.129343,0.725683
0.196308,0.13214,0.720802
0.181574,0.133934,0.711811
0.168622,0.127595,0.724305
0.17324,0.123166,0.717359
0.170281,0.120756,0.703113
0.172306,0.11393,0.696319
0.168613,0.108467,0.692781
0.164862,0.103085,0.679471
0.166259,0.0994949,0.669625
0.166872,0.0956366,0.647808
0.167412,0.0930659,0.632442
0.163118,0.103633,0.610707
0.15637,0.109998,0.594299
0.15123,0.113429,0.58451
0.159232,0.113698,0.581787
0.172353,0.114377,0.578176
0.166475,0.109544,0.580745
0.171272,0.110502,0.586251
0.160565,0.110697,0.592527
0.161938,0.103841,0.598616
0.157823,0.10303,0.595247
0.155083,0.0991054,0.592463
0.15327,0.096388,0.590527
0.153268,0.0935035,0.583975
0.154205,0.0863502,0.585545
0.15845,0.0835634,0.6155
0.150445,0.0813628,0.639165
0.149649,0.0735578,0.638215
0.139339,0.0679288,0.645638
0.145811,0.0661239,0.647751
0.153037,0.0647178,0.648202
0.150492,0.0638606,0.64997
0.147437,0.0630893,0.647283
0.142717,0.0641361,0.65564
0.139369,0.0657398,0.661089
0.136909,0.0684047,0.666066
0.138053,0.0739928,0.671181
0.138708,0.0780917,0.675275
0.142,0.0753385,0.68538
0.143907,0.0754968,0.707979
0.142632,0.0775384,0.730123
0.131803,0.0814852,0.737304
0.124241,0.0842596,0.742457
0.132972,0.0827825,0.749575
0.145444,0.0885312,0.764701
0.154197,0.0925186,0.775258
0.161534,0.0928099,0.775244
0.15145,0.0951547,0.774862
0.135416,0.0975636,0.777578
0.126703,0.0984724,0.77242
0.114315,0.0982905,0.775418
0.104648,0.0967076,0.788049
0.0978638,0.0955969,0.796913
0.105393,0.100137,0.788717
0.110493,0.11243,0.78261
0.103916,0.10938,0.791176
0.0992647,0.10731,0.797401
0.097711,0.104504,0.801893
0.0968779,0.103317,0.809537
0.107644,0.104235,0.807582
0.112844,0.107355,0.80188
0.129223,0.113466,0.800586
0.121676,0.116614,0.810902
0.112204,0.117527,0.824177
0.104289,0.119301,0.836043
0.0952201,0.121513,0.848789
0.107897,0.125698,0.879885
0.115487,0.132187,0.915733
0.127159,0.134486,0.940479
0.124864,0.127365,0.958217
0.134751,0.117734,0.970688
0.140053,0.115942,0.979173
0.144324,0.114718,0.984802
0.138545,0.116821,0.988709
0.130719,0.117757,0.991633
0.108836,0.123642,0.994186
0.0980068,0.129169,0.99538
0.103138,0.135325,0.99508
0.106556,0.137588,0.994258
0.113055,0.139177,0.993563
0.124902,0.141156,0.992879
0.11675,0.14375,0.990001
0.111029,0.147905,0.987684
0.107272,0.150736,0.986055
0.106016,0.14783,0.984423
0.114497,0.145157,0.983043
0.115224,0.143361,0.981817
0.115367,0.142032,0.980977
0.116736,0.133082,0.977932
0.115048,0.127205,0.977229
0.127606,0.126877,0.976446
0.140704,0.125804,0.975328
