AU02,AU04cand,Smile_v2
0.318182,0.171054,0.939551
0.318182,0.171054,0.939551
0.280515,0.14535,0.957106
0.240025,0.170278,0.966032
0.210191,0.165908,0.970951
0.193581,0.167146,0.976482
0.18168,0.151581,0.979112
0.180414,0.143483,0.954373
0.18985,0.132621,0.952272
0.168343,0.132882,0.961601
0.17115,0.160477,0.955507
0.165504,0.157952,0.959269
0.162276,0.165949,0.962169
0.133869,0.166975,0.968108
0.109042,0.196054,0.964816
0.0966619,0.166294,0.960096
0.0994355,0.147823,0.963849
0.112622,0.139116,0.952089
0.121582,0.133161,0.943423
0.121061,0.132625,0.939353
0.123952,0.153274,0.918396
0.130009,0.171341,0.915858
0.13426,0.183751,0.914059
0.121512,0.166133,0.865148
0.119061,0.150305,0.876201
0.117194,0.140648,0.884024
0.123169,0.136161,0.90542
0.118146,0.169491,0.911364
0.123507,0.185914,0.924003
0.133836,0.180979,0.925242
0.130818,0.199827,0.914553
0.132399,0.196311,0.903896
0.134778,0.18733,0.897258
0.18643,0.152654,0.891697
0.351966,0.119505,0.870288
0.459238,0.0951895,0.892595
0.53429,0.0780597,0.907783
0.574518,0.0664312,0.917344
0.602489,0.0584731,0.923808
0.625741,0.0526264,0.933044
0.642351,0.0478597,0.939875
0.623431,0.0502499,0.94439
0.610118,0.0521156,0.947534
0.581573,0.0579872,0.954723
0.557795,0.0623648,0.960237
0.541367,0.0654671,0.963026
0.529839,0.0676439,0.964983
0.522118,0.0691295,0.966395
0.516699,0.0701719,0.967387
0.512787,0.0709246,0.967953
0.510042,0.0714528,0.96835
0.508997,0.0716714,0.968639
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.508264,0.0718248,0.968842
0.410523,0.132407,0.975333
0.330513,0.165269,0.980462
0.266754,0.165646,0.983069
0.222014,0.167658,0.983949
0.199505,0.145247,0.983869
0.177364,0.145949,0.978752
0.180868,0.143792,0.972488
0.179518,0.143759,0.964599
0.174763,0.153419,0.9553
0.172696,0.15309,0.951977
0.18169,0.147162,0.953009
0.188333,0.143283,0.953715
0.185598,0.145159,0.95069
0.183678,0.146426,0.948594
0.182075,0.148004,0.947144
0.198904,0.137547,0.947254
0.210162,0.130286,0.947409
0.218172,0.125148,0.947619
0.223903,0.121262,0.947875
0.227888,0.118741,0.947962
0.230464,0.117087,0.94792
0.232271,0.115925,0.947891
0.23376,0.114997,0.947973
0.234804,0.114345,0.948031
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.235537,0.113887,0.948072
0.213958,0.129669,0.661002
0.202624,0.141281,0.458898
0.176899,0.144164,0.315002
0.158849,0.146188,0.21403
0.152529,0.155278,0.143055
0.150633,0.159241,0.0959388
0.146764,0.183977,0.0632766
0.151666,0.196299,0.0442579
0.155105,0.194988,0.0325997
0.15498,0.214232,0.0316369
0.18852,0.200724,0.0519067
0.173864,0.179949,0.0764869
0.161555,0.209346,0.0898488
0.152918,0.211161,0.112725
0.141596,0.21728,0.120302
0.15135,0.222432,0.153111
0.164614,0.179124,0.219593
0.173701,0.14888,0.266131
0.180077,0.127946,0.298737
0.184625,0.112672,0.321409
0.175437,0.10974,0.327837
0.170092,0.108009,0.332049
0.166414,0.105526,0.335118
0.163834,0.104329,0.336882
0.16217,0.103341,0.338364
0.160488,0.102626,0.338607
0.159125,0.103464,0.337519
0.158168,0.104051,0.336755
0.157496,0.104464,0.336219
0.157025,0.104753,0.335843
0.20653,0.124761,0.419709
0.186685,0.130483,0.46557
0.168952,0.145589,0.461218
0.167933,0.14469,0.488441
0.174834,0.136634,0.505722
0.179677,0.143643,0.515374
0.17165,0.15522,0.588746
0.183789,0.177849,0.636164
0.180883,0.196934,0.680082
0.180113,0.210165,0.728753
0.170524,0.223779,0.766917
0.162836,0.225651,0.763539
0.163898,0.208886,0.736841
0.157966,0.211478,0.665284
0.153584,0.213511,0.615125
0.147969,0.209493,0.592494
0.14436,0.20648,0.574687
0.141314,0.203946,0.562309
0.142045,0.196004,0.574952
0.142522,0.190436,0.583307
0.143077,0.186387,0.588983
0.143539,0.183775,0.59385
0.14368,0.182456,0.598
0.143963,0.181125,0.602415
0.144161,0.18019,0.605513
0.144374,0.179682,0.607326
0.144523,0.179325,0.608598
0.144628,0.179075,0.60949
0.144628,0.179075,0.60949
0.163669,0.155888,0.631373
0.169413,0.15351,0.647937
0.188677,0.15062,0.704771
0.176806,0.156641,0.770951
0.184979,0.164954,0.822547
0.189444,0.168604,0.853775
0.205271,0.169659,0.884863
0.199875,0.167777,0.907547
0.177048,0.201746,0.91865
0.163569,0.209513,0.926614
0.175139,0.213611,0.93913
0.164438,0.191647,0.944784
0.176798,0.164957,0.944455
0.190014,0.212855,0.897984
0.19881,0.248103,0.863268
0.1809,0.229627,0.885719
0.174313,0.222249,0.903176
0.170168,0.217149,0.9154
0.161464,0.201543,0.922152
0.155283,0.191058,0.926884
0.150321,0.183759,0.929986
0.14739,0.179345,0.932252
0.144746,0.176575,0.933929
0.14278,0.172696,0.936422
0.141401,0.169923,0.938228
0.151286,0.169301,0.933577
0.158038,0.168705,0.930257
0.162777,0.168286,0.927927
0.166285,0.168311,0.92635
0.168747,0.168328,0.925242
0.171744,0.166467,0.932483
0.182733,0.160429,0.93202
0.166326,0.151844,0.941142
0.161159,0.142796,0.936382
0.160073,0.134154,0.930505
0.161556,0.1332,0.938386
0.143555,0.135004,0.941012
0.13981,0.156448,0.913233
0.158761,0.168828,0.882248
0.15048,0.176518,0.840857
0.17002,0.178628,0.856994
0.168241,0.148156,0.884135
0.194348,0.125582,0.909708
0.195982,0.102961,0.922233
0.20594,0.0833604,0.930083
0.235703,0.0678359,0.931744
0.227944,0.0534452,0.943876
0.241282,0.0454863,0.95722
0.248748,0.0416964,0.960481
0.239379,0.045457,0.966054
0.23207,0.0481926,0.96865
0.245153,0.0460726,0.956007
0.258639,0.0491126,0.948704
0.286352,0.0562098,0.945176
0.30681,0.0614822,0.940755
0.295117,0.076542,0.937891
0.302989,0.0870062,0.927736
0.281305,0.0889973,0.899019
0.264857,0.0858232,0.886312
0.268988,0.0864551,0.865195
0.271887,0.0868985,0.850378
0.259444,0.0973834,0.837279
0.259451,0.0846979,0.85095
0.24371,0.0934617,0.845305
0.258014,0.0818857,0.817603
0.244669,0.0853839,0.806225
0.242479,0.0808423,0.795377
0.297567,0.0851857,0.774078
0.281676,0.0860592,0.755224
0.31959,0.0833341,0.747778
0.316998,0.0748827,0.714972
0.309237,0.0784479,0.713385
0.308612,0.0818251,0.692104
0.29465,0.0909092,0.662608
0.266348,0.0924005,0.661403
0.272573,0.0936232,0.662965
0.261489,0.100415,0.673754
0.252094,0.104967,0.681739
0.245813,0.106196,0.678265
0.239972,0.106995,0.653906
0.248143,0.105496,0.663842
0.251521,0.0958378,0.685763
0.308328,0.0931664,0.697015
0.29528,0.0913654,0.677027
0.341221,0.0823771,0.724882
0.366377,0.0783999,0.770904
0.384469,0.0754432,0.80292
0.338774,0.0955378,0.862714
0.295322,0.118376,0.906089
0.264831,0.134405,0.937156
0.260877,0.14137,0.958433
0.251828,0.149982,0.972829
0.235013,0.213775,0.983011
0.237451,0.267115,0.991208
0.232505,0.339177,0.995208
0.227948,0.35632,0.997714
0.218404,0.277741,0.999478
0.214666,0.242682,0.999644
0.213643,0.204954,0.99973
0.204039,0.188664,0.999801
0.246292,0.174704,0.999831
0.255814,0.154062,0.99981
0.255137,0.133958,0.999804
0.270796,0.123889,0.999766
0.267968,0.117777,0.999779
0.254596,0.116743,0.999785
0.261899,0.125538,0.999816
0.266986,0.13111,0.999837
0.254017,0.13855,0.999866
0.259137,0.164319,0.999883
0.263836,0.174006,0.999888
0.304532,0.179545,0.999894
0.343465,0.171276,0.999857
0.311915,0.181188,0.999877
0.300336,0.175779,0.999853
0.316659,0.157598,0.999842
0.330174,0.145795,0.999825
0.321887,0.128957,0.999861
0.272121,0.119538,0.999875
0.307881,0.100759,0.99988
0.316399,0.0910779,0.999871
0.295923,0.0964298,0.99985
0.316803,0.0843579,0.999858
0.284909,0.0926509,0.999827
0.276198,0.0881654,0.999839
0.298582,0.0875499,0.999814
0.300253,0.0996478,0.999786
0.295593,0.121282,0.999796
0.305034,0.127254,0.99977
0.294368,0.131856,0.9997
0.305133,0.123823,0.999704
0.303266,0.140859,0.999665
0.286965,0.141812,0.999621
0.295963,0.162884,0.999632
0.301872,0.177978,0.99964
0.316598,0.164652,0.999325
0.304487,0.159621,0.99897
0.312674,0.149528,0.998441
0.293971,0.149041,0.99836
0.305405,0.134353,0.998108
0.28118,0.120606,0.998045
0.260667,0.125841,0.995254
0.239061,0.136019,0.983989
0.214463,0.127829,0.916333
0.198472,0.132207,0.843065
0.186921,0.13597,0.791661
0.207402,0.142743,0.641651
0.199717,0.196504,0.549334
0.208986,0.191262,0.493522
0.205906,0.196128,0.446406
0.193239,0.257142,0.391506
0.181922,0.287516,0.342797
0.188165,0.262167,0.315885
0.187725,0.240025,0.282816
0.226729,0.206746,0.30472
0.198247,0.227132,0.284906
0.18253,0.200744,0.344204
0.173395,0.218303,0.357181
0.151349,0.226363,0.418398
0.164062,0.213174,0.464258
0.158081,0.196979,0.465464
0.143803,0.202796,0.478416
0.151151,0.201501,0.538015
0.156454,0.200731,0.580297
0.162845,0.241721,0.575829
0.16006,0.216455,0.638499
0.163036,0.214953,0.683838
0.165088,0.212814,0.71647
0.169507,0.226504,0.754815
0.1718,0.236649,0.781645
0.17385,0.214432,0.800563
0.175582,0.198355,0.813496
0.177552,0.185022,0.816763
0.178935,0.175666,0.819056
0.198836,0.234301,0.83286
0.191478,0.244561,0.82186
