AU02,AU04cand,Smile_v2
0.42562,0.315497,0.108922
0.42562,0.315497,0.108922
0.43692,0.317019,0.113735
0.43247,0.315677,0.115766
0.415155,0.329905,0.110591
0.404702,0.338494,0.107467
0.404786,0.337512,0.110131
0.425794,0.360533,0.105984
0.430883,0.373779,0.10124
0.430535,0.403272,0.0894905
0.430338,0.424486,0.0811774
0.4302,0.439372,0.075344
0.429883,0.449788,0.0711569
0.429881,0.457144,0.0682239
0.430246,0.461935,0.0663217
0.398769,0.424711,0.0571134
0.366342,0.395032,0.0523434
0.350617,0.368448,0.049993
0.337301,0.378231,0.0421408
0.328067,0.384502,0.0368775
0.321588,0.379253,0.0349065
0.31831,0.376295,0.0347311
0.316011,0.37422,0.034608
0.30805,0.361598,0.0364706
0.302464,0.352741,0.0377776
0.304541,0.344235,0.0394526
0.301214,0.345547,0.0406989
0.299929,0.349213,0.0410411
0.2991,0.350964,0.0414625
0.298519,0.354343,0.0416851
0.293033,0.351291,0.0383657
0.295494,0.340708,0.0372041
0.316262,0.330255,0.0387579
0.304361,0.312534,0.0378213
0.29728,0.299515,0.0387081
0.294703,0.292444,0.0398109
0.296849,0.294505,0.0395324
0.293242,0.301256,0.0386195
0.29071,0.305993,0.0379789
0.307974,0.299565,0.0366614
0.317696,0.29452,0.0365341
0.312911,0.307362,0.0337657
0.309001,0.31646,0.0317546
0.32734,0.320554,0.0304904
0.333824,0.324456,0.0293547
0.330685,0.321639,0.0297478
0.328371,0.319453,0.0300541
0.325626,0.316276,0.0292128
0.323699,0.308462,0.028775
0.319257,0.320975,0.0308598
0.314945,0.329352,0.0324451
0.316057,0.333361,0.034184
0.314299,0.332313,0.0358286
0.309939,0.334777,0.0375192
0.305794,0.336454,0.0373798
0.305644,0.334845,0.0380699
0.30427,0.337543,0.0398615
0.303342,0.33948,0.0411499
0.30523,0.331998,0.041624
0.30409,0.326007,0.0416586
0.303326,0.321816,0.0416787
0.30268,0.317458,0.042329
0.299761,0.315748,0.040911
0.299056,0.316216,0.0404792
0.306214,0.327765,0.0393148
0.312433,0.334834,0.0384547
0.321911,0.336612,0.0368421
0.323484,0.329458,0.037974
0.318168,0.329765,0.0379124
0.320858,0.33712,0.0374569
0.31386,0.33157,0.0360895
0.315296,0.330079,0.0358444
0.316377,0.328997,0.0357263
0.319638,0.321983,0.0350611
0.315359,0.318307,0.0354545
0.314858,0.319768,0.0366531
0.309282,0.320487,0.0392419
0.305517,0.321234,0.040993
0.301789,0.306675,0.0390909
0.298989,0.296252,0.0377683
0.297282,0.293457,0.0359799
0.2959,0.296096,0.0345946
0.297469,0.302204,0.0330414
0.303574,0.301398,0.0329185
0.308042,0.300787,0.0328081
0.313642,0.294728,0.0313038
0.317719,0.290488,0.0301985
0.326926,0.285208,0.0297638
0.333424,0.281936,0.0295501
0.337983,0.27658,0.028676
0.333566,0.274023,0.0286282
0.330467,0.272093,0.0285979
0.326949,0.270352,0.0287403
0.319257,0.286526,0.028174
0.315128,0.300135,0.0280191
0.313427,0.309214,0.0284557
0.307155,0.31485,0.029271
0.298763,0.329947,0.0296777
0.292874,0.340495,0.0299497
0.293819,0.343452,0.0302082
0.297242,0.348613,0.0305517
0.303451,0.35736,0.0308527
0.307845,0.363506,0.0310596
0.307268,0.363802,0.032087
0.305556,0.357516,0.0325895
0.304318,0.353203,0.0337957
0.308674,0.348179,0.0319984
0.311841,0.344334,0.0307417
0.312794,0.343502,0.0294539
0.313315,0.341649,0.0286273
0.313608,0.339809,0.0285662
0.314972,0.338979,0.0281829
0.31593,0.336977,0.027472
0.312904,0.33219,0.0272821
0.314625,0.328399,0.0278028
0.315833,0.313895,0.0302292
0.307648,0.300879,0.0316268
0.308251,0.310508,0.0323417
0.298557,0.32018,0.0339201
0.300639,0.339007,0.0330928
0.30464,0.333105,0.0334738
0.30741,0.328946,0.033751
0.304276,0.327072,0.03394
0.311073,0.330095,0.0351019
0.303039,0.339831,0.035436
0.29994,0.33503,0.0356467
0.298022,0.331744,0.0358056
0.297762,0.328223,0.0341745
0.297874,0.324402,0.0330548
0.296426,0.318794,0.0332589
0.296605,0.313451,0.033693
0.29927,0.309822,0.0335319
0.308903,0.310703,0.033161
0.309059,0.309802,0.0334986
0.303189,0.300187,0.0347576
0.298996,0.293787,0.0356399
0.298593,0.292285,0.0370527
0.295734,0.29561,0.0389524
0.286112,0.297624,0.0388206
0.284474,0.305336,0.0377086
0.288366,0.296409,0.0391181
0.291023,0.290141,0.0401207
0.286321,0.286906,0.0396429
0.290821,0.288234,0.0397441
0.294162,0.28942,0.0397859
0.287621,0.288653,0.0393368
0.27915,0.287925,0.0385551
0.284703,0.287255,0.0383559
0.301514,0.276562,0.0391382
0.301739,0.27307,0.0383627
0.304289,0.271423,0.0378608
0.298462,0.271511,0.0362851
0.293287,0.269404,0.0352616
0.290705,0.266661,0.0345543
0.288893,0.270066,0.0340224
0.287879,0.272465,0.0327274
0.287278,0.274151,0.0318316
0.286525,0.277129,0.0312381
0.280552,0.278594,0.0302284
0.276691,0.280232,0.0297522
0.277717,0.280244,0.0295183
0.279926,0.279573,0.0299961
0.281514,0.279817,0.0304709
0.282591,0.280022,0.0308034
0.280808,0.280103,0.0309149
0.275748,0.2871,0.0321288
0.278545,0.292278,0.0331461
0.280507,0.29586,0.0338587
0.28584,0.290817,0.0379299
0.295928,0.292372,0.0418363
0.302897,0.293495,0.0445744
