AU02,AU04cand,Smile_v2
0.0991736,0.633711,0.000822226
0.0991736,0.633711,0.000822226
0.110474,0.617391,0.000813178
0.117414,0.601905,0.000676063
0.110857,0.656692,0.000687011
0.116698,0.699611,0.000636616
0.117719,0.718987,0.00065621
0.110532,0.735711,0.000675209
0.123712,0.752386,0.000647058
0.128867,0.744007,0.000694698
0.13905,0.736055,0.000652501
0.142388,0.710286,0.000667324
0.149587,0.70515,0.000632081
0.152063,0.707955,0.000604518
0.141363,0.699675,0.000663698
0.157717,0.570629,0.000940967
0.164188,0.476429,0.00102619
0.176565,0.404156,0.0014152
0.191083,0.407116,0.00153653
0.177262,0.521371,0.00150881
0.172458,0.59519,0.00150071
0.170467,0.662145,0.00157733
0.184155,0.688831,0.00135749
0.195102,0.725214,0.00116731
0.204421,0.705187,0.00111805
0.197569,0.722217,0.00108265
0.199254,0.70991,0.000955511
0.201485,0.655337,0.00101229
0.195251,0.652226,0.000912187
0.180151,0.610498,0.000864925
0.163061,0.603547,0.000810616
0.15484,0.59885,0.000740509
0.143553,0.625332,0.000652096
0.157175,0.627268,0.000713689
0.174314,0.640729,0.000864381
0.158781,0.649927,0.000853484
0.14389,0.678787,0.000736857
0.138482,0.697032,0.000750727
0.133638,0.739281,0.000683035
0.140724,0.733743,0.000579926
0.14588,0.729217,0.000508178
0.150658,0.738997,0.000459591
0.151618,0.736249,0.000466246
0.163092,0.649717,0.000539124
0.170923,0.588684,0.00058708
0.18865,0.549162,0.000610535
0.210085,0.504847,0.000618997
0.212286,0.478484,0.000622948
0.184671,0.497417,0.000634117
0.189118,0.456903,0.000639795
0.190969,0.426592,0.000642941
0.19477,0.463988,0.000679225
0.177201,0.535078,0.000649073
0.165811,0.577159,0.000614598
0.19463,0.595848,0.000635135
0.214522,0.608867,0.000649939
0.225685,0.620488,0.000731354
0.193265,0.653679,0.000627322
0.170092,0.643143,0.00058746
0.153133,0.637337,0.000559598
0.138731,0.62943,0.000479491
0.13109,0.631936,0.000416966
0.127586,0.634473,0.000368425
0.12509,0.634523,0.000341077
0.115926,0.646472,0.000363857
0.113304,0.625911,0.000336551
0.111538,0.621221,0.000307407
0.117821,0.593936,0.00030993
0.122266,0.568884,0.000275873
0.124117,0.568127,0.000268245
0.125488,0.567708,0.000264647
0.132724,0.561881,0.000279994
0.119994,0.588113,0.000353394
0.122485,0.62012,0.000431801
0.121878,0.636761,0.000439818
0.117534,0.655622,0.000398431
0.115755,0.626719,0.000371797
0.105437,0.604593,0.00036029
0.107083,0.600461,0.000371858
0.124776,0.589403,0.000609915
0.130845,0.582753,0.000733655
0.137458,0.565708,0.00078944
0.152768,0.546409,0.00119446
0.172066,0.542656,0.00176428
0.178065,0.560207,0.00197918
0.183654,0.565068,0.00227034
0.167229,0.476007,0.00258333
0.152153,0.415529,0.0041524
0.160357,0.434937,0.00428393
0.160559,0.449054,0.00403235
0.158346,0.505584,0.0044291
0.151642,0.551095,0.00439508
0.142835,0.577522,0.00416948
0.136399,0.594692,0.00417118
0.13718,0.639193,0.00397124
0.136422,0.695912,0.00419006
0.155519,0.712878,0.00478998
0.163952,0.727253,0.00517985
0.169318,0.735541,0.00548146
0.17323,0.736499,0.00668517
0.167164,0.674376,0.0115099
0.154168,0.621521,0.0150698
0.159122,0.626513,0.0275347
0.149905,0.631517,0.03252
0.142021,0.637421,0.0310421
0.130178,0.632003,0.0297789
0.120048,0.639596,0.0290104
0.119433,0.626108,0.0254374
0.135504,0.608168,0.029053
0.154397,0.592094,0.0386121
0.160295,0.589319,0.0355642
0.160883,0.579777,0.0328289
0.171046,0.602701,0.035451
0.178545,0.620933,0.038483
0.188921,0.630726,0.0390252
0.176076,0.577262,0.0432958
0.163291,0.556156,0.0401035
0.154137,0.541889,0.0379511
0.161198,0.533403,0.0403341
0.168471,0.543883,0.0493305
0.187759,0.565324,0.0549322
0.198864,0.606178,0.0660217
0.207632,0.665449,0.0737382
0.221401,0.705674,0.0747878
0.230916,0.733984,0.0755743
0.234372,0.762078,0.0871053
0.226752,0.774749,0.0881309
0.230291,0.776124,0.0799404
0.203175,0.751739,0.0952668
0.178996,0.598218,0.0998953
0.19336,0.490412,0.103598
0.220015,0.494877,0.134824
0.228527,0.522229,0.124638
0.234279,0.541459,0.117616
0.235777,0.544464,0.11225
0.236938,0.542949,0.110919
0.236777,0.512136,0.106861
0.230061,0.504434,0.105816
0.235078,0.483414,0.103311
0.20955,0.521994,0.0887646
0.200874,0.507978,0.0929119
0.194308,0.495803,0.0949875
0.212843,0.511104,0.0942004
0.206809,0.462964,0.0985056
0.207725,0.502444,0.120617
0.177904,0.55529,0.110227
0.160823,0.572956,0.100452
0.14902,0.606698,0.100254
0.14302,0.613273,0.104207
0.135847,0.622014,0.10343
0.133058,0.653144,0.113878
0.129832,0.694706,0.117827
0.126907,0.72316,0.12069
0.125405,0.689167,0.128512
0.126743,0.65256,0.126147
0.131103,0.63383,0.118628
0.134052,0.621275,0.113427
0.134852,0.591404,0.128707
0.126454,0.539181,0.116648
0.120671,0.49606,0.111283
0.115271,0.482814,0.104487
0.111518,0.46046,0.09315
0.115231,0.428333,0.0827754
0.143225,0.426335,0.0911293
0.1501,0.445972,0.0968867
0.159929,0.431276,0.102679
0.169365,0.411629,0.1187
0.165867,0.425136,0.118885
0.163671,0.435532,0.119671
