AU02,AU04cand,Smile_v2
0.342975,0.102588,0.225611
0.342975,0.102588,0.225611
0.342975,0.102588,0.225611
0.375518,0.144349,0.244094
0.383129,0.151362,0.226524
0.390524,0.134515,0.218728
0.407331,0.143106,0.266379
0.407889,0.141882,0.28501
0.408263,0.139191,0.348173
0.416133,0.147663,0.362799
0.43493,0.17263,0.346584
0.445582,0.193638,0.308774
0.445439,0.246286,0.281105
0.444605,0.282286,0.261273
0.463317,0.295148,0.215482
0.476374,0.304726,0.183276
0.469973,0.30379,0.166559
0.464505,0.30799,0.153509
0.461939,0.318117,0.153866
0.464994,0.31944,0.154995
0.45027,0.30961,0.158337
0.451435,0.301509,0.151573
0.452473,0.294728,0.14686
0.451932,0.332623,0.121298
0.448463,0.349253,0.110122
0.447297,0.362645,0.103626
0.450729,0.358467,0.0983283
0.451904,0.342249,0.0942254
0.438729,0.342484,0.0859122
0.436953,0.352608,0.0750997
0.448878,0.348955,0.0689695
0.460724,0.337658,0.069004
0.466497,0.339966,0.0672368
0.470585,0.340351,0.0666409
0.483682,0.336003,0.066802
0.492835,0.332902,0.0668761
0.499148,0.331125,0.0669433
0.493459,0.32494,0.0762026
0.487333,0.318452,0.0868535
0.47139,0.314752,0.0844103
0.457296,0.322516,0.0870563
0.447296,0.318046,0.0970453
0.440352,0.325028,0.0937035
0.439288,0.335998,0.0921198
0.448403,0.342897,0.0859627
0.461145,0.348926,0.0827141
0.452315,0.363938,0.086927
0.448952,0.347206,0.100728
0.451743,0.335284,0.108456
0.451493,0.337728,0.133875
0.438698,0.323838,0.132212
0.429719,0.314387,0.130806
0.439921,0.315908,0.131985
0.4457,0.299073,0.128245
0.438036,0.276122,0.150871
0.4439,0.259529,0.149421
0.44599,0.257358,0.151326
0.438497,0.279953,0.146456
0.444517,0.28562,0.144042
0.441198,0.288061,0.136863
0.446853,0.294768,0.125291
0.45336,0.297041,0.112746
0.448563,0.328956,0.101985
0.447772,0.346565,0.0888212
0.446278,0.389421,0.079842
0.453785,0.383484,0.0715576
0.452779,0.391252,0.0716588
0.452331,0.396029,0.0719002
0.451685,0.381746,0.0702466
0.45653,0.393518,0.0690863
0.454632,0.391989,0.0637893
0.451957,0.391456,0.057428
0.466839,0.385898,0.0543274
0.456899,0.382276,0.0546241
0.455038,0.372162,0.0519728
0.456013,0.376072,0.0515687
0.453073,0.392846,0.0581649
0.454819,0.396138,0.063135
0.456043,0.398967,0.0666746
0.459294,0.394341,0.0700742
0.460453,0.382677,0.070489
0.462573,0.373622,0.0743072
0.463582,0.364186,0.0806369
0.466148,0.375075,0.0782226
0.467801,0.374211,0.0810075
0.472696,0.382534,0.0768323
0.474971,0.377888,0.0765329
0.475188,0.382193,0.0790684
0.474071,0.399183,0.0814853
0.48083,0.405883,0.0839475
0.464031,0.395779,0.0757908
0.478862,0.386463,0.0848715
0.461343,0.373939,0.0833631
0.452822,0.353226,0.082366
0.454458,0.345488,0.0917815
0.454227,0.360433,0.0948473
0.450294,0.360448,0.10921
0.458994,0.355889,0.102704
0.463867,0.35136,0.101762
0.467066,0.348338,0.101079
0.46105,0.336187,0.121303
0.464942,0.329932,0.140493
0.462135,0.339262,0.147624
0.451169,0.334127,0.154626
0.445793,0.331957,0.163425
0.445865,0.32169,0.17932
0.451103,0.322451,0.205196
0.454448,0.323112,0.223831
0.451755,0.313591,0.236011
0.456212,0.316514,0.257296
0.453249,0.304075,0.294949
0.454722,0.29672,0.327401
0.455938,0.288158,0.347465
0.448164,0.282312,0.339315
0.443904,0.292128,0.333223
0.443344,0.297127,0.356876
0.447881,0.305568,0.356688
0.448526,0.311804,0.347789
0.447857,0.31863,0.337631
0.442125,0.320783,0.338049
0.449712,0.311028,0.330496
0.460003,0.343061,0.295882
0.451991,0.342553,0.268925
0.451704,0.350837,0.235608
0.451466,0.356245,0.212237
0.447417,0.359896,0.192389
0.445699,0.344676,0.187051
0.452183,0.351268,0.185115
0.456769,0.341178,0.164731
0.451249,0.316223,0.16378
0.461007,0.317149,0.152547
0.471516,0.31829,0.142384
0.479331,0.309852,0.151333
0.475783,0.315396,0.158388
0.473293,0.318952,0.163739
0.467847,0.328715,0.168411
0.458912,0.341547,0.167521
0.449883,0.34818,0.171488
0.446086,0.352875,0.175318
0.44241,0.358147,0.176389
0.438156,0.35975,0.186286
0.433792,0.361822,0.178048
0.421844,0.37015,0.181004
0.413718,0.374827,0.172001
0.41817,0.37383,0.166636
0.417596,0.377125,0.170584
0.417341,0.379278,0.173467
0.415966,0.381043,0.168037
0.412388,0.377885,0.163724
0.414992,0.379602,0.167463
0.420664,0.381021,0.170383
0.425951,0.383488,0.167791
0.446419,0.369678,0.169749
0.455704,0.363005,0.168705
0.463195,0.340827,0.176778
0.464754,0.331854,0.176558
0.458231,0.324391,0.175846
0.444806,0.317807,0.176567
0.444344,0.321583,0.193746
0.431179,0.317079,0.21949
0.431986,0.312067,0.235697
0.432515,0.30755,0.242753
0.434948,0.306501,0.234971
0.44188,0.310879,0.224132
0.445437,0.322367,0.227575
0.454391,0.325115,0.229837
0.460894,0.327077,0.231441
0.459368,0.334001,0.221751
0.466925,0.33653,0.200507
0.472595,0.338509,0.185197
0.463587,0.337001,0.184221
0.461073,0.343962,0.182944
0.461775,0.334449,0.192511
0.460851,0.318574,0.195235
0.457701,0.320754,0.191333
0.457845,0.315555,0.192765
0.456677,0.310161,0.192579
0.456041,0.306217,0.192761
0.461685,0.313906,0.200069
0.454221,0.316954,0.209437
0.44935,0.322547,0.212781
0.443284,0.326651,0.214204
0.44657,0.326091,0.215696
0.448912,0.325959,0.216864
0.455707,0.329487,0.20966
0.469287,0.331727,0.194501
0.457273,0.32884,0.187475
0.450113,0.330232,0.182756
0.449982,0.334326,0.194124
0.454029,0.334198,0.197705
0.456869,0.334355,0.193589
0.466551,0.34216,0.182203
0.464239,0.351498,0.189154
0.460078,0.355165,0.191028
0.445587,0.362787,0.188963
0.435162,0.368149,0.187803
0.443703,0.364666,0.179428
0.44839,0.350437,0.178851
0.451532,0.340354,0.178016
0.457435,0.3373,0.178574
0.457769,0.339731,0.183281
0.455244,0.310074,0.231319
0.446113,0.326146,0.299822
0.430894,0.318888,0.345002
0.439586,0.338896,0.342142
0.417759,0.332463,0.375773
0.403271,0.323772,0.384775
0.391873,0.333227,0.409727
0.385144,0.336687,0.436533
0.377773,0.321307,0.45019
0.39556,0.297746,0.432025
0.406845,0.292204,0.422635
0.420062,0.294129,0.396653
0.418169,0.282619,0.374018
0.411212,0.289051,0.345579
0.407138,0.294157,0.324592
0.397897,0.275459,0.318247
0.390179,0.262429,0.302501
0.384727,0.253377,0.291184
0.386052,0.240625,0.293059
0.374896,0.226648,0.307726
0.362027,0.223655,0.332969
0.369352,0.209346,0.347683
0.376092,0.201115,0.362926
0.386045,0.197396,0.371532
0.39303,0.194787,0.377571
0.401923,0.192245,0.35276
0.4082,0.187425,0.359749
0.412604,0.186014,0.361801
0.415548,0.187044,0.353373
0.425561,0.183994,0.356646
0.431464,0.177334,0.35048
0.431321,0.187065,0.346068
0.443877,0.19582,0.333277
0.438578,0.192504,0.344195
0.442476,0.19214,0.378118
0.447639,0.182182,0.4155
0.452532,0.175433,0.459314
0.453427,0.167806,0.500248
0.451516,0.161618,0.535242
0.449954,0.157389,0.559521
0.442548,0.1418,0.589157
0.434923,0.137844,0.614346
0.422858,0.127217,0.612155
0.432568,0.12289,0.613681
0.430275,0.118754,0.597611
0.428592,0.116134,0.585965
0.426106,0.120363,0.60118
0.418087,0.119516,0.620858
0.416342,0.119701,0.633369
0.413849,0.12135,0.640494
0.41736,0.123659,0.645996
0.41355,0.133488,0.633726
0.404714,0.13128,0.616117
0.399269,0.129005,0.598488
0.400782,0.130246,0.583606
0.395498,0.123338,0.55835
0.394365,0.124751,0.549825
