AU02,AU04cand,Smile_v2
0.14876,0.416223,0.0124839
0.14876,0.416223,0.0124839
0.178894,0.324653,0.0116117
0.194689,0.368694,0.0117175
0.204916,0.324155,0.0110883
0.233485,0.278235,0.0128423
0.247606,0.268099,0.0145513
0.224137,0.260824,0.0163578
0.239255,0.277667,0.0160747
0.216534,0.303389,0.0161934
0.225513,0.323892,0.0140304
0.239429,0.33267,0.018171
0.240991,0.34102,0.022005
0.224279,0.337086,0.0287379
0.215053,0.314351,0.0316146
0.202915,0.277294,0.0320817
0.194507,0.25077,0.0323932
0.209836,0.234146,0.0402626
0.203209,0.223479,0.0450622
0.195706,0.198553,0.0445296
0.197359,0.203248,0.0484146
0.209723,0.198114,0.0935266
0.21735,0.221828,0.140137
0.228293,0.277235,0.19942
0.235899,0.352694,0.298681
0.232497,0.420796,0.332561
0.228841,0.502279,0.369778
0.230765,0.544227,0.408894
0.223707,0.606427,0.453843
0.22902,0.62276,0.438571
0.219833,0.700759,0.461504
0.213057,0.755739,0.476365
0.214685,0.729485,0.527918
0.233452,0.73673,0.560313
0.246621,0.740773,0.581378
0.247233,0.769108,0.591687
0.247699,0.788015,0.598533
0.241533,0.769734,0.602688
0.246348,0.789869,0.59633
0.241817,0.820911,0.604885
0.241544,0.800301,0.622573
0.254046,0.784472,0.648252
0.25121,0.756727,0.682027
0.271555,0.725527,0.660196
0.264252,0.724378,0.651809
0.250499,0.712841,0.634686
0.251003,0.691586,0.611374
0.25281,0.655494,0.589407
0.251282,0.705433,0.591733
0.2517,0.732972,0.611054
0.246842,0.725704,0.649863
0.269722,0.718623,0.594717
0.278492,0.706491,0.531802
0.289062,0.70975,0.436837
0.288218,0.714769,0.342854
0.287883,0.718579,0.277235
0.258158,0.714542,0.199458
0.253766,0.72008,0.149173
0.257103,0.710118,0.129326
0.25687,0.705858,0.114765
0.245429,0.680761,0.0883375
0.241707,0.674005,0.0665816
0.225352,0.67933,0.0515887
0.231501,0.69858,0.0467467
0.224648,0.715858,0.0419557
0.207145,0.66666,0.0363356
0.21348,0.658884,0.0390859
0.223794,0.638632,0.0474016
0.22704,0.638992,0.0543371
0.242085,0.658504,0.0758075
0.245356,0.68676,0.0877394
0.261468,0.706735,0.101446
0.242712,0.724961,0.12346
0.243001,0.740676,0.145951
0.238456,0.753013,0.157029
0.239443,0.736128,0.153573
