AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.161157,0.165229,0.0803569
0.272858,0.326783,0.0838536
0.235132,0.315507,0.100698
0.188105,0.248891,0.0722133
0.153168,0.312822,0.0649901
0.137678,0.352866,0.0696385
0.126487,0.391653,0.0551402
0.100806,0.411622,0.0468692
0.11444,0.404074,0.0363593
0.123714,0.39894,0.0292111
0.112034,0.317202,0.0235291
0.116112,0.255505,0.0188888
0.183874,0.199157,0.0155671
0.235893,0.175698,0.0206869
0.245958,0.162876,0.0197664
0.256682,0.1614,0.0153545
0.280746,0.157353,0.0148889
0.282913,0.15279,0.0131903
0.278475,0.138898,0.0110928
0.280438,0.128345,0.00929512
0.275983,0.12417,0.00833447
0.273722,0.132068,0.00910485
0.266491,0.193343,0.0172046
0.267653,0.179594,0.024688
0.241314,0.156238,0.026951
0.232877,0.1504,0.0417146
0.206169,0.131988,0.0446871
0.241182,0.112072,0.0371657
0.258281,0.0979102,0.0318061
0.262517,0.084673,0.0278619
0.278367,0.0700115,0.0233573
0.260256,0.0717576,0.0207898
0.254005,0.0679959,0.0210661
0.240549,0.0693502,0.0184499
0.28269,0.0758535,0.0221618
0.275155,0.0824798,0.0229073
0.26157,0.0769037,0.026367
0.240339,0.0913672,0.0271043
0.228201,0.108565,0.0260543
0.193247,0.140281,0.0207172
0.181046,0.160306,0.0157365
0.189831,0.172962,0.0122721
0.24024,0.165329,0.00959786
0.258098,0.152851,0.00896455
0.257735,0.130955,0.00792542
0.263624,0.123575,0.00725096
0.275629,0.12596,0.00931173
0.253882,0.158402,0.00820161
0.232202,0.178844,0.00720382
0.225377,0.162018,0.00710984
0.206257,0.135217,0.00676913
0.192363,0.11644,0.00652864
0.168634,0.101447,0.00666837
0.162653,0.0934517,0.00691007
0.158786,0.0882175,0.00709231
0.143232,0.0718708,0.00883023
0.152407,0.090122,0.0129152
0.158458,0.107658,0.0130799
0.174312,0.122992,0.0130451
0.166176,0.115292,0.0108638
0.20276,0.0933651,0.0100874
0.201774,0.0831038,0.0082095
0.22176,0.0794592,0.00760132
0.232951,0.0738578,0.00674834
0.230649,0.0783835,0.00675309
0.229401,0.0819193,0.00670982
0.213975,0.0803185,0.0059632
0.191762,0.0853541,0.00679678
0.186,0.0920556,0.00747135
0.182508,0.0992505,0.00678453
0.190269,0.112766,0.00640335
0.201564,0.108585,0.00539248
0.208902,0.10555,0.00466235
0.217933,0.10234,0.00429287
0.225833,0.0985575,0.00340402
0.231377,0.0959035,0.00278031
0.234402,0.0958594,0.00259135
0.236855,0.0956454,0.00242179
0.240821,0.0838878,0.00240179
0.249951,0.0904689,0.00235011
0.247141,0.0863065,0.00242651
0.237406,0.0943036,0.00263333
0.231845,0.0882593,0.00266793
0.240526,0.0864912,0.00271156
0.244042,0.0804377,0.00280138
0.237623,0.0970943,0.00254349
0.233156,0.108732,0.00235586
0.23256,0.116947,0.00210522
0.233338,0.0981577,0.00288367
0.2337,0.0845423,0.00343203
0.254521,0.0720846,0.00307949
0.25285,0.0654765,0.00253055
0.261796,0.0691737,0.00203772
0.253743,0.0741018,0.00172781
0.236741,0.0789221,0.00151393
0.245377,0.0834985,0.00169417
0.265401,0.0864498,0.00179467
0.261607,0.0945221,0.00183856
0.262716,0.0972427,0.00193319
0.257147,0.106653,0.00179217
0.258999,0.120009,0.00166969
0.25316,0.14189,0.00145116
0.248768,0.152079,0.00134088
0.24736,0.158459,0.00126699
0.246703,0.162901,0.00121501
0.257078,0.169601,0.00115946
0.265224,0.164909,0.000986596
0.266376,0.153154,0.00116414
0.254381,0.138555,0.00170919
0.246148,0.112018,0.00244075
0.240187,0.0957297,0.00312125
0.237494,0.0910705,0.0037376
0.229257,0.102106,0.00457741
0.233596,0.101042,0.00399593
0.227755,0.104973,0.00493244
0.224594,0.0952953,0.00483916
0.232495,0.121581,0.00475614
0.231839,0.122244,0.0067866
0.24444,0.118307,0.00693616
0.250744,0.11253,0.00800681
0.237395,0.120416,0.00903731
0.250841,0.115509,0.00988794
0.243958,0.13078,0.0102436
0.243911,0.182222,0.00978188
0.244136,0.198776,0.00974981
0.235371,0.157204,0.00798176
0.228927,0.141437,0.0074078
0.22078,0.12374,0.00952771
0.231198,0.129937,0.0100194
0.244929,0.129123,0.00998466
0.250001,0.107109,0.0117852
0.255437,0.0935436,0.0141595
0.23942,0.0775553,0.0196587
0.23438,0.0659207,0.0215502
0.235921,0.0649796,0.0228088
0.242337,0.0683977,0.023818
0.246839,0.0731355,0.0202967
0.239954,0.103676,0.0175985
0.234644,0.124571,0.015735
0.225658,0.106505,0.0137798
0.236001,0.0966486,0.0131112
0.243185,0.0906467,0.0149407
0.237389,0.0881084,0.0145791
0.253449,0.0866597,0.0154271
0.260763,0.106335,0.0199638
0.265748,0.120069,0.023145
0.270516,0.130659,0.0271089
0.251306,0.127371,0.0248767
0.254329,0.138381,0.0232413
0.259136,0.137336,0.0235844
0.267108,0.144716,0.0203463
0.260009,0.138301,0.0181638
0.261705,0.136897,0.0176199
0.262307,0.135901,0.017208
0.267917,0.107761,0.020234
0.274393,0.0926458,0.0213706
0.2789,0.0820097,0.0221215
0.278916,0.0765609,0.025259
0.279719,0.0704575,0.028446
0.280209,0.066456,0.0306397
0.266443,0.0720744,0.032081
0.276191,0.0685745,0.0337173
0.273962,0.0630125,0.0348097
0.272398,0.0591096,0.0355762
0.272422,0.0554657,0.035476
0.272366,0.0527747,0.0343591
0.272327,0.0508864,0.0335754
0.277487,0.0496068,0.0331399
0.256953,0.0720562,0.0334587
0.240006,0.0894025,0.0325868
0.228518,0.096604,0.0326358
0.232599,0.0964274,0.0299318
0.234451,0.0916943,0.027369
0.23702,0.0895869,0.0246731
0.238786,0.0881569,0.022797
0.240025,0.0847928,0.021668
0.240894,0.0801264,0.0199676
0.246435,0.0789141,0.0191002
0.253559,0.0709221,0.0180212
0.259902,0.0632188,0.0166729
