AU02,AU04cand,Smile_v2
0.227273,0.967051,0.00496932
0.227273,0.967051,0.00496932
0.351573,0.715816,0.0338923
0.219646,0.724956,0.0744918
0.14218,0.785802,0.0868862
0.102417,0.772481,0.0756738
0.0744547,0.785759,0.0553996
0.0547869,0.811802,0.0395845
0.049312,0.824989,0.0286545
0.0392415,0.834287,0.0208819
0.0305927,0.839549,0.0156383
0.0676824,0.824686,0.0113924
0.0976304,0.852919,0.00784914
0.119135,0.858104,0.00451163
0.144491,0.867239,0.00241161
0.157021,0.878289,0.00136875
0.157002,0.881529,0.000938796
0.150679,0.847766,0.000700195
0.132058,0.822128,0.000594037
0.136946,0.754606,0.00075489
0.123875,0.762866,0.000852255
0.117262,0.792264,0.00116675
0.118784,0.833853,0.00109055
0.106,0.812732,0.000960536
0.08658,0.822732,0.000860844
0.0756388,0.85057,0.000884354
0.0694878,0.87988,0.000787215
0.0666248,0.881197,0.000825684
0.0700973,0.851908,0.000848828
0.0682116,0.864612,0.000707608
0.0699047,0.82646,0.000683808
0.0811375,0.789901,0.000833331
0.0888359,0.763613,0.000946843
0.0882952,0.769999,0.000936355
0.100903,0.796831,0.000870435
0.0944446,0.828317,0.000831943
0.0746434,0.844925,0.00111825
0.0734057,0.860819,0.0013554
0.0660434,0.850985,0.00168241
0.0647956,0.835533,0.00193534
0.0511529,0.87219,0.00209992
0.0501714,0.903635,0.0023554
0.0418664,0.921074,0.00283828
0.0400306,0.939274,0.002919
0.0396444,0.878351,0.00439277
0.0372755,0.872531,0.00394961
0.0297073,0.888399,0.0056669
0.0240293,0.899427,0.00687079
0.0265755,0.907067,0.00571365
0.0295214,0.920283,0.0057108
0.0319559,0.92822,0.0057091
0.0422926,0.924371,0.00548336
0.0446888,0.880574,0.0048619
0.0449907,0.828398,0.00455677
0.0438965,0.873005,0.00409316
0.0457408,0.863945,0.00343977
0.0396025,0.847571,0.00343365
0.0352952,0.836082,0.00342937
0.0384359,0.804453,0.00372611
0.0469499,0.800331,0.00426423
0.0529241,0.745979,0.00705262
0.0492429,0.785211,0.00882879
0.0468068,0.787125,0.0102758
0.0464034,0.809332,0.010117
0.042349,0.79504,0.00847664
0.044508,0.802765,0.00715194
0.0576677,0.799058,0.00632722
0.0669019,0.796457,0.0057485
0.0617736,0.763498,0.00550881
0.0579914,0.782342,0.00563033
0.0477212,0.820875,0.00662758
0.0407349,0.845682,0.00733276
0.0358327,0.811278,0.00822268
0.0513965,0.79792,0.00950117
0.0535424,0.831715,0.00942243
0.0561705,0.842243,0.0105166
0.0526066,0.823955,0.0118207
0.0399508,0.837351,0.0105127
0.0390171,0.787064,0.0181458
0.0383619,0.808199,0.020585
0.0419307,0.807797,0.0196838
0.0393574,0.806002,0.0184968
0.0375518,0.806265,0.0176523
0.0408111,0.811888,0.0186237
0.0433554,0.845662,0.0215334
0.045104,0.869729,0.023542
0.0553635,0.855321,0.0236244
0.0450854,0.79415,0.0942863
0.0465384,0.769866,0.117931
0.0475579,0.769989,0.208317
0.044355,0.762495,0.21407
0.0409851,0.772907,0.251909
0.0348123,0.804885,0.212889
0.0265258,0.805671,0.164645
0.0219805,0.848386,0.134046
0.0238685,0.883922,0.106869
0.01732,0.862335,0.0903895
0.0157779,0.891692,0.0641725
0.015708,0.882065,0.0464349
0.0131202,0.863689,0.0373807
0.0164921,0.829839,0.0282609
0.0112786,0.831865,0.0376207
0.00773057,0.83523,0.0324984
0.00535109,0.875833,0.0434762
0.00491403,0.882992,0.0490905
0.013346,0.898099,0.0458238
0.0220219,0.890652,0.0687363
0.0280363,0.886682,0.0715085
0.0284118,0.899694,0.0595304
0.0198632,0.882349,0.0519578
0.0251419,0.89106,0.0434856
0.0252584,0.873477,0.0360606
0.0266095,0.86368,0.0285381
0.0237495,0.841401,0.0366648
0.0191671,0.855481,0.097909
0.0258494,0.858866,0.348332
0.0266568,0.876522,0.545836
0.025954,0.860772,0.684955
0.025571,0.862516,0.783629
0.030637,0.881819,0.854313
0.0287836,0.897422,0.90389
0.0364789,0.898844,0.936071
0.0329564,0.903358,0.963015
0.0305949,0.906939,0.981523
0.0328194,0.905822,0.993182
0.0290089,0.892136,0.993647
0.0277147,0.848535,0.99452
0.0306514,0.812246,0.993597
0.0327121,0.831567,0.994683
0.030203,0.810983,0.992654
0.0235119,0.823998,0.9922
0.0160208,0.819824,0.993992
0.0148295,0.825101,0.993967
0.0127242,0.84956,0.994039
0.0111367,0.874035,0.99341
0.0114391,0.895952,0.993642
0.0128839,0.90427,0.993222
0.0150569,0.918694,0.993045
0.0165816,0.927508,0.992869
0.0139537,0.91582,0.992688
0.0173341,0.888815,0.992791
0.0197796,0.870259,0.992805
0.0239242,0.87929,0.990536
0.0179836,0.802851,0.985595
0.0163538,0.818645,0.98784
0.0227896,0.828327,0.983697
0.0374238,0.816448,0.98101
0.0400398,0.81487,0.97234
0.0444142,0.835263,0.968924
0.051402,0.856325,0.975656
0.0523503,0.874124,0.980787
0.0530158,0.861652,0.983309
0.0470624,0.873384,0.983574
0.0406033,0.888917,0.983705
0.0385362,0.885279,0.983114
0.049559,0.889938,0.984652
0.0569998,0.883313,0.987167
0.043401,0.820201,0.984983
0.0502869,0.81408,0.985203
0.046123,0.829578,0.986042
0.0445808,0.85073,0.986825
0.034613,0.833473,0.987927
0.0278023,0.820752,0.988746
0.0269047,0.811446,0.990062
0.0274708,0.810792,0.991993
0.0224232,0.827456,0.993387
0.0226893,0.8489,0.993436
0.0259659,0.844376,0.994474
0.0252488,0.859524,0.995503
0.0211946,0.843709,0.996532
0.0195824,0.862212,0.997306
0.0250552,0.855203,0.997879
0.0212792,0.789512,0.998278
0.0159806,0.784722,0.998307
0.0185727,0.764945,0.998687
0.0218079,0.741606,0.998832
0.0239678,0.724955,0.998959
0.0177938,0.718681,0.998918
0.0148043,0.70333,0.998695
0.0140861,0.717502,0.998189
0.0110067,0.731811,0.997669
0.00993151,0.725408,0.997009
0.0106669,0.734074,0.996974
0.00998698,0.736478,0.997089
0.0093262,0.759866,0.997049
0.0113645,0.771209,0.997343
0.0127948,0.754807,0.997542
0.0114802,0.775184,0.997515
0.0105209,0.791631,0.997478
0.00854174,0.812027,0.997658
0.0072264,0.826188,0.997789
0.00626668,0.80248,0.997031
0.00555651,0.806328,0.997141
0.00509491,0.836932,0.995296
0.00477101,0.84311,0.993256
