AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.694215,0.0931935,0.071655
0.694215,0.0931935,0.071655
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.640496,0.0788013,0.0309738
0.604071,0.0980546,0.0213282
0.592422,0.104212,0.0182434
0.619488,0.104141,0.0141641
0.615156,0.115086,0.0117609
0.616741,0.113423,0.010916
0.624475,0.1209,0.0126743
0.623004,0.123605,0.0111039
0.620732,0.111127,0.00911336
0.5938,0.110876,0.00774876
0.574726,0.110987,0.00659686
0.580933,0.109291,0.00630589
0.585288,0.108101,0.00610172
0.591418,0.11241,0.00564583
0.584772,0.0998701,0.0050613
0.568575,0.100571,0.00446153
0.557025,0.10083,0.00397799
0.569414,0.11168,0.00378398
0.589568,0.109998,0.0035426
0.601907,0.108316,0.00346788
0.60041,0.117249,0.00352239
0.591192,0.129935,0.00375647
0.59361,0.147117,0.00366552
0.581233,0.156879,0.00368752
0.585572,0.164101,0.00408068
0.581332,0.160934,0.0036773
0.578356,0.158712,0.00339424
0.582027,0.159217,0.00319131
0.584273,0.159853,0.00305274
0.538955,0.148132,0.00294865
0.499833,0.131882,0.00553442
0.486565,0.113659,0.00546192
0.476997,0.100633,0.00541843
0.474496,0.101665,0.00588179
0.473642,0.0982397,0.00737353
0.474533,0.0923437,0.00680352
0.475158,0.0882064,0.00640354
0.472875,0.0888754,0.00544959
0.486505,0.0874864,0.00654857
0.472041,0.0906678,0.007236
0.459573,0.0885545,0.00747117
0.428841,0.0845405,0.00804178
0.436472,0.0801538,0.011779
0.429023,0.0717178,0.0108598
0.413604,0.0694557,0.00976323
0.401478,0.0649928,0.00832493
0.392969,0.0618612,0.00731567
0.445463,0.0698476,0.00696694
0.442507,0.0687,0.00656374
0.441168,0.0677847,0.00628323
0.472035,0.0757475,0.00624988
0.500667,0.139752,0.00574636
0.507219,0.283124,0.0059564
0.528686,0.288141,0.00808324
0.544043,0.291559,0.00958774
0.532007,0.347982,0.00812219
0.50706,0.437654,0.00952458
0.489134,0.386831,0.0116941
0.477694,0.332244,0.0118328
0.469666,0.29394,0.0119301
0.441536,0.268003,0.00990348
0.42669,0.280901,0.0105243
0.41664,0.287102,0.0109409
0.397686,0.329838,0.0110989
0.419929,0.307593,0.0161011
0.41081,0.310412,0.016065
0.396004,0.313924,0.0190321
0.384308,0.320447,0.0223405
0.378639,0.297232,0.0177937
0.400049,0.304693,0.0151585
0.448701,0.347967,0.0184722
0.473807,0.38287,0.0193453
0.407646,0.397104,0.0170327
0.361551,0.406062,0.0154123
0.340871,0.373096,0.0143884
0.361368,0.335586,0.013439
0.383624,0.297672,0.0139373
0.408163,0.289202,0.0134587
0.415154,0.312746,0.0112542
0.421864,0.35585,0.00973992
0.414192,0.341581,0.00919533
0.388757,0.291624,0.00827536
0.364447,0.248827,0.00853115
0.365161,0.228029,0.0077907
0.358947,0.224512,0.00786108
0.376443,0.226491,0.00685418
0.375807,0.270455,0.00629517
0.389066,0.280918,0.00758741
0.408819,0.308771,0.00872421
0.435299,0.249193,0.02097
0.454212,0.208643,0.0295437
0.429989,0.321322,0.0249844
0.41325,0.400622,0.0217615
0.414952,0.394784,0.0171048
0.412522,0.355405,0.0133677
0.391115,0.286743,0.0116557
0.403118,0.249209,0.00937668
0.38448,0.211445,0.00848574
0.38507,0.190753,0.00751269
0.391464,0.220045,0.00712464
0.399759,0.230008,0.00632057
0.405412,0.229478,0.00657685
0.409379,0.221331,0.00690489
0.402872,0.234872,0.0079059
0.398417,0.245387,0.0086214
0.394573,0.229829,0.0108427
0.391104,0.218569,0.0124324
0.404673,0.220458,0.0121596
0.389673,0.229632,0.012167
0.384041,0.24227,0.0119117
0.379979,0.260226,0.0109607
0.386051,0.257622,0.00931089
0.401735,0.25461,0.00979349
0.39015,0.255356,0.00948632
0.378213,0.267399,0.00891396
0.352102,0.295533,0.00808062
0.337588,0.31724,0.00765658
0.343464,0.307269,0.00720791
0.354632,0.308554,0.00677355
0.362322,0.309242,0.00647578
0.367718,0.285665,0.00612765
0.382672,0.266914,0.00515144
0.385218,0.257153,0.00440943
0.385127,0.241768,0.00409957
0.385173,0.23064,0.00389248
0.389529,0.275165,0.00401106
0.398821,0.260906,0.00439304
0.388362,0.274955,0.00414483
0.382109,0.315766,0.00411513
0.377721,0.344403,0.00409429
0.374642,0.384936,0.00390997
0.363265,0.388214,0.00373855
0.355503,0.390417,0.00361853
0.366631,0.358184,0.00345893
0.379517,0.310696,0.0073408
0.392257,0.277762,0.0090339
0.393397,0.259928,0.00972458
0.394674,0.246738,0.0102243
0.399342,0.226922,0.0100401
0.405156,0.232184,0.0120877
0.425738,0.237143,0.0156298
0.439168,0.23224,0.0221303
0.461285,0.245505,0.0350011
0.476328,0.255798,0.0440346
0.482928,0.26678,0.0636097
0.488719,0.251335,0.0722678
0.495541,0.232273,0.0854677
0.488904,0.251316,0.0811941
0.484137,0.264958,0.0782106
0.471832,0.308667,0.0755161
0.479222,0.27359,0.0757734
0.479367,0.249892,0.077611
0.48164,0.246199,0.0709893
0.489582,0.251551,0.0716416
0.482572,0.237431,0.0681841
0.471269,0.223265,0.0677061
0.459456,0.219042,0.065165
0.46546,0.253179,0.0596966
0.474751,0.246398,0.0551107
0.47772,0.239548,0.0489717
0.472978,0.226297,0.0434539
0.453296,0.21476,0.0415152
0.440681,0.188258,0.0381451
0.431646,0.169432,0.035627
0.409171,0.155269,0.027073
