AU02,AU04cand,Smile_v2
0.491736,0.571019,0.00917125
0.491736,0.571019,0.00917125
0.499269,0.490911,0.0117287
0.535353,0.476324,0.038463
0.544926,0.460897,0.0423565
0.556302,0.441062,0.0487031
0.564879,0.451494,0.0426307
0.573128,0.437047,0.0388529
0.582517,0.393425,0.038445
0.588903,0.363755,0.0381676
0.584037,0.348339,0.0360886
0.580621,0.337521,0.0346298
0.578078,0.331493,0.0335563
0.570481,0.331211,0.0335317
0.551445,0.328301,0.0427971
0.535401,0.320883,0.0363948
0.522837,0.296686,0.0374339
0.521563,0.281065,0.0377925
0.520559,0.271073,0.0379834
0.537626,0.249544,0.0375612
0.535933,0.258965,0.0318447
0.518243,0.250381,0.0298012
0.50583,0.244358,0.0283672
0.493458,0.232214,0.0248665
0.478834,0.219058,0.0230011
0.532115,0.19074,0.0179776
0.518764,0.179949,0.0144758
0.502828,0.172121,0.0116256
0.471336,0.174511,0.0116792
0.420797,0.178073,0.0103788
0.397163,0.171655,0.0101112
0.375978,0.16983,0.00936728
0.358574,0.185149,0.0082852
0.357896,0.180078,0.00736722
0.375376,0.166438,0.00612159
0.385804,0.157424,0.00536575
0.399669,0.15494,0.00448032
0.413389,0.169559,0.00398762
0.427413,0.170629,0.00382733
0.431715,0.16882,0.00645132
0.431864,0.181055,0.00690707
0.44354,0.182283,0.00675442
0.449268,0.185159,0.00625662
0.451687,0.192912,0.00587045
0.475719,0.205087,0.0056738
0.49639,0.198122,0.00535479
0.509479,0.189814,0.00489158
0.527439,0.18807,0.00553341
0.532315,0.188415,0.00522402
0.502917,0.188431,0.00587937
0.534406,0.208418,0.00757294
0.538399,0.227113,0.00683588
0.560316,0.216445,0.00633044
0.570654,0.208607,0.00537226
0.536627,0.209929,0.00547026
0.510102,0.225116,0.00618353
0.504219,0.235213,0.00685659
0.521413,0.23485,0.00607901
0.527352,0.234734,0.00560939
0.524858,0.260349,0.0050166
0.521602,0.230903,0.00425018
0.535064,0.236224,0.00469617
0.564269,0.246605,0.00524512
0.579832,0.254528,0.00514132
0.590659,0.249949,0.00502545
0.585636,0.286362,0.00511425
0.591899,0.262329,0.00541842
0.595669,0.245677,0.00566721
0.61373,0.223728,0.00488751
0.589813,0.19275,0.00490297
0.566683,0.217301,0.00502592
0.550012,0.233774,0.00508535
0.564383,0.222943,0.00440209
0.545418,0.209176,0.00377365
0.574037,0.195448,0.00315795
0.558944,0.181121,0.00263235
0.582332,0.182262,0.00264228
0.622861,0.190742,0.00278078
0.639436,0.192916,0.00324692
0.657209,0.20211,0.00357614
0.666056,0.224611,0.00434151
0.686227,0.256488,0.00432729
0.623448,0.259888,0.00448815
0.598011,0.265255,0.00519645
0.575142,0.267722,0.0123457
0.572817,0.264639,0.0215723
0.567655,0.270142,0.0254089
0.564604,0.278273,0.0323832
0.566601,0.297881,0.0367056
0.567856,0.31143,0.0397382
0.568847,0.316888,0.060506
0.581832,0.349161,0.0729671
0.576646,0.36789,0.0873397
0.571223,0.383972,0.0883324
0.552296,0.38595,0.0917737
0.547533,0.384312,0.0837795
0.540456,0.350487,0.0862917
0.527837,0.345423,0.101673
0.507448,0.328042,0.0970241
0.490602,0.289298,0.109003
0.478781,0.262213,0.116868
0.465041,0.245199,0.12198
0.460955,0.245671,0.124435
0.455586,0.247877,0.119556
0.435757,0.24356,0.111248
0.421587,0.240622,0.105715
0.442218,0.22839,0.112703
0.451838,0.217747,0.106482
0.458919,0.210668,0.102565
0.4665,0.217823,0.0995782
0.457856,0.252444,0.108073
0.464632,0.250807,0.0979756
0.498435,0.236082,0.106746
0.524767,0.227855,0.144751
0.543721,0.22226,0.171558
0.557022,0.218334,0.190369
0.561665,0.223635,0.182136
0.540953,0.209114,0.140596
0.520071,0.22182,0.111941
0.467265,0.240806,0.0950228
0.433153,0.25038,0.0750608
0.408849,0.263529,0.0640206
0.378256,0.272411,0.0564227
0.373217,0.270312,0.0601438
0.403954,0.242591,0.0558883
0.4306,0.212072,0.0748211
0.451947,0.189551,0.102828
0.465085,0.183467,0.150748
0.51003,0.171618,0.174907
0.524899,0.168265,0.166304
0.53526,0.165996,0.160494
0.538721,0.195667,0.123584
0.550403,0.207265,0.103581
0.554315,0.229591,0.0823248
0.554799,0.260674,0.0658104
0.553721,0.296681,0.0513418
0.569394,0.327758,0.0446528
0.548731,0.342584,0.0345638
0.562398,0.307582,0.0322002
0.581388,0.280742,0.0271547
0.587098,0.261264,0.0223898
0.568366,0.246026,0.0219771
0.52323,0.259155,0.0235437
0.494207,0.259259,0.0203601
0.489111,0.270792,0.0194452
0.455106,0.32591,0.0163706
0.430768,0.36442,0.0141011
0.462844,0.402668,0.0109434
0.487045,0.409764,0.00917019
0.456804,0.395207,0.00983474
0.435804,0.38501,0.0103365
0.44077,0.400937,0.00940831
0.405823,0.404225,0.00926324
0.376149,0.363974,0.0101829
0.36631,0.352488,0.0122219
0.385676,0.311794,0.0137307
0.362453,0.293029,0.0133999
0.349838,0.278807,0.0112777
0.334567,0.282887,0.00982078
0.290937,0.268216,0.00829693
0.285709,0.261679,0.00783045
0.285297,0.275343,0.00807698
0.288686,0.293035,0.00758669
0.272171,0.3103,0.00817314
0.245019,0.321792,0.00901985
0.240464,0.371749,0.00835733
0.237064,0.404873,0.00870367
0.249763,0.432604,0.00807507
0.256319,0.440221,0.00817008
0.263181,0.442134,0.00799451
0.298996,0.371668,0.00995611
0.310053,0.325987,0.010497
0.317739,0.310407,0.0122161
0.321145,0.280357,0.0190687
0.323975,0.259275,0.0238635
0.381373,0.233824,0.0461564
0.421686,0.228708,0.119907
0.358138,0.208417,0.119616
0.399937,0.205452,0.104726
0.417806,0.243989,0.0925551
0.452275,0.288516,0.0744383
0.473058,0.349997,0.0596556
0.501605,0.453289,0.0499945
0.512824,0.499161,0.0431655
0.537199,0.557521,0.0473785
0.52476,0.5887,0.0530657
0.522378,0.620999,0.0568858
0.539854,0.62741,0.0552434
0.540733,0.62288,0.0496439
0.550566,0.628226,0.0482593
0.556804,0.631531,0.047563
0.538443,0.566248,0.0540212
0.525155,0.518683,0.0585312
0.542745,0.477549,0.0846525
0.538108,0.450993,0.10172
0.528047,0.443871,0.10689
0.525881,0.448065,0.111084
0.553078,0.445828,0.107802
0.573689,0.394364,0.111019
0.55743,0.375869,0.108153
0.554907,0.397358,0.097888
0.572838,0.389839,0.106822
0.56638,0.375802,0.100935
0.580117,0.375334,0.10418
0.588965,0.386457,0.113091
0.604279,0.358816,0.125308
0.61234,0.349914,0.12922
0.605727,0.343923,0.143962
0.622629,0.350113,0.147281
0.634101,0.357811,0.136766
0.626662,0.358009,0.171358
0.624699,0.364358,0.163403
0.631489,0.361915,0.139398
0.615392,0.355517,0.120411
0.600326,0.378482,0.115262
0.598382,0.404766,0.110842
0.617402,0.372767,0.124181
0.622193,0.355336,0.141999
0.613506,0.350517,0.159321
0.618871,0.362192,0.165786
0.624346,0.36437,0.171284
0.633155,0.353346,0.157096
0.637847,0.351725,0.166349
0.609993,0.332495,0.22328
0.590558,0.318196,0.262986
0.586818,0.297904,0.221221
0.57345,0.285168,0.185341
0.557981,0.275473,0.175798
0.555073,0.268648,0.138125
0.573012,0.257918,0.107484
0.585562,0.250566,0.0859207
0.563758,0.239166,0.0753759
0.538339,0.22915,0.0640513
0.535384,0.238133,0.0473401
0.53458,0.252352,0.0358411
0.541338,0.264616,0.0290371
0.541297,0.280987,0.0279112
0.554145,0.268936,0.0252699
0.589597,0.259189,0.0275822
0.596115,0.243183,0.031428
0.612113,0.244294,0.0349215
0.629298,0.258751,0.063495
0.631495,0.275449,0.0946489
0.614862,0.29528,0.100499
0.49145,0.334688,0.128913
0.395745,0.382423,0.153233
0.316041,0.432242,0.241497
0.266092,0.488899,0.412364
0.229002,0.551763,0.541203
0.208568,0.599543,0.617863
0.174858,0.631616,0.579237
0.162481,0.666231,0.559791
0.151551,0.702501,0.601478
0.144396,0.633429,0.658833
0.13753,0.612894,0.704156
0.134239,0.621327,0.769929
0.132298,0.610181,0.821198
0.129482,0.588067,0.856599
