AU02,AU04cand,Smile_v2
0.863636,0.0759493,0.036178
0.863636,0.0759493,0.036178
0.861753,0.0680302,0.0330642
0.867376,0.0669701,0.0336357
0.86009,0.055107,0.0335422
0.858492,0.0511922,0.0393638
0.835951,0.0466375,0.0512749
0.811985,0.0407232,0.0506026
0.776629,0.033963,0.0508722
0.752582,0.0298811,0.0502666
0.734934,0.0266436,0.0499724
0.699702,0.0253135,0.0518835
0.675017,0.0245347,0.0532852
0.625813,0.0250959,0.0506248
0.591545,0.0257686,0.0487681
0.567424,0.0261554,0.047311
0.572666,0.0281063,0.0416208
0.567716,0.0283294,0.039312
0.566063,0.0261846,0.0388355
0.564903,0.0246647,0.0385239
0.598362,0.0254786,0.0411939
0.617424,0.0327232,0.0379733
0.615568,0.0375563,0.0342232
0.6228,0.035429,0.0339364
0.63676,0.032564,0.033897
0.630054,0.0319223,0.0330785
0.628532,0.0312522,0.032691
0.63026,0.0309123,0.0325591
0.627628,0.0372689,0.0377514
0.625781,0.0417294,0.0413948
0.623493,0.0409986,0.0411313
0.641075,0.044549,0.032965
0.653853,0.0470476,0.0272778
0.693064,0.0400174,0.0302651
0.715244,0.040029,0.0339401
0.651315,0.0468071,0.0356792
0.662197,0.0645574,0.0317397
0.695148,0.0790941,0.029729
0.705686,0.0846651,0.0291837
0.725774,0.0798111,0.0276732
0.736062,0.0730651,0.0297513
0.74273,0.0682083,0.0314447
0.748678,0.0640263,0.0353884
0.736738,0.0619508,0.0297395
0.703119,0.0545401,0.0283236
0.698345,0.0522907,0.0277587
0.693378,0.0503364,0.0275115
0.70566,0.0493891,0.0262436
0.708299,0.0537203,0.0262497
0.712322,0.0526235,0.0226078
0.720333,0.04993,0.0197561
0.729762,0.0456251,0.0178854
0.698261,0.0426435,0.0148831
0.700715,0.0394954,0.0131866
0.677785,0.0351758,0.0138754
0.643445,0.0318183,0.0138547
0.657431,0.0292873,0.0147127
0.63884,0.0277356,0.0159664
0.618363,0.0279182,0.0148267
0.603921,0.0302732,0.0164906
0.593639,0.0319844,0.0176641
0.5952,0.0321756,0.0217258
0.606283,0.0331495,0.0267204
0.613362,0.0338629,0.0302201
0.598754,0.0311583,0.0342321
0.591557,0.0317498,0.032615
0.561287,0.0332819,0.0305374
0.538315,0.0314911,0.032068
0.510992,0.0341384,0.0349664
0.479126,0.0348882,0.0550698
0.451688,0.0370424,0.0662579
0.441063,0.039411,0.0821205
0.434619,0.0375787,0.107308
0.435175,0.0392741,0.120604
0.437423,0.0384282,0.116428
0.428771,0.0405553,0.116923
0.432284,0.039061,0.101043
0.434823,0.0380953,0.0898137
0.450897,0.0403391,0.111129
0.465083,0.0487212,0.120579
0.462491,0.0461256,0.120707
0.460415,0.0442804,0.120563
0.451305,0.0457858,0.114101
0.463806,0.0484708,0.0978936
0.487774,0.0534773,0.0838595
0.499809,0.0467179,0.081237
0.492764,0.0405661,0.0804102
0.501784,0.0365951,0.0794758
0.502631,0.0337672,0.0790683
0.48792,0.0336039,0.0845495
0.488119,0.0339536,0.082486
0.488259,0.034199,0.081038
0.497464,0.0398106,0.0729213
0.498294,0.0479914,0.0703577
0.484472,0.0465027,0.0625954
0.474921,0.0457531,0.0569368
0.44581,0.0437802,0.0704061
0.433865,0.0445223,0.0700404
0.434516,0.0610769,0.0667479
0.426527,0.0638503,0.0661584
0.426975,0.0603354,0.0579036
