AU02,AU04cand,Smile_v2
0.144628,0.223287,0.000248037
0.144628,0.223287,0.000248037
0.144628,0.223287,0.000248037
0.131611,0.240752,0.000324924
0.124408,0.250418,0.000367474
0.120059,0.256252,0.000393159
0.113259,0.243032,0.000374906
0.108795,0.234354,0.000362923
0.119944,0.245253,0.000261186
0.122449,0.290032,0.000191622
0.144297,0.283965,0.000144169
0.15582,0.267101,0.000111582
0.152482,0.291556,8.7501e-005
0.149164,0.294045,7.24752e-005
0.164606,0.31015,5.55378e-005
0.175443,0.321451,4.36527e-005
0.165386,0.316751,5.04613e-005
0.158328,0.326307,5.89393e-005
0.152972,0.355873,5.07585e-005
0.154438,0.351174,4.50022e-005
0.162495,0.411684,4.38099e-005
0.161912,0.393578,4.37116e-005
0.175797,0.367058,3.98466e-005
0.186846,0.353584,3.98259e-005
0.199162,0.371349,3.71248e-005
0.190034,0.424642,4.32911e-005
0.173987,0.495763,3.61197e-005
0.167805,0.535061,2.88166e-005
0.164736,0.564755,2.36087e-005
0.15482,0.551996,2.00406e-005
0.145102,0.468828,1.59579e-005
0.141006,0.414404,1.44829e-005
0.137727,0.417128,1.52751e-005
0.13539,0.410128,1.93626e-005
0.133603,0.423674,2.17502e-005
0.127785,0.437821,2.10294e-005
0.132883,0.474911,2.23455e-005
0.137582,0.47874,2.48124e-005
0.140843,0.481346,2.65599e-005
0.152237,0.455422,2.40612e-005
0.147613,0.449453,2.35929e-005
0.144294,0.445202,2.32234e-005
0.145773,0.46465,2.75596e-005
0.144272,0.4878,3.10304e-005
0.143219,0.422532,3.08799e-005
0.142627,0.376565,3.08369e-005
0.144494,0.333644,2.81521e-005
0.145766,0.301102,2.50742e-005
0.155545,0.263995,2.32125e-005
0.16215,0.238789,2.20139e-005
0.153188,0.261562,2.02413e-005
0.143092,0.273402,1.9098e-005
0.139705,0.285046,1.82752e-005
0.137403,0.29295,1.76824e-005
0.139595,0.286333,1.66018e-005
0.130978,0.314618,1.56118e-005
0.124858,0.334751,1.49928e-005
0.137065,0.261129,1.99207e-005
0.128872,0.200234,2.21245e-005
0.132009,0.177111,2.41915e-005
0.134614,0.171386,3.16324e-005
0.130205,0.209323,2.99799e-005
0.138426,0.20521,5.82833e-005
0.142925,0.233282,4.80286e-005
0.132009,0.268826,4.33271e-005
0.12972,0.260779,4.14051e-005
0.115421,0.247045,5.70633e-005
0.103639,0.265807,6.5081e-005
0.103466,0.245501,5.66237e-005
0.109435,0.223848,5.34613e-005
0.104737,0.234339,5.31692e-005
0.109241,0.229572,5.36362e-005
0.117148,0.239153,5.33204e-005
0.10877,0.213591,4.39595e-005
0.121066,0.199107,5.51771e-005
0.133356,0.207522,4.81915e-005
0.123306,0.202382,4.19599e-005
0.131524,0.211995,3.57442e-005
0.124376,0.234581,3.1862e-005
0.119176,0.250628,2.90573e-005
0.123401,0.263293,2.42329e-005
0.118529,0.262225,2.45987e-005
0.12258,0.289756,2.45558e-005
0.129634,0.306578,2.23652e-005
0.144225,0.33524,2.04719e-005
0.153084,0.358095,1.81392e-005
0.159851,0.368863,1.9592e-005
0.147657,0.300424,2.29747e-005
