AU02,AU04cand,Smile_v2
0.429752,0.032589,0.00196791
0.429752,0.032589,0.00196791
0.414685,0.0327082,0.00217564
0.405974,0.0290804,0.00169333
0.430859,0.0295256,0.00116261
0.434684,0.0293296,0.00085031
0.437114,0.029205,0.000651826
0.40466,0.0291191,0.000927972
0.377754,0.0250832,0.00118471
0.359454,0.0223382,0.00135932
0.346151,0.0203453,0.00147489
0.336816,0.0189469,0.00155598
0.330559,0.0179633,0.00160883
0.314782,0.0234414,0.00134546
0.280127,0.0285857,0.00187016
0.268797,0.0298762,0.001998
0.260847,0.0307817,0.0020877
0.244799,0.030795,0.0017793
0.229877,0.0334597,0.00152169
0.206713,0.0309778,0.00138734
0.204421,0.0253929,0.00129384
0.224393,0.0236221,0.00125564
0.224443,0.0220482,0.00160548
0.232426,0.0196722,0.0018928
0.237419,0.0165332,0.00151708
0.240556,0.0143981,0.00126038
0.230063,0.0134973,0.000971644
0.253496,0.0155652,0.00100303
0.228159,0.0193528,0.000944161
0.215826,0.0194781,0.000737408
0.206767,0.0196773,0.000592306
0.206133,0.0192647,0.000443487
0.201015,0.0187661,0.000331467
0.206088,0.0186152,0.000286238
0.21984,0.0180255,0.000300124
0.263763,0.0187185,0.000379063
0.278449,0.0192667,0.000461289
0.301836,0.0197374,0.000387691
0.306765,0.017915,0.000342291
0.291036,0.0175246,0.000381719
0.297771,0.0195439,0.000518836
0.276925,0.0182388,0.00061768
0.256098,0.0222073,0.00110314
0.250112,0.0265814,0.00149109
0.229115,0.0312338,0.00144163
0.2337,0.0387585,0.00157433
0.241203,0.0483805,0.00533324
0.261296,0.0558329,0.00944187
0.283379,0.0534406,0.00866057
0.29054,0.0527963,0.00749304
0.295051,0.0522778,0.00667062
0.329416,0.0517716,0.00781301
0.310555,0.0553644,0.0102512
0.311026,0.0564649,0.0119349
0.318181,0.0565961,0.0119998
0.308651,0.0541292,0.0106613
0.317086,0.0513056,0.0092255
0.321294,0.0477995,0.00852154
0.332913,0.0452227,0.00815887
0.347669,0.039503,0.008389
0.358024,0.0354894,0.00855048
0.354253,0.0352233,0.00855665
0.347779,0.0353195,0.00914782
0.360603,0.0361677,0.00853962
0.351647,0.0395286,0.00840327
0.355921,0.0427695,0.00862269
0.354672,0.0461581,0.00802783
0.353832,0.0485794,0.0076004
0.36314,0.0446072,0.00857817
0.377104,0.0437276,0.00976496
0.376748,0.0412641,0.0101416
0.367906,0.0418997,0.0105348
0.346617,0.043808,0.00934711
0.307045,0.0425176,0.00784114
0.26456,0.038529,0.00596039
0.243339,0.0392728,0.00573284
0.233636,0.0402728,0.00529746
0.217942,0.0352493,0.00421955
0.206636,0.0318887,0.00342619
0.208636,0.0299078,0.00247794
0.200179,0.028255,0.00223405
0.209734,0.0252273,0.00239978
0.213072,0.0241094,0.0017895
0.208496,0.0232437,0.00134019
0.228574,0.0247466,0.0016034
0.233521,0.024669,0.00150903
0.234306,0.0255169,0.00139796
0.237653,0.0275426,0.00275592
0.240001,0.0289641,0.00370881
0.25278,0.0421083,0.0167078
0.254424,0.0372182,0.0121442
0.24879,0.0314842,0.00899113
0.23987,0.0283499,0.00712147
0.241447,0.0255734,0.00559855
0.234276,0.024717,0.00446289
0.246003,0.023999,0.00395068
0.261922,0.0220607,0.0030428
0.253978,0.020972,0.00260871
0.248403,0.0209414,0.0020555
0.261933,0.0179495,0.00130696
0.262761,0.0177358,0.00113654
0.264795,0.0171044,0.000972001
0.266369,0.0166347,0.000847262
0.267254,0.016322,0.000765872
0.279519,0.0145016,0.000661703
0.280032,0.0164463,0.000669838
0.276363,0.0167128,0.000580888
0.279417,0.0166551,0.000518883
0.276483,0.0165815,0.000529589
0.263755,0.0158832,0.000492478
0.267774,0.0166632,0.000561602
0.270558,0.0172265,0.000611359
0.268703,0.0222013,0.000569573
0.282634,0.0246166,0.000548874
0.260344,0.0203845,0.000755617
0.246193,0.0186886,0.00095002
0.236374,0.0175315,0.00108963
0.229337,0.0149549,0.00110063
0.227084,0.0132935,0.00107552
0.230875,0.0122528,0.00102089
0.239515,0.0122036,0.00091219
0.245577,0.0129119,0.00082921
0.239786,0.0142776,0.000793306
0.260669,0.0174479,0.000648562
0.281319,0.0187368,0.000520533
0.289425,0.0198268,0.000443787
0.298922,0.0206008,0.000387412
0.299239,0.0212749,0.000354936
0.299387,0.0217437,0.000333057
0.3095,0.0189418,0.000308589
0.310065,0.0168642,0.000296526
0.310462,0.0153848,0.000288256
0.302149,0.0149396,0.000326349
0.295581,0.0141854,0.000303711
0.28067,0.0141005,0.000258448
0.265313,0.0141061,0.00024212
0.246811,0.014592,0.000221457
0.244166,0.0156779,0.000215802
0.266428,0.0165091,0.000209544
0.260177,0.0162532,0.000207026
0.255974,0.0154455,0.000189708
0.253024,0.0143715,0.000173826
0.251212,0.0135999,0.000161395
0.25121,0.0135425,0.00014774
0.262926,0.0157169,0.000385014
0.264948,0.016556,0.00049716
0.28055,0.0181968,0.000492023
0.296281,0.0169415,0.000570017
0.323124,0.0163189,0.000522259
0.342584,0.0159089,0.000488701
0.342277,0.0161801,0.000462126
0.342061,0.0163851,0.000443587
0.350795,0.0160894,0.00038252
0.356887,0.016529,0.00037443
0.367178,0.0154993,0.000352174
0.368236,0.0155041,0.000388723
0.354611,0.0146695,0.000413286
0.355058,0.0145038,0.000405313
0.377743,0.0134867,0.000636879
0.361927,0.013356,0.000874929
0.384237,0.013126,0.000762643
0.389736,0.013008,0.000667549
0.394608,0.0131658,0.0005797
0.401834,0.0131851,0.000525202
0.424492,0.0130995,0.00052612
0.427882,0.0135011,0.000489623
0.430664,0.0138063,0.000464115
0.433592,0.0139773,0.000460655
0.431177,0.0143461,0.000430166
0.431671,0.0146079,0.000400109
0.428523,0.0149931,0.000399271
0.42153,0.0154088,0.000382308
0.424203,0.014038,0.000374161
0.414544,0.0133536,0.00037805
0.409791,0.0129494,0.000358416
0.408092,0.0130588,0.000324465
0.40817,0.0130428,0.000303424
0.409457,0.0131423,0.000270884
0.401584,0.0136493,0.000243009
0.392216,0.0141132,0.000218697
0.385715,0.0144329,0.000201284
0.3813,0.014653,0.000189553
0.375443,0.0149318,0.000191343
0.376742,0.0149141,0.000207264
0.375041,0.0149989,0.000352917
0.37381,0.0150466,0.000455736
0.379257,0.0154302,0.00143707
0.383042,0.0156961,0.00212617
0.39738,0.0160553,0.0311683
0.3682,0.0155271,0.0431447
0.351533,0.0150661,0.0592927
0.333491,0.0136778,0.0999159
0.318365,0.0121445,0.149056
0.306335,0.0116051,0.193755
0.297967,0.0112236,0.225117
0.298442,0.0107292,0.259143
0.298591,0.0103722,0.282993
0.293619,0.010477,0.275467
0.28853,0.010057,0.319644
0.297522,0.00978019,0.312851
0.304991,0.00980188,0.325785
0.309146,0.00956818,0.331484
0.307058,0.00922384,0.320404
0.310707,0.00996704,0.342057
0.304382,0.0103461,0.289729
0.290874,0.0114259,0.256442
0.278857,0.011631,0.25633
0.270571,0.012521,0.270696
0.266064,0.0125174,0.273336
0.258762,0.0123816,0.28708
0.253601,0.0122802,0.296206
0.24367,0.0120432,0.30373
0.235579,0.0113718,0.318815
0.233562,0.0112972,0.316942
0.228596,0.0111133,0.301532
0.234254,0.0110427,0.304058
0.230682,0.0109034,0.291861
0.234522,0.0110769,0.280753
0.229564,0.00983641,0.21656
0.246504,0.00949158,0.157869
0.2622,0.00967533,0.120574
0.254357,0.0088868,0.110229
0.247621,0.00882346,0.0920037
0.244053,0.0083873,0.0930407
0.251815,0.0080865,0.095784
0.251926,0.00768829,0.083572
0.252225,0.00741192,0.0753876
0.248443,0.00726189,0.0735927
0.271397,0.00778481,0.059276
0.286916,0.00813665,0.0496158
0.2685,0.00868161,0.0521833
0.29294,0.00897753,0.0446321
0.335514,0.0105012,0.0367696
0.324732,0.01083,0.0383242
0.294023,0.0111309,0.0358576
0.27643,0.0119689,0.0304557
0.269163,0.0119262,0.0288524
0.27052,0.0112311,0.0305231
0.270737,0.0107263,0.0321207
0.265813,0.0105547,0.0377799
0.251778,0.010369,0.0436099
0.254827,0.010236,0.0551218
0.253693,0.0111727,0.0468907
0.237571,0.0123682,0.0516488
0.230728,0.0133857,0.0675687
0.223277,0.0136745,0.160398
0.222979,0.0147918,0.183049
0.222586,0.015595,0.198859
0.236274,0.0166877,0.191027
0.233332,0.017105,0.23287
0.220173,0.0165459,0.319935
0.215614,0.0168148,0.278607
0.217565,0.0169271,0.260476
0.219412,0.0169909,0.247443
0.219328,0.0164424,0.27444
0.219343,0.0160693,0.291023
0.220476,0.0158686,0.355105
0.221271,0.0162288,0.312351
0.227771,0.0174874,0.339932
0.233969,0.0156008,0.419404
0.228494,0.0143445,0.374261
0.230852,0.0144503,0.413975
0.228552,0.0133103,0.50016
0.224399,0.0129004,0.458458
0.231677,0.0126676,0.435712
0.231706,0.0126313,0.493258
0.229151,0.0133484,0.460588
0.227358,0.0135879,0.419813
0.225916,0.0137265,0.38955
0.223598,0.0138521,0.387541
