AU02,AU04cand,Smile_v2
0.11157,0.0740117,0.0210196
0.11157,0.0740117,0.0210196
0.0870868,0.0578433,0.01663
0.0723207,0.0627462,0.0166553
0.0596931,0.0781435,0.0188414
0.0506708,0.0802211,0.0168423
0.0516632,0.0776666,0.0169292
0.0523148,0.0675894,0.0182851
0.0437521,0.0684293,0.0180435
0.0379282,0.0690005,0.0178793
0.0319693,0.0679977,0.0156279
0.0303266,0.070062,0.0139584
0.0296515,0.0693156,0.0151439
0.0368675,0.0616348,0.0178618
0.0369637,0.0609345,0.0206117
0.0319905,0.0691196,0.0201205
0.0346639,0.0662919,0.0252441
0.0314624,0.0987142,0.0325657
0.0332812,0.108443,0.0346731
0.0345574,0.126637,0.0343037
0.0443752,0.120327,0.034274
0.0423054,0.115107,0.0334122
0.0433917,0.107939,0.0310973
0.0426642,0.116325,0.0255152
0.0346845,0.125097,0.0210176
0.0355788,0.165051,0.0175837
0.0360227,0.215438,0.0155064
0.0301343,0.264332,0.0162833
0.0258922,0.263673,0.0194281
0.0229155,0.288244,0.0213654
0.0231083,0.28944,0.0194289
0.0247701,0.262953,0.0179348
0.0322095,0.266701,0.016328
0.0273116,0.261405,0.01431
0.0253646,0.274666,0.0115687
0.0301614,0.280502,0.0147167
0.0322581,0.273095,0.0167217
0.033913,0.246065,0.0194866
0.0388823,0.251469,0.0212366
0.0334837,0.237341,0.0241746
0.0346995,0.248129,0.0245019
0.0329772,0.240747,0.0221465
0.0341237,0.245276,0.024629
0.0339527,0.2701,0.0305279
0.0325266,0.299642,0.0311813
0.0326116,0.274887,0.0389555
0.0263611,0.259988,0.0424426
0.0207058,0.273449,0.0440458
0.0178966,0.26411,0.0412939
0.0263374,0.249638,0.0431339
0.0346522,0.25237,0.0470897
0.032944,0.23396,0.041674
0.0316719,0.241714,0.0457366
0.0320853,0.242888,0.044384
0.0311428,0.244044,0.0484843
0.0329834,0.219074,0.048615
0.0293812,0.216492,0.0427863
0.0319677,0.176371,0.0417499
0.0413622,0.152595,0.0408447
0.0400442,0.139357,0.0361087
0.0403152,0.127521,0.0302865
0.0381871,0.120984,0.0274539
