AU02,AU04cand,Smile_v2
0.318182,0.0323298,0.00226876
0.318182,0.0323298,0.00226876
0.278632,0.0501659,0.00264799
0.260036,0.0585522,0.0028263
0.257171,0.0580635,0.003244
0.275038,0.0538224,0.00313969
0.285048,0.0543751,0.00285602
0.298168,0.051046,0.00299052
0.297967,0.0500862,0.00312027
0.286405,0.0488874,0.00302477
0.275574,0.0488846,0.00286141
0.261627,0.0462846,0.00264149
0.247535,0.0456688,0.00233552
0.232568,0.0458346,0.00204477
0.228229,0.0500731,0.00195137
0.223401,0.051354,0.00185737
0.207356,0.0452998,0.00194602
0.232725,0.042526,0.00243647
0.238091,0.0452155,0.00284186
0.331042,0.0432576,0.00578109
0.420457,0.0520244,0.00605791
0.543045,0.0563295,0.0100083
0.629211,0.0593053,0.0127845
0.705054,0.0684404,0.0182267
0.770784,0.069348,0.0229702
0.80298,0.0653078,0.0209741
0.837364,0.0769651,0.0201917
0.85154,0.0759925,0.0179364
0.8517,0.0745633,0.0199355
0.846702,0.0829182,0.0191276
0.848844,0.0799625,0.0171696
0.843542,0.0881579,0.0142424
0.841091,0.0838904,0.0148008
0.832584,0.0768235,0.0142084
0.847826,0.0707086,0.0115377
0.839885,0.0673616,0.00878266
0.846676,0.0705756,0.00715408
0.845352,0.066615,0.00632327
0.844716,0.0638536,0.00563657
0.810071,0.0608704,0.00483902
0.821119,0.062358,0.00391401
0.829018,0.0631063,0.00330674
0.845949,0.0708194,0.00328559
0.831356,0.0694507,0.00279421
0.821761,0.0651856,0.00306951
0.820656,0.0629146,0.00322996
0.80809,0.0647299,0.00342338
0.804533,0.0673133,0.00367474
0.802037,0.0691261,0.00385113
0.791123,0.0724539,0.00401483
0.786243,0.0779219,0.00425612
0.773934,0.078501,0.00444724
0.754811,0.0822461,0.00389278
0.742164,0.0850736,0.00351824
0.759909,0.0938624,0.00451608
0.762059,0.0933826,0.00491353
0.756282,0.0960447,0.00529702
0.748274,0.0947653,0.00467542
0.737577,0.0975234,0.00410964
0.730364,0.0975191,0.00384655
0.737887,0.101021,0.00331613
0.751039,0.0998667,0.00285892
0.754215,0.0980845,0.00253276
0.757712,0.102655,0.00226393
0.758126,0.102817,0.00207028
0.75871,0.106179,0.00191071
0.761879,0.106083,0.00198711
0.764213,0.104398,0.00211243
0.739341,0.101772,0.00221815
0.737121,0.102126,0.00230616
0.722502,0.100451,0.00240613
0.73868,0.103489,0.00245384
0.729906,0.10352,0.0024572
0.721173,0.101671,0.00255257
0.713813,0.0976059,0.00251254
0.720073,0.109662,0.00257563
0.70789,0.109171,0.00229211
0.680301,0.111756,0.00217296
0.657905,0.114429,0.00219629
0.664597,0.115967,0.00210786
0.669661,0.118541,0.00213399
0.673712,0.116669,0.00206328
0.655563,0.114668,0.0020354
0.64417,0.109665,0.00198891
0.636213,0.105167,0.00205081
0.641723,0.10306,0.00189729
0.644798,0.102552,0.00180064
0.642429,0.0992334,0.00176939
0.635799,0.0986047,0.00174345
0.6216,0.082273,0.00195655
0.611637,0.0707713,0.0021035
0.609686,0.0680026,0.00206718
0.61402,0.0637465,0.00209837
0.617024,0.0593295,0.00208978
0.614054,0.0558949,0.00197646
0.614178,0.0544785,0.00187715
0.597801,0.0559695,0.00168005
0.613112,0.0608435,0.00164014
0.624003,0.0642138,0.00161216
0.6154,0.0663518,0.0018299
0.606825,0.0651307,0.00219271
0.620971,0.0710993,0.0049819
0.63202,0.0783171,0.00538419
0.651197,0.0812212,0.00506149
0.644491,0.0836314,0.00426316
0.639711,0.0852926,0.00370371
0.633027,0.0867886,0.00328811
0.627565,0.08773,0.00299361
0.6085,0.0891389,0.00273207
0.585445,0.0942451,0.00268503
0.552839,0.0926773,0.00239578
0.53064,0.0917616,0.00219551
0.506141,0.0913402,0.00205914
0.486081,0.0911141,0.00194232
0.472592,0.090945,0.00187699
0.494861,0.0826928,0.00189426
0.513137,0.0778653,0.00192248
0.525961,0.074372,0.00202204
0.573481,0.076887,0.002179
0.585541,0.0705761,0.0024041
0.581787,0.0673164,0.00242628
0.579117,0.065018,0.00243965
0.582577,0.0640223,0.00252783
0.593965,0.0644466,0.00276544
0.5918,0.0632459,0.00290375
0.581747,0.0644338,0.00307383
0.579696,0.0636676,0.00341165
0.597298,0.067668,0.00338661
0.608547,0.0703308,0.00336656
0.610718,0.0692705,0.00334279
0.613878,0.0695359,0.00378414
0.611019,0.0720682,0.00375081
0.599979,0.0764557,0.00353834
0.597053,0.0779684,0.00330796
0.587678,0.0779315,0.00367029
0.585127,0.0790646,0.00387744
0.578113,0.080279,0.0041103
0.557408,0.0824097,0.00392268
0.535263,0.0788053,0.00345535
0.523716,0.0816402,0.00330501
0.509229,0.0792542,0.00310413
0.508096,0.0774337,0.00303128
0.494865,0.0810555,0.00317599
0.51336,0.0826079,0.00317593
0.52148,0.0878566,0.00294759
0.525799,0.092255,0.00274505
0.531515,0.0882832,0.00257521
0.535967,0.0839711,0.00240465
0.530426,0.0814524,0.00251823
0.572125,0.0848504,0.00308879
0.600299,0.0857543,0.00321125
0.602041,0.0876924,0.00336463
0.608708,0.0912379,0.00337093
0.618925,0.0936958,0.00335363
0.618625,0.0940573,0.00308967
0.629876,0.100527,0.00275931
0.635158,0.104579,0.00255919
0.641403,0.10773,0.00237361
0.628272,0.112688,0.00222294
0.60758,0.109277,0.00225481
0.557555,0.101825,0.00236158
0.526774,0.0971623,0.00233032
0.510106,0.0906129,0.00228564
0.491879,0.0850872,0.00239331
0.483118,0.0761508,0.00318241
0.45633,0.0677003,0.00383651
0.460454,0.0632689,0.00422155
0.465814,0.0634855,0.00446119
0.470089,0.0614413,0.00461158
0.472113,0.063444,0.00470856
0.506297,0.0653072,0.00468911
0.474321,0.0743242,0.00474664
0.466969,0.0756121,0.0053709
0.461994,0.0765428,0.00580495
0.425389,0.0789588,0.00463959
0.429486,0.0850312,0.00399894
0.463434,0.0864282,0.00394929
0.460526,0.0895559,0.00347767
0.440713,0.0814979,0.00333666
0.426848,0.0792296,0.00309816
0.4162,0.0776289,0.00293327
0.409075,0.0768723,0.00294485
0.404904,0.0763138,0.00315035
0.403247,0.0784792,0.00319752
0.392884,0.0794161,0.00317392
0.394923,0.0756571,0.00318048
0.442401,0.0721493,0.00302431
0.452371,0.0644368,0.0030042
0.463689,0.0587753,0.00315496
0.467823,0.0560449,0.00322145
0.468184,0.0544035,0.00292631
0.463398,0.0549547,0.00267114
0.453655,0.0576624,0.00258362
0.434089,0.0626494,0.00268544
0.419383,0.0671905,0.00288814
0.41004,0.0711827,0.0031444
0.394508,0.0798679,0.00331342
0.402078,0.0785028,0.00369162
0.404741,0.0767384,0.00362198
0.401643,0.0756874,0.0037667
0.40462,0.0736233,0.00380271
0.403047,0.070992,0.00356975
0.402128,0.0691461,0.00354525
0.403119,0.0680661,0.00354144
0.40766,0.069766,0.00349348
0.415886,0.072388,0.0033175
0.406647,0.0740163,0.00321994
0.405997,0.0780414,0.00341962
0.404344,0.0712137,0.00347127
0.40714,0.0667725,0.00377113
0.410224,0.0649004,0.00396938
0.376956,0.0633413,0.0037985
0.347265,0.0634001,0.00399595
0.330202,0.0651499,0.00417712
0.330812,0.062736,0.00476499
0.318399,0.062012,0.00487142
0.307592,0.0601611,0.00488932
0.32775,0.0601203,0.0054505
0.319084,0.0611312,0.00581345
0.340818,0.0663303,0.00635426
0.367457,0.0665035,0.00780317
0.387178,0.0667319,0.00908364
0.42151,0.0647019,0.0183393
0.364252,0.0675947,0.0483748
0.370672,0.0723392,0.187807
0.375545,0.0756393,0.285656
