AU02,AU04cand,Smile_v2
0.355372,0.0252496,0.0341721
0.355372,0.0252496,0.0341721
0.361022,0.0243807,0.0359355
0.349034,0.0199016,0.137166
0.345371,0.0177785,0.250216
0.357157,0.0253144,0.218461
0.355231,0.0288299,0.23219
0.427304,0.0301575,0.283981
0.475635,0.0310477,0.318711
0.480581,0.0280213,0.268018
0.502892,0.0265817,0.256745
0.524894,0.0285055,0.221657
0.502142,0.0284703,0.292825
0.492855,0.0295901,0.297662
0.543385,0.0280937,0.218504
0.554358,0.0271682,0.197967
0.559776,0.0343928,0.154166
0.519631,0.0356076,0.128787
0.486383,0.0393881,0.131715
0.444821,0.0463882,0.204707
0.46084,0.0461485,0.214458
0.471897,0.0458954,0.222087
0.446485,0.0507991,0.295756
0.423392,0.0570238,0.304998
0.385224,0.0644288,0.384163
0.35914,0.0699009,0.457251
0.328216,0.0617732,0.394349
0.297574,0.0596559,0.34059
0.273681,0.0562378,0.283853
0.232079,0.0647527,0.226032
0.232028,0.0713159,0.244673
0.220569,0.0690635,0.215977
0.207173,0.0647543,0.198749
0.21696,0.0593919,0.211637
0.224416,0.055543,0.218645
0.22457,0.0518995,0.22794
0.218699,0.0500028,0.250551
0.209795,0.0517733,0.265993
0.215045,0.0539767,0.259638
0.222003,0.0622258,0.32073
0.219657,0.0731915,0.321024
0.205647,0.083275,0.328646
0.196,0.0904253,0.333851
0.18868,0.095508,0.336817
0.229241,0.110899,0.403835
0.23627,0.107965,0.38311
0.246463,0.108689,0.422091
0.224568,0.116443,0.436623
0.221567,0.115709,0.47965
0.205424,0.122422,0.497451
0.213321,0.107762,0.529881
0.193842,0.108353,0.572896
0.180174,0.108768,0.60308
0.188354,0.111778,0.619303
0.17627,0.121815,0.58496
0.172223,0.121755,0.503485
0.18066,0.127086,0.509913
0.184887,0.125562,0.509579
0.182409,0.123356,0.563046
0.181073,0.131463,0.601816
0.171969,0.134663,0.644415
0.159969,0.14403,0.639761
0.154086,0.154514,0.652948
0.154522,0.127796,0.651695
0.159113,0.116025,0.648738
0.160956,0.115277,0.683863
0.168265,0.106714,0.719569
0.18616,0.101417,0.734276
0.18871,0.0986225,0.758159
0.194307,0.0936854,0.768691
0.198455,0.0903092,0.775619
0.185048,0.0817606,0.780712
0.169219,0.0764726,0.790546
0.174467,0.0748656,0.833848
0.17804,0.073529,0.864331
0.185661,0.0768916,0.881665
0.188286,0.0773931,0.901197
0.192299,0.0863531,0.91906
0.162406,0.0870634,0.938157
0.151474,0.0867836,0.953093
0.156497,0.0925984,0.960342
0.150344,0.116451,0.965955
0.146211,0.13243,0.965334
0.136486,0.14117,0.964475
0.1322,0.150121,0.9688
0.129046,0.156271,0.971922
0.12056,0.145787,0.976756
0.11707,0.138836,0.979004
0.119384,0.130727,0.974151
0.116907,0.12171,0.978557
0.113531,0.12391,0.980824
0.119073,0.119427,0.983999
0.136924,0.107639,0.985426
0.148365,0.0916517,0.987782
0.250253,0.0728264,0.990697
0.301438,0.0591423,0.992402
0.340077,0.0528534,0.993787
0.4217,0.0424747,0.995194
0.46744,0.0362527,0.996533
0.503455,0.0326727,0.996775
0.502106,0.0339907,0.996256
0.528866,0.0337425,0.996997
0.535815,0.0337032,0.997194
0.526764,0.0380528,0.997347
0.475806,0.042473,0.997032
0.408902,0.0487445,0.99419
0.368228,0.0474948,0.993929
0.320336,0.0487537,0.993323
0.297216,0.0485007,0.991694
0.26565,0.067676,0.987872
0.229039,0.0617055,0.97923
0.213965,0.0564323,0.9802
0.20118,0.0569508,0.979508
0.198959,0.0640836,0.977646
0.198613,0.066173,0.975148
0.19675,0.0652451,0.977084
0.206683,0.0684041,0.975887
0.202744,0.062406,0.975322
0.197146,0.0651048,0.972567
0.197468,0.0704374,0.969131
0.208289,0.071085,0.957053
0.188895,0.0745615,0.947006
0.184245,0.0743357,0.925679
0.180799,0.0738039,0.915454
0.182189,0.0770827,0.892058
0.175621,0.080591,0.872042
0.163066,0.0864867,0.841725
0.154586,0.0908598,0.820444
0.181713,0.0872385,0.813725
0.190483,0.089194,0.813818
0.211576,0.0889662,0.797826
0.216993,0.0822652,0.814563
