AU02,AU04cand,Smile_v2
0.38843,0.390617,0.295605
0.417569,0.405986,0.238491
0.434422,0.386827,0.249635
0.417939,0.356156,0.279418
0.402876,0.36615,0.290082
0.393783,0.372182,0.296519
0.401458,0.375353,0.284006
0.398638,0.382136,0.281404
0.373606,0.372796,0.286844
0.381968,0.360421,0.306118
0.386434,0.373874,0.339335
0.38278,0.321912,0.314743
0.381339,0.280511,0.280437
0.377071,0.296292,0.253913
0.374222,0.306699,0.235445
0.372224,0.314001,0.222486
0.370454,0.319143,0.213846
0.391012,0.328243,0.235545
0.421331,0.330109,0.262619
0.388558,0.321762,0.243236
0.357981,0.323968,0.208
0.369713,0.311293,0.232059
0.365215,0.30044,0.220042
0.407866,0.320522,0.180823
0.437794,0.334614,0.153303
0.444832,0.312359,0.133285
0.448501,0.301593,0.131544
0.440296,0.325876,0.125921
0.421404,0.29053,0.187762
0.423653,0.286638,0.274496
0.397526,0.26073,0.321721
0.409972,0.249552,0.336957
0.419072,0.241769,0.348499
0.407634,0.230343,0.320163
0.395799,0.257563,0.307905
0.391707,0.245584,0.278895
0.382525,0.255759,0.264038
0.376376,0.282883,0.251543
0.372429,0.292615,0.237614
0.376871,0.291852,0.213373
0.382066,0.29663,0.189493
0.373369,0.326529,0.181714
0.372343,0.350627,0.164772
0.367023,0.350613,0.164756
0.36467,0.364836,0.157492
0.361639,0.375935,0.153264
0.359696,0.383181,0.150128
0.357064,0.403658,0.15109
0.357755,0.383695,0.150532
0.359289,0.368453,0.166712
0.359059,0.366231,0.173199
0.355421,0.338418,0.173253
0.364145,0.325429,0.169194
0.370413,0.316808,0.166034
0.376045,0.342748,0.161168
0.380033,0.360944,0.157746
0.387909,0.352875,0.161736
0.392203,0.33115,0.16416
0.396412,0.327173,0.157583
0.400598,0.347848,0.166386
0.380724,0.370188,0.160653
0.375774,0.385979,0.169924
0.387202,0.347766,0.163086
0.381258,0.339742,0.151713
0.370704,0.330769,0.149006
0.362028,0.319906,0.148581
0.365949,0.32958,0.145403
0.363659,0.324617,0.141796
0.367093,0.346625,0.12618
0.36185,0.338015,0.113724
0.358832,0.331739,0.105333
0.358996,0.337993,0.0970724
0.359939,0.367354,0.0940304
0.363544,0.384,0.0972077
0.366257,0.395751,0.0992869
0.361851,0.396472,0.119202
0.358465,0.396495,0.133255
0.34989,0.389601,0.131944
0.343725,0.380928,0.134812
0.342159,0.374752,0.135544
0.347406,0.358623,0.145577
0.36117,0.351956,0.1485
0.363175,0.341938,0.142592
0.367047,0.348994,0.153622
0.367226,0.341606,0.156231
0.359918,0.322818,0.154758
0.372562,0.323641,0.152614
0.371463,0.314961,0.159743
0.370691,0.308959,0.164647
0.359922,0.322365,0.170328
0.366144,0.295913,0.167696
0.363869,0.267855,0.158696
0.380265,0.272844,0.185674
0.376464,0.281285,0.179952
0.401796,0.283761,0.163171
0.402021,0.272039,0.151285
0.408012,0.310028,0.14203
0.397277,0.319572,0.138591
0.389744,0.358498,0.152833
0.38983,0.39177,0.156652
0.3806,0.400781,0.175147
0.380654,0.389324,0.189613
0.371292,0.397094,0.177596
0.370241,0.401419,0.161434
0.361079,0.378092,0.153428
0.369127,0.351221,0.145261
0.365706,0.309988,0.133783
0.357399,0.296339,0.127312
0.361725,0.28335,0.133066
0.364613,0.274049,0.13728
0.350396,0.273762,0.136719
0.355468,0.274818,0.132073
0.354206,0.295349,0.131785
0.353175,0.305089,0.123046
0.350132,0.327595,0.112619
0.356479,0.334951,0.108313
0.353573,0.327872,0.10899
0.351718,0.338968,0.102106
0.345045,0.354896,0.0991106
0.346709,0.343477,0.0981413
0.348354,0.313439,0.0995714
0.368109,0.286265,0.0970509
0.373232,0.272368,0.104898
0.374288,0.285441,0.121772
0.372564,0.285219,0.13277
0.372366,0.277207,0.123985
0.36737,0.285145,0.113679
0.366403,0.296321,0.103163
0.350639,0.317688,0.098218
0.345741,0.322629,0.100566
0.342304,0.326728,0.102156
0.334263,0.328467,0.109753
0.330148,0.278056,0.108548
0.33368,0.26475,0.115983
0.352734,0.249007,0.12235
0.353374,0.250355,0.119867
0.343815,0.265686,0.126449
0.34592,0.288616,0.136859
0.333874,0.290925,0.14097
0.358242,0.291695,0.166644
0.367724,0.263236,0.16151
0.377064,0.249704,0.168396
0.356924,0.252042,0.153973
0.3388,0.269712,0.143852
0.325605,0.282303,0.136718
0.329407,0.293262,0.135035
0.346332,0.313455,0.14964
0.349065,0.310288,0.16603
0.355195,0.325271,0.180516
0.368697,0.325257,0.170447
0.383469,0.340965,0.15947
0.41407,0.336047,0.18412
0.42616,0.322585,0.173335
0.430946,0.323315,0.166901
0.439382,0.326874,0.152766
0.437318,0.320381,0.144197
0.444351,0.329504,0.142903
0.444465,0.333234,0.143244
0.425395,0.341214,0.138884
0.420605,0.375484,0.138835
0.412019,0.369013,0.141905
0.397791,0.363564,0.131037
0.386831,0.372363,0.130414
0.385598,0.403703,0.127308
0.380777,0.417621,0.129948
0.377615,0.427645,0.131758
0.3726,0.42702,0.139509
0.369228,0.426674,0.144906
0.37376,0.434182,0.14843
0.367797,0.439203,0.138097
0.357413,0.448864,0.150864
0.346539,0.43334,0.152747
0.351639,0.461728,0.157182
0.361381,0.433441,0.15743
0.359442,0.414397,0.160316
0.351734,0.407354,0.142325
0.345129,0.398107,0.130256
0.345572,0.37601,0.111917
0.341892,0.381598,0.103419
0.337027,0.387121,0.104297
0.34903,0.384644,0.111644
0.355024,0.408513,0.111634
0.348707,0.412404,0.111856
0.36694,0.383919,0.109025
0.377452,0.425472,0.102932
0.381204,0.439326,0.0932019
0.388952,0.41466,0.117277
0.381547,0.420305,0.115631
0.394233,0.386516,0.130639
0.405746,0.378419,0.139305
0.419732,0.381599,0.157807
0.429619,0.383108,0.170946
0.425426,0.37104,0.172751
0.402782,0.375756,0.200526
0.394583,0.379893,0.210521
0.396555,0.360182,0.218038
0.399062,0.356379,0.208859
0.392303,0.363497,0.200432
0.399739,0.360813,0.197539
0.406153,0.386683,0.171817
0.41047,0.404585,0.153402
0.413499,0.373963,0.138279
0.400723,0.362645,0.140938
0.41135,0.327608,0.147053
0.421125,0.336515,0.164651
0.420147,0.320308,0.16026
0.419425,0.308674,0.157572
0.420444,0.301252,0.145364
0.428408,0.292021,0.1805
0.425075,0.26794,0.200766
0.418927,0.283975,0.228615
0.433654,0.245504,0.20972
0.430466,0.244075,0.218503
0.432755,0.255701,0.204984
0.421594,0.253208,0.192133
0.413983,0.252128,0.183601
0.425144,0.285745,0.188137
0.429131,0.295006,0.181701
0.441863,0.275527,0.177086
0.432014,0.255343,0.183584
0.426482,0.26103,0.181523
0.422049,0.266497,0.181192
0.426959,0.270294,0.189826
0.422641,0.249283,0.229495
0.407285,0.219506,0.227721
0.420628,0.204415,0.247526
0.423166,0.190839,0.266007
0.414902,0.198348,0.277357
0.418964,0.191208,0.252757
0.422366,0.186401,0.235217
0.422177,0.201863,0.225815
0.436008,0.201842,0.228551
0.439146,0.183652,0.207086
0.446646,0.178071,0.19203
0.438313,0.180844,0.19766
0.424151,0.181074,0.195639
0.42963,0.178273,0.188055
0.424883,0.188843,0.18093
0.423797,0.184042,0.182122
0.429381,0.196833,0.175671
0.428296,0.211561,0.169851
0.42713,0.22221,0.165497
0.422688,0.21997,0.161994
0.419424,0.21821,0.159507
0.418807,0.204091,0.14888
0.418594,0.209244,0.157189
0.437045,0.209023,0.195982
0.441363,0.207234,0.237453
0.46463,0.190402,0.250463
0.471887,0.175334,0.270941
0.477126,0.164578,0.285346
0.484611,0.149642,0.30377
0.509013,0.148639,0.315749
0.523598,0.142305,0.331527
0.527448,0.146601,0.304537
