AU02,AU04cand,Smile_v2
0.194215,0.652746,0.0716456
0.194215,0.652746,0.0716456
0.177265,0.553383,0.0652366
0.175803,0.491122,0.0608955
0.174995,0.461626,0.0704853
0.177306,0.452613,0.115651
0.189538,0.454349,0.152289
0.193639,0.438788,0.180255
0.186104,0.510737,0.196421
0.203828,0.541853,0.225617
0.204769,0.582495,0.276351
0.200351,0.60453,0.287412
0.200121,0.616484,0.304372
0.192196,0.608706,0.303573
0.185366,0.594505,0.289956
0.166536,0.635526,0.30807
0.169532,0.590109,0.328904
0.15778,0.584621,0.277043
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.0743802,0.298334,0.149112
0.0938065,0.245888,0.167468
0.0868359,0.245769,0.195441
0.0982025,0.313464,0.245613
0.125287,0.285732,0.295696
0.145836,0.292035,0.3464
0.142752,0.286795,0.339261
0.153823,0.278723,0.339604
0.141963,0.294075,0.298459
0.161822,0.306231,0.242779
0.208092,0.288947,0.223058
0.222496,0.279084,0.206536
0.236667,0.287812,0.212989
0.220894,0.27788,0.244361
0.209311,0.267594,0.294282
0.211228,0.263886,0.335635
0.216823,0.263,0.367652
0.210226,0.262137,0.384499
0.199801,0.302285,0.415867
0.20691,0.305177,0.468785
0.221135,0.307108,0.472442
0.235439,0.309291,0.480555
0.245366,0.30387,0.499314
0.273377,0.302914,0.499793
0.279069,0.297891,0.499777
0.282769,0.284768,0.525246
0.289063,0.273357,0.533038
0.333124,0.256185,0.497785
0.319798,0.211658,0.357078
0.293504,0.1744,0.254199
0.27476,0.14828,0.182962
0.213261,0.117223,0.140196
0.168837,0.0997169,0.117885
0.139616,0.0902472,0.103349
0.132209,0.0970735,0.0877562
0.138436,0.0889269,0.0873411
0.137617,0.087707,0.0787115
0.146059,0.0867523,0.0861318
0.144383,0.0805261,0.115827
0.151301,0.0925786,0.1285
0.152347,0.0983355,0.138176
0.164632,0.100643,0.18404
0.182175,0.105669,0.231315
0.188064,0.106879,0.240712
0.19183,0.107342,0.247462
0.205566,0.105745,0.248109
0.209004,0.107925,0.250211
0.209854,0.100711,0.239922
0.208168,0.094345,0.228174
0.211843,0.0917142,0.212147
0.208184,0.0937246,0.202596
0.218017,0.099478,0.183562
0.164999,0.141501,0.131099
0.147021,0.27115,0.0967195
0.129328,0.345773,0.0696245
0.124198,0.412299,0.0512624
0.096664,0.434007,0.0401145
0.0875351,0.483669,0.0339959
0.0761253,0.524391,0.0303196
0.0692414,0.555894,0.0290881
0.0747496,0.533786,0.0264969
0.0985572,0.530542,0.0251338
0.111912,0.530953,0.0298974
0.119463,0.532219,0.0333057
0.132525,0.516838,0.0405101
0.123699,0.516319,0.0455522
0.123281,0.508727,0.0493901
0.139196,0.503243,0.0558299
0.146702,0.483677,0.0566654
0.162087,0.42927,0.063492
0.17132,0.382558,0.0657337
0.154362,0.369479,0.0664926
0.133724,0.375069,0.0697204
0.119279,0.37888,0.071982
0.143195,0.396857,0.0736274
0.135105,0.414387,0.0750713
0.136896,0.424914,0.0782005
0.141484,0.420474,0.0790564
0.141006,0.450353,0.0771788
0.194959,0.466772,0.0742352
0.218892,0.479247,0.0712875
0.236347,0.487419,0.0692425
0.245044,0.545409,0.0700494
0.251147,0.5861,0.0706157
0.237936,0.597294,0.0738735
0.248441,0.600748,0.0769872
0.255592,0.603229,0.0791106
0.256691,0.531901,0.0846754
0.239802,0.470141,0.0876156
0.22637,0.426969,0.0897206
0.21735,0.396655,0.0912254
0.213559,0.406049,0.0931712
0.226241,0.456524,0.0943103
0.23641,0.492467,0.0931984
0.238946,0.523283,0.0942445
0.218594,0.489148,0.0967198
0.178927,0.460919,0.094134
0.188013,0.450389,0.0980574
0.193635,0.444324,0.101704
0.21662,0.447028,0.102129
0.2099,0.465166,0.100422
0.205111,0.477006,0.0991987
0.22035,0.527355,0.0942935
0.248778,0.5458,0.0932294
0.2346,0.561362,0.0893022
0.224006,0.570449,0.0847743
0.208422,0.591271,0.0838117
0.195151,0.617328,0.0817019
0.203647,0.620455,0.0885376
0.193826,0.626793,0.0927475
0.187595,0.63077,0.0957596
0.14895,0.621262,0.111548
0.121281,0.613336,0.122744
0.111507,0.613291,0.126476
0.10564,0.61318,0.129185
