AU02,AU04cand,Smile_v2
0.590909,0.00789703,0.00457332
0.590909,0.00789703,0.00457332
0.558892,0.00907889,0.00330114
0.542211,0.0136467,0.00236534
0.552289,0.0154683,0.00190211
0.496784,0.017747,0.00156634
0.581241,0.0187994,0.00211878
0.655024,0.0201502,0.00195927
0.700645,0.0206694,0.00166052
0.73675,0.0179644,0.00136904
0.754176,0.0168672,0.00119128
0.75498,0.0164501,0.00108599
0.740936,0.0168977,0.000989252
0.72604,0.0190945,0.0008522
0.71511,0.0160132,0.00116211
0.70271,0.0144232,0.00139263
0.680584,0.0144367,0.00146179
0.679777,0.0118184,0.00162787
0.675512,0.0120317,0.00186153
0.674912,0.0105489,0.00261249
0.665862,0.00916429,0.00292349
0.644609,0.00808636,0.00294754
0.644101,0.00932029,0.00262242
0.647699,0.00821147,0.0025642
0.645146,0.00808319,0.00244616
0.684158,0.00800519,0.0026115
0.687709,0.011738,0.00230875
0.703723,0.0134444,0.00240268
0.731572,0.0139094,0.00233574
0.747232,0.0146053,0.00302766
0.758478,0.0155971,0.00293637
0.764272,0.0192452,0.0028552
0.778088,0.0221885,0.00255974
0.799097,0.0222095,0.0021746
0.822871,0.0180025,0.00175538
0.826954,0.0179689,0.00142
0.84448,0.02148,0.0015403
0.853835,0.0235693,0.00144251
0.857383,0.0244298,0.00107297
0.854906,0.0256749,0.000781504
0.855706,0.0235679,0.000600406
0.860149,0.0210841,0.000459073
0.861704,0.0205381,0.000475055
0.85104,0.0200941,0.00041376
0.825528,0.0200722,0.00048846
0.816843,0.0206196,0.000576093
0.823038,0.0213461,0.000636629
0.831267,0.0214869,0.000692621
0.832037,0.0225389,0.000786294
0.818761,0.0211675,0.000805845
0.806834,0.0224094,0.000641119
0.798353,0.0204938,0.000554301
0.793709,0.0195961,0.000534738
0.790781,0.0189698,0.000523253
0.794318,0.0192841,0.000520872
0.809236,0.0191552,0.000558391
0.807913,0.0233587,0.00128854
0.801797,0.0283274,0.00265145
0.810345,0.0265158,0.0025356
0.815479,0.0252545,0.00294091
0.826771,0.0222287,0.00266206
0.844849,0.0203339,0.00212056
0.844805,0.0179723,0.00174946
0.837157,0.0153631,0.00149528
0.829105,0.0142346,0.00123689
0.830704,0.0132834,0.000980747
0.829617,0.0120553,0.000751181
0.823925,0.0117326,0.000586695
0.823371,0.0107804,0.000488717
0.80144,0.0129815,0.000394126
0.811217,0.0131263,0.000355008
0.808899,0.0130875,0.000344554
0.810178,0.0154121,0.000357905
0.790986,0.0136451,0.000615826
0.789017,0.0132701,0.000617808
0.786146,0.0120022,0.000705786
0.782935,0.011221,0.000693474
0.792253,0.0124354,0.00078041
0.799951,0.0127966,0.000752034
0.805977,0.0129671,0.000732464
0.798046,0.0115586,0.000726666
0.807971,0.0116748,0.000679835
0.805976,0.0103586,0.000670615
0.805164,0.0108033,0.000656043
0.805533,0.0119555,0.000653844
0.796943,0.011752,0.000644293
0.79476,0.0117072,0.000585286
0.787821,0.0111632,0.000629709
0.777837,0.0112046,0.000600677
0.763215,0.0109627,0.000559001
0.768518,0.0108133,0.0006521
0.78703,0.0113503,0.000814942
0.799008,0.0155381,0.00158184
0.812491,0.0156964,0.00243678
0.819376,0.0152123,0.00310162
0.81431,0.0137685,0.00264239
0.818261,0.0119367,0.0023326
0.82118,0.0110236,0.00202541
0.813221,0.0125901,0.00169612
0.811664,0.0130516,0.00182683
0.808861,0.012683,0.00176797
0.808993,0.0119824,0.00166727
0.81166,0.0113293,0.00165638
0.805769,0.0133741,0.00169462
0.796631,0.0155358,0.00197549
0.791782,0.0149834,0.00200174
0.789429,0.0145342,0.00225331
0.770006,0.0140701,0.00200407
0.763018,0.013744,0.00188366
0.764351,0.0127287,0.00176385
0.765323,0.0127221,0.00160671
0.767201,0.0126134,0.00147405
0.75956,0.0119721,0.00136458
0.765843,0.0114519,0.00133547
0.760243,0.0113788,0.00139969
0.766433,0.0105595,0.0014605
0.770739,0.0108192,0.00130271
0.774275,0.0110054,0.00120438
0.768956,0.0132374,0.00118091
0.758693,0.0137335,0.00115069
0.751492,0.0140618,0.00113173
0.780675,0.0140844,0.00107591
0.792525,0.0142801,0.000987431
0.803047,0.0149858,0.000875183
0.789146,0.0145281,0.000857359
0.795599,0.0151002,0.000800092
0.797589,0.0183547,0.000884286
0.791368,0.0204178,0.000820007
0.789763,0.0209408,0.000812548
0.785012,0.0195527,0.000779174
0.77787,0.0186172,0.000790279
0.789638,0.0173925,0.000907392
0.805768,0.0166501,0.00120875
0.810667,0.0163295,0.00125749
0.810921,0.015791,0.00121283
0.787773,0.0155805,0.002626
0.770334,0.0152068,0.00350884
0.75324,0.013323,0.00415597
0.758943,0.0127214,0.00488472
0.757977,0.0154028,0.00537284
0.751063,0.0166783,0.00709343
0.748236,0.0176677,0.00982573
0.754917,0.0188175,0.0103023
0.748364,0.0188898,0.0103994
0.748954,0.0179653,0.00968006
0.763993,0.0169046,0.0090082
0.774582,0.0163427,0.00847379
0.777082,0.0168996,0.00821073
0.770705,0.0172662,0.0077876
0.785418,0.0201296,0.00775969
0.787041,0.0176152,0.00635507
0.769065,0.0169842,0.00546039
0.757464,0.0151262,0.00523448
0.748385,0.0150717,0.00473159
0.729173,0.0142267,0.00401013
0.71148,0.0134136,0.00359447
0.696526,0.0139701,0.00354751
0.692526,0.0142993,0.00328234
0.68994,0.0145304,0.00310294
0.683766,0.0154595,0.00316662
0.679691,0.0184855,0.00309618
0.68246,0.0190541,0.00305288
0.690713,0.0184095,0.00287818
0.715582,0.019934,0.00297773
0.73213,0.0189092,0.00269217
0.72862,0.0168327,0.00290472
0.736386,0.0151784,0.00340968
0.734035,0.0162096,0.00655373
0.720961,0.0176354,0.0100865
0.715705,0.0254303,0.0200444
0.719633,0.0287183,0.0747432
0.738744,0.030564,0.110838
0.746894,0.0246578,0.208392
0.766024,0.0210302,0.341017
0.778215,0.0185113,0.450369
0.765632,0.0185701,0.538389
0.780626,0.0196328,0.580339
0.773596,0.0193233,0.518663
