AU02,AU04cand,Smile_v2
0.326446,0.687233,0.0238494
0.326446,0.687233,0.0238494
0.34528,0.705398,0.0232147
0.341118,0.738702,0.0239624
0.359609,0.693032,0.0352865
0.383369,0.643632,0.0401989
0.391743,0.613608,0.0433713
0.397241,0.593895,0.0454541
0.403499,0.573411,0.0542718
0.411564,0.567675,0.0569227
0.431871,0.531911,0.0706241
0.44612,0.506815,0.0802385
0.421479,0.497461,0.0845369
0.434947,0.468776,0.0847371
0.434997,0.465605,0.0840697
0.442318,0.463062,0.0765704
0.443831,0.474488,0.0700032
0.434737,0.458706,0.067871
0.45494,0.501076,0.0582113
0.422039,0.604286,0.0482342
0.406165,0.680525,0.0402358
0.383601,0.743724,0.0334886
0.371299,0.789619,0.0289227
0.357976,0.824639,0.0254498
0.33873,0.859171,0.0241653
0.325005,0.883427,0.0234688
0.315484,0.900065,0.0230179
0.315444,0.913985,0.0219309
0.314644,0.922213,0.0213983
0.315442,0.925852,0.0211199
0.315782,0.928321,0.0209438
0.316351,0.929773,0.020853
0.316676,0.93074,0.0207865
0.301783,0.932648,0.0257673
0.296703,0.933097,0.0276221
0.293139,0.933412,0.0289236
0.296985,0.93334,0.0307248
0.2995,0.933245,0.0320091
0.301264,0.933177,0.0329102
0.306311,0.936327,0.0344256
0.309852,0.938537,0.0354889
0.312337,0.940088,0.0362351
0.31408,0.941177,0.0367587
0.315745,0.941903,0.0369808
0.316766,0.94243,0.0371833
0.317482,0.942799,0.0373253
0.317801,0.943067,0.0373993
0.318025,0.943255,0.0374512
0.318182,0.943387,0.0374876
0.318182,0.943387,0.0374876
0.318182,0.943387,0.0374876
0.325798,0.913133,0.033789
0.331142,0.891905,0.0311936
0.36028,0.864926,0.0384963
0.37311,0.847767,0.0399768
0.377035,0.833983,0.038843
0.410254,0.798712,0.0439333
0.438641,0.769312,0.0482936
0.458561,0.748682,0.0513532
0.475077,0.730218,0.0481522
0.476512,0.715702,0.0450157
0.4938,0.694146,0.0435669
0.504662,0.673724,0.0430401
0.496316,0.658873,0.0424194
0.510991,0.653856,0.0475046
0.521434,0.650386,0.0511357
0.532959,0.652155,0.050954
0.53836,0.653301,0.0532211
0.545958,0.65173,0.064338
0.543599,0.652508,0.074608
0.540969,0.644732,0.0806682
0.538646,0.639629,0.0849021
0.534514,0.63611,0.0916618
0.546018,0.614506,0.0913858
0.553503,0.599189,0.0910353
0.540984,0.583259,0.0869401
0.544746,0.567655,0.0881326
0.547459,0.556711,0.0888994
0.539098,0.55431,0.0877207
0.533452,0.552573,0.0868267
0.528257,0.547276,0.0829161
0.534766,0.553475,0.0778725
0.531791,0.545922,0.0765836
0.534377,0.548175,0.0765085
0.534922,0.550851,0.0757263
0.526934,0.5387,0.0762636
0.520961,0.530299,0.0765251
0.502806,0.559347,0.0702076
0.519557,0.541756,0.0748799
0.517347,0.557464,0.0749234
0.518373,0.561303,0.0762866
0.516259,0.529743,0.0804337
0.50865,0.519858,0.0829622
0.513319,0.501238,0.0863192
0.526786,0.517966,0.0801249
0.528877,0.534263,0.0770861
0.517651,0.536354,0.0809983
0.513986,0.53658,0.0848366
0.5093,0.545585,0.0800483
0.506415,0.541253,0.0843525
0.497971,0.527334,0.0871266
0.488311,0.528614,0.0837752
0.484255,0.537333,0.0794279
0.468421,0.554181,0.0739382
0.464633,0.585198,0.0699081
0.467273,0.596995,0.0724507
0.468223,0.606444,0.0731115
0.470049,0.614065,0.0734493
0.468828,0.617426,0.0762703
0.467972,0.620069,0.0780307
0.470093,0.633432,0.0731313
0.466615,0.639654,0.0686946
0.457753,0.640365,0.0655596
0.455711,0.642248,0.062906
0.462943,0.640376,0.0612563
0.46787,0.642507,0.0599498
0.471365,0.643091,0.0583592
0.47378,0.643472,0.057246
0.474279,0.63764,0.0577032
0.474629,0.629625,0.0585066
0.481148,0.625507,0.0587241
0.488408,0.609013,0.0592282
0.493687,0.597539,0.0595843
0.493472,0.599775,0.0592048
0.493064,0.601421,0.0589328
0.494047,0.592913,0.0581831
0.493468,0.588349,0.0578967
0.484176,0.581134,0.0565697
0.485308,0.573546,0.056031
0.489911,0.551387,0.0562449
0.475186,0.595676,0.0537766
0.478743,0.619832,0.0470711
0.504088,0.596203,0.048811
0.52706,0.554902,0.0606103
0.529216,0.572377,0.0568517
0.53577,0.568272,0.0587657
0.545484,0.568024,0.0584199
0.552557,0.567966,0.0582099
0.554761,0.557697,0.0579575
0.556197,0.550982,0.0577629
0.557719,0.536825,0.057105
0.559652,0.530939,0.0575726
0.560348,0.527984,0.0577142
0.545456,0.546596,0.0561694
0.546835,0.537334,0.0546669
0.527346,0.559512,0.0516083
0.532564,0.566305,0.0498166
0.545111,0.583695,0.0517253
0.565413,0.564511,0.0556048
0.556811,0.549781,0.0576161
0.553313,0.538091,0.057769
0.541936,0.551461,0.056327
0.533953,0.560843,0.0553151
0.5326,0.582513,0.0531642
0.53259,0.590942,0.0517004
0.530632,0.599042,0.0495226
0.516013,0.603367,0.0494654
0.514383,0.6087,0.0469232
0.505293,0.601728,0.0460709
0.518616,0.585987,0.0453953
0.522813,0.598697,0.0458049
0.49809,0.607096,0.0502292
0.480742,0.61299,0.0533337
0.477344,0.609329,0.0554496
0.483808,0.613935,0.0563364
0.494764,0.611508,0.0580709
0.50282,0.609851,0.0592451
0.51837,0.60827,0.0724577
0.507923,0.621627,0.0956759
0.506388,0.628129,0.109957
0.516882,0.623946,0.131345
0.528863,0.576266,0.176514
0.537269,0.528947,0.215734
0.535295,0.512156,0.23896
0.541268,0.542588,0.245922
0.533852,0.527071,0.251929
0.548958,0.541103,0.254818
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.334711,0.844701,0.310608
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.450413,0.748498,0.22862
0.450413,0.748498,0.22862
0.461713,0.766453,0.254545
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.409091,0.809026,0.25336
0.401806,0.765839,0.247549
0.393826,0.748875,0.234536
0.378684,0.756808,0.241062
0.376246,0.757254,0.244727
0.370575,0.758949,0.243818
0.357553,0.752591,0.241632
0.346385,0.755072,0.229783
0.338896,0.756736,0.221837
0.304607,0.773203,0.230432
0.329427,0.797284,0.214695
0.376149,0.800717,0.189528
0.329075,0.794485,0.233774
0.305185,0.805699,0.250485
0.288274,0.813665,0.262209
-1,-1,-1
0.429752,0.777318,0.150785
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.433884,0.805736,0.172356
0.460595,0.798504,0.16305
0.469138,0.796191,0.160074
0.460138,0.81236,0.169882
0.458128,0.813807,0.174503
0.459714,0.810003,0.181579
0.460722,0.807585,0.186077
0.453526,0.801704,0.187078
0.425559,0.781886,0.1875
0.403998,0.766906,0.186779
0.41926,0.752388,0.174744
0.407986,0.746289,0.168153
-1,-1,-1
-1,-1,-1
0.479339,0.699132,0.169036
0.49148,0.69409,0.150814
0.472763,0.714064,0.155528
-1,-1,-1
0.371901,0.728211,0.163933
0.425323,0.722382,0.147587
0.417925,0.743142,0.162409
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.471074,0.744681,0.147022
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.421488,0.746592,0.138381
0.351067,0.743876,0.17242
0.379396,0.733505,0.164854
0.379699,0.720558,0.160682
0.379867,0.713394,0.158373
0.399564,0.730329,0.154713
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.487603,0.705072,0.15523
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.483471,0.701121,0.129637
0.483471,0.701121,0.129637
-1,-1,-1
0.450413,0.735631,0.173912
0.467411,0.7209,0.164031
0.429531,0.718331,0.173358
0.431245,0.731409,0.162347
0.426252,0.737517,0.156401
0.431637,0.737127,0.153478
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.475207,0.634235,0.153873
0.501918,0.656093,0.156815
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
