AU02,AU04cand,Smile_v2
0.0785124,0.358538,0.214503
0.0785124,0.358538,0.214503
0.0785124,0.358538,0.214503
0.0768853,0.392951,0.203243
0.0730142,0.428757,0.186177
0.0790758,0.452168,0.162585
0.0802377,0.483148,0.138497
0.0849293,0.476326,0.123305
0.0893611,0.461663,0.114461
0.0898366,0.454476,0.108843
0.0915361,0.442373,0.102049
0.0965368,0.436378,0.0981453
0.0987764,0.433669,0.0933185
0.104193,0.403117,0.0944515
0.102989,0.395863,0.0968565
0.107002,0.369814,0.106057
0.111161,0.348638,0.114559
0.115238,0.338663,0.115141
0.126948,0.341557,0.125095
0.123814,0.361213,0.123306
0.112692,0.381451,0.121394
0.103509,0.381162,0.111332
0.0971014,0.3892,0.102481
0.0899563,0.383686,0.0960214
0.0838202,0.379736,0.0907923
0.0819063,0.385747,0.0879763
0.0805265,0.390037,0.0859483
0.0807909,0.389649,0.0832691
0.07945,0.385222,0.0802439
0.0648766,0.390286,0.0702031
0.0777562,0.368848,0.0626683
0.0881,0.352675,0.051928
0.0953582,0.341087,0.0444451
0.0954474,0.349278,0.0340127
0.112048,0.347541,0.0255619
0.113469,0.354713,0.0196395
0.113197,0.347289,0.0143597
0.115507,0.33259,0.0107894
0.10828,0.360146,0.00847688
0.10869,0.376212,0.0066883
0.105778,0.38228,0.00545831
0.102428,0.388605,0.0053539
0.102617,0.393615,0.00566183
0.100357,0.388798,0.00638303
0.102102,0.396794,0.00905309
0.102351,0.401625,0.0102288
0.103831,0.410674,0.0107287
0.107336,0.416031,0.010391
0.110052,0.418696,0.0101492
0.110542,0.407846,0.00978699
0.112228,0.395106,0.00985778
0.112179,0.384789,0.00988426
0.11334,0.374635,0.00993128
0.112959,0.388418,0.00939605
0.112582,0.397767,0.0089588
0.113623,0.426524,0.00896352
0.118125,0.45174,0.00929732
0.117402,0.460281,0.00966839
0.114356,0.461168,0.010198
0.113525,0.444257,0.0112232
0.112905,0.429754,0.011728
0.112507,0.431817,0.0116973
0.112191,0.435044,0.0108532
0.106928,0.431947,0.0109629
0.100697,0.420233,0.0109191
0.0962873,0.419546,0.0118459
0.093083,0.425345,0.0127207
0.0960222,0.429583,0.0134513
0.0968888,0.443897,0.0138264
0.0898439,0.473385,0.0138012
0.0849005,0.494159,0.0137894
0.0877785,0.489655,0.0133236
0.0961448,0.496053,0.0126467
0.0983544,0.498113,0.0120812
0.103786,0.516524,0.0110814
0.108867,0.52527,0.0106521
0.112433,0.531851,0.0108215
0.114788,0.525244,0.0115189
0.113938,0.523242,0.0119041
0.116101,0.491491,0.0113211
0.120158,0.467752,0.0116596
0.121551,0.452869,0.0116578
0.119807,0.427864,0.012257
0.119962,0.418467,0.0120449
0.119961,0.409912,0.0112898
0.119923,0.404022,0.0107512
0.119897,0.394697,0.0110273
0.11734,0.384067,0.0115165
0.115619,0.361031,0.011634
0.130839,0.341204,0.0116496
0.149062,0.336496,0.01197
0.13396,0.365224,0.0127115
0.127245,0.375672,0.0126422
0.112341,0.387345,0.015704
0.10696,0.388363,0.0190409
0.108262,0.394692,0.0178656
0.111714,0.411597,0.0175371
0.105324,0.41536,0.0184551
0.0983018,0.398241,0.0186442
0.104321,0.378365,0.0231809
0.103247,0.373372,0.0255553
0.100762,0.368527,0.0281452
0.101447,0.368874,0.0297738
0.108569,0.37915,0.0310067
0.118497,0.376549,0.0321548
0.121508,0.37121,0.0337521
0.117201,0.377827,0.0364668
0.114436,0.382708,0.0383383
0.111299,0.371168,0.0364444
0.115115,0.350151,0.0349399
0.121747,0.349547,0.0325409
0.11505,0.365596,0.0286945
0.112816,0.370954,0.0262094
0.111065,0.377562,0.0240564
0.10842,0.389627,0.0217383
0.107943,0.390493,0.0199453
0.109062,0.374379,0.0203713
0.111116,0.381981,0.0197485
0.113864,0.387145,0.0170331
0.116878,0.385229,0.0160252
0.116343,0.384318,0.0154387
0.116299,0.379569,0.0157799
0.116195,0.38242,0.0156894
0.114852,0.377555,0.015896
0.112677,0.376611,0.0172109
0.111114,0.376786,0.0182446
0.109981,0.375102,0.0189997
0.114226,0.364248,0.0202329
0.113361,0.352671,0.0212445
0.112716,0.345338,0.0218307
0.111068,0.335535,0.0217558
0.103565,0.337494,0.0203337
0.104647,0.332067,0.0198415
0.114328,0.36198,0.0191857
0.122428,0.379046,0.0206864
0.117956,0.399318,0.0206084
0.117358,0.421837,0.0192784
0.115521,0.436689,0.0181892
0.115612,0.452651,0.0160676
0.120753,0.464885,0.0164524
0.116781,0.47059,0.0177774
0.120525,0.468747,0.0190422
0.124237,0.437063,0.0179801
0.126585,0.413859,0.0172435
0.128196,0.389899,0.0154193
0.128351,0.373821,0.0155969
0.128386,0.364244,0.0173871
0.129717,0.355384,0.0188096
0.128075,0.343802,0.0183869
0.125507,0.320945,0.0178073
0.126464,0.308583,0.0176023
0.118066,0.297939,0.0176017
0.114675,0.297074,0.0175131
0.118643,0.300195,0.0211248
0.121427,0.30261,0.0236953
0.128495,0.301657,0.0251313
0.130915,0.307438,0.0298432
0.133847,0.308773,0.0323946
0.128361,0.320248,0.03382
0.124548,0.347292,0.0325275
0.126877,0.369422,0.0301731
0.128768,0.385013,0.0285165
0.13256,0.385852,0.0307301
0.127421,0.41259,0.026589
0.125085,0.440033,0.0239222
0.133453,0.42188,0.0212741
0.133052,0.412777,0.0189636
