AU02,AU04cand,Smile_v2
0.18595,0.131341,5.36209e-005
0.18595,0.131341,5.36209e-005
0.18595,0.131341,5.36209e-005
0.18595,0.131341,5.36209e-005
0.180009,0.13486,5.19849e-005
0.184821,0.139111,5.91508e-005
0.187879,0.141813,6.37053e-005
0.189887,0.143587,6.66954e-005
0.191234,0.144776,6.87005e-005
0.192149,0.145585,7.00642e-005
0.189031,0.143529,6.93694e-005
0.186843,0.142087,6.88818e-005
0.185307,0.141074,6.85397e-005
0.196923,0.141759,6.56927e-005
0.198875,0.140817,5.57535e-005
0.212717,0.14267,5.85729e-005
0.219892,0.14338,6.18959e-005
0.227465,0.140304,5.86927e-005
0.226432,0.136852,5.80367e-005
0.225707,0.136015,5.46557e-005
0.229117,0.1335,5.54333e-005
0.223894,0.135659,5.5037e-005
0.225306,0.139341,5.31871e-005
0.231007,0.140312,7.19017e-005
0.213612,0.157447,9.88432e-005
0.235311,0.160562,9.76883e-005
0.230301,0.160375,9.50639e-005
0.253369,0.155668,0.000122763
0.26847,0.156342,0.000151432
0.273989,0.150062,0.000147906
0.282829,0.146263,0.00014191
0.289252,0.141929,0.000134318
0.294882,0.138914,0.000137191
0.293608,0.135053,0.00013219
0.297147,0.134235,0.000122427
0.297368,0.140526,0.000120247
0.294304,0.145692,0.000118781
0.300267,0.137437,0.00011508
0.298142,0.137066,0.000111756
0.298067,0.136492,0.000115152
0.294059,0.140082,0.000107543
0.289977,0.14462,0.000102291
0.278191,0.147652,9.15063e-005
0.276414,0.158379,8.59987e-005
0.276327,0.161792,8.32125e-005
0.276302,0.166217,7.60901e-005
0.271317,0.16584,6.96779e-005
0.271371,0.173837,6.33198e-005
0.269053,0.178813,6.3236e-005
0.26612,0.182848,6.3942e-005
0.265442,0.18323,6.37559e-005
0.265003,0.183441,6.36256e-005
0.266222,0.17293,6.72143e-005
0.266893,0.163017,7.69638e-005
0.268596,0.152765,6.88462e-005
0.272331,0.15612,7.52149e-005
0.268751,0.163872,7.41252e-005
0.26486,0.17521,8.73077e-005
0.257125,0.183905,9.51817e-005
0.255543,0.188639,9.07409e-005
0.250587,0.186047,9.47315e-005
0.244571,0.196716,9.396e-005
0.249199,0.201714,9.3149e-005
0.253715,0.203625,9.2734e-005
0.255578,0.2034,9.29907e-005
0.253004,0.203689,8.75083e-005
0.257728,0.175417,9.43517e-005
0.268696,0.163073,8.80575e-005
0.268923,0.155912,9.24361e-005
0.267703,0.155397,9.94718e-005
0.279651,0.155692,0.000116622
0.289377,0.162747,0.000127687
0.295945,0.167778,0.000135456
