AU02,AU04cand,Smile_v2
0.31405,0.701769,0.156472
0.31405,0.701769,0.156472
0.332883,0.742256,0.131532
0.331976,0.770481,0.126395
0.349297,0.78385,0.0999036
0.352755,0.752977,0.0935722
0.361679,0.766002,0.0951406
0.364918,0.788547,0.102084
0.363234,0.798817,0.0962611
0.374782,0.772488,0.0995981
0.382053,0.776891,0.0959168
0.387155,0.779981,0.0933336
0.390368,0.781359,0.0920075
0.390304,0.800506,0.0784247
0.389819,0.813998,0.0694785
0.384584,0.812909,0.0632256
0.37438,0.814814,0.054882
0.360947,0.788626,0.049574
0.365594,0.76606,0.0475931
0.355794,0.718619,0.053682
0.369264,0.666538,0.0737279
0.381254,0.632006,0.0965421
0.388399,0.605841,0.105394
0.392216,0.580401,0.100906
0.393625,0.56597,0.0892478
0.399839,0.496996,0.0853125
0.413268,0.425113,0.0771321
0.402565,0.3832,0.128178
0.392112,0.359106,0.168725
0.385144,0.350832,0.23627
0.388553,0.328153,0.334062
0.387063,0.317288,0.372257
0.360667,0.345152,0.380892
0.348528,0.4048,0.364529
0.336239,0.451567,0.384306
0.314775,0.461793,0.396425
0.324844,0.400239,0.448228
0.331228,0.372799,0.518164
0.335781,0.353394,0.5671
0.328821,0.383216,0.624909
0.351606,0.414353,0.64556
0.352472,0.4176,0.668334
0.336044,0.435361,0.697594
0.324332,0.446669,0.718784
0.311147,0.464379,0.739318
0.309878,0.49982,0.691923
0.286674,0.538447,0.60898
0.298354,0.571721,0.587931
0.30655,0.610707,0.575519
0.312595,0.655221,0.536832
0.304605,0.607275,0.467227
0.312132,0.589648,0.398435
0.312851,0.588156,0.341957
0.313356,0.587109,0.302326
0.313856,0.611674,0.292864
0.313988,0.628265,0.288014
0.328667,0.622456,0.295607
0.341968,0.598087,0.298004
0.350031,0.57724,0.28117
0.356959,0.586642,0.27756
0.358343,0.532351,0.265468
0.37164,0.506459,0.260243
0.374771,0.456612,0.269435
0.368082,0.433115,0.257048
0.368466,0.466558,0.217336
0.364928,0.501487,0.174654
0.365849,0.500736,0.146964
0.368923,0.518884,0.118371
0.371118,0.554462,0.102246
0.381506,0.576226,0.105717
