AU02,AU04cand,Smile_v2
0.417355,0.208635,0.0110059
0.417355,0.208635,0.0110059
0.417355,0.208635,0.0110059
0.366915,0.177264,0.00693761
0.306324,0.169616,0.00462414
0.271148,0.182791,0.00312133
0.248792,0.181849,0.00214433
0.241972,0.226061,0.00150503
0.248969,0.196992,0.00134672
0.257537,0.177316,0.00104527
0.234126,0.168094,0.000778615
0.23293,0.16777,0.000562583
0.244785,0.200481,0.0248493
0.226316,0.193699,0.0175104
0.214165,0.1887,0.0123621
0.16879,0.188137,0.00880515
0.13695,0.187996,0.00630981
0.115657,0.196535,0.00457606
0.11054,0.214102,0.0033778
0.142381,0.208371,0.0025815
0.166802,0.19673,0.00192993
0.156841,0.186422,0.00148461
0.172332,0.151314,0.00048303
0.176394,0.135473,0.000477158
0.191939,0.127871,0.000461931
0.20645,0.188412,0.000363586
0.191246,0.217801,0.000310799
0.181809,0.221738,0.000261284
0.164739,0.238239,0.000198922
0.15427,0.223983,0.000181602
0.141811,0.233023,0.000169172
0.137647,0.223984,0.000261321
0.120101,0.186895,0.000292726
0.114356,0.167128,0.000296996
0.103611,0.147173,0.000313436
0.104883,0.144834,0.000283331
0.102702,0.147986,0.000262409
0.101135,0.157373,0.00033593
0.104138,0.160476,0.000430991
0.10871,0.152314,0.000514166
0.113335,0.152039,0.000646317
0.103776,0.136825,0.000576855
0.100011,0.124284,0.000437043
0.118765,0.111253,0.000371961
0.144802,0.110971,0.000327998
0.141236,0.122349,0.000292002
0.12615,0.139057,0.000281961
0.123181,0.145299,0.00024817
0.128603,0.172481,0.000299134
0.142489,0.170301,0.00037395
0.153466,0.156608,0.000395127
0.156458,0.170616,0.000622289
0.141983,0.166529,0.000709747
0.136278,0.161889,0.000796088
0.150948,0.163219,0.00117809
0.154251,0.14661,0.00182279
0.153127,0.144198,0.00232766
0.155927,0.137749,0.00302311
0.155132,0.124895,0.00288359
0.15428,0.12127,0.00282422
0.153646,0.119073,0.0027834
