AU02,AU04cand,Smile_v2
0.103306,0.921917,0.00594386
0.103306,0.921917,0.00594386
0.157923,0.893167,0.0067107
0.190112,0.869616,0.00651588
0.207925,0.867316,0.0058051
0.236874,0.838153,0.00667054
0.248547,0.833128,0.00661085
0.273235,0.824847,0.00645164
0.289791,0.820211,0.00660551
0.298512,0.813342,0.00744526
0.282172,0.832826,0.0067279
0.268167,0.83835,0.00598771
0.28647,0.833867,0.00619797
0.305513,0.828361,0.00647957
0.263024,0.837217,0.00589494
0.232731,0.84416,0.00545072
0.243392,0.806931,0.00692905
0.252935,0.779977,0.00690862
0.271055,0.764578,0.00849297
0.285113,0.763122,0.00966503
0.302022,0.751507,0.010694
0.31523,0.741898,0.0110091
0.318576,0.69623,0.0108367
0.311854,0.704661,0.0107678
0.301138,0.725586,0.0103144
0.301235,0.731212,0.010001
0.296576,0.719525,0.0107407
0.300849,0.713853,0.0119609
0.317481,0.710626,0.010922
0.329114,0.708094,0.0101907
0.332016,0.706289,0.00905461
0.341632,0.716144,0.0083482
0.348527,0.735618,0.0081107
0.352352,0.737767,0.00835332
0.355257,0.758906,0.00848785
0.317725,0.795551,0.00792401
0.299114,0.824381,0.00844672
0.285835,0.840542,0.00893787
0.273574,0.852241,0.0091961
0.273856,0.847421,0.00928626
0.27547,0.852276,0.0107343
0.280191,0.849773,0.0115114
0.283503,0.847685,0.0120495
0.285864,0.84652,0.0124152
0.287521,0.845122,0.0126732
0.289822,0.843516,0.0128733
0.2836,0.845635,0.0147715
0.279235,0.822689,0.0147559
0.273706,0.816181,0.0169956
0.280993,0.80128,0.0171486
0.288609,0.788154,0.017022
0.29892,0.764166,0.0184937
0.307425,0.748624,0.0204359
0.313393,0.737717,0.0217986
0.31885,0.729771,0.0211282
0.308716,0.745055,0.0186288
0.300556,0.763383,0.016631
0.287214,0.780559,0.0152956
0.280464,0.777937,0.0140618
0.271589,0.790436,0.0125323
0.265288,0.7802,0.011897
0.258181,0.784928,0.0108461
0.272197,0.754808,0.0104255
0.274416,0.742666,0.0114548
0.281014,0.730522,0.0114109
0.286048,0.721948,0.0120082
0.280732,0.734848,0.0113313
0.278491,0.749062,0.0125074
0.276845,0.759452,0.0133394
0.279609,0.775353,0.0156329
0.285356,0.786161,0.0173657
0.289462,0.793413,0.0185979
0.289254,0.800185,0.0188214
0.28552,0.805296,0.0187892
0.286561,0.806957,0.0182352
0.296177,0.808315,0.0173972
0.3273,0.79616,0.0185333
0.330062,0.801234,0.016682
0.331999,0.804795,0.015383
0.326902,0.805807,0.0150823
0.327023,0.808371,0.0144805
0.329647,0.805737,0.0161287
0.323946,0.812561,0.0165354
0.316247,0.806996,0.017886
0.327236,0.787188,0.0213714
0.306764,0.794855,0.0205026
0.31328,0.747471,0.0167712
0.328558,0.695988,0.0133022
0.343087,0.633369,0.0115682
0.347119,0.628718,0.0105519
0.352377,0.617471,0.00960831
0.377572,0.597516,0.00960384
0.391664,0.604071,0.00954684
0.383891,0.62443,0.00931236
0.390653,0.641786,0.0146744
0.397476,0.661107,0.0168036
0.406716,0.67382,0.0177473
0.417983,0.677814,0.0179349
0.437204,0.676784,0.0163473
0.430565,0.675692,0.0157008
0.437257,0.681274,0.0150028
0.423557,0.710912,0.0158417
0.425479,0.722286,0.0169193
0.407031,0.719761,0.0160938
0.383564,0.692803,0.0145496
0.370869,0.704925,0.0138756
0.360544,0.702669,0.0129681
0.359499,0.702316,0.0129482
0.357166,0.701032,0.0127008
0.365002,0.695478,0.0126123
0.362554,0.711825,0.0134721
0.356273,0.714275,0.0155378
0.36169,0.723655,0.0166179
0.391466,0.715196,0.0195012
0.370765,0.736372,0.0233307
0.390401,0.731558,0.0241008
0.400409,0.710683,0.0225125
0.385668,0.711643,0.0190254
0.37917,0.696334,0.0165081
0.370544,0.702139,0.0145029
0.36979,0.708058,0.0126322
0.368138,0.717719,0.0118631
0.374301,0.719074,0.0103883
0.372814,0.731047,0.00943606
0.3971,0.734508,0.0088658
0.409342,0.751377,0.00969149
0.414234,0.753748,0.00908598
0.417023,0.710858,0.00942904
0.409983,0.708887,0.00997711
0.408962,0.679443,0.0112369
0.414445,0.641157,0.010281
0.427215,0.629392,0.0102927
0.42707,0.613233,0.0101725
0.432193,0.612777,0.0101456
0.461746,0.568628,0.0129472
0.445782,0.526367,0.0176072
0.429613,0.519884,0.043801
0.417034,0.52908,0.0450717
0.409734,0.519072,0.0450544
0.40831,0.548784,0.0428613
0.413473,0.594909,0.0387471
0.416839,0.626834,0.03584
0.3763,0.675087,0.0333264
0.355323,0.700283,0.0292677
0.339831,0.719235,0.026338
0.327488,0.706295,0.0245898
0.297394,0.738901,0.019089
0.300431,0.73041,0.0223292
0.305065,0.708221,0.0222867
0.314553,0.704354,0.0211472
0.324835,0.702634,0.0213082
0.33205,0.701427,0.0214212
0.337093,0.706535,0.0268493
0.349296,0.716012,0.0259052
0.327395,0.756177,0.0219714
0.3121,0.785129,0.0191999
0.309608,0.797923,0.0161336
0.324933,0.786629,0.0128091
0.333074,0.78027,0.0119173
0.338603,0.775439,0.0113254
0.351258,0.758772,0.00979146
0.351253,0.743095,0.0108156
0.351285,0.7319,0.0113798
0.377708,0.659283,0.019279
0.385706,0.622024,0.0307936
0.381164,0.595339,0.0294911
0.377756,0.576796,0.0286126
0.357079,0.609012,0.0240142
0.337566,0.654948,0.0200777
0.323874,0.687182,0.0173155
0.312739,0.724345,0.0186082
0.320416,0.742424,0.0189259
0.323263,0.737238,0.0166526
0.32449,0.7289,0.0158392
0.319335,0.680207,0.0140374
0.31855,0.690902,0.0121014
0.281188,0.727391,0.0110635
0.251677,0.748388,0.00935932
0.26158,0.737119,0.010639
0.246951,0.750048,0.00977391
0.241799,0.751482,0.00817704
0.236474,0.75414,0.00767292
0.23535,0.757879,0.0072829
0.224406,0.764842,0.00694559
0.214371,0.762577,0.00667045
0.208526,0.763431,0.00591921
0.206759,0.762436,0.005341
0.213245,0.763875,0.00560459
0.213107,0.767558,0.00543497
0.217443,0.766346,0.00555738
0.220338,0.76607,0.00595885
0.21606,0.767424,0.00578115
0.214254,0.772563,0.00562012
0.220896,0.776164,0.00533996
0.224362,0.779147,0.00486807
0.235642,0.775612,0.00468695
0.248598,0.773265,0.00461055
0.249853,0.776606,0.00439801
0.244497,0.77716,0.00432082
0.227935,0.77493,0.0044012
0.217582,0.775478,0.00418456
0.207963,0.778199,0.00404958
0.202446,0.774854,0.00354342
