AU02,AU04cand,Smile_v2
0.42562,0.465756,0.0218594
0.42562,0.465756,0.0218594
0.427503,0.495392,0.018748
0.402355,0.481169,0.0174358
0.386952,0.468962,0.0168096
0.379054,0.460951,0.0161576
0.402287,0.44544,0.016368
0.401824,0.435478,0.0166144
0.401514,0.428798,0.0166225
0.389878,0.422197,0.0163516
0.382769,0.413098,0.0160939
0.379049,0.41064,0.0155189
0.371325,0.413805,0.0151489
0.367762,0.410639,0.0148269
0.361491,0.41388,0.0145083
0.345629,0.446455,0.0124466
0.34896,0.460479,0.0122927
0.351738,0.466631,0.0119556
0.353687,0.470948,0.0117236
0.351577,0.469818,0.0112941
0.364023,0.469366,0.0103177
0.371451,0.465962,0.00959622
0.380617,0.467013,0.00879769
0.387013,0.467924,0.00823907
0.385264,0.46201,0.00771208
0.384368,0.456984,0.00739569
0.388375,0.457331,0.00714226
0.389918,0.449075,0.00694914
0.380846,0.442087,0.00689324
0.37332,0.439618,0.00685257
0.361289,0.420764,0.00751312
0.352883,0.402989,0.00774383
0.349413,0.395687,0.00805825
0.34444,0.391111,0.00828901
0.337325,0.387868,0.00823494
0.333603,0.385817,0.0082969
0.328305,0.385882,0.00829879
0.320816,0.388996,0.00833498
0.318393,0.389862,0.00850583
0.323077,0.389565,0.00864176
0.326547,0.39577,0.0085799
0.328982,0.400258,0.00854326
0.329348,0.402487,0.00863413
0.328409,0.395085,0.00872787
0.32913,0.382838,0.00893505
0.34737,0.40349,0.00788764
0.347549,0.419605,0.00731056
0.350323,0.434778,0.0070046
0.353466,0.446133,0.00678786
0.361834,0.452365,0.00691404
0.367707,0.456567,0.0072265
0.374366,0.459363,0.00728915
0.379075,0.461347,0.00734338
0.378609,0.46131,0.00728052
0.385861,0.457311,0.00736683
0.389166,0.452235,0.00733245
0.391852,0.448624,0.00730378
0.377162,0.465668,0.00732694
0.366817,0.460471,0.00922074
0.363183,0.473663,0.00935833
0.363171,0.482139,0.0091018
0.366898,0.51002,0.00937476
0.368243,0.530347,0.00928765
0.365489,0.547939,0.00915055
0.35699,0.536049,0.00912238
0.35614,0.523223,0.00893505
0.356813,0.509361,0.00879345
0.355224,0.502109,0.00878447
0.35157,0.496563,0.00878441
0.355243,0.492509,0.00894288
0.352669,0.492046,0.00903643
0.350753,0.491086,0.00908911
0.353253,0.49185,0.00908171
0.35004,0.496689,0.00910036
0.360663,0.488634,0.0105248
0.370509,0.478206,0.011728
0.378651,0.470528,0.0120386
0.383168,0.464866,0.0120662
0.380064,0.457704,0.0117822
0.384049,0.453403,0.0113764
0.379377,0.454973,0.0110025
0.369751,0.483202,0.010273
0.360347,0.502611,0.0100207
0.367859,0.487794,0.00988609
0.372763,0.474813,0.00981031
0.372322,0.465708,0.009737
0.356743,0.487513,0.00924084
0.359812,0.470545,0.00963282
0.340569,0.450308,0.011084
0.325614,0.463282,0.0120463
0.321687,0.467265,0.0127017
0.322923,0.465988,0.0130432
0.326402,0.465845,0.0134731
0.315746,0.472211,0.0135284
0.317154,0.47115,0.0132498
0.318253,0.469963,0.0126629
0.320733,0.465744,0.0124259
0.325878,0.458656,0.0120037
0.327574,0.465347,0.0114178
0.327532,0.46407,0.0109569
0.320971,0.466024,0.0109347
0.321335,0.485458,0.0107511
0.35579,0.495242,0.01022
0.380334,0.501943,0.00985441
0.388414,0.514975,0.00954736
0.391546,0.525861,0.00941262
0.383551,0.514272,0.00941142
0.368945,0.494416,0.00865862
0.356231,0.477826,0.00812068
0.358771,0.471822,0.0083625
0.362006,0.468419,0.00815081
0.366668,0.463246,0.00808921
0.361331,0.48839,0.00805912
0.372818,0.471383,0.00796546
0.383675,0.459147,0.00780962
0.390097,0.444372,0.00761234
0.393628,0.434627,0.00736872
0.38367,0.40954,0.00977083
0.381833,0.403247,0.0110387
0.378943,0.397434,0.0117995
0.383226,0.407978,0.0115358
0.381081,0.41456,0.0113485
0.377257,0.421657,0.011151
0.375402,0.42545,0.0110376
0.374027,0.428113,0.0109681
0.373099,0.42749,0.0108576
0.371215,0.428183,0.0107783
0.37026,0.429208,0.0106119
0.366905,0.428445,0.0104664
0.363318,0.429534,0.0104251
0.360617,0.429873,0.0102636
0.358869,0.430137,0.0101503
0.357715,0.430227,0.0100726
0.356869,0.430353,0.0100175
0.356276,0.430441,0.00997861
0.355859,0.43058,0.00995317
0.355604,0.430646,0.00993546
0.355424,0.430691,0.0099241
0.355372,0.430757,0.00991731
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.355372,0.430757,0.00991088
0.349025,0.442661,0.0100659
0.354726,0.458985,0.0106909
0.349841,0.473004,0.0110555
0.347683,0.482352,0.0110844
0.346169,0.484157,0.0116386
0.345106,0.491658,0.0190768
0.355784,0.482381,0.0350575
0.362008,0.480095,0.0492859
0.366375,0.478492,0.0592701
0.370709,0.476032,0.0677576
0.373934,0.473961,0.0737089
0.364479,0.460502,0.0790087
0.361909,0.455167,0.0817503
0.360069,0.451437,0.0836806
0.361317,0.458075,0.0850233
0.36727,0.463273,0.0957448
0.371117,0.467342,0.102957
0.387816,0.463091,0.104886
0.370338,0.481531,0.10578
0.359306,0.489716,0.0963565
0.369337,0.505161,0.0883841
0.377975,0.51797,0.0764665
0.381387,0.520905,0.0708822
0.383782,0.522965,0.0615973
0.381581,0.52332,0.0516262
0.381159,0.523002,0.0450082
0.38467,0.522296,0.041392
0.393077,0.515885,0.0388322
0.397283,0.516412,0.0340718
0.39385,0.536637,0.0291633
0.398543,0.533005,0.0263465
0.400531,0.533026,0.0233092
0.388035,0.546092,0.02133
0.389422,0.542903,0.0220911
0.387967,0.538312,0.0238013
0.388179,0.519324,0.0240077
0.388217,0.506014,0.0241228
0.410908,0.503913,0.0258628
0.419289,0.492292,0.027949
0.427891,0.484278,0.0287949
0.434977,0.478558,0.0296899
0.438716,0.471106,0.030467
0.443014,0.47589,0.0303657
0.447005,0.473552,0.0299273
0.446071,0.466839,0.0289724
0.451725,0.462598,0.0277916
0.448077,0.449302,0.0266992
0.45501,0.454519,0.0248938
0.457557,0.459265,0.0234456
0.449116,0.455368,0.0207346
0.430463,0.443966,0.0203516
0.411063,0.442731,0.0185687
0.392336,0.443114,0.0175724
0.370273,0.441053,0.0167904
0.353632,0.437206,0.015712
0.341772,0.434506,0.0151462
0.336208,0.431797,0.0148425
0.328202,0.428755,0.0144198
0.323927,0.423229,0.0138958
0.322491,0.421771,0.0136034
0.32312,0.417076,0.0132484
0.326283,0.412267,0.0125193
0.32865,0.409896,0.011862
0.331838,0.415664,0.0114737
0.33538,0.420379,0.0111171
0.33025,0.420186,0.0109449
0.330385,0.413731,0.0107312
0.33059,0.410493,0.0109904
0.330696,0.408319,0.0111789
0.330735,0.406729,0.0113458
0.330725,0.407484,0.0114819
0.340799,0.401409,0.0118075
0.331367,0.41528,0.0122569
0.32852,0.427883,0.0127627
0.317599,0.43227,0.0137191
0.310157,0.448149,0.014349
0.322595,0.468579,0.0158017
0.324977,0.488029,0.0166019
0.332995,0.497681,0.0166415
0.333543,0.505636,0.0165386
0.333928,0.511793,0.0169907
0.333904,0.514887,0.0174648
0.333096,0.512749,0.0170411
0.334957,0.511072,0.0164159
0.345406,0.497949,0.0176303
0.341314,0.484276,0.0165222
0.335389,0.481232,0.0152341
0.336493,0.476207,0.0142764
0.34343,0.474653,0.0139194
0.337021,0.471077,0.0139114
0.337601,0.463576,0.0136512
0.339278,0.456412,0.0137059
0.337952,0.45424,0.0131957
0.336949,0.451986,0.0128708
0.341065,0.446543,0.0124735
0.348092,0.439129,0.0113571
0.342941,0.436822,0.0110403
0.345527,0.431687,0.0107857
0.345888,0.430596,0.010575
0.349011,0.431276,0.0101965
0.351055,0.431897,0.00993793
0.348645,0.427149,0.0100133
0.354643,0.432711,0.0123706
0.349967,0.436935,0.0191126
0.350347,0.443195,0.0269085
0.342887,0.435879,0.0439766
0.339215,0.429433,0.0625683
0.336455,0.425792,0.0795204
0.333286,0.423253,0.0936228
0.333527,0.424181,0.106491
0.333697,0.413736,0.125179
0.331387,0.40742,0.145672
0.328276,0.403335,0.164235
0.332698,0.392731,0.172511
0.330613,0.379337,0.184399
0.32937,0.370281,0.192406
0.32973,0.378584,0.21737
0.329983,0.380938,0.219125
0.331467,0.382745,0.216655
0.332435,0.3839,0.221242
0.349615,0.390215,0.180805
0.347782,0.398549,0.14601
0.351609,0.399845,0.127775
0.354111,0.400753,0.115031
0.356014,0.403958,0.108856
0.356079,0.405868,0.103191
0.356089,0.408764,0.101794
0.356095,0.410897,0.101726
0.357333,0.410205,0.0995145
0.358201,0.409802,0.0993482
0.358332,0.400758,0.0952128
0.360098,0.390539,0.0935894
0.36119,0.383499,0.0942502
0.368304,0.375277,0.0936854
0.366948,0.390968,0.0916691
0.363495,0.395717,0.100488
0.354725,0.398385,0.107585
0.35111,0.411553,0.111459
0.345998,0.415577,0.113057
0.34241,0.418329,0.115225
0.343701,0.420114,0.113037
0.34584,0.422039,0.112174
0.34734,0.421483,0.111729
0.34694,0.421862,0.111195
0.345574,0.423332,0.11065
0.343419,0.428877,0.110362
0.347168,0.432559,0.109055
0.350995,0.433314,0.108248
0.356292,0.43473,0.105957
0.351124,0.438223,0.0881094
0.366428,0.448836,0.0860754
0.37586,0.461419,0.0848284
0.382479,0.470303,0.083947
0.38716,0.476233,0.079369
0.396829,0.47434,0.0766263
0.398572,0.481509,0.073276
0.402188,0.495112,0.0703951
0.407226,0.503096,0.0678236
0.411958,0.507295,0.0662397
0.416805,0.509969,0.0632513
0.415847,0.510832,0.0617801
0.420288,0.510871,0.0609709
0.423405,0.510898,0.0604031
0.417976,0.502123,0.0590183
0.413983,0.479479,0.060615
0.40752,0.46322,0.0606366
0.396564,0.45218,0.060837
0.398958,0.443725,0.0608613
0.387907,0.431385,0.0614092
0.380116,0.422043,0.0626106
0.383645,0.412037,0.0671617
0.384705,0.405927,0.0699016
