AU02,AU04cand,Smile_v2
0.165289,0.448877,0.000754667
0.165289,0.448877,0.000754667
0.140806,0.440015,0.000749072
0.12604,0.533628,0.00067563
0.111927,0.528989,0.000610454
0.104807,0.519028,0.000622309
0.0989372,0.515424,0.000543362
0.0937737,0.521091,0.000542727
0.0903111,0.474963,0.000555849
0.0854173,0.507753,0.000562806
0.0825861,0.508918,0.000631966
0.0767913,0.527937,0.00073424
0.0770108,0.556559,0.000700688
0.0772383,0.577068,0.000718362
0.0750061,0.611893,0.00073371
0.10006,0.619404,0.000754554
0.106252,0.623417,0.000745314
0.118251,0.601354,0.00075516
0.125401,0.601102,0.000807958
0.121606,0.600883,0.00107281
0.118906,0.601368,0.00125675
0.118391,0.623207,0.00142019
0.109034,0.598618,0.00148534
0.0948523,0.627289,0.00132407
0.0748192,0.689252,0.00103466
0.0726841,0.717098,0.00118376
0.0562841,0.79046,0.00101635
0.0445558,0.842652,0.000898361
0.0350933,0.880951,0.000759406
0.0287106,0.909781,0.000763905
0.0204238,0.927481,0.000649277
0.0158415,0.937935,0.000518086
0.015422,0.910579,0.000395364
0.0166174,0.900328,0.000305394
0.0202889,0.91843,0.000426429
0.0212285,0.917097,0.000562262
0.0223286,0.914605,0.000665471
0.0345249,0.914974,0.000638
0.0596216,0.918331,0.000684884
0.0556528,0.929689,0.000748425
0.0466312,0.936025,0.000656642
0.0466109,0.926725,0.00059257
0.0655636,0.901646,0.000555272
0.0686712,0.883404,0.000463057
0.073317,0.861738,0.000459035
0.0766137,0.846955,0.000454444
0.0789271,0.836582,0.000451223
0.106876,0.823084,0.000488655
0.126011,0.813522,0.000513053
0.140062,0.80655,0.000529195
0.150106,0.801707,0.000544567
0.15697,0.798707,0.000555386
0.161235,0.79717,0.000562783
0.164522,0.796101,0.000569893
0.168024,0.773047,0.000677524
0.170482,0.75687,0.00075305
0.172207,0.745518,0.000806046
0.172645,0.737731,0.000842169
0.172953,0.732267,0.000867516
0.173169,0.728432,0.000885303
0.17332,0.725742,0.000897783
0.173427,0.723854,0.000906541
0.173501,0.722529,0.000912687
0.173554,0.7216,0.000916999
0.273834,0.566235,0.0638018
0.28581,0.594447,0.0452784
0.314523,0.562162,0.0322502
0.286436,0.592251,0.0230915
0.266726,0.613364,0.0166649
0.331597,0.675177,0.011907
0.330151,0.649192,0.00903942
0.329136,0.630959,0.0070272
0.402047,0.597131,0.00543783
0.377047,0.640699,0.00391049
0.356602,0.675768,0.00101869
0.326174,0.608967,0.000812974
0.304235,0.5636,0.0006695
0.3829,0.59857,0.000829412
0.415252,0.669491,0.000936407
0.435675,0.717897,0.00101867
0.436133,0.761417,0.000983074
0.436454,0.791956,0.000958097
0.434548,0.813994,0.000945704
0.435416,0.82751,0.000948934
0.436024,0.836994,0.000951201
0.383652,0.828936,0.000933924
0.346903,0.823282,0.0009218
0.318433,0.817336,0.000905765
0.299118,0.811822,0.000894664
0.285564,0.807952,0.000886874
0.276494,0.805019,0.000883714
0.270129,0.80296,0.000881497
0.265663,0.801516,0.000879941
0.26253,0.800502,0.00087885
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.260331,0.799791,0.000878084
0.262869,0.802308,0.000826612
0.262112,0.801557,0.000841966
0.241271,0.810148,0.000803693
0.293923,0.685606,0.0401772
0.277556,0.719136,0.0282942
0.309229,0.664961,0.0200504
0.335263,0.657074,0.0143692
0.309103,0.706718,0.0104525
0.290746,0.741554,0.00770415
0.268979,0.744357,0.00559668
0.301868,0.729034,0.00421591
0.294555,0.772585,0.00318256
0.282395,0.796075,0.00238093
0.294764,0.817122,0.000699096
0.291023,0.84012,0.000635594
0.283341,0.851263,0.000610721
0.274032,0.866328,0.000621193
0.268786,0.875302,0.000626521
0.275259,0.89453,0.000550254
0.29783,0.895288,0.000593046
0.300848,0.903966,0.000489208
0.2975,0.904959,0.00045005
0.267446,0.914927,0.000377632
0.245695,0.925072,0.000331721
0.265109,0.920366,0.000376436
0.278843,0.917273,0.000407164
0.261933,0.905859,0.000402825
0.261492,0.908585,0.000445122
0.252003,0.906004,0.000659017
0.247369,0.901245,0.000788478
0.243178,0.898155,0.000669593
0.226458,0.908947,0.000815151
0.215534,0.916258,0.000918656
0.207868,0.921296,0.000991126
0.17611,0.931538,0.000916815
0.153825,0.938725,0.00086467
0.13896,0.944028,0.000828804
0.154854,0.940741,0.00105662
0.166265,0.938553,0.00121121
0.174198,0.937115,0.00132021
0.177263,0.936944,0.0011716
0.179818,0.936452,0.00106067
0.177802,0.934609,0.000995723
0.19289,0.930856,0.00101431
0.204211,0.928038,0.00103091
0.212156,0.92606,0.00104256
0.217731,0.924672,0.00105074
0.220871,0.923893,0.00104911
0.223074,0.923345,0.00104797
0.224621,0.922961,0.00104718
0.225779,0.922667,0.00105331
0.226592,0.922461,0.00105761
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.227273,0.922359,0.00106026
0.177767,0.932627,0.000891366
0.143029,0.939832,0.000772854
0.137694,0.932291,0.000826192
0.137758,0.933487,0.000932633
0.14542,0.917698,0.000891962
0.16222,0.895192,0.000810025
0.184164,0.887073,0.000675409
0.172905,0.842604,0.000814085
0.158658,0.811368,0.000713999
0.148661,0.78945,0.000643768
0.171004,0.798219,0.000751843
0.168912,0.796104,0.000636346
0.166893,0.794984,0.000551351
0.179328,0.810124,0.000849482
0.194181,0.827906,0.00080394
0.204273,0.840714,0.000773529
0.218676,0.83546,0.00123189
0.2194,0.841987,0.00120242
0.220091,0.846567,0.00118746
0.23327,0.846184,0.000941841
0.234093,0.837022,0.000874254
0.216145,0.829673,0.000811064
0.220052,0.783517,0.000818073
0.210965,0.79785,0.000754659
0.204405,0.807715,0.00071763
0.195994,0.82205,0.000611444
0.172101,0.826904,0.000579074
0.163244,0.82725,0.00064454
0.173532,0.841561,0.000653731
0.176575,0.856194,0.000675298
0.178931,0.866698,0.000687271
0.177327,0.884883,0.000671743
0.175724,0.89883,0.000659361
0.177468,0.90922,0.000771109
0.172345,0.910431,0.000702903
0.177747,0.884504,0.000704802
0.182051,0.866473,0.000704516
0.169618,0.836227,0.000629753
0.179457,0.837114,0.000561735
0.186472,0.837607,0.000513766
0.179969,0.842883,0.000490811
0.176786,0.849727,0.000539551
0.174553,0.85453,0.000573753
0.171642,0.835067,0.000688987
0.168515,0.850271,0.00123186
0.166063,0.861708,0.00161143
0.190999,0.846494,0.00125078
0.187358,0.828877,0.00111729
0.184253,0.815864,0.0010241
0.197306,0.830091,0.000827291
0.213143,0.841607,0.000712338
0.224219,0.849587,0.000629819
0.228183,0.850934,0.000522912
0.228462,0.854542,0.000447602
0.228695,0.856244,0.000381508
0.256785,0.868163,0.000418783
0.261761,0.883842,0.000420056
0.265877,0.895059,0.00041755
0.23957,0.881627,0.000430352
0.220669,0.871526,0.000443139
0.204684,0.885214,0.000736556
0.245512,0.861376,0.000758947
0.289503,0.859748,0.00072674
0.320445,0.858548,0.00070407
0.315501,0.790495,0.000640715
0.311223,0.742433,0.000593837
0.332743,0.751765,0.000843327
0.318649,0.742225,0.000670043
0.285486,0.795183,0.000575601
