AU02,AU04cand,Smile_v2
0.318182,0.561533,0.0154744
0.318182,0.561533,0.0154744
0.359615,0.545504,0.0137493
0.379097,0.55088,0.0115644
0.39879,0.58557,0.0140616
0.39668,0.631303,0.0109027
0.403412,0.603769,0.00983135
0.430094,0.633924,0.00773971
0.447987,0.654146,0.00633709
0.458887,0.675413,0.00500606
0.465151,0.697347,0.00374809
0.469547,0.712738,0.00286537
0.412163,0.660003,0.00251453
0.360472,0.560916,0.0018407
0.344289,0.443922,0.00118556
0.323147,0.372433,0.000934766
0.295397,0.348427,0.000868542
0.317189,0.33189,0.000630959
0.33375,0.344047,0.000475567
0.345408,0.352359,0.000377441
0.319388,0.301928,0.00059156
0.301131,0.266541,0.000741809
0.30147,0.265497,0.000730839
0.313463,0.240211,0.000916798
0.304789,0.22902,0.000882747
0.298997,0.22084,0.000856351
0.31434,0.228563,0.000868072
0.323894,0.233934,0.000882956
0.324214,0.250232,0.000765666
0.324439,0.261668,0.000683363
0.325589,0.271316,0.000617624
0.325126,0.293059,0.000583826
0.328279,0.289824,0.000494123
0.345393,0.322355,0.000395179
0.322338,0.348854,0.000410529
0.344241,0.37813,0.000510017
0.370483,0.355724,0.000702057
0.378743,0.346774,0.0012353
0.36822,0.417771,0.000988302
0.359567,0.470855,0.000842151
0.353496,0.508104,0.000739597
0.320076,0.46162,0.000930109
0.309209,0.459461,0.00095545
0.299874,0.451247,0.000925295
0.315931,0.442317,0.00089742
0.307055,0.411374,0.000809189
0.300497,0.390893,0.000743711
0.360926,0.43096,0.000867366
0.344147,0.407469,0.000708535
0.33241,0.39089,0.000596297
0.326713,0.350196,0.000575047
0.326099,0.337595,0.000549857
0.316415,0.307733,0.000551145
0.30331,0.338901,0.000554688
0.313799,0.364216,0.000669931
0.32171,0.382685,0.000752711
0.328531,0.417585,0.000839519
0.313673,0.434335,0.00166907
0.312589,0.377131,0.00214415
0.318176,0.348685,0.00321197
0.319484,0.330926,0.00392682
0.35714,0.278796,0.00499286
0.377473,0.237449,0.00646896
0.374154,0.224339,0.00872877
0.367429,0.280867,0.00991834
0.367787,0.337358,0.00908681
0.390851,0.382673,0.00824651
0.407549,0.414648,0.00763447
0.422854,0.432992,0.00909889
0.433409,0.445525,0.0101052
0.445967,0.473386,0.00833302
0.453714,0.494073,0.00707313
0.456795,0.477533,0.00848466
0.454393,0.476671,0.00736514
0.452818,0.47565,0.00825836
0.451566,0.474446,0.00893336
0.441141,0.45615,0.0126507
0.433825,0.443312,0.0152592
0.428582,0.434481,0.0170349
0.438865,0.442509,0.0139237
0.445934,0.447589,0.0118123
0.450895,0.451154,0.0103307
0.421446,0.339818,0.0139677
0.421238,0.270808,0.0159776
0.421092,0.22234,0.0173398
0.441299,0.204735,0.0142287
0.455736,0.192881,0.0119519
0.465867,0.184563,0.0103543
0.417123,0.170239,0.0120725
0.382515,0.159776,0.0134043
0.388696,0.152118,0.0141431
0.393033,0.146745,0.0146615
0.397031,0.146295,0.014888
0.362437,0.132728,0.02834
0.338163,0.123207,0.0377794
0.320541,0.116051,0.0445207
0.36149,0.137132,0.0379276
0.390223,0.151925,0.0333012
0.362497,0.16659,0.0275161
0.343041,0.176881,0.0234566
0.318352,0.170369,0.0206137
0.301028,0.1658,0.0186188
0.288872,0.162593,0.0172189
0.281407,0.160719,0.0158524
0.281246,0.176706,0.0174727
0.281134,0.187924,0.0186096
0.279512,0.195041,0.0197351
0.288528,0.183485,0.0161146
0.296288,0.175259,0.0136453
0.318235,0.180012,0.0120528
0.322505,0.204378,0.0109789
0.325501,0.221475,0.0102253
0.327603,0.233472,0.00969656
0.320193,0.260334,0.00977179
0.314846,0.278682,0.00974993
0.311094,0.291556,0.00973459
0.314809,0.291269,0.00720249
0.317121,0.291546,0.00555335
0.318743,0.291741,0.00439614
0.320674,0.287352,0.00744084
0.322359,0.283674,0.00957606
0.323541,0.281094,0.0110744
0.312947,0.247005,0.0228053
