AU02,AU04cand,Smile_v2
0.210744,0.0683007,0.0215835
0.210744,0.0683007,0.0215835
0.222044,0.0645861,0.0221258
0.206205,0.0490542,0.0197138
0.215263,0.0482133,0.018764
0.217931,0.049736,0.016672
0.227699,0.0538275,0.0154771
0.234112,0.0553767,0.015112
0.256412,0.0588572,0.0151018
0.260154,0.0572614,0.0143288
0.263186,0.0560577,0.0137288
0.278008,0.0546392,0.0135963
0.281841,0.0508962,0.0112042
0.26089,0.0558037,0.00938295
0.239401,0.0552563,0.00823894
0.234551,0.0621578,0.00738797
0.241082,0.0541866,0.00789754
0.231701,0.0509314,0.00718094
0.230952,0.0431252,0.00673662
0.230756,0.0377622,0.00644701
0.230619,0.033999,0.00624379
0.236502,0.0312924,0.00698364
0.245892,0.0354867,0.00676658
0.253178,0.0382208,0.00662014
0.258475,0.0402492,0.00651322
0.249204,0.0427359,0.00691156
0.242405,0.0448493,0.00715894
0.238038,0.0506146,0.00677438
0.241137,0.0544362,0.00797044
0.247119,0.0567168,0.00855702
0.237354,0.072217,0.00771843
0.221433,0.0725431,0.00718499
0.210114,0.0725979,0.00683391
0.205979,0.0743248,0.00657731
0.201809,0.0850887,0.00615914
0.203058,0.0948512,0.00577126
0.206473,0.0974218,0.00742707
0.208869,0.0900978,0.00971577
0.212906,0.0784428,0.0100072
0.215628,0.070276,0.010219
0.217943,0.064143,0.0104038
0.203322,0.0616427,0.0102919
0.209564,0.0506633,0.00974572
0.217643,0.0460345,0.00880999
0.21827,0.0463033,0.00931363
0.217331,0.0465078,0.00996639
0.221676,0.0464222,0.00986065
0.220917,0.0467932,0.00961794
0.215234,0.0446481,0.00932269
0.217592,0.0455609,0.00941153
0.219247,0.0462014,0.00947387
0.212001,0.0496865,0.00962366
0.234364,0.0537814,0.0100198
0.234714,0.06606,0.0118116
0.252878,0.0786069,0.0116449
0.256774,0.0835277,0.0112141
0.247937,0.100641,0.0108572
0.227884,0.114187,0.0114157
0.221575,0.10862,0.0107049
0.216965,0.105209,0.0106627
0.208652,0.0978424,0.0110591
0.210692,0.089906,0.0110822
0.211316,0.0843822,0.0107679
0.213463,0.0804971,0.00989072
0.214456,0.077654,0.00931545
0.21541,0.0762166,0.00865633
0.206255,0.0721256,0.0129192
0.195157,0.0650774,0.0196643
0.198574,0.0717134,0.0191379
0.180662,0.0638391,0.0195971
0.184741,0.0703211,0.0168193
0.187384,0.0749471,0.0148774
0.198123,0.0825663,0.0143904
0.201814,0.0842774,0.0132872
0.204405,0.0854781,0.0125131
0.218916,0.0854899,0.0121653
0.196389,0.100721,0.010367
0.204846,0.119073,0.00897719
0.201565,0.114526,0.00918068
0.19985,0.111697,0.00929909
0.205785,0.11245,0.00808155
0.20995,0.112978,0.0072272
0.211346,0.106948,0.00641732
0.212436,0.102821,0.00587157
0.208123,0.0926035,0.00695733
0.217423,0.0852469,0.00797925
0.209672,0.0828286,0.00669378
0.230191,0.0827103,0.00594485
0.232153,0.0837738,0.00541568
0.23353,0.08452,0.00504437
0.234276,0.0830148,0.00490728
0.234799,0.0819586,0.00481109
0.268206,0.0944933,0.00598428
0.291649,0.103289,0.00680752
0.315861,0.112643,0.00816768
0.332484,0.119213,0.00911442
0.303969,0.121975,0.0104312
0.304768,0.123931,0.0105325
0.31712,0.117343,0.00959163
0.305478,0.107691,0.00961065
0.298578,0.0927647,0.0107698
0.295006,0.0785744,0.0113447
0.308045,0.0655913,0.0119686
0.310849,0.0617027,0.0132177
0.312595,0.0588881,0.0140703
0.287164,0.0599913,0.0109451
0.269225,0.074019,0.0089227
0.294094,0.0861655,0.00807466
0.307406,0.0729177,0.00695555
0.28687,0.0682677,0.00671938
0.294002,0.0667215,0.0075642
0.287545,0.0668713,0.010548
0.245726,0.0574586,0.0179693
0.238144,0.0558985,0.0205
0.232823,0.0501338,0.0232444
0.226053,0.0530315,0.0231727
0.227686,0.0581923,0.023055
0.211228,0.0752785,0.0214084
0.253103,0.0789792,0.0179204
0.263059,0.0970953,0.0201566
0.279576,0.0916458,0.0191991
0.291496,0.0877893,0.0184582
0.273,0.0798566,0.016365
0.25178,0.0706566,0.0158119
0.248314,0.0625049,0.0134806
0.235838,0.0596691,0.0120641
0.259903,0.0644135,0.01152
0.245533,0.0537845,0.0111456
0.223751,0.0525687,0.0115523
0.212863,0.0468887,0.0123197
0.204929,0.0434274,0.0129304
0.195553,0.0423635,0.0139725
0.192321,0.0486477,0.0130525
0.214392,0.069657,0.0111746
0.277784,0.087992,0.0106625
0.318753,0.0880301,0.00897322
0.346545,0.0847276,0.0105069
0.389814,0.0748931,0.00909667
0.416662,0.0685441,0.00876952
0.435392,0.0642156,0.00852207
0.486615,0.059166,0.00833649
0.464278,0.0504488,0.0108781
0.439645,0.0446896,0.0162704
0.40516,0.0477852,0.0160256
0.375757,0.042957,0.0171894
0.355236,0.0491513,0.0167214
0.325603,0.0596887,0.0156415
0.295263,0.0616461,0.0137513
0.270276,0.0663289,0.0119142
