AU02,AU04cand,Smile_v2
0.450413,0.291863,0.0175106
0.450413,0.291863,0.0175106
0.450413,0.291863,0.0175106
0.445532,0.271479,0.0152052
0.435404,0.263219,0.0156694
0.436289,0.275645,0.0167701
0.43147,0.266474,0.016097
0.436164,0.257472,0.0152242
0.441883,0.256195,0.0149243
0.434348,0.25457,0.0148007
0.431524,0.260388,0.0148755
0.428273,0.26824,0.0145179
0.4298,0.272399,0.0144734
0.429712,0.277302,0.0144465
0.429834,0.276745,0.0139234
0.419581,0.269262,0.0145088
0.416342,0.258072,0.0154586
0.418926,0.254846,0.0159412
0.41178,0.243009,0.015084
0.410904,0.239916,0.0157064
0.415294,0.228512,0.0152665
0.418411,0.218775,0.0151103
0.411602,0.220257,0.0151494
0.414477,0.224544,0.0167962
0.412687,0.242117,0.0218239
0.42061,0.250218,0.0195842
0.42479,0.255478,0.0182742
0.427576,0.260161,0.0175757
0.409479,0.252392,0.0168862
0.409363,0.267952,0.0216189
0.405327,0.279347,0.0213487
0.41138,0.284372,0.0207711
0.414616,0.289082,0.0204587
0.412857,0.289999,0.0197055
0.415542,0.292155,0.0193864
0.418438,0.295864,0.01915
0.417968,0.294688,0.01894
0.408753,0.295672,0.0188883
0.41176,0.298094,0.019238
0.409694,0.298287,0.0191258
0.412163,0.321681,0.0240257
0.408561,0.319404,0.0276373
0.40734,0.326141,0.0299012
0.406593,0.32153,0.0313654
0.405958,0.318238,0.0323835
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.380165,0.287952,0.021841
-1,-1,-1
0.367769,0.262777,0.0190722
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.404959,0.276029,0.0243604
-1,-1,-1
-1,-1,-1
0.438017,0.349806,0.0165439
0.438017,0.349806,0.0165439
0.4286,0.348157,0.0159786
-1,-1,-1
0.417355,0.287459,0.0066195
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.429752,0.278742,0.0108289
0.245202,0.283719,0.0100482
0.184297,0.275904,0.012976
0.150778,0.231215,0.0190866
0.117376,0.243002,0.0241588
0.0986127,0.313887,0.0296899
0.0826514,0.358552,0.0396069
0.0891973,0.353309,0.0313817
0.0858729,0.43461,0.0238598
0.115346,0.515679,0.0240527
0.134239,0.576955,0.0372997
0.112208,0.658671,0.0451136
0.100594,0.717142,0.0476591
0.0836682,0.770806,0.0511493
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.11157,0.577631,0.00832147
0.116427,0.44561,0.0103201
0.10668,0.351067,0.00871994
0.102097,0.306613,0.00796756
0.086193,0.245425,0.00684088
0.0793922,0.276428,0.00549852
0.0804511,0.307858,0.00461257
0.0732886,0.34593,0.00370411
0.0646286,0.350796,0.00311714
0.0612773,0.34977,0.00322015
0.0585084,0.377355,0.00358151
0.0577613,0.397667,0.00346185
0.0587268,0.366156,0.00342255
0.0632125,0.3467,0.00396991
0.0628826,0.301827,0.00441448
0.0676551,0.2637,0.00544776
0.0708571,0.236626,0.00617371
0.0644387,0.218506,0.00623711
0.0676614,0.235435,0.00642435
0.0698493,0.226849,0.00629603
0.0688458,0.230345,0.00625179
0.0655662,0.233688,0.00625679
0.0670362,0.219,0.00670047
0.0717656,0.19323,0.00638164
0.0599621,0.168178,0.00780858
0.0540712,0.146421,0.00686065
0.0486683,0.150534,0.00551157
0.0387873,0.136658,0.00442338
0.0341721,0.133873,0.00380712
0.0271255,0.151763,0.00342389
0.0222544,0.164015,0.00315337
0.0189097,0.178813,0.00322958
0.0139138,0.190267,0.00290733
0.00902861,0.199955,0.00346429
0.0060415,0.206982,0.00380731
0.00514132,0.214146,0.00484288
0.00708514,0.220594,0.00990894
0.00863282,0.211569,0.0135558
0.0121841,0.211904,0.0601317
0.0147862,0.205745,0.0865403
0.0178816,0.194594,0.0998523
0.0175148,0.188928,0.0875636
0.0160616,0.197975,0.0730762
0.020156,0.199933,0.0681368
0.0179517,0.225261,0.050769
0.0150988,0.244075,0.0386649
0.0181008,0.226446,0.033626
0.0240155,0.255408,0.0363591
0.0255537,0.268103,0.0343062
0.0240942,0.276817,0.037019
0.0243028,0.279332,0.0341601
0.0283307,0.290462,0.0303285
0.0311939,0.290973,0.0268298
0.0355947,0.2667,0.0258192
0.0337523,0.241026,0.0221035
0.0337656,0.211085,0.0211593
0.0323586,0.198098,0.0180692
0.0312611,0.194718,0.0180054
0.0318338,0.193315,0.0162017
0.0348479,0.177314,0.0142489
0.057236,0.17142,0.0133229
0.0728356,0.168803,0.0134842
0.083782,0.171214,0.012152
0.0913895,0.166239,0.012577
0.0968748,0.163406,0.0134964
0.0930708,0.156413,0.0140504
0.0942465,0.160507,0.0141784
0.093802,0.166186,0.0137423
0.092184,0.177591,0.0154848
0.0846284,0.182377,0.0155852
0.0876243,0.183816,0.0178544
0.0833797,0.181512,0.0183027
0.0702463,0.174105,0.0155975
0.0673774,0.168422,0.0134151
0.0615562,0.160419,0.0110265
0.0576919,0.155377,0.00882395
0.0485232,0.155925,0.00739153
0.0408568,0.161862,0.00606313
0.0355141,0.157664,0.00545861
0.0344875,0.160651,0.00477159
0.0360487,0.159149,0.00417258
0.0347891,0.155348,0.00378147
0.0341992,0.160747,0.00355746
0.0386791,0.156097,0.00341971
0.0419328,0.15225,0.00319188
0.0391385,0.144784,0.00310223
0.0564019,0.14032,0.0030896
0.0647443,0.144147,0.00316932
0.0680595,0.14196,0.00396472
0.0715817,0.162473,0.00425336
0.0663636,0.173202,0.00399703
0.057698,0.167612,0.00395912
0.0503479,0.165981,0.00392751
0.0463128,0.177678,0.00378648
0.0409425,0.177438,0.00370642
0.0411293,0.176789,0.00372893
0.0445174,0.172816,0.00368223
0.0419275,0.170023,0.00366222
0.0401837,0.165701,0.00378567
0.0389233,0.163641,0.00388202
0.0382594,0.16335,0.00384806
0.0417485,0.167625,0.00343253
0.0442336,0.152581,0.00294248
0.0459406,0.141102,0.00256114
0.0484813,0.132173,0.00239618
0.0425377,0.124474,0.00226878
0.0446037,0.117271,0.00229054
0.0462003,0.112211,0.00230538
0.0523982,0.112949,0.00232746
0.0478617,0.119645,0.00227739
0.0484865,0.117843,0.00229144
0.0513534,0.12003,0.00219166
0.0546345,0.129713,0.00233729
0.0556676,0.137068,0.00266401
0.0563557,0.142261,0.00289029
0.0557896,0.145182,0.00271427
0.0577474,0.146511,0.00255876
0.0489663,0.140413,0.00275301
0.043927,0.140981,0.0031747
0.0368399,0.144271,0.00338412
0.0355648,0.149782,0.00341179
0.0345965,0.153546,0.0034347
0.032611,0.157638,0.00348499
0.0337932,0.168292,0.00361247
0.0409696,0.176857,0.00378879
0.0676214,0.191069,0.00430531
0.0786333,0.203831,0.00487728
0.0828462,0.212918,0.00488901
0.0908431,0.217654,0.00512218
0.090218,0.207463,0.00501364
0.0820529,0.209443,0.00470243
0.0814009,0.195685,0.00468866
0.0746333,0.181625,0.00465787
0.0583867,0.170763,0.00415012
0.0493414,0.158144,0.00371447
0.039831,0.152243,0.00339185
0.0308392,0.158371,0.00332344
0.0284479,0.165805,0.0034483
0.0380473,0.175306,0.00373519
0.0449669,0.186768,0.00378299
0.0500429,0.188763,0.00374172
0.0521884,0.192511,0.00384864
0.055147,0.185915,0.00400333
0.0626311,0.187259,0.00407158
0.0652706,0.184028,0.00394808
0.0811592,0.176078,0.0038713
0.0923818,0.1702,0.00381268
0.0988772,0.163307,0.00394646
0.104374,0.163712,0.00405729
0.103153,0.159268,0.00388151
0.089603,0.160211,0.00392183
0.081401,0.159118,0.00407638
0.0743394,0.156471,0.00428223
0.0844698,0.151448,0.00458224
0.0954599,0.1492,0.00470001
0.100229,0.146775,0.00460727
0.118808,0.147349,0.00455289
0.13315,0.152504,0.00441802
0.138101,0.157607,0.00434195
0.139183,0.165246,0.00417621
0.125077,0.173435,0.00414768
0.115142,0.182127,0.00415383
0.106938,0.186557,0.00418025
0.0969321,0.185233,0.00428321
0.0910702,0.189196,0.0043403
0.0870303,0.196712,0.00436313
0.0888322,0.187602,0.00433821
0.0824436,0.186067,0.00416555
0.0844545,0.204233,0.00387711
0.0821309,0.211332,0.00374011
0.0809413,0.216227,0.00364131
0.0813759,0.213108,0.00395988
0.0791789,0.200802,0.0040232
0.0777474,0.194144,0.00408867
0.0767063,0.210299,0.00441283
0.0620126,0.223873,0.00444557
0.0655181,0.245411,0.0050768
0.0720065,0.250549,0.00556465
0.0751063,0.254941,0.00586056
0.0773917,0.259327,0.00627782
0.0713792,0.258003,0.0070913
