AU02,AU04cand,Smile_v2
0.454545,0.0923364,0.947993
0.454545,0.0923364,0.947993
0.454545,0.0923364,0.947993
0.436647,0.363677,0.967472
0.428227,0.374475,0.978318
0.409148,0.427553,0.984873
0.379532,0.466047,0.989596
0.365327,0.441261,0.992768
0.373801,0.476179,0.99491
0.388449,0.415101,0.99642
0.372623,0.357999,0.997903
0.350094,0.278451,0.99889
0.355864,0.251782,0.999603
0.379358,0.190257,0.999581
0.409769,0.153785,0.999371
0.357854,0.141507,0.979765
0.321902,0.132761,0.965993
0.31176,0.121699,0.867465
0.338401,0.0976378,0.695239
0.377149,0.093673,0.60592
0.328911,0.088895,0.581548
0.309355,0.095302,0.629264
0.300086,0.0998346,0.558468
0.293031,0.106801,0.594575
0.288946,0.117379,0.639258
0.299634,0.12621,0.698947
0.323636,0.121885,0.731396
0.348923,0.144217,0.727727
0.322516,0.151832,0.678238
0.336403,0.150151,0.66738
0.359775,0.15761,0.544978
0.368156,0.14742,0.483217
0.353579,0.125507,0.406236
0.343351,0.110051,0.349736
0.324713,0.0908806,0.373185
0.310034,0.0792445,0.401849
0.299257,0.0723496,0.405585
0.292706,0.0622622,0.456414
0.290628,0.0585507,0.52877
0.29837,0.0555215,0.613449
0.304741,0.0538636,0.65158
0.308162,0.0624043,0.713076
0.300996,0.0609157,0.767162
0.35055,0.0742599,0.750974
0.29172,0.0686384,0.714527
0.294904,0.173018,0.549971
0.279366,0.187131,0.426044
0.257002,0.180747,0.348884
0.280623,0.263737,0.243246
0.281672,0.336597,0.169295
0.293795,0.424549,0.11774
0.359461,0.426952,0.0830547
0.396947,0.410433,0.0534476
0.429287,0.433994,0.0377517
0.436928,0.344103,0.0399933
0.454967,0.393745,0.0382185
0.48591,0.307702,0.0736329
0.540958,0.238824,0.130556
0.555597,0.202714,0.178037
0.557425,0.167401,0.189976
0.564724,0.141687,0.25348
0.580886,0.128657,0.270134
0.598831,0.162213,0.273574
0.592162,0.146197,0.264304
0.547377,0.135471,0.297922
0.515547,0.124591,0.321724
0.485081,0.148221,0.347753
0.485596,0.155854,0.388332
0.459963,0.155606,0.396112
0.437155,0.156417,0.416703
0.429853,0.144963,0.41905
0.433247,0.12803,0.470899
0.435445,0.114927,0.507525
0.419767,0.150267,0.538601
0.399787,0.130206,0.459847
0.393383,0.118498,0.406099
0.339604,0.120076,0.399906
0.301206,0.121449,0.394888
0.379122,0.142763,0.353515
0.435212,0.198787,0.321972
0.452734,0.211971,0.300069
0.421614,0.269284,0.388892
0.442935,0.27447,0.359022
0.430484,0.296055,0.385816
0.410617,0.227709,0.432714
0.430729,0.195135,0.536203
0.396769,0.194053,0.533313
0.424983,0.219432,0.455298
0.382108,0.183284,0.431412
0.369757,0.179726,0.429044
0.373139,0.184142,0.387943
0.383109,0.185687,0.363669
0.336811,0.167411,0.362103
0.298785,0.170347,0.360661
0.335901,0.153603,0.414506
0.357145,0.147647,0.443005
0.289707,0.116015,0.492948
0.348776,0.0982259,0.502343
0.370372,0.0800197,0.424788
0.383742,0.0632949,0.39959
0.457531,0.0563543,0.32918
0.505317,0.0530474,0.326245
0.488311,0.060416,0.30775
0.425787,0.0751701,0.305645
0.468932,0.0938922,0.317915
0.508204,0.0832286,0.337908
0.506451,0.0713152,0.428323
0.502098,0.062806,0.492574
0.51617,0.0599474,0.474575
0.541314,0.054872,0.437513
0.554544,0.0620848,0.409821
0.567747,0.0698589,0.436597
0.562016,0.071317,0.461542
0.575965,0.066585,0.470011
0.581913,0.0702685,0.478204
0.570597,0.0786441,0.451973
0.581346,0.0745251,0.44979
0.52542,0.0739559,0.461129
0.489507,0.0831942,0.472426
0.470213,0.0676269,0.535156
0.437707,0.054744,0.508373
0.402093,0.0508374,0.53753
0.347116,0.0617988,0.595939
0.30933,0.0838586,0.593388
0.326011,0.10103,0.633752
0.307692,0.0956815,0.646055
0.381909,0.0913069,0.475232
0.324121,0.118449,0.46436
0.338043,0.119815,0.626459
0.342551,0.137871,0.739347
0.290413,0.149626,0.819613
0.326549,0.112663,0.875236
0.303282,0.100638,0.914361
0.258993,0.0738464,0.943337
0.234282,0.0560838,0.962435
0.217824,0.044119,0.976326
0.238013,0.0376754,0.990458
0.245258,0.0363606,0.99729
0.25384,0.0401253,0.996946
0.23589,0.0546045,0.997204
0.246491,0.0572821,0.997036
0.250566,0.0896744,0.995914
0.266283,0.101136,0.995728
0.266695,0.105121,0.99453
0.241377,0.0941709,0.99453
0.209648,0.0790908,0.993846
0.192738,0.0621857,0.994234
0.187513,0.0519131,0.994578
0.186239,0.0449488,0.995376
0.180965,0.0377427,0.99612
0.161408,0.0351463,0.995893
0.154068,0.0334927,0.996192
0.149856,0.0305487,0.996329
0.145962,0.0285356,0.996367
0.145233,0.0331259,0.996699
0.155281,0.0368488,0.996789
0.162148,0.0396426,0.996828
0.17186,0.0358527,0.996355
0.170986,0.0361545,0.99459
0.162903,0.0361049,0.992209
0.170366,0.0395112,0.991401
0.157648,0.038798,0.990427
0.146148,0.0388915,0.990994
0.134307,0.0418056,0.990719
0.133578,0.042498,0.990501
0.13658,0.042464,0.989763
0.138687,0.0424401,0.989244
0.137479,0.0384191,0.986098
0.145738,0.033683,0.98534
0.149215,0.0313227,0.981213
0.237605,0.0277354,0.983369
0.249367,0.0238928,0.983607
0.245001,0.0263687,0.981512
0.239509,0.0256105,0.984294
0.232896,0.0261445,0.985093
0.223068,0.0237891,0.987702
0.226326,0.0229703,0.984616
0.227417,0.0231074,0.983036
0.216501,0.0264155,0.985477
0.2178,0.0277527,0.986781
0.216213,0.028744,0.987549
0.201337,0.0294822,0.989416
0.198882,0.0294492,0.989652
0.193424,0.029907,0.987397
0.183322,0.0303036,0.988886
0.189073,0.0312422,0.990146
0.186468,0.0410761,0.99019
0.204987,0.0574776,0.991764
0.22339,0.0680991,0.993123
0.232238,0.0657768,0.993546
0.21052,0.0546852,0.984097
0.191914,0.04354,0.979314
0.1926,0.038474,0.975937
0.181768,0.0328963,0.973021
0.183236,0.0277868,0.972567
0.187707,0.0251646,0.973913
0.193566,0.0240192,0.975902
0.19709,0.02294,0.977253
0.199416,0.0222058,0.97819
0.225276,0.0246431,0.973752
0.22519,0.0254601,0.975501
0.221432,0.0251131,0.975438
0.295822,0.0235447,0.98223
0.321696,0.0244687,0.987724
0.264702,0.0263254,0.991338
0.24237,0.0221396,0.994024
0.276131,0.0206912,0.99578
