AU02,AU04cand,Smile_v2
0.5,0.0423214,0.0475577
0.5,0.0423214,0.0475577
0.464216,0.123183,0.0702474
0.44251,0.0989883,0.107305
0.41713,0.106426,0.0935641
0.417206,0.158526,0.112069
0.39573,0.18942,0.110126
0.416989,0.156426,0.103305
0.410675,0.13712,0.108959
0.438114,0.13615,0.0943287
0.473076,0.17038,0.0872314
0.497609,0.18398,0.0743296
0.471094,0.277791,0.0652035
0.457676,0.297404,0.0628842
0.440975,0.356631,0.0586873
0.463125,0.336922,0.0507644
0.502104,0.329974,0.0376027
0.528464,0.326593,0.0285227
0.5247,0.342796,0.0255886
0.5021,0.417867,0.0256482
0.484494,0.363905,0.0263204
0.473409,0.325814,0.0257645
0.446607,0.325441,0.0212941
0.441616,0.291355,0.01906
0.444681,0.240451,0.0177033
0.52581,0.217793,0.0126853
0.606195,0.202405,0.00949484
0.639753,0.229267,0.00984592
0.638575,0.255106,0.00952235
0.619259,0.207028,0.00805021
0.646361,0.188562,0.00737262
0.675497,0.158989,0.00767374
0.606404,0.14447,0.00894462
0.590521,0.141936,0.00811823
0.567768,0.151121,0.00759693
0.558373,0.126138,0.00728432
0.572662,0.100122,0.00645636
0.568117,0.145227,0.00590866
0.569471,0.157315,0.00547258
0.562087,0.191407,0.00653916
0.569692,0.187769,0.00889959
0.573466,0.174675,0.00809084
0.614265,0.163382,0.00681407
0.631783,0.162735,0.00545852
0.620289,0.134409,0.00427681
0.611966,0.115433,0.00344958
0.554726,0.120468,0.00359397
0.515002,0.128342,0.00334629
0.487017,0.134428,0.00317437
0.467637,0.138011,0.00301502
0.453634,0.141313,0.00285622
0.443845,0.143949,0.00281552
0.435947,0.145853,0.00280671
0.430699,0.146973,0.00281523
0.427714,0.148558,0.00282784
0.42562,0.149669,0.00283668
0.42562,0.149925,0.00282242
0.42562,0.149925,0.00282242
0.42562,0.149925,0.00282242
0.480203,0.122855,0.00284528
0.493116,0.103321,0.00340735
0.465366,0.0905261,0.00397891
0.431931,0.0782848,0.00834829
0.422432,0.0758222,0.0188465
0.422114,0.0749033,0.0264311
0.446008,0.0758658,0.0361075
0.47293,0.0862954,0.038555
0.462626,0.0690457,0.0302996
0.474436,0.0591463,0.0316855
0.477335,0.0650097,0.0269689
0.495336,0.0593971,0.021515
0.521727,0.050492,0.0239909
0.487336,0.0514525,0.0196529
0.484379,0.0498441,0.0162731
0.501161,0.0488106,0.0299092
0.512239,0.0480389,0.0393516
0.529874,0.0488159,0.0344507
0.526591,0.0604125,0.0354786
0.566895,0.0696309,0.0533936
0.583862,0.146999,0.0809019
0.582634,0.18642,0.0712612
0.553478,0.234578,0.06168
0.565028,0.315006,0.054866
0.554736,0.32746,0.0499371
0.543155,0.347831,0.0526879
0.535029,0.362126,0.0546182
0.523956,0.32111,0.057752
0.511585,0.268954,0.0601135
0.509272,0.253229,0.0531647
0.539714,0.246748,0.0485009
0.570328,0.214624,0.0415268
0.574847,0.186566,0.0327483
0.620295,0.148386,0.0281125
0.609541,0.194915,0.02411
0.637648,0.250838,0.020022
0.686566,0.267976,0.0150176
0.715962,0.255039,0.010382
0.682153,0.216991,0.0115528
0.664556,0.177744,0.0162785
0.651289,0.150012,0.019576
0.6468,0.125391,0.0225964
0.628932,0.111065,0.0398315
0.588488,0.108261,0.0371019
0.575321,0.0956425,0.0306276
0.54982,0.0807279,0.0361058
0.53362,0.116056,0.0368642
0.536362,0.171279,0.0387399
0.499246,0.156193,0.035829
0.466672,0.153298,0.0358413
0.480625,0.144113,0.0336938
0.486462,0.146015,0.0329969
0.483382,0.163716,0.0347119
0.447719,0.152819,0.0549762
0.42229,0.145752,0.0694187
0.413773,0.160341,0.0611735
0.428033,0.189657,0.047387
0.451599,0.220927,0.0365157
0.485812,0.211431,0.0324532
0.51635,0.222114,0.0318308
0.52402,0.218203,0.0293263
0.529512,0.215223,0.0275449
0.560242,0.228987,0.034915
0.608186,0.209147,0.0516015
0.607555,0.190425,0.0936749
0.606855,0.188017,0.125089
0.600699,0.147423,0.220734
0.54393,0.115892,0.254792
0.503618,0.0947223,0.278592
0.459915,0.0832583,0.228677
0.432154,0.0729384,0.1902
0.434254,0.106693,0.206606
0.412107,0.0900165,0.158354
0.426297,0.123487,0.12144
0.465171,0.158049,0.0884351
0.484834,0.198141,0.0688273
0.521627,0.21992,0.0467881
0.547681,0.230494,0.0472594
0.579927,0.213498,0.048146
0.59284,0.231444,0.0523013
0.606905,0.333974,0.0419021
0.604725,0.325283,0.0360802
0.584817,0.315198,0.0339046
0.582659,0.308577,0.0512142
0.566373,0.260924,0.199514
0.590708,0.2528,0.255762
0.570311,0.232407,0.317635
0.575076,0.213008,0.26494
0.566591,0.191998,0.353437
0.555853,0.178913,0.434113
0.567212,0.144684,0.527897
0.553934,0.134702,0.626947
0.537552,0.129387,0.69437
0.520612,0.136774,0.758554
0.552287,0.137333,0.744219
0.573485,0.146369,0.689854
0.578001,0.129673,0.697411
0.583158,0.111654,0.64841
0.547756,0.093489,0.487665
0.537025,0.0852787,0.376581
0.537829,0.072822,0.266124
0.533941,0.066338,0.190078
0.526355,0.0628037,0.152819
0.522448,0.0597769,0.119625
0.508303,0.0632606,0.0934492
0.531381,0.0631924,0.0849349
0.547905,0.0586634,0.0827116
0.55308,0.0587904,0.0846098
0.554042,0.0740761,0.0914545
0.565738,0.0714122,0.144927
0.571148,0.0801211,0.190827
0.597941,0.0667622,0.244809
0.577537,0.0584329,0.211806
0.563184,0.0513764,0.198044
0.554675,0.0464318,0.184135
0.547749,0.043987,0.175146
0.535273,0.0432137,0.170726
0.553359,0.0434688,0.153309
0.572507,0.0499632,0.128619
0.591959,0.0560967,0.136918
0.608221,0.0620751,0.159686
0.602469,0.0661149,0.165121
0.600841,0.069168,0.15878
0.61874,0.0790559,0.15676
0.632531,0.0889449,0.161443
0.62063,0.0907494,0.15942
0.61123,0.0857523,0.152859
0.612748,0.0852245,0.137587
0.603474,0.0772447,0.116715
0.586628,0.077315,0.105408
0.587428,0.0851663,0.107563
0.583389,0.103768,0.121238
0.594481,0.08821,0.097791
0.573787,0.0901006,0.103487
0.569384,0.13017,0.135594
0.569458,0.125731,0.134135
0.580971,0.132019,0.20891
0.567213,0.122261,0.223225
0.576894,0.109397,0.256956
0.542092,0.0921768,0.198556
0.529997,0.0714205,0.165261
0.502617,0.0578473,0.124124
0.516003,0.0472422,0.0888805
0.53636,0.074242,0.0626245
0.551619,0.13964,0.0436643
0.562254,0.186476,0.0310586
0.53892,0.156075,0.0261723
0.514286,0.193242,0.0341864
0.519298,0.256321,0.0322949
0.51768,0.215952,0.0332502
0.545373,0.188027,0.035342
0.553932,0.174973,0.0361724
0.558983,0.165869,0.0369676
0.558425,0.152005,0.0357595
0.608771,0.131273,0.03419
0.637753,0.109502,0.0332503
0.651355,0.101679,0.029883
0.652271,0.123994,0.022978
0.630673,0.140024,0.01765
0.633473,0.157154,0.0141316
0.630784,0.143265,0.0100303
0.603841,0.141246,0.00753748
0.612861,0.132248,0.00556125
0.628186,0.134623,0.00423487
0.613352,0.174123,0.00316087
0.647555,0.154914,0.00281866
0.660351,0.136076,0.00253215
0.653085,0.117675,0.00259417
0.623224,0.108211,0.00268177
0.604295,0.0909861,0.00374066
0.586045,0.0750176,0.00575672
0.556203,0.0797543,0.00699009
0.553494,0.108791,0.00674147
0.572916,0.112748,0.00777577
0.563124,0.0935953,0.00743764
0.547351,0.077724,0.00644175
0.518843,0.0862365,0.00644361
0.517087,0.0792456,0.00634271
0.529284,0.0822017,0.00625602
0.546654,0.0871373,0.0051914
0.55899,0.0907347,0.00440883
0.615127,0.129608,0.0048521
0.636196,0.124043,0.00493128
0.631316,0.125797,0.00505895
0.656515,0.132154,0.00465697
0.683304,0.121164,0.00441953
0.708962,0.0998533,0.00418361
0.716298,0.0848182,0.00434872
0.662687,0.0762907,0.00536301
0.645121,0.104281,0.0050059
0.625178,0.10585,0.00463182
0.607287,0.0854824,0.00659923
0.592707,0.0777192,0.00612243
0.584298,0.0738022,0.00723936
0.577588,0.0709227,0.00803825
0.562468,0.0598883,0.00794673
0.561829,0.0619786,0.00686645
0.550251,0.0876217,0.0101913
0.518429,0.12761,0.0110558
0.503127,0.11096,0.0197375
0.512921,0.127526,0.0223337
0.499556,0.127644,0.0259101
0.487713,0.181923,0.0267335
0.523794,0.143863,0.0474079
0.547843,0.134862,0.0513326
0.534547,0.155731,0.0631917
0.476687,0.166288,0.0602785
0.436418,0.172996,0.0581158
0.460939,0.215647,0.0885432
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.516529,0.0442205,0.102057
0.477676,0.100049,0.0680717
0.508568,0.176568,0.0515532
0.500313,0.177275,0.0435337
0.470494,0.180074,0.0357957
0.481888,0.197188,0.0337838
0.498547,0.17503,0.0355255
0.470196,0.19582,0.0430578
0.49104,0.182015,0.0578859
0.505217,0.172625,0.0679711
0.461625,0.22163,0.118219
0.43924,0.265714,0.173823
0.409994,0.285032,0.162668
0.420451,0.324328,0.119957
0.437298,0.33608,0.0899084
0.44708,0.28957,0.0741757
0.463841,0.246423,0.0576734
0.475435,0.221597,0.0479898
0.48751,0.190363,0.044884
0.518831,0.177116,0.0606447
0.511887,0.180949,0.0851338
0.510603,0.163705,0.0655841
0.502452,0.142851,0.0511595
0.503468,0.166982,0.0498375
0.505193,0.170981,0.0473606
0.503901,0.174149,0.0461309
0.478583,0.227324,0.0403968
0.459584,0.214841,0.0363739
0.448644,0.218214,0.0315272
0.416189,0.253138,0.0280213
0.40572,0.246471,0.0246681
0.389379,0.246454,0.0221124
0.398443,0.226325,0.0243948
0.429969,0.183218,0.0641717
0.450786,0.221871,0.0715965
0.530204,0.19798,0.135711
0.551088,0.180926,0.203381
0.596244,0.157833,0.227899
0.542808,0.119579,0.165244
0.504741,0.107143,0.118659
0.494201,0.0965389,0.0901462
0.551799,0.0964612,0.0694202
0.557356,0.0787987,0.0549261
0.571944,0.0914866,0.0607859
0.57841,0.102975,0.0643772
0.564571,0.0979418,0.0612498
0.555889,0.094376,0.0584031
0.573033,0.0900025,0.0645909
0.595141,0.109724,0.0950719
0.589112,0.100422,0.174153
0.593289,0.108683,0.232851
0.596885,0.118448,0.272181
0.586437,0.0916238,0.272961
0.582583,0.0932396,0.28572
0.55968,0.10337,0.317242
0.5352,0.120217,0.323822
0.501521,0.111468,0.284306
0.480998,0.099669,0.263069
0.472723,0.105146,0.233587
0.478966,0.106731,0.202854
0.483089,0.107417,0.181192
0.457983,0.104747,0.185215
0.456002,0.111158,0.166252
0.43927,0.115541,0.174761
0.428117,0.118352,0.18008
0.486554,0.108008,0.200522
0.50519,0.108214,0.195678
0.520694,0.112758,0.243455
0.53139,0.10247,0.271761
0.536027,0.0915453,0.307272
0.540549,0.0872578,0.327455
0.543262,0.0790119,0.345902
0.551071,0.0718755,0.318101
0.553183,0.0723901,0.29741
0.564821,0.0632449,0.28733
0.571076,0.052297,0.274163
0.562164,0.043762,0.243862
0.573608,0.0394245,0.22942
0.576561,0.0344396,0.215162
0.577437,0.0310832,0.201621
0.583092,0.0285218,0.219824
0.595983,0.0271998,0.227704
0.602306,0.0269106,0.242217
0.611931,0.0362441,0.221471
0.606966,0.0365661,0.23724
0.607291,0.0334356,0.261013
0.586343,0.0363971,0.25597
0.576207,0.0375837,0.24673
0.569242,0.0384834,0.240371
0.558044,0.0419956,0.277263
0.581774,0.0500552,0.322328
0.580397,0.0569531,0.360647
0.576965,0.0638316,0.376962
0.578219,0.0659358,0.374774
0.587045,0.0634502,0.353515
0.591859,0.0610951,0.331775
0.5984,0.0587764,0.316352
0.58888,0.05525,0.258652
0.583469,0.0535876,0.22104
0.578586,0.0499623,0.20723
0.569164,0.0472712,0.204055
0.570684,0.0440693,0.190508
0.571823,0.041763,0.181301
0.562357,0.0411093,0.191433
0.551687,0.045683,0.17494
0.564546,0.0463418,0.163642
0.553186,0.051479,0.158684
0.545618,0.0467081,0.151305
0.521231,0.0401465,0.157615
0.504155,0.035611,0.161643
0.522785,0.0306648,0.281164
0.553408,0.0303205,0.346082
0.582512,0.042196,0.37019
0.599421,0.0494681,0.392869
0.616474,0.0546839,0.426715
0.626582,0.0566161,0.450273
0.634263,0.057837,0.466719
0.621882,0.053402,0.466711
0.626439,0.0568905,0.46446
0.628367,0.0630596,0.475465
0.627569,0.0668955,0.500492
0.627764,0.0692415,0.519991
0.625141,0.0686806,0.528842
0.623411,0.068317,0.534873
0.622051,0.0721392,0.538122
0.617324,0.0686087,0.535984
0.617816,0.0701547,0.529615
0.616137,0.0664108,0.51093
0.61713,0.0625984,0.517698
0.608977,0.0577258,0.525033
0.607102,0.0559017,0.524964
0.594325,0.0609548,0.539238
0.586702,0.0632122,0.557226
0.573737,0.0627371,0.5546
0.5621,0.0602013,0.55501
0.551506,0.0587944,0.540288
0.54904,0.0545784,0.524067
0.547382,0.0517643,0.513106
0.544877,0.0475765,0.514639
0.53449,0.0475413,0.532408
0.541054,0.0567931,0.569819
0.533298,0.0683924,0.632499
0.522741,0.0738794,0.673853
0.502859,0.0746071,0.710641
0.49279,0.0751006,0.745089
0.487067,0.0792415,0.784311
0.489252,0.0883225,0.809166
0.514902,0.082751,0.82352
0.526591,0.084411,0.870258
0.545206,0.0820175,0.893342
0.559133,0.0855557,0.900478
0.569273,0.0878853,0.904419
0.585421,0.104237,0.910894
0.593311,0.10582,0.904468
0.583505,0.115041,0.918828
0.588012,0.103655,0.930195
0.568142,0.105535,0.921265
0.55477,0.105308,0.91373
0.554457,0.0939765,0.908134
0.531094,0.0848455,0.916576
0.521011,0.0803872,0.925702
0.513935,0.07819,0.930328
0.51506,0.0739339,0.939908
0.505804,0.0844991,0.942236
0.498481,0.0805629,0.94889
0.481587,0.0847357,0.949421
0.465317,0.0987036,0.951599
0.46021,0.0951751,0.947925
0.4551,0.0919388,0.94658
0.457253,0.095813,0.945021
0.491583,0.0855257,0.947889
0.505518,0.0768424,0.948972
0.526537,0.0718351,0.950204
0.558082,0.0718265,0.952973
0.565021,0.0687983,0.958227
0.566413,0.0628611,0.959196
0.570076,0.061631,0.961001
0.569923,0.0593887,0.962326
0.577469,0.0584823,0.947323
0.582617,0.0576696,0.936803
0.596698,0.060078,0.927287
0.590372,0.05986,0.918777
0.583063,0.0572157,0.906408
0.595228,0.0736917,0.914393
0.59278,0.0780805,0.919529
0.567055,0.102193,0.872574
0.556547,0.110535,0.877661
0.564478,0.112016,0.880472
0.569824,0.113036,0.882905
0.588807,0.116986,0.885085
0.580218,0.121344,0.892931
0.57213,0.110297,0.890671
0.58176,0.103337,0.903577
0.588003,0.0979202,0.912149
0.580021,0.0891256,0.907358
0.592889,0.0967525,0.895695
0.609315,0.102168,0.921875
0.581049,0.100411,0.934343
0.55233,0.111131,0.93357
0.521581,0.143279,0.928403
0.496821,0.145401,0.932113
0.470635,0.149766,0.929356
