AU02,AU04cand,Smile_v2
0.636364,0.113985,0.0193531
0.636364,0.113985,0.0193531
0.61188,0.113904,0.019425
0.587351,0.118749,0.0177594
0.554468,0.117442,0.0156952
0.547216,0.0970594,0.0131683
0.568167,0.079729,0.0104911
0.581923,0.0683512,0.00873348
0.579576,0.066193,0.00802206
0.603367,0.0659281,0.0111574
0.568782,0.070065,0.0132831
0.544514,0.0729678,0.0147747
0.527962,0.0750063,0.0158199
0.516641,0.0763265,0.0165918
0.509175,0.0773515,0.0171616
0.503606,0.0785851,0.0175951
0.498999,0.0795702,0.0179286
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.293388,0.438244,0.0573101
0.37595,0.380953,0.026447
0.402355,0.362631,0.0165765
0.41477,0.354016,0.0119355
0.424611,0.329296,0.00882295
0.420754,0.342501,0.00650695
0.418302,0.350894,0.00503498
0.398358,0.336319,0.00740908
0.395269,0.315644,0.00716743
0.393168,0.301582,0.00700308
0.415448,0.321915,0.00462739
0.429833,0.33705,0.00342731
0.438658,0.358608,0.00261242
0.466429,0.296321,0.00212286
0.474419,0.291093,0.00196503
0.447279,0.295444,0.00157628
0.442198,0.301222,0.00129481
0.441685,0.280814,0.00111936
0.438493,0.267337,0.000908517
0.457832,0.236487,0.00066512
0.458048,0.196714,0.000563076
0.462007,0.204733,0.000469596
0.461014,0.193967,0.000402829
0.408918,0.231025,0.000653747
0.405696,0.228809,0.000928022
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.508264,0.0901218,0.0018916
0.576257,0.0771818,0.00197045
0.560335,0.0720682,0.00240818
0.489391,0.112742,0.0022279
0.45013,0.135252,0.00212813
0.454425,0.126401,0.00224394
0.449083,0.125702,0.00253554
0.462601,0.112923,0.00268286
0.465237,0.126556,0.00297219
0.480993,0.145318,0.00306923
0.478973,0.161574,0.00320673
0.494298,0.166017,0.00248199
0.490554,0.158154,0.00187939
0.500784,0.145071,0.00154182
0.525734,0.155863,0.00127238
0.556469,0.151289,0.00105229
0.597297,0.147757,0.00102093
0.626738,0.131611,0.00102188
0.623463,0.131758,0.00124717
0.60172,0.121702,0.00126864
0.60714,0.128481,0.00109709
0.626931,0.100253,0.000916825
0.650144,0.0793483,0.000767656
0.664833,0.0672746,0.000657404
0.673357,0.0680889,0.000519244
0.678934,0.0804571,0.000437126
0.683566,0.0830302,0.000376752
0.674085,0.0841407,0.000335284
0.656707,0.100559,0.000391133
0.641255,0.104869,0.000429015
0.637441,0.102593,0.000447146
0.652058,0.115235,0.000589023
0.654442,0.12775,0.000656287
0.648535,0.131547,0.00117444
0.611423,0.150885,0.00164203
0.598075,0.150965,0.00172006
0.581056,0.141351,0.00156133
0.574558,0.151834,0.00145889
0.544942,0.162912,0.00143002
0.553466,0.189032,0.00154886
0.536379,0.214088,0.00141753
0.518796,0.210602,0.00142513
0.500332,0.193725,0.00146558
0.487597,0.204102,0.0015487
0.50881,0.204528,0.00188246
0.509366,0.194615,0.00194497
0.515054,0.20107,0.00199164
0.506204,0.206644,0.00196092
0.490574,0.183921,0.00213707
0.480031,0.180355,0.00204426
0.469486,0.167213,0.00195183
0.435576,0.158489,0.00178997
0.42466,0.158845,0.00158065
0.41446,0.15166,0.00136003
0.408997,0.146553,0.00123454
0.425878,0.138533,0.00121763
0.415997,0.139918,0.00116645
