AU02,AU04cand,Smile_v2
0.136364,0.0728931,7.46972e-005
0.136364,0.0728931,7.46972e-005
0.14578,0.0691251,8.47184e-005
0.150208,0.0751463,7.43979e-005
0.157114,0.0777068,6.46075e-005
0.157084,0.0849483,5.7573e-005
0.157065,0.0900338,5.59707e-005
0.157052,0.0933726,5.49187e-005
0.157044,0.0956115,5.42133e-005
0.157038,0.0971343,5.37335e-005
0.157218,0.0984048,5.32147e-005
0.157344,0.0992963,5.28507e-005
0.150902,0.105509,4.88922e-005
0.146381,0.109692,4.64539e-005
0.143099,0.108082,4.69419e-005
0.143445,0.124113,6.55082e-005
0.143688,0.131589,7.48813e-005
0.136242,0.132037,8.58336e-005
0.139903,0.144897,9.38665e-005
0.133586,0.155425,9.54384e-005
0.132961,0.160449,9.13337e-005
0.132523,0.151821,9.48906e-005
0.134938,0.153066,9.30024e-005
0.135363,0.148428,8.74755e-005
0.134392,0.134666,8.1557e-005
0.133638,0.124508,7.68773e-005
0.133108,0.111363,6.90079e-005
0.134226,0.10171,6.30779e-005
0.134753,0.0945738,5.89068e-005
0.144266,0.0913487,5.86982e-005
0.148293,0.0929495,5.80248e-005
0.140963,0.0965935,5.47062e-005
0.149709,0.101686,6.29695e-005
0.155883,0.105418,6.88895e-005
0.166599,0.112306,0.000387457
0.174118,0.11714,0.000610997
0.203513,0.120488,0.00519771
0.255836,0.142117,0.0123012
0.300168,0.158296,0.0143792
0.324672,0.199501,0.0238412
0.338132,0.229892,0.0279136
0.347871,0.251155,0.0307713
0.349223,0.279246,0.0318599
0.346363,0.290868,0.0301601
0.345443,0.304453,0.0291952
0.351143,0.335006,0.0286293
0.358254,0.348666,0.0285903
0.37248,0.361423,0.0306077
0.38605,0.364209,0.0322527
0.399563,0.364707,0.0312175
0.393924,0.351996,0.0299174
0.391236,0.304311,0.0286663
0.38315,0.269354,0.0252585
0.367432,0.228995,0.0203927
0.313206,0.2018,0.0149244
0.277512,0.175714,0.010689
0.273933,0.150047,0.00768142
0.245741,0.134149,0.00521772
0.230926,0.120413,0.00342925
0.22042,0.109051,0.00218303
0.20968,0.10563,0.00130842
0.200838,0.0992581,0.000698804
0.198626,0.106999,0.000337121
0.189751,0.103984,0.000164773
0.184772,0.101831,0.000103087
0.178667,0.106799,7.30873e-005
0.183913,0.107451,5.82779e-005
0.173096,0.205648,8.45651e-005
0.152666,0.229372,7.86499e-005
0.126905,0.205385,6.93781e-005
0.116555,0.200868,5.99782e-005
0.106791,0.192743,5.15824e-005
0.09729,0.198181,4.32238e-005
0.0832275,0.211428,4.37082e-005
0.0682823,0.207023,4.0807e-005
0.0578687,0.20375,3.87176e-005
0.0616919,0.199607,4.16749e-005
0.0648154,0.19387,4.2932e-005
0.0711828,0.169623,4.13337e-005
0.0797895,0.174152,4.03609e-005
0.0830697,0.151698,4.35486e-005
0.0930611,0.138114,6.89552e-005
0.100146,0.12825,8.68611e-005
0.105337,0.121516,0.000100069
0.110397,0.108529,0.000118981
0.12664,0.0952996,0.000109505
0.146594,0.0878375,0.000106283
0.151709,0.0949403,0.000112646
0.158997,0.104029,0.000112986
0.161462,0.0927081,0.000100259
0.174689,0.0876129,9.8766e-005
0.178673,0.0845776,9.6408e-005
