AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.520661,0.821249,0.229428
0.513376,0.750407,0.211597
0.50728,0.653886,0.448872
0.51743,0.657921,0.565444
0.552754,0.528027,0.646777
0.540483,0.534892,0.706242
0.53672,0.528554,0.775801
0.559133,0.446949,0.808863
0.554877,0.390938,0.802198
0.579909,0.386423,0.826119
0.563505,0.453541,0.858985
0.578761,0.501816,0.846154
0.567961,0.487515,0.863365
0.589283,0.492483,0.866568
0.614935,0.494319,0.876807
0.631278,0.481791,0.882971
0.646444,0.427566,0.897818
0.666543,0.409061,0.905084
0.681197,0.400289,0.920697
0.667824,0.467335,0.922291
0.665778,0.516511,0.918725
0.626759,0.4925,0.830206
0.611429,0.48395,0.814118
0.623944,0.417204,0.789825
0.670477,0.442362,0.790588
0.677815,0.419863,0.773473
0.700625,0.419772,0.79037
0.665562,0.472577,0.772922
0.647306,0.455447,0.759875
0.635156,0.44128,0.750967
0.618831,0.52485,0.669898
0.627481,0.467194,0.645995
0.645914,0.467254,0.517335
0.674653,0.473191,0.440404
0.634056,0.527391,0.404093
0.640577,0.504179,0.357201
0.60021,0.411522,0.258753
0.645709,0.309489,0.193892
0.636831,0.276819,0.148121
0.643296,0.249144,0.113243
0.629012,0.201451,0.114248
0.620976,0.170028,0.102734
0.626395,0.231598,0.0852976
0.653837,0.261974,0.078753
0.651972,0.266973,0.0749432
0.67125,0.293362,0.0640879
0.679717,0.31247,0.0630449
0.683564,0.326905,0.0622154
0.676015,0.332196,0.098176
0.631,0.325015,0.101048
0.596156,0.330402,0.105883
0.551322,0.305002,0.105324
0.547457,0.307141,0.0998006
0.549125,0.337145,0.100533
0.589037,0.299124,0.206671
0.558029,0.298329,0.252708
0.519952,0.394554,0.380569
0.488156,0.500555,0.491722
0.505525,0.446362,0.622735
0.48204,0.468003,0.539971
0.494867,0.562484,0.387052
0.528573,0.630319,0.279269
0.567919,0.643569,0.203371
0.59665,0.5935,0.152036
0.583974,0.542376,0.108497
0.597079,0.597275,0.0789757
0.576288,0.618228,0.0651729
0.545344,0.638497,0.0468057
0.583421,0.687914,0.0359022
0.608667,0.683555,0.0381075
0.624268,0.693949,0.0394761
0.62817,0.642933,0.0452565
0.632969,0.588212,0.0475193
0.642647,0.559673,0.0479428
0.659242,0.601746,0.0659309
0.675376,0.611599,0.0942322
0.711697,0.561463,0.119444
0.727507,0.566346,0.0938274
0.735568,0.537126,0.0858194
0.720987,0.420419,0.102969
0.694291,0.382837,0.0939599
0.654163,0.285798,0.0849951
0.657666,0.214754,0.0741929
0.643438,0.163426,0.0608881
0.705551,0.122803,0.0512062
0.724871,0.151268,0.0516166
0.740269,0.195221,0.0613392
0.709478,0.212702,0.129436
0.709488,0.308008,0.222504
0.701198,0.373077,0.300213
0.694588,0.405045,0.356027
0.68042,0.483063,0.391769
0.670829,0.53682,0.347917
0.669654,0.526683,0.315262
0.661658,0.542175,0.255983
0.675786,0.530456,0.207548
0.693242,0.537303,0.170417
0.661006,0.615656,0.131737
0.645378,0.63214,0.104504
0.65117,0.727884,0.0920681
0.661619,0.732786,0.0935176
0.615931,0.768355,0.0916614
0.582565,0.786857,0.102264
0.559005,0.710624,0.120578
0.556584,0.683002,0.140063
0.555602,0.616352,0.150933
0.563579,0.61449,0.125803
0.580654,0.589526,0.0995303
0.579721,0.562114,0.109201
0.57605,0.539912,0.11705
0.583446,0.592744,0.178337
0.560983,0.636704,0.188719
0.536371,0.60727,0.176625
0.498792,0.524536,0.188915
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
