AU02,AU04cand,Smile_v2
0.0743802,0.281166,0.047575
0.0743802,0.281166,0.047575
0.0687301,0.31512,0.0490678
0.0709549,0.33349,0.0347294
0.106348,0.377026,0.0276973
0.105318,0.397621,0.0248081
0.116771,0.40097,0.0228576
0.130838,0.427093,0.0241271
0.115844,0.470398,0.0224147
0.113261,0.531628,0.0228177
0.0927777,0.522139,0.019811
0.0822123,0.479319,0.0161452
0.0711007,0.507895,0.0111185
0.0657321,0.417575,0.00777025
0.0915848,0.355676,0.00562775
0.110314,0.312392,0.00408876
0.0951988,0.255332,0.00286692
0.0856784,0.213062,0.00207692
0.0885816,0.172519,0.00202651
0.0916676,0.146655,0.00183336
0.0943842,0.130074,0.00178655
0.0961803,0.119485,0.00179874
0.124207,0.106978,0.00198053
0.108259,0.199809,0.00211353
0.105071,0.312229,0.00212655
0.0901405,0.340475,0.00252065
0.0817413,0.386206,0.00309321
0.0770803,0.442693,0.00370852
0.0672056,0.393207,0.00814386
0.0602397,0.410463,0.0087366
0.0502743,0.35073,0.0125212
0.0458202,0.313664,0.0144082
0.0431927,0.301106,0.0117327
0.0512631,0.438145,0.00867491
0.0414366,0.422407,0.00617373
0.0387169,0.437691,0.00438374
0.0545428,0.397458,0.00322555
0.061803,0.383121,0.00235837
0.0823137,0.440045,0.00150881
0.0776656,0.464356,0.00176667
0.0707429,0.525781,0.00161346
0.0581955,0.563805,0.00143283
0.0582397,0.486424,0.00249482
0.0605524,0.482055,0.00404402
0.0588079,0.512959,0.00450289
0.0460493,0.574392,0.00667874
0.0378515,0.562425,0.00827681
0.0372868,0.564773,0.0234488
0.0516821,0.490471,0.0204705
0.0496408,0.399215,0.0173408
0.0711672,0.367064,0.0147413
0.083954,0.336033,0.0152553
0.0914001,0.362978,0.0116057
0.0800497,0.473295,0.0115493
0.0683873,0.571521,0.00900627
0.0618037,0.636922,0.00752827
0.0685716,0.67041,0.00843614
0.06048,0.678764,0.00754615
0.0594386,0.649893,0.00650711
0.0590753,0.6248,0.0061347
0.0518123,0.586405,0.00602867
0.0404424,0.574609,0.00714492
0.0439252,0.557603,0.00646647
0.0404998,0.524906,0.0061196
0.0394758,0.490932,0.00545983
0.0387205,0.498605,0.0045955
0.0378598,0.504396,0.00393264
0.0325458,0.485147,0.00344868
0.0324781,0.510035,0.00355822
0.0425856,0.501458,0.00458271
0.0498617,0.542418,0.00400537
0.0488042,0.543407,0.00337573
0.0515397,0.556291,0.00378737
0.0587203,0.553914,0.00364806
0.0624528,0.567085,0.00386298
0.0625333,0.564431,0.00425295
0.0587816,0.526572,0.00350876
0.0601041,0.497197,0.0030257
0.0558444,0.508503,0.00416816
0.0500227,0.483629,0.00456795
