AU02,AU04cand,Smile_v2
0.289256,0.281457,0.00134571
0.289256,0.281457,0.00134571
0.298673,0.360583,0.000990598
0.26405,0.368156,0.00103683
0.244889,0.380474,0.000769975
0.233323,0.38791,0.000608889
0.227317,0.48508,0.00396046
0.214207,0.506711,0.00304057
0.198987,0.522364,0.00277204
0.194983,0.531746,0.0023265
0.182484,0.527205,0.00203926
0.186408,0.559127,0.00168703
0.197863,0.570005,0.00154189
0.206783,0.578307,0.00143523
0.213042,0.58159,0.00148045
0.217434,0.583894,0.00151218
0.220479,0.582986,0.00144012
0.222873,0.583532,0.00147709
0.234891,0.572971,0.00179254
0.239333,0.593444,0.00201621
0.233821,0.604839,0.00171347
0.224509,0.605034,0.00148396
0.230411,0.605186,0.00126014
0.234552,0.605293,0.00110309
0.223495,0.567315,0.00105588
0.224622,0.53846,0.00138116
0.225413,0.518213,0.00160941
0.213274,0.545707,0.00848358
0.224772,0.534572,0.00656054
0.23295,0.535094,0.00493198
0.224983,0.538259,0.00406057
0.210654,0.493677,0.00416396
0.216734,0.513995,0.00320956
0.217192,0.514538,0.00307691
0.222995,0.522152,0.00263606
0.212847,0.486897,0.00226143
0.226035,0.473904,0.00188165
0.23058,0.488224,0.0013091
0.23572,0.552537,0.00103
0.240596,0.564955,0.0011899
0.244422,0.573591,0.00129464
0.2334,0.576148,0.00130291
0.212495,0.5626,0.00138195
0.247442,0.579473,0.0439474
0.2642,0.589691,0.0438992
0.272556,0.56703,0.036987
0.26006,0.564397,0.026986
0.237476,0.610585,0.0201307
0.226633,0.623813,0.0152174
0.205024,0.615457,0.0111141
0.1924,0.601144,0.00813381
0.186484,0.621373,0.0059252
0.189047,0.62312,0.00432895
0.194491,0.611937,0.00204521
0.198531,0.604132,0.00130885
0.197668,0.58648,0.000837449
0.203923,0.599819,0.000641712
0.212525,0.60784,0.000497
0.214606,0.5926,0.000355432
0.229164,0.534143,0.0002765
0.234228,0.497453,0.000225708
0.236439,0.46364,0.000195216
0.237807,0.440286,0.000175127
0.214502,0.450456,0.000147218
0.209573,0.432699,0.000125765
0.211302,0.41721,0.000118126
0.2136,0.409957,0.000129046
0.212565,0.430632,0.000126713
0.211948,0.435003,0.000142604
0.22765,0.439867,0.000149038
0.238815,0.443162,0.000153504
0.253033,0.449447,0.000162365
0.256663,0.493438,0.000164764
0.248484,0.497262,0.000167769
0.242414,0.500666,0.000169932
0.241815,0.509025,0.000160536
0.24009,0.505076,0.000149385
0.22245,0.503127,0.000137719
0.213881,0.514929,0.000126405
0.204851,0.504356,0.000117914
0.213748,0.533707,0.000122547
0.194419,0.538799,0.000116421
0.198811,0.583946,9.89911e-005
0.186991,0.584808,0.000102451
0.178697,0.585412,0.000104879
0.170228,0.546887,0.0001477
0.165592,0.506177,0.000179149
0.170432,0.475206,0.00023158
0.173718,0.453101,0.000268448
0.190061,0.457393,0.000257819
0.201087,0.455927,0.000227757
0.232408,0.442755,0.000236915
0.231023,0.442167,0.00023022
0.229223,0.433,0.000240504
0.225421,0.426899,0.00023987
0.221557,0.439012,0.000232796
0.226425,0.438053,0.000236747
0.227082,0.434901,0.000335129
0.219927,0.465549,0.000436773
0.222118,0.470478,0.000675296
0.224925,0.440826,0.00149967
0.224964,0.41857,0.00218984
0.23073,0.427659,0.00246502
0.243699,0.428295,0.00304785
0.252872,0.419985,0.00359053
0.249191,0.414044,0.00354805
0.250196,0.411784,0.00404894
