AU02,AU04cand,Smile_v2
0.367769,0.0145736,0.297595
0.367769,0.0145736,0.297595
0.333868,0.0159002,0.335067
0.348844,0.0162647,0.394171
0.336337,0.0195192,0.424198
0.337186,0.0171819,0.48468
0.351179,0.0167356,0.431106
0.322387,0.0194079,0.366605
0.304365,0.0229396,0.318826
0.285761,0.0259795,0.312073
0.291183,0.027339,0.248812
0.311489,0.0298409,0.248774
0.320053,0.0295792,0.279288
0.317748,0.0298987,0.245132
0.34584,0.032957,0.235351
0.331059,0.0327557,0.261898
0.32032,0.0325861,0.283039
0.31385,0.0323839,0.298696
0.313081,0.0325866,0.289442
0.312725,0.0327103,0.282204
0.327157,0.0310599,0.280666
0.336806,0.0298569,0.278302
0.306949,0.0368389,0.281444
0.274794,0.0318911,0.250303
0.269157,0.0295041,0.262803
0.280156,0.0324862,0.268283
0.273912,0.0297329,0.302205
0.273338,0.026763,0.324838
0.261401,0.0273869,0.386607
0.253025,0.0278248,0.42995
0.245437,0.0277195,0.495376
0.254075,0.032797,0.488355
0.267549,0.0384144,0.576243
0.264641,0.0430182,0.601229
0.267163,0.0457049,0.537243
0.259643,0.0481147,0.480446
0.254771,0.0499459,0.43972
0.244895,0.0488439,0.445717
0.257336,0.0462813,0.408713
0.272413,0.0433503,0.408796
0.267796,0.039431,0.472133
0.266692,0.0371176,0.524381
0.265733,0.0400218,0.454798
0.251465,0.0412139,0.435177
0.237497,0.0381035,0.449257
0.229223,0.035437,0.463311
0.229764,0.0337564,0.45471
0.22271,0.0316819,0.519855
0.231173,0.0431999,0.434143
0.236928,0.0477801,0.362758
0.241407,0.0510484,0.310806
0.222897,0.0468102,0.304985
0.217525,0.0469395,0.266712
0.217967,0.0450645,0.290645
0.222196,0.042676,0.309003
0.217511,0.0409825,0.327688
0.216578,0.0390424,0.342423
0.226299,0.0393848,0.349015
0.241601,0.0425752,0.369826
0.22949,0.0428056,0.426857
0.223531,0.0485197,0.447496
0.226321,0.0564664,0.43435
0.20267,0.0494212,0.388051
0.19485,0.0455459,0.343824
0.189253,0.042861,0.312724
0.184276,0.0413136,0.293032
0.188326,0.0426489,0.340599
0.185797,0.0401532,0.375638
0.200267,0.0431917,0.400358
0.211082,0.0518617,0.414194
0.219867,0.0527981,0.390849
0.237271,0.0495633,0.383921
0.24895,0.0474112,0.376124
0.263234,0.0516748,0.354198
0.274527,0.0577364,0.344406
0.272333,0.0573416,0.344018
0.288345,0.0534864,0.389732
0.283225,0.051103,0.429233
0.279155,0.0492891,0.456936
0.282646,0.046944,0.473639
0.286328,0.0449671,0.45783
0.273348,0.0434937,0.439097
0.275702,0.0420366,0.425292
0.279708,0.0390686,0.427358
0.28883,0.035353,0.439695
0.295524,0.03288,0.448162
0.304785,0.0337071,0.478137
0.305414,0.0432473,0.460392
0.327435,0.0508891,0.404024
0.319854,0.0485837,0.404607
0.296727,0.0467067,0.427336
0.277132,0.0451633,0.438497
0.263051,0.0440928,0.446351
0.254366,0.0439252,0.490122
0.248088,0.0423208,0.555278
0.238605,0.0425171,0.599856
0.229266,0.0444127,0.63908
0.224165,0.0430215,0.657028
0.217423,0.0415027,0.661986
0.220969,0.0423989,0.664672
0.217625,0.0430373,0.638101
0.210311,0.0409911,0.646646
0.205179,0.0389147,0.652556
0.211696,0.0381938,0.662702
0.223885,0.0462019,0.603816
0.232585,0.0517829,0.562529
0.234956,0.0564744,0.545331
0.246737,0.0559501,0.547544
0.243653,0.0586591,0.536536
0.252693,0.0571602,0.544399
0.264298,0.0560106,0.557898
0.26751,0.061859,0.561696
0.284997,0.067251,0.576357
0.28428,0.07066,0.625521
0.282287,0.0679908,0.672486
0.272003,0.0633121,0.714881
0.273782,0.0630471,0.757444
0.274737,0.0629737,0.786907
0.266852,0.067009,0.752312
0.260988,0.0610225,0.729168
0.256727,0.0568247,0.712721
0.258961,0.0505499,0.701888
0.260088,0.0489223,0.709916
0.265054,0.0477515,0.698363
0.263498,0.0451934,0.731777
0.267741,0.0451445,0.756253
0.283155,0.0502104,0.71396
0.280007,0.0524593,0.700325
0.275517,0.0507722,0.741473
0.276175,0.0531741,0.737809
0.280444,0.0549265,0.727977
0.280755,0.0561349,0.71499
0.283511,0.0579257,0.715066
0.286604,0.0612387,0.660469
0.288922,0.0636177,0.620948
0.281516,0.0631999,0.530346
0.27849,0.0610897,0.514088
0.275502,0.0601545,0.514506
0.260784,0.0590528,0.517505
0.268118,0.0583035,0.542935
0.271885,0.0573812,0.562811
0.274601,0.0567372,0.576933
0.266279,0.0554456,0.62725
0.268019,0.0568637,0.65605
0.284472,0.0547076,0.686399
0.28612,0.0518197,0.700955
0.274509,0.0569615,0.679106
0.289246,0.0707277,0.609927
0.306302,0.0769177,0.627078
0.315217,0.0784083,0.600985
0.329126,0.0738697,0.584819
0.326192,0.066984,0.63447
0.323158,0.0715774,0.667625
0.324616,0.061714,0.717078
0.320121,0.0515489,0.739195
0.317261,0.0444576,0.754963
0.330854,0.046524,0.783698
0.335923,0.0464047,0.803357
0.334218,0.0470024,0.8271
0.316594,0.0416682,0.835313
0.324317,0.0444539,0.858414
0.317409,0.0471266,0.850898
0.315138,0.0493483,0.852876
0.302009,0.0493262,0.847635
0.298021,0.0507601,0.846247
0.309186,0.0484224,0.831313
0.308963,0.0468733,0.827013
0.319072,0.046853,0.836698
0.299656,0.0545187,0.846601
0.286509,0.0600666,0.853826
0.290659,0.0704442,0.804159
0.309171,0.0650124,0.803471
0.313202,0.0558471,0.812339
0.308744,0.0484104,0.806634
0.32451,0.0455715,0.830813
0.319937,0.0521558,0.669014
0.316948,0.0567673,0.555286
0.306941,0.0555859,0.505715
0.315922,0.0530116,0.528568
0.313339,0.0589432,0.479341
0.309853,0.0660465,0.477926
0.317121,0.0677736,0.474125
0.314862,0.0772625,0.528154
0.313497,0.0839517,0.566416
0.306911,0.0813286,0.586469
0.316693,0.0725559,0.613134
0.309595,0.0630539,0.657073
0.31245,0.0605787,0.640135
0.305127,0.0606467,0.6181
0.305324,0.0596001,0.613118
0.305498,0.0587749,0.608708
0.367525,0.0536451,0.663871
0.411271,0.0485804,0.702982
0.440698,0.0471426,0.750932
0.461494,0.0463433,0.784751
0.470605,0.0503531,0.8117
0.490096,0.0575272,0.8276
0.503552,0.0624437,0.840114
0.508174,0.0654338,0.85046
0.508732,0.0618941,0.87177
0.51547,0.0612385,0.872066
0.522206,0.0617427,0.876928
0.521856,0.0614497,0.885717
0.503875,0.0585671,0.904311
0.500144,0.0628937,0.901424
0.464669,0.062055,0.882601
0.43687,0.0609909,0.878492
0.421171,0.0602818,0.876876
0.410302,0.0628313,0.883349
0.392594,0.0656183,0.867152
0.393948,0.0629271,0.843417
0.394787,0.0610147,0.826579
0.405678,0.0611224,0.783831
0.411296,0.0620612,0.760741
0.421328,0.0623306,0.746919
0.424245,0.0646656,0.741137
0.421288,0.0657342,0.731896
0.397523,0.0702492,0.727381
0.380848,0.0733295,0.723991
0.377056,0.0700259,0.727153
0.381608,0.074565,0.70849
0.387341,0.0764367,0.696489
0.398686,0.0810008,0.712762
0.399104,0.08159,0.73056
0.392867,0.0729798,0.769937
0.400061,0.0667433,0.793939
0.429375,0.0708234,0.788867
0.426451,0.0687917,0.795555
0.414244,0.0659196,0.82132
0.404189,0.0678537,0.838379
0.394374,0.0693403,0.856414
0.396298,0.0712215,0.868215
0.397429,0.0724462,0.875807
0.384479,0.0793964,0.892008
0.375576,0.0866812,0.867009
0.384231,0.0952951,0.843947
0.398491,0.0991502,0.840886
0.386347,0.0895068,0.849473
0.398429,0.0773811,0.862243
0.386634,0.0666322,0.871164
0.38097,0.0644062,0.877847
0.394509,0.064982,0.890178
0.381161,0.0701484,0.88678
0.386162,0.0664288,0.892657
0.389671,0.0637566,0.89781
0.387885,0.0614587,0.89406
0.386374,0.0599025,0.891067
0.387244,0.0590427,0.898007
0.394883,0.0531915,0.866664
0.390677,0.0525454,0.843638
0.405423,0.053095,0.843217
0.415255,0.0534182,0.842701
0.429163,0.0544016,0.844347
0.439788,0.0553373,0.848799
0.439627,0.0543988,0.854082
0.444702,0.0579058,0.846446
0.466034,0.0621116,0.859712
0.480966,0.0650665,0.868751
0.487415,0.0730454,0.882888
0.496043,0.0728293,0.891191
0.483811,0.0699749,0.885174
0.462535,0.0665989,0.868482
0.460115,0.0609118,0.885243
0.454572,0.0593498,0.902321
0.450903,0.0622793,0.905076
0.445643,0.066226,0.898773
0.443976,0.0677835,0.895842
0.441537,0.0686475,0.895837
0.437397,0.0713439,0.886615
0.433112,0.0735093,0.879777
0.433159,0.0754564,0.875825
0.420865,0.080334,0.867299
0.411871,0.0838518,0.86049
0.40694,0.082852,0.855233
0.393325,0.0816716,0.848983
0.39273,0.0796915,0.848816
0.392239,0.0758573,0.871496
0.389392,0.0784339,0.885449
0.395085,0.0797519,0.905926
0.382614,0.0716722,0.917246
0.376328,0.0636617,0.926291
0.371016,0.0573381,0.930443
0.381251,0.0542524,0.929769
0.40109,0.0519422,0.930531
0.421652,0.0489933,0.930874
0.439631,0.0478524,0.930415
0.449709,0.0477305,0.935925
0.472086,0.0464044,0.940043
0.481221,0.0457876,0.94723
0.502071,0.0471836,0.946771
0.49505,0.0607794,0.916747
0.476196,0.0683225,0.900715
0.471448,0.0679829,0.893652
0.462672,0.0705488,0.884843
0.446174,0.0730773,0.882089
0.415447,0.0727555,0.880757
0.39396,0.0736829,0.88405
0.372094,0.0815228,0.873518
0.349318,0.0821786,0.871997
0.331663,0.0765221,0.87174
0.322437,0.075431,0.870507
0.321445,0.0751997,0.870571
0.311607,0.0705548,0.876506
0.30485,0.0653245,0.873168
0.332136,0.0604564,0.872197
0.355643,0.0584707,0.87313
0.372137,0.0625935,0.882122
0.383895,0.0652793,0.888804
0.397444,0.0652088,0.891042
0.390486,0.0613382,0.89377
0.386799,0.0602723,0.884929
0.400567,0.0639959,0.886262
0.395253,0.0637941,0.860679
0.376291,0.0700943,0.883799
0.381108,0.0615937,0.911461
0.378031,0.0561455,0.92528
0.384757,0.0568395,0.913542
0.374245,0.0548192,0.919438
0.360374,0.0662788,0.907832
0.347311,0.076064,0.892171
0.340646,0.0867602,0.868949
0.326606,0.0897712,0.884612
0.30704,0.0973363,0.899146
0.293752,0.0941664,0.914863
0.288954,0.0850002,0.930667
0.288309,0.0787376,0.931669
0.305371,0.0722451,0.93553
0.317784,0.0677618,0.937829
0.324139,0.0671365,0.936732
0.335056,0.0641983,0.940802
0.345181,0.0623973,0.932943
0.35889,0.0618047,0.928319
0.344686,0.061665,0.937625
0.333449,0.0597083,0.945244
0.32161,0.0606222,0.951542
0.317036,0.0591333,0.954324
0.313313,0.0581453,0.956203
0.320855,0.0549603,0.955576
0.32749,0.0518699,0.949413
0.321807,0.0464906,0.961095
0.320285,0.0575764,0.97062
0.312686,0.0580071,0.978266
0.308052,0.0573152,0.983111
0.311184,0.0595951,0.986441
0.309684,0.0610805,0.986893
0.305982,0.0609405,0.988581
0.304654,0.0622308,0.989176
0.34024,0.0634061,0.988026
0.363904,0.0635999,0.987577
0.380804,0.0638309,0.986796
0.386242,0.0659904,0.984776
0.390242,0.0677179,0.983329
0.390509,0.0693324,0.982982
0.367665,0.0701654,0.977804
0.377133,0.0764429,0.971146
0.371156,0.0801401,0.966724
0.35804,0.0795734,0.965575
0.360464,0.0804469,0.956456
0.350778,0.0799338,0.945101
0.361752,0.0809789,0.945585
0.36202,0.0791969,0.949438
0.349515,0.0757318,0.941179
0.328119,0.0734183,0.941918
0.317576,0.0637337,0.940671
0.304365,0.0603132,0.946292
0.286576,0.0691813,0.954002
0.280698,0.0741401,0.959666
0.278745,0.0692989,0.963964
0.273897,0.0708216,0.966991
0.268711,0.0734304,0.967945
0.265293,0.0744096,0.971151
0.263261,0.0751608,0.973718
0.279975,0.0719336,0.976406
0.292862,0.0710715,0.979358
0.291896,0.0759244,0.979868
0.3029,0.0757406,0.979693
0.304092,0.0695193,0.98218
0.299776,0.0641036,0.979443
0.298128,0.067049,0.974016
0.308432,0.0672849,0.973082
0.32201,0.0654176,0.971863
0.332807,0.0633758,0.97135
0.344946,0.0594391,0.968679
0.353427,0.0566428,0.966776
0.349518,0.0508132,0.971787
0.348982,0.0562809,0.964293
0.331019,0.0576654,0.966145
0.331255,0.0695515,0.96904
0.323768,0.0660898,0.972403
0.315645,0.0648368,0.976179
0.309761,0.0611251,0.97486
0.305595,0.0581713,0.97572
0.308872,0.0559543,0.975278
0.307363,0.0541053,0.972047
0.310407,0.0763762,0.972538
0.312469,0.0917298,0.973202
0.301737,0.0922904,0.977969
0.300185,0.0844744,0.981098
0.299317,0.0793258,0.983258
0.294973,0.0755096,0.985214
0.284309,0.070889,0.984907
0.290788,0.0624688,0.983782
0.310384,0.0608038,0.985057
0.325514,0.0514857,0.986529
0.325866,0.0484439,0.988392
0.326112,0.0463094,0.989699
0.338077,0.0489267,0.988288
0.332326,0.0579796,0.986156
0.32956,0.0692164,0.984251
0.330268,0.0784855,0.984981
0.327177,0.078025,0.985507
0.330951,0.0824332,0.986157
0.326811,0.0806801,0.986334
0.321331,0.0817757,0.988157
0.321588,0.0863799,0.989136
0.328114,0.0863428,0.988384
0.324747,0.0867312,0.987624
0.326597,0.0954546,0.987789
0.329128,0.10088,0.988424
0.33083,0.104647,0.988809
0.318171,0.0931679,0.987391
0.315452,0.0863556,0.986
0.306111,0.0810649,0.984453
0.289476,0.0769526,0.983678
0.290386,0.0702398,0.985248
0.294649,0.0723179,0.983823
0.29786,0.073761,0.982831
0.293657,0.0736007,0.981229
0.283055,0.0697884,0.979764
0.294655,0.0697758,0.980183
0.285429,0.0682298,0.979266
0.283848,0.0649622,0.978799
0.285498,0.0656288,0.977721
0.280603,0.0658938,0.977372
0.303457,0.0669012,0.977369
0.321923,0.0646284,0.977725
0.29553,0.0652516,0.978666
0.288618,0.0660765,0.979484
0.285257,0.0612775,0.983018
0.282348,0.0578329,0.985456
0.266858,0.0514465,0.986951
0.276152,0.0548579,0.989792
0.267367,0.0488672,0.992549
0.251231,0.0502187,0.99388
0.239138,0.0500799,0.994763
0.24708,0.0550323,0.995789
0.255061,0.0674288,0.996751
0.255253,0.071764,0.997598
0.255351,0.0719877,0.998199
0.250343,0.0718645,0.998554
0.256118,0.0812895,0.998882
0.263391,0.0854617,0.998819
0.251164,0.0821785,0.998914
0.242878,0.0876819,0.998917
0.243411,0.0915766,0.999042
0.243307,0.0941657,0.999117
0.231773,0.0929082,0.999135
0.225096,0.093121,0.999151
0.228027,0.0912293,0.999116
0.239116,0.085247,0.999
0.24664,0.0807772,0.998916
0.25181,0.0742882,0.998391
0.257221,0.0708649,0.998323
0.274981,0.0706482,0.998107
0.270758,0.071494,0.997912
0.274141,0.0649078,0.997896
0.259075,0.071637,0.994735
0.248466,0.0763308,0.992516
0.273805,0.0774322,0.988404
0.274826,0.0793768,0.988526
0.275543,0.0807413,0.988611
0.281123,0.0782726,0.990535
0.278656,0.076363,0.992023
0.277789,0.0718051,0.992605
0.280198,0.0733749,0.989755
0.305822,0.0814033,0.987806
0.304007,0.0843367,0.971635
0.302733,0.0747714,0.970422
0.298346,0.067196,0.974306
0.295745,0.0653821,0.975049
0.307882,0.062839,0.975471
0.316253,0.0611565,0.975713
0.318502,0.0564037,0.975464
0.316235,0.051994,0.975267
0.314571,0.0510619,0.96977
0.325399,0.0464195,0.972446
0.334854,0.0437021,0.971301
0.340219,0.0453143,0.972197
0.316132,0.047015,0.969965
0.306845,0.0477503,0.97541
0.306272,0.0465137,0.976028
0.313486,0.0437707,0.965123
0.337698,0.0442999,0.963181
0.323065,0.0437706,0.967041
0.328028,0.04849,0.954341
0.324797,0.0488251,0.953961
0.325032,0.044213,0.953434
0.335388,0.0460125,0.959157
0.353619,0.0509137,0.955912
0.345881,0.061815,0.961452
0.340267,0.0646655,0.958874
0.343724,0.0671094,0.953907
0.357023,0.0695616,0.951802
0.358388,0.0733277,0.950825
0.36779,0.0767529,0.959429
0.374571,0.0792457,0.965215
0.375448,0.0688956,0.971025
0.37577,0.0614845,0.974925
0.366816,0.0534791,0.977659
0.353504,0.0465571,0.97958
0.347972,0.0415045,0.981333
0.337522,0.0410476,0.984366
0.329859,0.0407036,0.98645
0.339971,0.0396293,0.988565
0.34681,0.0349868,0.989386
0.354148,0.0360588,0.990573
0.367023,0.0416717,0.990619
0.37098,0.0418613,0.990653
0.367667,0.0410223,0.989917
0.365563,0.0404652,0.989393
0.358898,0.0403993,0.988177
0.340443,0.0469205,0.980499
0.337647,0.0502268,0.978547
0.335245,0.0525693,0.977157
0.336098,0.0528776,0.977731
0.339161,0.052073,0.977831
0.329666,0.0528078,0.97861
0.333306,0.0529937,0.978138
0.330966,0.0535816,0.977196
0.329324,0.0539061,0.977081
0.332126,0.0558654,0.976976
0.330689,0.0589107,0.978438
0.321771,0.0586127,0.97997
0.315512,0.0584036,0.981045
0.298354,0.0585858,0.981176
0.305281,0.0620996,0.981244
0.305394,0.0631251,0.982136
0.30518,0.0638573,0.98279
0.303908,0.0639548,0.984409
0.303015,0.0651188,0.986541
0.302278,0.0658853,0.988039
0.300602,0.065894,0.988917
0.302185,0.0670113,0.989652
0.29441,0.066109,0.989636
0.294399,0.0642558,0.989456
0.300187,0.0647557,0.988751
0.313281,0.0693201,0.989862
0.32247,0.072523,0.990641
0.320068,0.073038,0.991111
0.315844,0.0680136,0.991731
0.320497,0.0680071,0.991297
0.317451,0.0659205,0.992181
0.31651,0.0632223,0.992667
0.304682,0.0576489,0.992599
0.314007,0.0623697,0.992908
0.319097,0.0667795,0.993321
0.318604,0.0668623,0.993635
0.324604,0.0672549,0.993842
0.329072,0.0675809,0.993989
0.338627,0.0612629,0.993739
0.343843,0.0599158,0.993945
0.351494,0.0567813,0.994115
0.346671,0.0539936,0.994074
0.336002,0.0525824,0.994333
0.340694,0.0549748,0.992776
0.336407,0.059567,0.991396
0.342395,0.0590831,0.991163
0.346413,0.0577334,0.990944
0.346694,0.0560458,0.990728
0.341629,0.0557221,0.99094
0.355884,0.0582345,0.991446
0.345466,0.0611461,0.990534
0.342258,0.0546644,0.990417
0.336419,0.0509678,0.991116
0.338301,0.0487105,0.991867
0.339842,0.0470413,0.992402
0.35336,0.0459559,0.9928
0.357768,0.0467505,0.992938
0.327932,0.0489072,0.993746
0.304603,0.0527606,0.993966
0.283911,0.0561384,0.993724
0.26871,0.0577237,0.99263
0.250317,0.0594412,0.99223
0.23752,0.0606215,0.991927
0.24232,0.0565848,0.991738
0.246958,0.0542344,0.991749
0.249845,0.0519937,0.992005
0.249479,0.0508061,0.992227
0.26414,0.0513389,0.992801
0.270693,0.0511192,0.993212
0.283018,0.0504662,0.993449
0.291703,0.050053,0.993483
0.278978,0.0490475,0.99192
0.278934,0.0492318,0.98985
0.267074,0.0477741,0.98934
0.295528,0.0489213,0.990331
0.285028,0.0493954,0.990467
0.290428,0.0481014,0.991325
0.295083,0.0464086,0.991387
0.294651,0.0444535,0.991126
0.294127,0.0430954,0.990945
0.300107,0.044089,0.990212
0.294699,0.0502405,0.991662
0.305879,0.0568734,0.992916
0.302631,0.0702857,0.993975
0.299286,0.0842647,0.994346
0.288935,0.0804258,0.994853
0.291459,0.0839989,0.994748
0.283039,0.0826773,0.995281
0.279779,0.0817555,0.995635
0.277492,0.0811088,0.995884
0.279511,0.0832984,0.996041
0.291377,0.0819602,0.996215
0.295455,0.0809543,0.996271
0.298646,0.0799964,0.996305
0.300886,0.0769324,0.996067
0.302715,0.0782708,0.995941
0.303704,0.07903,0.995865
0.319925,0.0850134,0.995489
0.314731,0.0782046,0.995183
0.322512,0.0795783,0.995876
0.28978,0.0702859,0.995308
0.272865,0.0660275,0.994333
0.285223,0.0620073,0.993827
0.293896,0.0591863,0.993472
0.306328,0.0565431,0.993103
0.307435,0.0529768,0.993052
0.308212,0.0483261,0.993281
0.309586,0.0520029,0.992988
0.313567,0.0509858,0.993254
0.31476,0.0526937,0.993017
0.316699,0.0530246,0.993044
0.320415,0.0571624,0.993975
0.337557,0.0611583,0.99426
0.333083,0.0582963,0.994538
0.309451,0.0622443,0.99557
0.295627,0.0640892,0.996236
0.283388,0.0664268,0.996702
0.274763,0.0678617,0.997042
0.267368,0.0692158,0.997178
0.287603,0.0780984,0.997215
0.280223,0.0790924,0.997272
0.283856,0.0860133,0.997275
0.287234,0.0810125,0.997328
0.279927,0.088553,0.996089
0.276657,0.0885191,0.996157
0.278097,0.086792,0.995708
0.28172,0.088309,0.995394
0.265221,0.0915998,0.995722
0.253681,0.0939021,0.995954
0.271505,0.0806111,0.995285
0.287175,0.0789027,0.994393
0.297914,0.0775206,0.993766
0.306682,0.0765453,0.992984
0.314398,0.073647,0.993017
0.313429,0.0709022,0.993187
0.3101,0.0650658,0.993755
0.320384,0.0646518,0.994569
0.320535,0.0604248,0.994394
0.32318,0.0620955,0.995089
0.319187,0.0604478,0.994972
0.306157,0.0682269,0.995168
0.298283,0.0768573,0.995389
0.311761,0.0836604,0.99571
0.313566,0.0943086,0.99568
0.297245,0.0805443,0.994379
0.285866,0.0710004,0.993454
0.276245,0.0643826,0.99295
0.267175,0.0602991,0.992572
0.25693,0.0581948,0.99262
0.252426,0.056693,0.992726
0.257176,0.0540175,0.993175
0.26301,0.0523184,0.993741
0.266554,0.0511048,0.994134
0.265452,0.0500296,0.994193
0.262655,0.0512025,0.994395
0.264501,0.0510041,0.994546
0.262024,0.0495168,0.994469
0.269245,0.0501435,0.994644
0.270615,0.0497369,0.994909
0.266425,0.0557548,0.993579
0.263264,0.059574,0.993192
0.258434,0.0606674,0.992952
0.256314,0.0618596,0.993051
0.256206,0.0626263,0.993102
0.260012,0.0622685,0.993161
0.261303,0.0617436,0.994082
0.262319,0.0614142,0.994734
0.267852,0.0596734,0.994837
0.269306,0.0590642,0.994956
0.2984,0.0648547,0.994431
0.318815,0.0689308,0.994047
0.324328,0.0723035,0.993924
0.338315,0.0707571,0.994143
0.326514,0.0627457,0.994326
0.32193,0.0556873,0.994793
0.317482,0.0513335,0.995178
0.315629,0.0482028,0.995464
0.302758,0.0450835,0.99624
0.319188,0.0453104,0.996526
0.290557,0.048872,0.995826
0.270467,0.0513711,0.995334
0.249011,0.0563153,0.995853
0.227315,0.065541,0.99695
0.208906,0.0663837,0.997709
0.218728,0.0750725,0.998299
0.21804,0.0787116,0.998679
0.221329,0.0803868,0.998933
0.235391,0.0783677,0.999117
0.226753,0.0740711,0.999103
0.215484,0.0775171,0.999085
0.234233,0.0804021,0.999066
0.239993,0.0803656,0.999158
0.228987,0.078478,0.99911
0.226451,0.0791867,0.999156
0.22401,0.0794509,0.999187
0.21998,0.0843611,0.999182
0.214502,0.0885075,0.999166
0.22556,0.08941,0.999216
